1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7910.00,7910.00,7910.00,12536.00,11112.00,1424.00,-4626.00,707.00,506.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,109.00,-117.00,209.00,204.00,5.00,0.00,5332.00,3293.00,814.00,454.00,2025.00,325.00,0.00,6.00,0.00,1709.00
1952:Q1,2059.00,2059.00,2059.00,2964.00,2679.00,285.00,-905.00,1649.00,13.00,0.00,0.00,0.00,0.00,0.00,842.00,0.00,842.00,728.00,66.00,65.00,1.00,0.00,2554.00,527.00,40.00,127.00,360.00,649.00,0.00,1.00,0.00,1376.00
1952:Q2,2076.00,2076.00,2076.00,3076.00,2659.00,417.00,-1001.00,-61.00,-159.00,0.00,0.00,0.00,0.00,0.00,186.00,0.00,186.00,-163.00,75.00,73.00,2.00,0.00,940.00,1139.00,333.00,118.00,688.00,85.00,0.00,1.00,0.00,-285.00
1952:Q3,2093.00,2093.00,2093.00,2994.00,2410.00,584.00,-901.00,345.00,-202.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,65.00,406.00,76.00,75.00,1.00,0.00,1246.00,562.00,27.00,16.00,519.00,193.00,0.00,1.00,0.00,490.00
1952:Q4,2112.00,2112.00,2112.00,2835.00,2663.00,172.00,-724.00,164.00,-121.00,0.00,0.00,0.00,0.00,0.00,321.00,0.00,321.00,-107.00,71.00,70.00,1.00,0.00,888.00,276.00,-21.00,31.00,266.00,-346.00,0.00,1.00,0.00,957.00
1953:Q1,2131.00,2131.00,2131.00,3019.00,2791.00,228.00,-887.00,815.00,-84.00,0.00,0.00,0.00,0.00,0.00,-221.00,0.00,-221.00,1053.00,67.00,65.00,2.00,0.00,1702.00,163.00,-119.00,122.00,160.00,1163.00,0.00,1.00,0.00,376.00
1953:Q2,2150.00,2150.00,2150.00,2740.00,2854.00,-114.00,-590.00,-46.00,-73.00,0.00,0.00,0.00,0.00,0.00,111.00,0.00,111.00,-148.00,64.00,64.00,0.00,0.00,544.00,853.00,169.00,49.00,635.00,98.00,0.00,1.00,0.00,-407.00
1953:Q3,2168.00,2168.00,2168.00,3118.00,2930.00,188.00,-950.00,125.00,-41.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,-8.00,107.00,67.00,64.00,3.00,0.00,1075.00,534.00,136.00,5.00,393.00,302.00,0.00,2.00,0.00,237.00
1953:Q4,2184.00,2184.00,2184.00,3369.00,2902.00,468.00,-1185.00,-303.00,2.00,0.00,0.00,0.00,0.00,0.00,246.00,0.00,246.00,-617.00,66.00,64.00,2.00,0.00,882.00,-630.00,-696.00,-81.00,147.00,-1197.00,0.00,2.00,0.00,2707.00
1954:Q1,2199.00,2199.00,2199.00,2871.00,2699.00,172.00,-673.00,680.00,59.00,0.00,0.00,0.00,0.00,0.00,-309.00,0.00,-309.00,864.00,66.00,65.00,1.00,0.00,1353.00,445.00,87.00,179.00,179.00,1360.00,0.00,1.00,0.00,-454.00
