date,FA344090045.Q,FA344022045.Q,FA343061165.Q,FA343061733.Q,FA343063033.Q,FA343064133.Q,FA343073045.Q,FA344190045.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3892.00,370.00,370.00,0.00,0.00,0.00,3522.00,3892.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3435.00,823.00,823.00,0.00,0.00,0.00,2612.00,3435.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3633.00,823.00,823.00,0.00,0.00,0.00,2810.00,3633.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3962.00,1040.00,1040.00,0.00,0.00,0.00,2922.00,3962.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4729.00,784.00,784.00,0.00,0.00,0.00,3945.00,4729.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q4,62808.00,30756.00,30756.00,0.00,0.00,0.00,32052.00,62808.00
1987:Q1,60608.00,35432.00,35432.00,0.00,0.00,0.00,25176.00,60608.00
1987:Q2,60512.00,28648.00,28648.00,0.00,0.00,0.00,31864.00,60512.00
1987:Q3,60836.00,31388.00,31388.00,0.00,0.00,0.00,29448.00,60836.00
1987:Q4,61052.00,25604.00,25604.00,0.00,0.00,0.00,35448.00,61052.00
1988:Q1,60988.00,35324.00,35324.00,0.00,0.00,0.00,25664.00,60988.00
1988:Q2,61788.00,33148.00,33148.00,0.00,0.00,0.00,28640.00,61788.00
1988:Q3,63300.00,29460.00,29460.00,0.00,0.00,0.00,33840.00,63300.00
1988:Q4,64056.00,33184.00,33184.00,0.00,0.00,0.00,30872.00,64056.00
1989:Q1,63280.00,39832.00,39832.00,0.00,0.00,0.00,23448.00,63280.00
1989:Q2,64456.00,36492.00,36492.00,0.00,0.00,0.00,27964.00,64456.00
1989:Q3,65484.00,30532.00,30532.00,0.00,0.00,0.00,34952.00,65484.00
1989:Q4,65664.00,31373.00,31373.00,0.00,0.00,0.00,34291.00,65664.00
1990:Q1,64352.00,40548.00,40548.00,0.00,0.00,0.00,23804.00,64352.00
1990:Q2,65216.00,30473.00,30473.00,0.00,0.00,0.00,34743.00,65216.00
1990:Q3,66196.00,33640.00,33640.00,0.00,0.00,0.00,32556.00,66196.00
1990:Q4,66620.00,28754.00,28754.00,0.00,0.00,0.00,37866.00,66620.00
1991:Q1,65728.00,42303.00,42303.00,0.00,0.00,0.00,23425.00,65728.00
1991:Q2,67160.00,37651.00,37651.00,0.00,0.00,0.00,29509.00,67160.00
