1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q3,12256.00,6624.00,676.00,1120.00,-172.00,-28.00,1320.00,3836.00,15200.00,1092.00,12684.00,-532.00,13216.00,-524.00,13740.00,1424.00
2003:Q4,15068.00,2832.00,704.00,1952.00,60.00,140.00,1752.00,9580.00,39804.00,10944.00,22304.00,2668.00,19636.00,2000.00,17636.00,6556.00
2004:Q1,10436.00,2740.00,432.00,-504.00,-44.00,-248.00,-212.00,7768.00,28524.00,9784.00,21124.00,-1280.00,22404.00,5772.00,16632.00,-2384.00
2004:Q2,8348.00,104.00,260.00,500.00,-88.00,232.00,356.00,7484.00,34804.00,-1780.00,32260.00,7656.00,24604.00,3920.00,20684.00,4324.00
2004:Q3,4136.00,-3532.00,-264.00,520.00,8.00,-72.00,584.00,7412.00,38156.00,12712.00,20308.00,4480.00,15828.00,2364.00,13464.00,5136.00
2004:Q4,16220.00,3264.00,968.00,1764.00,4.00,-116.00,1876.00,10224.00,91640.00,36176.00,37172.00,-2000.00,39172.00,2260.00,36912.00,18292.00
2005:Q1,9928.00,3280.00,496.00,-1028.00,4.00,-136.00,-896.00,7180.00,29848.00,2564.00,33556.00,13260.00,20296.00,-88.00,20384.00,-6272.00
2005:Q2,17344.00,4088.00,1844.00,3164.00,0.00,84.00,3080.00,8248.00,52084.00,20280.00,25816.00,1252.00,24564.00,-456.00,25020.00,5988.00
2005:Q3,4888.00,1204.00,656.00,-276.00,-16.00,424.00,-684.00,3304.00,25296.00,1084.00,16944.00,1840.00,15104.00,2432.00,12672.00,7268.00
2005:Q4,-2668.00,-6300.00,1480.00,1340.00,0.00,144.00,1196.00,812.00,5796.00,7092.00,1664.00,5188.00,-3524.00,-2432.00,-1092.00,-2960.00
2006:Q1,1332.00,1884.00,-472.00,-760.00,-4.00,-268.00,-488.00,680.00,22876.00,-2640.00,21576.00,5000.00,16576.00,388.00,16188.00,3940.00
2006:Q2,10348.00,80.00,-272.00,672.00,72.00,88.00,512.00,9868.00,28664.00,9624.00,10368.00,-5304.00,15672.00,-968.00,16640.00,8672.00
2006:Q3,8036.00,5604.00,160.00,980.00,-28.00,44.00,964.00,1292.00,21020.00,10116.00,6184.00,792.00,5392.00,4108.00,1284.00,4720.00
2006:Q4,3484.00,8912.00,396.00,1312.00,4.00,236.00,1072.00,-7136.00,-39128.00,-13300.00,-25212.00,-13904.00,-11308.00,-2268.00,-9040.00,-616.00
2007:Q1,15796.00,10364.00,1556.00,5732.00,-72.00,-288.00,6092.00,-1856.00,15776.00,36640.00,-12448.00,3656.00,-16104.00,-836.00,-15268.00,-8416.00
