1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1341.00,662.00,0.00,17.00,231.00,261.00,0.00,0.00,0.00,153.00,0.00,0.00,77.00,19.00,38.00,58.00,0.00,0.00,0.00,194.00,17.00,177.00,101.00,101.00,0.00,0.00,0.00,0.00,0.00,203.00,0.00,3.00,200.00,0.00,0.00,0.00,234.00,211.00,23.00,-71.00,-71.00,-78.00,-78.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q1,-317.00,185.00,0.00,-14.00,101.00,-45.00,0.00,0.00,0.00,143.00,0.00,0.00,-26.00,-6.00,-44.00,12.00,0.00,0.00,0.00,42.00,5.00,37.00,-322.00,-322.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,1.00,34.00,0.00,0.00,0.00,-81.00,-73.00,-8.00,1.00,1.00,-145.00,-145.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q2,539.00,315.00,0.00,-16.00,69.00,73.00,0.00,0.00,0.00,189.00,0.00,0.00,-33.00,-9.00,-15.00,-27.00,0.00,0.00,0.00,39.00,5.00,34.00,64.00,64.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,1.00,34.00,0.00,0.00,0.00,149.00,134.00,15.00,32.00,32.00,-53.00,-53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q3,545.00,374.00,0.00,15.00,34.00,136.00,0.00,0.00,0.00,189.00,0.00,0.00,30.00,8.00,61.00,-23.00,0.00,0.00,0.00,36.00,0.00,36.00,62.00,62.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,0.00,-25.00,0.00,0.00,0.00,67.00,60.00,7.00,11.00,11.00,-18.00,-18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q4,668.00,114.00,0.00,36.00,23.00,158.00,0.00,0.00,0.00,-103.00,0.00,0.00,31.00,7.00,20.00,18.00,0.00,0.00,0.00,20.00,4.00,16.00,149.00,149.00,0.00,0.00,0.00,0.00,0.00,-23.00,0.00,-1.00,-22.00,0.00,0.00,0.00,296.00,266.00,30.00,37.00,37.00,37.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q1,58.00,-47.00,0.00,22.00,182.00,-225.00,0.00,0.00,0.00,-26.00,0.00,0.00,-30.00,-7.00,-22.00,-15.00,0.00,0.00,0.00,51.00,6.00,45.00,-253.00,-253.00,0.00,0.00,0.00,0.00,0.00,-87.00,0.00,-2.00,-85.00,0.00,0.00,0.00,245.00,221.00,25.00,163.00,163.00,23.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q2,326.00,7.00,4.00,14.00,6.00,-74.00,0.00,0.00,0.00,57.00,0.00,0.00,-22.00,-5.00,-32.00,5.00,0.00,0.00,0.00,53.00,5.00,48.00,107.00,107.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,2.00,37.00,0.00,0.00,0.00,56.00,50.00,6.00,189.00,189.00,-98.00,-98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q3,357.00,236.00,2.00,18.00,32.00,3.00,0.00,0.00,0.00,181.00,0.00,0.00,70.00,17.00,61.00,26.00,0.00,0.00,0.00,49.00,5.00,44.00,83.00,83.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,-1.00,-24.00,0.00,0.00,0.00,-32.00,-29.00,-3.00,-65.00,-65.00,24.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,85.00,-32.00,2.00,-51.00,66.00,-68.00,0.00,0.00,0.00,19.00,0.00,0.00,46.00,12.00,34.00,24.00,0.00,0.00,0.00,67.00,3.00,64.00,151.00,151.00,0.00,0.00,0.00,0.00,0.00,-137.00,0.00,-4.00,-133.00,0.00,0.00,0.00,-144.00,-130.00,-14.00,77.00,77.00,45.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q1,-134.00,-105.00,3.00,-43.00,136.00,-104.00,0.00,0.00,0.00,-97.00,0.00,0.00,6.00,1.00,26.00,-19.00,0.00,0.00,0.00,65.00,7.00,58.00,-322.00,-322.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,2.00,35.00,0.00,0.00,0.00,84.00,76.00,8.00,22.00,22.00,78.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q2,6.00,-356.00,3.00,-101.00,-21.00,-193.00,0.00,0.00,0.00,-44.00,0.00,0.00,7.00,2.00,1.00,8.00,0.00,0.00,0.00,65.00,5.00,60.00,45.00,45.00,0.00,0.00,0.00,0.00,0.00,71.00,0.00,3.00,68.00,0.00,0.00,0.00,-32.00,-29.00,-3.00,157.00,157.00,47.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
