1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q1,6.00,30.00,17892.00,-460.00,1443.00,430.00,83.00,14273.00,512.00,2948.00,1540.00,9273.00,-154.00,-7080.00,1214.00,8143.00,4008.00,0.00,6237.00,-2102.00,17915.00,8944.00,8948.00
1986:Q2,6.00,27.00,9675.00,-390.00,925.00,-90.00,249.00,-1326.00,629.00,-4650.00,-2409.00,5104.00,-870.00,412.00,477.00,10288.00,2904.00,0.00,6723.00,661.00,9696.00,7829.00,1846.00
1986:Q3,7.00,26.00,14622.00,-325.00,2733.00,679.00,344.00,8278.00,890.00,-1678.00,-747.00,9813.00,-383.00,-9924.00,485.00,12735.00,2434.00,5.00,7447.00,2849.00,14642.00,7277.00,7345.00
1986:Q4,7.00,27.00,25631.00,-204.00,5218.00,884.00,1010.00,-14517.00,1718.00,-12376.00,-6355.00,2496.00,-1354.00,3979.00,406.00,30209.00,4581.00,30.00,10385.00,15213.00,25651.00,7463.00,18168.00
1987:Q1,7.00,29.00,17939.00,-115.00,-3232.00,204.00,-187.00,3497.00,1530.00,166.00,2344.00,-543.00,-1159.00,11255.00,1373.00,6303.00,8688.00,300.00,-13527.00,10842.00,17961.00,8068.00,9871.00
1987:Q2,7.00,29.00,14890.00,-80.00,133.00,814.00,601.00,937.00,2741.00,-5713.00,7147.00,-3238.00,-788.00,-6097.00,906.00,18464.00,8182.00,450.00,9100.00,732.00,14911.00,9278.00,5612.00
1987:Q3,8.00,30.00,31247.00,-55.00,-2677.00,329.00,-57.00,6791.00,1983.00,2954.00,1809.00,45.00,-583.00,-7442.00,718.00,34223.00,8887.00,650.00,7008.00,17678.00,31269.00,10627.00,20620.00
1987:Q4,8.00,31.00,20919.00,-16.00,-5041.00,495.00,-780.00,5471.00,1003.00,2797.00,1823.00,-152.00,-520.00,2104.00,-399.00,19605.00,7786.00,108.00,35195.00,-23484.00,20942.00,11784.00,9135.00
1988:Q1,8.00,29.00,24977.00,200.00,392.00,618.00,5.00,-6365.00,-2516.00,-9447.00,8551.00,-2953.00,1409.00,12500.00,-616.00,16834.00,-66.00,-500.00,15219.00,2181.00,24998.00,12551.00,12426.00
1988:Q2,8.00,30.00,21064.00,600.00,6271.00,1181.00,1693.00,1159.00,-45.00,936.00,647.00,-379.00,1655.00,-1596.00,-324.00,10425.00,2042.00,-700.00,2285.00,6798.00,21086.00,13050.00,8014.00
1988:Q3,8.00,30.00,24273.00,1100.00,-117.00,482.00,-202.00,15565.00,-2596.00,9762.00,2461.00,5938.00,2714.00,-5290.00,-593.00,10614.00,-2943.00,-1250.00,3277.00,11530.00,24295.00,13179.00,11094.00
1988:Q4,8.00,30.00,25454.00,1011.00,4293.00,150.00,643.00,2770.00,-1333.00,-1528.00,2667.00,2964.00,2683.00,1210.00,849.00,11845.00,2831.00,1212.00,715.00,7087.00,25476.00,12710.00,12744.00
1989:Q1,8.00,32.00,19519.00,575.00,7575.00,785.00,988.00,2725.00,131.00,-8266.00,10804.00,56.00,964.00,-9468.00,977.00,14398.00,4200.00,1684.00,7698.00,816.00,19542.00,11810.00,7709.00
1989:Q2,9.00,32.00,18874.00,-50.00,7083.00,1172.00,446.00,11717.00,-535.00,5170.00,3623.00,3459.00,1642.00,-6370.00,1193.00,2041.00,2404.00,1859.00,5221.00,-7443.00,18897.00,11437.00,7437.00
1989:Q3,9.00,33.00,20879.00,-375.00,7091.00,200.00,1068.00,13233.00,74.00,5590.00,3851.00,3718.00,1807.00,-5317.00,1253.00,1919.00,3186.00,1899.00,7879.00,-11045.00,20903.00,11445.00,9434.00
1989:Q4,9.00,34.00,23193.00,-556.00,5715.00,1258.00,-271.00,16339.00,-1341.00,7180.00,5566.00,4934.00,2215.00,-12773.00,1687.00,9579.00,2514.00,1826.00,1790.00,3449.00,23217.00,11776.00,11417.00
1990:Q1,9.00,29.00,21799.00,-475.00,1596.00,971.00,40.00,4034.00,40.00,-11295.00,12515.00,2774.00,16.00,552.00,1745.00,13320.00,4256.00,1724.00,15243.00,-7903.00,21819.00,12089.00,9710.00
1990:Q2,9.00,29.00,11262.00,-400.00,-2723.00,-652.00,-351.00,17649.00,-351.00,5407.00,4977.00,7616.00,869.00,-3308.00,2259.00,-2081.00,227.00,1264.00,5501.00,-9073.00,11282.00,12829.00,-1567.00
1990:Q3,9.00,29.00,27269.00,150.00,-2168.00,-303.00,-357.00,10575.00,-357.00,3192.00,2732.00,5008.00,435.00,-2918.00,1137.00,20718.00,2879.00,1374.00,17234.00,-769.00,27289.00,13425.00,13844.00
1990:Q4,9.00,28.00,20251.00,-105.00,-888.00,456.00,-642.00,8211.00,-642.00,2554.00,1985.00,4314.00,287.00,5992.00,1721.00,5219.00,2285.00,1689.00,17206.00,-15961.00,20270.00,13625.00,6626.00
1991:Q1,9.00,23.00,25129.00,-85.00,-2586.00,-882.00,-379.00,13287.00,-379.00,-7555.00,13906.00,7315.00,-1510.00,5205.00,2583.00,9496.00,3655.00,2684.00,6028.00,-2871.00,25144.00,13304.00,11825.00
1991:Q2,9.00,23.00,30791.00,-85.00,2159.00,517.00,914.00,1127.00,914.00,-543.00,-2086.00,2842.00,-2011.00,4965.00,2835.00,20370.00,6235.00,3464.00,2895.00,7776.00,30805.00,13239.00,17552.00
1991:Q3,9.00,21.00,28620.00,-85.00,4593.00,1343.00,1432.00,13957.00,1432.00,2710.00,2934.00,6881.00,-1387.00,-2793.00,3051.00,8509.00,4579.00,3234.00,2381.00,-1685.00,28633.00,13019.00,15601.00
1991:Q4,9.00,21.00,29728.00,-91.00,1330.00,-288.00,1766.00,4245.00,1766.00,80.00,-1644.00,4043.00,-1767.00,4021.00,3445.00,17067.00,6292.00,2690.00,13361.00,-5276.00,29740.00,12579.00,17149.00
1992:Q1,7.00,19.00,26901.00,-48.00,-5049.00,104.00,-176.00,7176.00,-176.00,-10627.00,11376.00,6603.00,-983.00,-12776.00,7448.00,31205.00,3361.00,2410.00,37657.00,-12223.00,26913.00,12051.00,14850.00
