date,FA263192005.Q,FA263192101.Q,FA263192113.Q,FA263192125.Q,FA263192193.Q,FA263192305.Q,FA263192313.Q,FA263092313.Q,FA103092005.Q,FA263192193.Q,FA763092000.Q,FA513092003.Q,FA543092073.Q,FA613092003.Q,FA663092003.Q,FA103192005.Q,FA263092193.Q,FA115114005.Q,FA753192003.Q,FA513192003.Q,FA543192073.Q,FA613192003.Q,FA663192003.Q,FA503192003.Q,FA263092001.Q,FA263092101.Q,FA263092113.Q,FA263092125.Q,FA263092193.Q,FA263092303.Q,FA263092323.Q,FA263192323.Q,FA263192035.Q,FA263192101.Q,FA263192345.Q,FA263192313.Q,FA263192323.Q,FA263092035.Q,FA263092101.Q,FA263092345.Q,FA263092313.Q,FA263092323.Q
1958:Q2,1776.00,ND,ND,ND,ND,ND,ND,ND,1684.00,ND,12.00,8.00,16.00,24.00,32.00,48.00,ND,8.00,4.00,0.00,0.00,0.00,0.00,0.00,60.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,676.00,ND,ND,ND,ND,ND,ND,ND,580.00,ND,12.00,12.00,12.00,28.00,32.00,4.00,ND,8.00,4.00,0.00,0.00,0.00,0.00,0.00,16.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,1604.00,ND,ND,ND,ND,ND,ND,ND,1500.00,ND,16.00,8.00,16.00,32.00,32.00,196.00,ND,8.00,4.00,0.00,0.00,0.00,-8.00,0.00,200.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,1148.00,ND,ND,ND,ND,ND,ND,ND,1044.00,ND,12.00,12.00,16.00,28.00,36.00,208.00,ND,8.00,4.00,0.00,0.00,0.00,12.00,0.00,232.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,1768.00,ND,ND,ND,ND,ND,ND,ND,1660.00,ND,16.00,12.00,12.00,32.00,36.00,316.00,ND,12.00,12.00,4.00,4.00,4.00,8.00,0.00,360.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q3,896.00,ND,ND,ND,ND,ND,ND,ND,788.00,ND,12.00,12.00,16.00,32.00,36.00,204.00,ND,12.00,12.00,4.00,4.00,4.00,8.00,0.00,248.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,1676.00,ND,ND,ND,ND,ND,ND,ND,1560.00,ND,16.00,12.00,16.00,36.00,36.00,68.00,ND,12.00,20.00,4.00,4.00,0.00,4.00,0.00,112.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,2656.00,ND,ND,ND,ND,ND,ND,ND,2540.00,ND,16.00,12.00,16.00,32.00,40.00,296.00,ND,4.00,12.00,4.00,4.00,4.00,32.00,0.00,356.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,2344.00,ND,ND,ND,ND,ND,ND,ND,2232.00,ND,12.00,8.00,16.00,36.00,40.00,328.00,ND,4.00,20.00,8.00,8.00,8.00,32.00,0.00,408.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,3016.00,ND,ND,ND,ND,ND,ND,ND,2896.00,ND,16.00,12.00,16.00,36.00,40.00,292.00,ND,4.00,20.00,8.00,8.00,8.00,32.00,0.00,372.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q4,3744.00,ND,ND,ND,ND,ND,ND,ND,3612.00,ND,16.00,16.00,16.00,40.00,44.00,44.00,ND,8.00,20.00,8.00,8.00,8.00,28.00,0.00,124.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,3096.00,ND,ND,ND,ND,ND,ND,ND,2968.00,ND,16.00,12.00,16.00,40.00,44.00,208.00,ND,8.00,20.00,8.00,8.00,8.00,12.00,0.00,272.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q2,2204.00,ND,ND,ND,ND,ND,ND,ND,2068.00,ND,20.00,12.00,16.00,40.00,48.00,300.00,ND,12.00,12.00,4.00,4.00,4.00,8.00,0.00,344.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,2948.00,ND,ND,ND,ND,ND,ND,ND,2812.00,ND,16.00,12.00,16.00,44.00,48.00,188.00,ND,12.00,12.00,4.00,4.00,4.00,8.00,0.00,232.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,2368.00,ND,ND,ND,ND,ND,ND,ND,2228.00,ND,16.00,12.00,20.00,44.00,48.00,352.00,ND,12.00,12.00,4.00,4.00,4.00,8.00,0.00,396.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,2180.00,ND,ND,ND,ND,ND,ND,ND,2032.00,ND,20.00,16.00,16.00,44.00,52.00,308.00,ND,4.00,12.00,4.00,4.00,4.00,20.00,0.00,356.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q2,2864.00,ND,ND,ND,ND,ND,ND,ND,2716.00,ND,16.00,12.00,20.00,48.00,52.00,476.00,ND,4.00,12.00,4.00,4.00,4.00,16.00,0.00,520.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,3244.00,ND,ND,ND,ND,ND,ND,ND,3084.00,ND,20.00,16.00,20.00,48.00,56.00,196.00,ND,4.00,12.00,4.00,4.00,4.00,12.00,0.00,236.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,3116.00,ND,ND,ND,ND,ND,ND,ND,2960.00,ND,20.00,12.00,16.00,52.00,56.00,232.00,ND,4.00,12.00,4.00,4.00,4.00,12.00,0.00,272.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,3920.00,ND,ND,ND,ND,ND,ND,ND,3752.00,ND,20.00,16.00,20.00,52.00,60.00,148.00,ND,4.00,0.00,4.00,4.00,4.00,-4.00,0.00,160.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,3496.00,ND,ND,ND,ND,ND,ND,ND,3332.00,ND,20.00,12.00,20.00,52.00,60.00,432.00,ND,4.00,0.00,0.00,0.00,0.00,-4.00,0.00,432.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,2884.00,ND,ND,ND,ND,ND,ND,ND,2708.00,ND,20.00,16.00,20.00,56.00,64.00,420.00,ND,8.00,0.00,0.00,0.00,0.00,-8.00,0.00,420.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q4,3632.00,ND,ND,ND,ND,ND,ND,ND,3452.00,ND,20.00,16.00,20.00,60.00,64.00,-92.00,ND,8.00,0.00,0.00,0.00,4.00,-8.00,0.00,-88.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,3288.00,ND,ND,ND,ND,ND,ND,ND,3100.00,ND,24.00,16.00,20.00,60.00,68.00,332.00,ND,8.00,0.00,0.00,0.00,0.00,8.00,0.00,348.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,3880.00,ND,ND,ND,ND,ND,ND,ND,3696.00,ND,20.00,16.00,20.00,60.00,68.00,400.00,ND,8.00,8.00,4.00,4.00,4.00,8.00,0.00,436.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q3,4068.00,ND,ND,ND,ND,ND,ND,ND,3868.00,ND,24.00,16.00,24.00,64.00,72.00,188.00,ND,8.00,8.00,4.00,4.00,4.00,8.00,0.00,224.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q4,3796.00,ND,ND,ND,ND,ND,ND,ND,3596.00,ND,20.00,16.00,20.00,68.00,76.00,244.00,ND,8.00,8.00,4.00,4.00,4.00,8.00,0.00,280.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,6424.00,ND,ND,ND,ND,ND,ND,ND,6216.00,ND,24.00,16.00,24.00,68.00,76.00,764.00,ND,8.00,-12.00,4.00,4.00,4.00,-36.00,0.00,736.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q2,5000.00,ND,ND,ND,ND,ND,ND,ND,4788.00,ND,24.00,16.00,20.00,72.00,80.00,-32.00,ND,8.00,-12.00,-4.00,-4.00,-4.00,-36.00,0.00,-84.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q3,4120.00,ND,ND,ND,ND,ND,ND,ND,3896.00,ND,28.00,16.00,24.00,72.00,84.00,640.00,ND,12.00,-12.00,-4.00,-4.00,-4.00,-40.00,0.00,588.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q4,4500.00,ND,ND,ND,ND,ND,ND,ND,4272.00,ND,24.00,20.00,24.00,76.00,84.00,472.00,ND,12.00,-12.00,-8.00,-8.00,0.00,-40.00,0.00,416.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q1,4460.00,ND,ND,ND,ND,ND,ND,ND,4224.00,ND,28.00,16.00,24.00,80.00,88.00,508.00,ND,4.00,16.00,8.00,8.00,-4.00,32.00,0.00,572.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q2,5492.00,ND,ND,ND,ND,ND,ND,ND,5252.00,ND,24.00,20.00,24.00,80.00,92.00,464.00,ND,4.00,16.00,8.00,8.00,4.00,28.00,0.00,532.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q3,5256.00,ND,ND,ND,ND,ND,ND,ND,5008.00,ND,28.00,16.00,24.00,84.00,96.00,-216.00,ND,4.00,16.00,8.00,8.00,4.00,28.00,0.00,-148.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q4,6464.00,ND,ND,ND,ND,ND,ND,ND,6208.00,ND,28.00,20.00,24.00,88.00,96.00,680.00,ND,4.00,16.00,8.00,8.00,4.00,28.00,0.00,748.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q1,4744.00,ND,ND,ND,ND,ND,ND,ND,4500.00,ND,76.00,76.00,32.00,28.00,32.00,636.00,ND,16.00,16.00,8.00,8.00,4.00,-12.00,0.00,676.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q2,3856.00,ND,ND,ND,ND,ND,ND,ND,3600.00,ND,76.00,80.00,36.00,28.00,36.00,672.00,ND,20.00,8.00,4.00,4.00,4.00,-16.00,0.00,696.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,5436.00,ND,ND,ND,ND,ND,ND,ND,5168.00,ND,84.00,84.00,36.00,32.00,32.00,484.00,ND,20.00,8.00,4.00,4.00,4.00,-16.00,0.00,508.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q4,5188.00,ND,ND,ND,ND,ND,ND,ND,4908.00,ND,92.00,92.00,32.00,28.00,36.00,892.00,ND,20.00,8.00,4.00,4.00,0.00,-16.00,0.00,912.00,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
