1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,139010.00,91.00,43889.00,900.00,0.00,0.00,19587.00,90.00,18653.00,0.00,844.00,8497.00,26.00,8471.00,0.00,48938.00,12567.00,4541.00,170785.00,40061.00,269.00,0.00,39792.00,63745.00,26748.00,7785.00,29212.00,41423.00,20537.00,2660.00,2359.00
1952:Q1,138829.00,84.00,42559.00,900.00,0.00,0.00,18825.00,138.00,17862.00,0.00,825.00,7714.00,27.00,7687.00,0.00,51136.00,12945.00,4666.00,169483.00,41201.00,328.00,0.00,40873.00,64031.00,26521.00,7782.00,29728.00,40120.00,18812.00,2716.00,2602.00
1952:Q2,138734.00,102.00,43742.00,900.00,0.00,0.00,17555.00,432.00,16635.00,0.00,488.00,8456.00,28.00,8428.00,0.00,49793.00,13529.00,4657.00,167770.00,42647.00,304.00,0.00,42343.00,64726.00,26432.00,8004.00,30290.00,38081.00,16610.00,2786.00,2920.00
1952:Q3,144368.00,98.00,44088.00,900.00,0.00,0.00,18007.00,411.00,17018.00,0.00,578.00,8625.00,29.00,8596.00,0.00,53946.00,13827.00,4877.00,173699.00,43816.00,346.00,0.00,43470.00,65875.00,26920.00,8156.00,30799.00,40798.00,17238.00,2833.00,3139.00
1952:Q4,146531.00,75.00,44205.00,900.00,0.00,0.00,18655.00,195.00,17647.00,0.00,813.00,9751.00,30.00,9721.00,0.00,53704.00,14261.00,4980.00,178694.00,44828.00,331.00,0.00,44497.00,67709.00,27923.00,8508.00,31278.00,42770.00,17381.00,2890.00,3116.00
1953:Q1,145725.00,102.00,41076.00,900.00,0.00,0.00,19241.00,212.00,18164.00,0.00,865.00,8860.00,31.00,8829.00,0.00,55719.00,14635.00,5192.00,177934.00,45627.00,370.00,0.00,45257.00,68479.00,27901.00,8848.00,31730.00,41950.00,16007.00,2976.00,2895.00
1953:Q2,146304.00,74.00,43125.00,900.00,0.00,0.00,17581.00,194.00,16454.00,0.00,933.00,9337.00,32.00,9305.00,0.00,54869.00,15058.00,5360.00,179576.00,46567.00,297.00,0.00,46270.00,69241.00,27704.00,9232.00,32305.00,42373.00,15201.00,3002.00,3192.00
1953:Q3,150423.00,85.00,43237.00,900.00,0.00,0.00,19467.00,214.00,18232.00,0.00,1021.00,9249.00,32.00,9217.00,0.00,56411.00,15424.00,5650.00,184634.00,47147.00,347.00,0.00,46800.00,70179.00,28130.00,9286.00,32763.00,43491.00,17399.00,3084.00,3334.00
1953:Q4,150165.00,114.00,43921.00,900.00,0.00,0.00,20449.00,204.00,19240.00,0.00,1005.00,10139.00,32.00,10107.00,0.00,53254.00,15735.00,5653.00,184854.00,48414.00,402.00,0.00,48012.00,69195.00,26851.00,9054.00,33290.00,42854.00,17986.00,3157.00,3248.00
1954:Q1,146574.00,115.00,41140.00,950.00,0.00,0.00,19162.00,312.00,17887.00,0.00,963.00,8942.00,32.00,8910.00,0.00,54376.00,16031.00,5858.00,181140.00,49314.00,525.00,0.00,48789.00,69655.00,26615.00,9294.00,33746.00,41573.00,14340.00,3227.00,3031.00
1954:Q2,145989.00,128.00,42914.00,1000.00,0.00,0.00,16134.00,338.00,14874.00,0.00,922.00,9424.00,32.00,9392.00,0.00,54050.00,16440.00,5899.00,180083.00,50208.00,484.00,0.00,49724.00,69851.00,26209.00,9212.00,34430.00,41978.00,11324.00,3320.00,3402.00
1954:Q3,151829.00,150.00,44460.00,1050.00,0.00,0.00,17663.00,300.00,16366.00,0.00,997.00,9302.00,32.00,9270.00,0.00,56508.00,16649.00,6047.00,186497.00,51583.00,584.00,0.00,50999.00,70468.00,26302.00,9142.00,35024.00,44156.00,13163.00,3409.00,3718.00
1954:Q4,156305.00,158.00,46132.00,1100.00,0.00,0.00,18786.00,291.00,17523.00,0.00,972.00,10486.00,33.00,10453.00,0.00,56580.00,17036.00,6027.00,192374.00,52078.00,531.00,0.00,51547.00,71680.00,26422.00,9446.00,35812.00,46630.00,14767.00,3399.00,3820.00
1955:Q1,157657.00,147.00,44704.00,1075.00,0.00,0.00,19039.00,281.00,17543.00,150.00,1065.00,9335.00,36.00,9299.00,0.00,59761.00,17331.00,6265.00,192272.00,52555.00,500.00,0.00,52055.00,72767.00,26770.00,9419.00,36578.00,46827.00,12936.00,3496.00,3691.00
1955:Q2,160475.00,127.00,45722.00,1050.00,0.00,0.00,18399.00,352.00,16788.00,200.00,1059.00,10017.00,40.00,9977.00,0.00,60859.00,17837.00,6464.00,197458.00,53159.00,380.00,0.00,52779.00,75533.00,28158.00,9711.00,37664.00,48881.00,12026.00,3606.00,4253.00
1955:Q3,167992.00,123.00,46338.00,1025.00,0.00,0.00,20323.00,245.00,18619.00,250.00,1209.00,10090.00,44.00,10046.00,0.00,65275.00,18200.00,6618.00,208174.00,53624.00,371.00,0.00,53253.00,77743.00,29479.00,9662.00,38602.00,53396.00,15248.00,3693.00,4470.00
1955:Q4,174076.00,129.00,47377.00,1000.00,0.00,0.00,23017.00,217.00,21281.00,300.00,1219.00,11290.00,47.00,11243.00,0.00,65916.00,18720.00,6627.00,219797.00,54926.00,362.00,0.00,54564.00,81128.00,31399.00,10008.00,39721.00,57110.00,18430.00,3725.00,4478.00
1956:Q1,170862.00,95.00,44282.00,1000.00,0.00,0.00,20868.00,171.00,18878.00,325.00,1494.00,10136.00,49.00,10087.00,0.00,68043.00,19286.00,7152.00,218257.00,55348.00,362.00,0.00,54986.00,83709.00,32877.00,10368.00,40464.00,56278.00,15133.00,3834.00,3955.00
1956:Q2,171036.00,141.00,45140.00,1000.00,0.00,0.00,17675.00,325.00,15667.00,350.00,1333.00,10642.00,50.00,10592.00,0.00,69280.00,19961.00,7197.00,221493.00,56235.00,289.00,0.00,55946.00,86655.00,34824.00,10402.00,41429.00,58265.00,12175.00,3932.00,4231.00
1956:Q3,176239.00,119.00,45473.00,1000.00,0.00,0.00,17616.00,371.00,15575.00,375.00,1295.00,10708.00,51.00,10657.00,0.00,73252.00,20799.00,7272.00,228757.00,57414.00,401.00,0.00,57013.00,88251.00,35896.00,10212.00,42143.00,60470.00,14259.00,4017.00,4346.00
1956:Q4,180794.00,138.00,47263.00,1000.00,0.00,0.00,18765.00,305.00,16718.00,400.00,1342.00,11762.00,54.00,11708.00,0.00,72860.00,21740.00,7266.00,236098.00,58418.00,378.00,0.00,58040.00,90472.00,37026.00,10605.00,42841.00,62156.00,16754.00,4085.00,4213.00
1957:Q1,179674.00,198.00,44792.00,1000.00,0.00,0.00,18440.00,355.00,16166.00,500.00,1419.00,10357.00,58.00,10299.00,0.00,74943.00,22352.00,7592.00,235457.00,59863.00,353.00,0.00,59510.00,91927.00,37091.00,11275.00,43561.00,61440.00,14218.00,4128.00,3881.00
1957:Q2,179931.00,176.00,45624.00,1000.00,0.00,0.00,16579.00,349.00,14227.00,600.00,1403.00,11021.00,63.00,10958.00,0.00,74313.00,23597.00,7621.00,237039.00,61295.00,320.00,0.00,60975.00,94378.00,38707.00,11387.00,44284.00,61108.00,11957.00,4186.00,4115.00
1957:Q3,183839.00,153.00,46414.00,1000.00,0.00,0.00,17328.00,345.00,14773.00,700.00,1510.00,10907.00,68.00,10839.00,0.00,76095.00,24042.00,7900.00,242243.00,62852.00,364.00,0.00,62488.00,95057.00,38469.00,11554.00,45034.00,62306.00,13511.00,4197.00,4320.00
1957:Q4,185636.00,131.00,47970.00,1000.00,0.00,0.00,18303.00,435.00,15589.00,800.00,1479.00,11844.00,72.00,11772.00,0.00,73814.00,24524.00,8050.00,248267.00,64494.00,422.00,0.00,64072.00,96516.00,38703.00,11898.00,45915.00,64041.00,14621.00,4351.00,4244.00
1958:Q1,183484.00,160.00,45295.00,1550.00,0.00,0.00,17057.00,746.00,14394.00,700.00,1217.00,10214.00,76.00,10138.00,0.00,76167.00,24843.00,8198.00,244158.00,66653.00,716.00,0.00,65937.00,96544.00,37417.00,12567.00,46560.00,61239.00,11495.00,4438.00,3789.00
1958:Q2,185322.00,132.00,47104.00,2100.00,0.00,0.00,14977.00,455.00,12340.00,500.00,1682.00,10732.00,80.00,10652.00,0.00,76222.00,25469.00,8586.00,245691.00,67808.00,791.00,0.00,67017.00,97697.00,37785.00,12351.00,47561.00,62730.00,8991.00,4535.00,3930.00
1958:Q3,193478.00,172.00,48588.00,2000.00,0.00,0.00,15928.00,224.00,13175.00,550.00,1979.00,10859.00,84.00,10775.00,0.00,81327.00,25837.00,8767.00,253215.00,69258.00,795.00,0.00,68463.00,98329.00,37632.00,11887.00,48810.00,66257.00,10322.00,4626.00,4423.00
1958:Q4,199948.00,149.00,50622.00,1900.00,0.00,0.00,18860.00,210.00,16092.00,600.00,1958.00,12010.00,87.00,11923.00,0.00,81217.00,26443.00,8747.00,262772.00,70373.00,658.00,0.00,69715.00,101772.00,38938.00,12344.00,50490.00,69367.00,12026.00,4635.00,4599.00
1959:Q1,200952.00,143.00,47640.00,1800.00,0.00,0.00,20440.00,502.00,17280.00,700.00,1958.00,10954.00,74.00,10880.00,0.00,83580.00,26979.00,9416.00,265475.00,70959.00,652.00,0.00,70307.00,103536.00,38811.00,13174.00,51551.00,69918.00,11682.00,4764.00,4616.00
1959:Q2,205954.00,137.00,48115.00,1700.00,0.00,0.00,21635.00,622.00,18104.00,900.00,2009.00,11636.00,62.00,11574.00,0.00,85131.00,27750.00,9850.00,273884.00,71627.00,458.00,0.00,71169.00,108324.00,41393.00,13867.00,53064.00,71759.00,12591.00,4920.00,4662.00
1959:Q3,209805.00,145.00,47069.00,1600.00,0.00,0.00,24006.00,240.00,20311.00,1000.00,2455.00,11497.00,21.00,11476.00,0.00,87132.00,28249.00,10107.00,278072.00,72264.00,527.00,0.00,71737.00,110249.00,42293.00,13634.00,54322.00,72425.00,13275.00,5038.00,4821.00
1959:Q4,212907.00,132.00,48131.00,1500.00,0.00,0.00,25357.00,742.00,21621.00,1200.00,1794.00,13564.00,21.00,13543.00,0.00,85620.00,28752.00,9851.00,285326.00,73109.00,315.00,0.00,72794.00,113785.00,43782.00,14194.00,55809.00,74273.00,14150.00,5065.00,4944.00
1960:Q1,212420.00,121.00,45208.00,1268.00,0.00,0.00,24375.00,740.00,19986.00,1200.00,2449.00,11204.00,22.00,11182.00,0.00,89703.00,29312.00,11229.00,288211.00,73643.00,427.00,0.00,73216.00,116521.00,44441.00,15471.00,56609.00,75267.00,12817.00,5158.00,4805.00
1960:Q2,211708.00,140.00,46020.00,1087.00,0.00,0.00,22526.00,757.00,18247.00,1343.00,2179.00,12069.00,23.00,12046.00,0.00,89475.00,29641.00,10750.00,292434.00,74654.00,547.00,0.00,74107.00,119951.00,45706.00,16311.00,57934.00,75822.00,11903.00,5214.00,4890.00
1960:Q3,214011.00,191.00,46081.00,1346.00,0.00,0.00,20832.00,648.00,16446.00,1190.00,2548.00,11704.00,24.00,11680.00,0.00,92565.00,29976.00,11316.00,295382.00,75671.00,782.00,0.00,74889.00,120624.00,45424.00,15913.00,59287.00,77062.00,11795.00,5296.00,4934.00
1960:Q4,215357.00,148.00,46486.00,3000.00,0.00,0.00,20038.00,788.00,15752.00,1116.00,2382.00,12849.00,24.00,12825.00,0.00,90865.00,30670.00,11301.00,301200.00,76985.00,769.00,0.00,76216.00,123631.00,46509.00,16555.00,60567.00,77704.00,12560.00,5318.00,5002.00
1961:Q1,214258.00,189.00,44677.00,3272.00,0.00,0.00,19503.00,562.00,15225.00,936.00,2780.00,10586.00,26.00,10560.00,0.00,92944.00,31393.00,11694.00,300879.00,77200.00,623.00,0.00,76577.00,125232.00,46612.00,16651.00,61969.00,77031.00,10921.00,5395.00,5100.00
1961:Q2,220192.00,213.00,46035.00,3863.00,0.00,0.00,19264.00,613.00,14636.00,1233.00,2782.00,11337.00,28.00,11309.00,0.00,95241.00,32079.00,12160.00,305880.00,79256.00,726.00,0.00,78530.00,127142.00,46557.00,16850.00,63735.00,78144.00,10584.00,5501.00,5253.00
1961:Q3,224340.00,238.00,46242.00,4606.00,0.00,0.00,17972.00,245.00,13288.00,1248.00,3191.00,11417.00,30.00,11387.00,0.00,99027.00,32846.00,11992.00,311304.00,80254.00,1017.00,0.00,79237.00,128724.00,46529.00,16604.00,65591.00,79751.00,11557.00,5557.00,5461.00
1961:Q4,228661.00,236.00,50046.00,4100.00,0.00,0.00,18828.00,1089.00,14096.00,1248.00,2395.00,12780.00,33.00,12747.00,0.00,97157.00,33387.00,12127.00,320070.00,81705.00,1094.00,0.00,80611.00,132999.00,48044.00,17234.00,67721.00,80981.00,13274.00,5446.00,5665.00
1962:Q1,228977.00,234.00,46599.00,5395.00,0.00,0.00,19393.00,562.00,14217.00,1238.00,3376.00,11346.00,38.00,11308.00,31.00,99050.00,33854.00,13075.00,321829.00,82568.00,1131.00,0.00,81437.00,134712.00,47706.00,17634.00,69372.00,80318.00,12916.00,5491.00,5824.00
1962:Q2,231796.00,296.00,47866.00,5554.00,0.00,0.00,18221.00,907.00,13061.00,1184.00,3069.00,12470.00,44.00,12426.00,82.00,99621.00,34525.00,13161.00,328516.00,84073.00,1092.00,0.00,82981.00,139101.00,49621.00,17974.00,71506.00,80785.00,13001.00,5579.00,5977.00
1962:Q3,236346.00,788.00,48647.00,4903.00,0.00,0.00,17088.00,1079.00,11645.00,1308.00,3056.00,12503.00,50.00,12453.00,134.00,103642.00,35133.00,13508.00,335603.00,84921.00,1363.00,0.00,83558.00,141501.00,50377.00,17576.00,73548.00,83464.00,13996.00,5636.00,6085.00
1962:Q4,240542.00,790.00,52949.00,5000.00,0.00,0.00,17583.00,1304.00,12307.00,1275.00,2697.00,13759.00,54.00,13705.00,168.00,101234.00,35793.00,13266.00,342964.00,85841.00,1198.00,0.00,84643.00,146927.00,52799.00,18074.00,76054.00,83829.00,14355.00,5837.00,6175.00
1963:Q1,241307.00,828.00,46130.00,5344.00,0.00,0.00,21755.00,1092.00,16367.00,930.00,3366.00,12372.00,56.00,12316.00,187.00,103764.00,36685.00,14242.00,345581.00,86793.00,1214.00,0.00,85579.00,149141.00,52374.00,18981.00,77786.00,83739.00,13596.00,5899.00,6413.00
1963:Q2,246087.00,1065.00,47496.00,5160.00,0.00,0.00,21340.00,1008.00,15252.00,1314.00,3766.00,13313.00,56.00,13257.00,193.00,104997.00,37577.00,14946.00,352850.00,87682.00,987.00,0.00,86695.00,153881.00,53990.00,19485.00,80406.00,84893.00,13743.00,6035.00,6616.00
1963:Q3,250757.00,1000.00,48087.00,5117.00,0.00,0.00,21017.00,445.00,14602.00,1399.00,4571.00,13536.00,56.00,13480.00,195.00,108117.00,38183.00,15505.00,359197.00,88336.00,1111.00,0.00,87225.00,156338.00,54350.00,19155.00,82833.00,86850.00,14713.00,6159.00,6801.00
1963:Q4,255860.00,731.00,51672.00,5687.00,0.00,0.00,21492.00,969.00,15128.00,1608.00,3787.00,14958.00,60.00,14898.00,203.00,107041.00,39081.00,14995.00,370905.00,89382.00,968.00,0.00,88414.00,162774.00,57354.00,20005.00,85415.00,89832.00,15744.00,6024.00,7149.00
1964:Q1,255877.00,867.00,47100.00,6724.00,0.00,68.00,22638.00,1341.00,16148.00,1325.00,3824.00,13830.00,65.00,13765.00,214.00,108741.00,39821.00,15874.00,371311.00,90039.00,948.00,0.00,89091.00,165470.00,56947.00,21300.00,87223.00,87197.00,15109.00,6112.00,7384.00
1964:Q2,260908.00,978.00,49093.00,6452.00,0.00,169.00,22000.00,1058.00,15240.00,1364.00,4338.00,14509.00,72.00,14437.00,225.00,110307.00,40774.00,16401.00,379697.00,91251.00,889.00,0.00,90362.00,171126.00,59081.00,22238.00,89807.00,88767.00,14675.00,6221.00,7657.00
1964:Q3,267366.00,1243.00,49324.00,6309.00,0.00,135.00,21074.00,1729.00,14402.00,1152.00,3791.00,14697.00,79.00,14618.00,238.00,115925.00,41684.00,16737.00,387894.00,92139.00,1081.00,0.00,91058.00,174510.00,59824.00,22186.00,92500.00,91741.00,15338.00,6276.00,7890.00
1964:Q4,271311.00,1097.00,51099.00,6671.00,0.00,309.00,20855.00,1694.00,14481.00,1000.00,3680.00,16144.00,84.00,16060.00,253.00,115728.00,42632.00,16523.00,400987.00,93533.00,1125.00,0.00,92408.00,180659.00,62741.00,22589.00,95329.00,96243.00,16211.00,6213.00,8128.00
1965:Q1,273975.00,1033.00,47791.00,7704.00,0.00,280.00,21054.00,995.00,14092.00,1078.00,4889.00,14988.00,86.00,14902.00,270.00,119045.00,44164.00,17646.00,407984.00,94189.00,847.00,0.00,93342.00,186459.00,65429.00,23762.00,97268.00,96696.00,15891.00,6388.00,8361.00
1965:Q2,279556.00,822.00,48636.00,8601.00,0.00,198.00,19512.00,678.00,12320.00,1059.00,5455.00,15787.00,86.00,15701.00,289.00,121892.00,45578.00,18241.00,418753.00,95668.00,727.00,0.00,94941.00,193712.00,69066.00,24750.00,99896.00,99061.00,15316.00,6393.00,8603.00
1965:Q3,285837.00,892.00,47724.00,9212.00,0.00,336.00,19162.00,893.00,11829.00,1254.00,5186.00,15801.00,86.00,15715.00,309.00,127680.00,46527.00,18194.00,429023.00,97560.00,926.00,0.00,96634.00,197283.00,70461.00,24420.00,102402.00,102441.00,16329.00,6558.00,8852.00
1965:Q4,299375.00,781.00,51532.00,8993.00,0.00,593.00,19756.00,1370.00,12548.00,1238.00,4600.00,17354.00,88.00,17266.00,330.00,128822.00,53344.00,17870.00,445406.00,98057.00,797.00,0.00,97260.00,205730.00,75187.00,25589.00,104954.00,107616.00,18294.00,6624.00,9085.00
1966:Q1,301950.00,884.00,46430.00,9886.00,0.00,512.00,20617.00,2375.00,12958.00,1216.00,4068.00,15966.00,93.00,15873.00,351.00,132773.00,54309.00,20222.00,453366.00,101043.00,820.00,0.00,100223.00,211557.00,76787.00,27139.00,107631.00,106556.00,18132.00,6762.00,9316.00
1966:Q2,307302.00,917.00,47225.00,9708.00,0.00,439.00,19245.00,2473.00,11330.00,1382.00,4060.00,16721.00,100.00,16621.00,370.00,136705.00,55794.00,20178.00,464656.00,103651.00,861.00,0.00,102790.00,220852.00,82205.00,27890.00,110757.00,108203.00,15594.00,6862.00,9494.00
1966:Q3,311981.00,932.00,46088.00,9774.00,0.00,481.00,18339.00,1952.00,10774.00,1107.00,4506.00,16285.00,108.00,16177.00,393.00,142709.00,56929.00,20051.00,474873.00,106689.00,1466.00,0.00,105223.00,223621.00,83409.00,27016.00,113196.00,111599.00,16562.00,6827.00,9575.00
1966:Q4,314808.00,885.00,50850.00,8603.00,0.00,895.00,18572.00,2852.00,11054.00,1027.00,3639.00,17499.00,114.00,17385.00,425.00,141759.00,56731.00,18589.00,488077.00,109096.00,1622.00,0.00,107474.00,229106.00,86011.00,28043.00,115052.00,115648.00,17414.00,7143.00,9670.00
1967:Q1,313795.00,951.00,47769.00,9556.00,0.00,568.00,18078.00,3495.00,10445.00,793.00,3345.00,16163.00,115.00,16048.00,469.00,142910.00,58053.00,19278.00,491157.00,113294.00,2677.00,0.00,110617.00,232470.00,86646.00,29106.00,116718.00,111512.00,16730.00,7341.00,9810.00
1967:Q2,315100.00,843.00,49713.00,8777.00,0.00,667.00,15334.00,3418.00,7908.00,686.00,3322.00,16736.00,113.00,16623.00,523.00,144541.00,58881.00,19085.00,498027.00,117478.00,3242.00,0.00,114236.00,239073.00,90555.00,29103.00,119415.00,112750.00,11296.00,7560.00,9870.00
1967:Q3,322432.00,827.00,50881.00,9099.00,0.00,605.00,15043.00,3916.00,7337.00,684.00,3106.00,16433.00,111.00,16322.00,581.00,149272.00,60053.00,19638.00,507995.00,122009.00,3264.00,0.00,118745.00,240376.00,89703.00,28592.00,122081.00,115822.00,11866.00,7702.00,10220.00
1967:Q4,333882.00,1055.00,53442.00,9682.00,0.00,670.00,16971.00,3952.00,8714.00,1005.00,3300.00,17665.00,112.00,17553.00,635.00,150620.00,63037.00,20105.00,526383.00,125166.00,3034.00,0.00,122132.00,245690.00,93926.00,29354.00,122410.00,121481.00,13225.00,7810.00,13011.00
1968:Q1,337971.00,1357.00,51875.00,9375.00,0.00,1103.00,19393.00,3819.00,10100.00,1184.00,4290.00,16322.00,106.00,16216.00,692.00,152301.00,64147.00,21406.00,535241.00,128216.00,3482.00,0.00,124734.00,251792.00,93860.00,30845.00,127087.00,118270.00,17667.00,8165.00,11131.00
1968:Q2,345072.00,1749.00,53716.00,8129.00,0.00,1067.00,18504.00,4603.00,8827.00,1333.00,3741.00,16821.00,104.00,16717.00,759.00,157433.00,65433.00,21461.00,547671.00,131662.00,3400.00,0.00,128262.00,259927.00,98466.00,31458.00,130003.00,123060.00,13031.00,8302.00,11689.00
1968:Q3,352468.00,1832.00,53608.00,8539.00,0.00,1021.00,17765.00,5071.00,8129.00,1364.00,3201.00,16219.00,103.00,16116.00,816.00,164757.00,67032.00,20879.00,562574.00,136491.00,4928.00,0.00,131563.00,262850.00,98964.00,30969.00,132917.00,129520.00,12930.00,8424.00,12359.00
1968:Q4,366768.00,1587.00,56330.00,9056.00,0.00,1121.00,19574.00,5099.00,9259.00,1434.00,3782.00,17748.00,100.00,17648.00,845.00,167778.00,70780.00,21949.00,584401.00,139274.00,4249.00,0.00,135025.00,273382.00,105226.00,31869.00,136287.00,135823.00,14330.00,8484.00,13108.00
1969:Q1,375263.00,1856.00,55582.00,7692.00,0.00,2202.00,21326.00,6207.00,9749.00,1770.00,3600.00,16455.00,123.00,16332.00,845.00,173398.00,72317.00,23590.00,596954.00,143342.00,4880.00,0.00,138462.00,279467.00,107267.00,33473.00,138727.00,136029.00,15517.00,8797.00,13802.00
1969:Q2,383742.00,1809.00,59401.00,4593.00,0.00,1946.00,20056.00,6806.00,8349.00,1601.00,3300.00,16993.00,260.00,16733.00,816.00,179753.00,74151.00,24224.00,615760.00,146657.00,4914.00,0.00,141743.00,291858.00,112791.00,37248.00,141819.00,141510.00,12220.00,9019.00,14496.00
1969:Q3,392360.00,1618.00,59962.00,3525.00,0.00,2868.00,18061.00,7206.00,6236.00,1569.00,3050.00,16936.00,401.00,16535.00,777.00,188378.00,75781.00,24454.00,633656.00,150245.00,5778.00,0.00,144467.00,298221.00,112803.00,40730.00,144688.00,148246.00,12507.00,9267.00,15170.00
1969:Q4,402953.00,1173.00,62014.00,3652.00,0.00,3311.00,18250.00,7628.00,6146.00,1676.00,2800.00,18275.00,536.00,17739.00,745.00,191056.00,79799.00,24678.00,655004.00,152356.00,5356.00,0.00,147000.00,308428.00,117529.00,42700.00,148199.00,155969.00,12628.00,9846.00,15777.00
1970:Q1,407664.00,1172.00,59610.00,4548.00,0.00,3762.00,18112.00,8156.00,5805.00,1476.00,2675.00,17013.00,594.00,16419.00,719.00,195275.00,81920.00,25533.00,661795.00,157113.00,7044.00,0.00,150069.00,316182.00,115359.00,46981.00,153842.00,153732.00,12846.00,10443.00,11479.00
1970:Q2,413256.00,1220.00,58343.00,5911.00,0.00,1259.00,19633.00,8432.00,6665.00,1486.00,3050.00,17475.00,702.00,16773.00,688.00,197535.00,84423.00,26769.00,679638.00,162692.00,6895.00,0.00,155797.00,327876.00,119288.00,50168.00,158420.00,156807.00,10054.00,10672.00,11537.00
1970:Q3,417441.00,1141.00,59494.00,6325.00,0.00,63.00,19138.00,8433.00,7616.00,1164.00,1925.00,18067.00,808.00,17259.00,662.00,199986.00,86057.00,26508.00,692675.00,168518.00,7361.00,0.00,161157.00,332289.00,121158.00,46928.00,164203.00,158690.00,10159.00,11043.00,11976.00
1970:Q4,426272.00,798.00,63075.00,6747.00,0.00,234.00,19756.00,9389.00,6983.00,1209.00,2175.00,19405.00,914.00,18491.00,645.00,198012.00,90606.00,26994.00,709011.00,173889.00,7133.00,0.00,166756.00,338052.00,123984.00,44670.00,169398.00,163157.00,9996.00,11362.00,12555.00
1971:Q1,435641.00,1082.00,59004.00,9344.00,0.00,1318.00,19913.00,9954.00,6485.00,1049.00,2425.00,20318.00,1194.00,19124.00,645.00,201580.00,89150.00,33287.00,722146.00,180555.00,8333.00,0.00,172222.00,341947.00,122523.00,46084.00,173340.00,162892.00,11698.00,11571.00,13483.00
1971:Q2,445734.00,1102.00,59756.00,11024.00,0.00,6.00,21325.00,9791.00,7930.00,929.00,2675.00,21195.00,1474.00,19721.00,659.00,204744.00,91419.00,34504.00,740509.00,184497.00,6856.00,20.00,177621.00,355079.00,126387.00,48116.00,180576.00,164447.00,11110.00,11726.00,13650.00
