1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1997:Q2,645177.00,750.00,12557.00,123859.00,17470.00,23128.00,19090.00,931.00,63240.00,6932.00,2434.00,4498.00,103727.00,345345.00,52007.00,651186.00,58598.00,415112.00,177476.00
1997:Q3,694516.00,673.00,12012.00,127231.00,18287.00,23699.00,19543.00,955.00,64747.00,7111.00,2475.00,4636.00,112674.00,388010.00,46805.00,699185.00,62563.00,451936.00,184686.00
1997:Q4,727944.00,1462.00,12272.00,127826.00,17486.00,24019.00,19787.00,968.00,65566.00,7321.00,2480.00,4841.00,113498.00,395617.00,69948.00,737483.00,62813.00,453384.00,221286.00
1998:Q1,811751.00,1630.00,12665.00,133700.00,19499.00,23577.00,21090.00,1024.00,68510.00,8163.00,2765.00,5398.00,126730.00,456158.00,72705.00,820959.00,71784.00,520860.00,228315.00
1998:Q2,845560.00,1698.00,14496.00,138367.00,20309.00,23044.00,22434.00,1083.00,71497.00,8502.00,2880.00,5622.00,127136.00,481761.00,73600.00,854644.00,77048.00,557399.00,220197.00
1998:Q3,789788.00,1586.00,18447.00,140867.00,18964.00,22422.00,23818.00,1142.00,74521.00,7940.00,2690.00,5250.00,110391.00,437907.00,72650.00,799154.00,73302.00,519016.00,206836.00
1998:Q4,913823.00,1037.00,17938.00,148349.00,22998.00,21641.00,25163.00,1200.00,77347.00,7334.00,2145.00,5189.00,132749.00,521070.00,85346.00,923097.00,84811.00,610480.00,227806.00
1999:Q1,944230.00,1037.00,20310.00,148331.00,22829.00,20450.00,26102.00,1230.00,77720.00,7580.00,2217.00,5363.00,140544.00,548242.00,78186.00,953658.00,89873.00,624002.00,239783.00
1999:Q2,1004957.00,1104.00,21019.00,149123.00,24303.00,19131.00,26862.00,1252.00,77575.00,7369.00,2360.00,5009.00,154793.00,598439.00,73110.00,1014508.00,98131.00,671870.00,244507.00
1999:Q3,983164.00,1080.00,25695.00,147417.00,23779.00,17756.00,27501.00,1269.00,77112.00,7210.00,2309.00,4901.00,146669.00,578506.00,76587.00,992875.00,96656.00,643710.00,252509.00
1999:Q4,1127807.00,1145.00,26680.00,150001.00,23488.00,16950.00,29056.00,1327.00,79180.00,6350.00,1295.00,5055.00,177800.00,709861.00,55970.00,1137557.00,115705.00,774182.00,247670.00
2000:Q1,1197777.00,1145.00,24669.00,154630.00,25000.00,17167.00,30261.00,1229.00,80973.00,6495.00,1295.00,5200.00,180814.00,779087.00,50937.00,1206863.00,125750.00,846142.00,234971.00
2000:Q2,1175841.00,1156.00,23896.00,155848.00,24000.00,17392.00,31500.00,1130.00,81826.00,6695.00,1295.00,5400.00,169877.00,762521.00,55848.00,1187546.00,124603.00,831361.00,231582.00
2000:Q3,1200851.00,1156.00,24034.00,156495.00,22626.00,17553.00,32679.00,1022.00,82615.00,6600.00,1000.00,5600.00,167942.00,778125.00,66499.00,1208167.00,127477.00,849699.00,230991.00
2000:Q4,1133508.00,1079.00,26341.00,159206.00,23048.00,17784.00,34006.00,907.00,83461.00,7065.00,1163.00,5902.00,148658.00,722439.00,68720.00,1137739.00,120474.00,795909.00,221356.00
2001:Q1,1039499.00,250.00,33117.00,159719.00,21000.00,16931.00,35523.00,913.00,85352.00,7263.00,1163.00,6100.00,129904.00,635404.00,73842.00,1039297.00,110927.00,721856.00,206514.00
2001:Q2,1087249.00,1000.00,30568.00,161290.00,20000.00,16029.00,37071.00,918.00,87272.00,7363.00,1163.00,6200.00,138660.00,678384.00,69984.00,1091746.00,131555.00,754148.00,206043.00
