1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q2,-907.00,1724.00,36276.00,4.00,136.00,0.00,26488.00,4791.00,-202.00,3881.00,1641.00,16377.00,6620.00,2036.00,4584.00,1092.00,2006.00,-14.00,-56.00,0.00,11.00,-67.00,39362.00,0.00,-234.00,0.00,6176.00,31950.00,90.00,-196.00,1576.00,0.00,0.00,1167.00,227.00,182.00,455.00
1990:Q3,-582.00,1735.00,26421.00,-16.00,749.00,0.00,25683.00,2521.00,954.00,6469.00,855.00,14884.00,-1306.00,-2503.00,1197.00,-402.00,2770.00,395.00,-1452.00,0.00,-50.00,-1402.00,19291.00,0.00,-445.00,0.00,8575.00,10846.00,96.00,15.00,204.00,0.00,0.00,1520.00,2879.00,-4195.00,-9447.00
1990:Q4,-294.00,1724.00,18954.00,21.00,149.00,0.00,13890.00,-3003.00,-783.00,5825.00,490.00,11361.00,2719.00,921.00,1798.00,4211.00,-2653.00,126.00,491.00,1.00,487.00,3.00,23622.00,0.00,-319.00,0.00,5061.00,15398.00,165.00,1680.00,1637.00,0.00,0.00,2195.00,2285.00,-2843.00,2650.00
1991:Q1,-35.00,1700.00,40205.00,144.00,1216.00,0.00,29863.00,5750.00,3849.00,7951.00,1692.00,10621.00,4388.00,3250.00,1138.00,-14065.00,5346.00,151.00,13162.00,0.00,-128.00,13290.00,37237.00,0.00,-111.00,0.00,4808.00,3528.00,224.00,277.00,28511.00,0.00,0.00,1472.00,3655.00,23384.00,-4703.00
1991:Q2,419.00,1692.00,37425.00,96.00,131.00,0.00,33717.00,2036.00,2104.00,16581.00,-2671.00,15667.00,3254.00,579.00,2675.00,1469.00,1278.00,-11.00,-2509.00,0.00,-227.00,-2282.00,31505.00,0.00,-62.00,0.00,7658.00,13763.00,271.00,107.00,9768.00,0.00,0.00,1472.00,6235.00,2061.00,-7194.00
1991:Q3,384.00,1669.00,26079.00,272.00,-340.00,0.00,19539.00,2833.00,7170.00,3283.00,580.00,5673.00,-300.00,1280.00,-1580.00,535.00,283.00,-163.00,6253.00,0.00,-229.00,6482.00,23155.00,0.00,-79.00,0.00,4026.00,13184.00,299.00,1295.00,4430.00,0.00,0.00,1472.00,4579.00,-1621.00,-4210.00
1991:Q4,269.00,1665.00,-261.00,14.00,-329.00,0.00,4781.00,-10577.00,5477.00,15320.00,-1681.00,-3758.00,-10892.00,-307.00,-10585.00,5360.00,1548.00,575.00,-1318.00,0.00,-138.00,-1180.00,9611.00,0.00,161.00,0.00,4596.00,12612.00,309.00,-697.00,-7370.00,0.00,0.00,1469.00,6292.00,-15131.00,8476.00
1992:Q1,-374.00,1930.00,29789.00,-28.00,337.00,0.00,25137.00,2473.00,2566.00,7479.00,-90.00,12709.00,-501.00,543.00,-1044.00,2815.00,3434.00,174.00,-1579.00,7.00,-64.00,-1522.00,27521.00,0.00,-7.00,1.00,7535.00,7892.00,322.00,318.00,11460.00,0.00,0.00,2121.00,3361.00,5978.00,-4572.00
1992:Q2,-1054.00,1985.00,27194.00,-114.00,-256.00,0.00,24871.00,474.00,2045.00,5205.00,143.00,17004.00,-2935.00,1080.00,-4015.00,1165.00,3741.00,186.00,536.00,16.00,-21.00,541.00,27384.00,0.00,-59.00,3.00,3849.00,16786.00,342.00,477.00,5986.00,0.00,0.00,2120.00,1968.00,1898.00,-2849.00
1992:Q3,-533.00,2025.00,25682.00,-220.00,-84.00,0.00,25479.00,-1743.00,3892.00,8898.00,462.00,13970.00,-3879.00,1454.00,-5333.00,1103.00,2113.00,-37.00,1207.00,0.00,28.00,1179.00,28863.00,0.00,556.00,45.00,8747.00,20069.00,359.00,-175.00,-738.00,0.00,0.00,2119.00,-6061.00,3204.00,623.00
