date,FA226330005.Q,FA225013005.Q,FA224090005.Q,FA223020043.Q,FA223030045.Q,FA223034005.Q,FA222051043.Q,FA224022045.Q,FA223069143.Q,FA223061143.Q,FA223061743.Q,FA223062043.Q,FA223063045.Q,FA223065043.Q,FA223064145.Q,FA223064205.Q,FA223090005.Q,FA223095505.Q,FA223073045.Q,FA223093005.Q,FA224190005.Q,FA224090045.Q,FA224090055.Q
1954:Q1,1.00,1.00,2396.00,16.00,0.00,0.00,0.00,1536.00,0.00,732.00,12.00,252.00,540.00,56.00,24.00,0.00,764.00,0.00,764.00,0.00,2396.00,2396.00,0.00
1954:Q2,1.00,1.00,2480.00,8.00,0.00,0.00,0.00,1628.00,0.00,764.00,12.00,264.00,588.00,60.00,24.00,0.00,760.00,0.00,760.00,0.00,2480.00,2480.00,0.00
1954:Q3,1.00,1.00,2560.00,0.00,0.00,0.00,0.00,1204.00,0.00,304.00,12.00,280.00,608.00,64.00,24.00,0.00,1268.00,0.00,1268.00,0.00,2560.00,2560.00,0.00
1954:Q4,1.00,1.00,2612.00,-4.00,0.00,0.00,0.00,1224.00,0.00,292.00,16.00,296.00,620.00,64.00,24.00,0.00,1304.00,0.00,1304.00,0.00,2612.00,2612.00,0.00
1955:Q1,0.00,1.00,2603.00,-12.00,0.00,0.00,0.00,1104.00,0.00,220.00,20.00,320.00,544.00,68.00,28.00,0.00,1415.00,0.00,1415.00,0.00,2604.00,2603.00,0.00
1955:Q2,0.00,1.00,2683.00,-24.00,0.00,0.00,0.00,1084.00,0.00,160.00,20.00,344.00,560.00,68.00,28.00,0.00,1527.00,0.00,1527.00,0.00,2684.00,2683.00,0.00
1955:Q3,0.00,1.00,2775.00,-24.00,0.00,0.00,0.00,1316.00,0.00,352.00,20.00,360.00,584.00,72.00,28.00,0.00,1383.00,0.00,1383.00,0.00,2776.00,2775.00,0.00
1955:Q4,0.00,1.00,2839.00,-20.00,0.00,0.00,0.00,1404.00,0.00,400.00,20.00,364.00,620.00,68.00,28.00,0.00,1359.00,0.00,1359.00,0.00,2840.00,2839.00,0.00
1956:Q1,1.00,1.00,2876.00,4.00,0.00,0.00,0.00,1820.00,0.00,852.00,8.00,372.00,588.00,72.00,32.00,0.00,948.00,0.00,948.00,0.00,2876.00,2876.00,0.00
1956:Q2,1.00,1.00,2944.00,12.00,0.00,0.00,0.00,984.00,0.00,96.00,8.00,380.00,500.00,64.00,32.00,0.00,1852.00,0.00,1852.00,0.00,2944.00,2944.00,0.00
1956:Q3,1.00,1.00,3044.00,20.00,0.00,0.00,0.00,932.00,0.00,104.00,8.00,392.00,428.00,76.00,36.00,0.00,1980.00,0.00,1980.00,0.00,3044.00,3044.00,0.00
1956:Q4,1.00,1.00,3112.00,28.00,0.00,0.00,0.00,852.00,0.00,60.00,12.00,404.00,376.00,96.00,36.00,0.00,2100.00,0.00,2100.00,0.00,3112.00,3112.00,0.00
1957:Q1,1.00,1.00,3116.00,40.00,0.00,0.00,0.00,1380.00,0.00,468.00,28.00,416.00,468.00,120.00,44.00,0.00,1532.00,0.00,1532.00,0.00,3116.00,3116.00,0.00
1957:Q2,1.00,1.00,3228.00,56.00,0.00,0.00,0.00,1372.00,0.00,212.00,32.00,432.00,696.00,140.00,52.00,0.00,1608.00,0.00,1608.00,0.00,3228.00,3228.00,0.00
1957:Q3,1.00,1.00,3360.00,56.00,0.00,0.00,0.00,1624.00,0.00,132.00,28.00,436.00,1028.00,156.00,52.00,0.00,1472.00,0.00,1472.00,0.00,3360.00,3360.00,0.00
1957:Q4,1.00,1.00,3468.00,36.00,0.00,0.00,0.00,1352.00,0.00,-356.00,32.00,432.00,1244.00,164.00,56.00,0.00,1860.00,0.00,1860.00,0.00,3468.00,3468.00,0.00
1958:Q1,1.00,0.00,3497.00,20.00,0.00,0.00,0.00,1916.00,0.00,184.00,20.00,436.00,1276.00,176.00,56.00,0.00,1329.00,0.00,1329.00,0.00,3496.00,3497.00,0.00
1958:Q2,1.00,0.00,3625.00,12.00,0.00,0.00,0.00,968.00,0.00,-616.00,20.00,448.00,1116.00,188.00,56.00,0.00,2401.00,0.00,2401.00,0.00,3624.00,3625.00,0.00
1958:Q3,1.00,0.00,3729.00,0.00,0.00,0.00,0.00,1516.00,0.00,40.00,20.00,432.00,1024.00,200.00,60.00,0.00,1953.00,0.00,1953.00,0.00,3728.00,3729.00,0.00
1958:Q4,1.00,0.00,3769.00,-4.00,0.00,0.00,0.00,1636.00,0.00,244.00,20.00,380.00,992.00,220.00,60.00,0.00,1857.00,0.00,1857.00,0.00,3768.00,3769.00,0.00
1959:Q1,1.00,1.00,3712.00,-12.00,0.00,0.00,0.00,1628.00,0.00,324.00,28.00,340.00,936.00,224.00,68.00,0.00,1804.00,0.00,1804.00,0.00,3712.00,3712.00,0.00
1959:Q2,1.00,1.00,3784.00,-28.00,0.00,0.00,0.00,1276.00,0.00,96.00,32.00,304.00,844.00,220.00,76.00,0.00,2240.00,0.00,2240.00,0.00,3784.00,3784.00,0.00
1959:Q3,1.00,1.00,3868.00,-28.00,0.00,0.00,0.00,2024.00,0.00,896.00,28.00,272.00,828.00,256.00,76.00,0.00,1540.00,0.00,1540.00,0.00,3868.00,3868.00,0.00
1959:Q4,1.00,1.00,3940.00,-24.00,0.00,0.00,0.00,1544.00,0.00,448.00,28.00,236.00,832.00,324.00,80.00,0.00,2016.00,0.00,2016.00,0.00,3940.00,3940.00,0.00
1960:Q1,1.00,0.00,3993.00,8.00,0.00,0.00,0.00,1972.00,0.00,804.00,52.00,216.00,900.00,396.00,80.00,0.00,1537.00,0.00,1537.00,0.00,3992.00,3993.00,0.00
1960:Q2,1.00,0.00,4109.00,24.00,0.00,0.00,0.00,1516.00,0.00,244.00,48.00,204.00,1020.00,472.00,76.00,0.00,2021.00,0.00,2021.00,0.00,4108.00,4109.00,0.00
1960:Q3,1.00,0.00,4301.00,28.00,0.00,0.00,0.00,1124.00,0.00,-284.00,52.00,148.00,1208.00,496.00,84.00,0.00,2569.00,0.00,2569.00,0.00,4300.00,4301.00,0.00
1960:Q4,1.00,0.00,4461.00,28.00,0.00,0.00,0.00,1756.00,0.00,232.00,48.00,52.00,1424.00,468.00,104.00,0.00,2105.00,0.00,2105.00,0.00,4460.00,4461.00,0.00
1961:Q1,1.00,0.00,4509.00,32.00,0.00,0.00,0.00,2220.00,0.00,576.00,72.00,-28.00,1600.00,456.00,128.00,0.00,1673.00,0.00,1673.00,0.00,4508.00,4509.00,0.00
1961:Q2,1.00,0.00,4681.00,36.00,0.00,0.00,0.00,1772.00,0.00,68.00,76.00,-100.00,1728.00,464.00,148.00,0.00,2261.00,0.00,2261.00,0.00,4680.00,4681.00,0.00
1961:Q3,1.00,0.00,4801.00,36.00,0.00,0.00,0.00,1672.00,0.00,-28.00,76.00,-176.00,1800.00,452.00,160.00,0.00,2481.00,0.00,2481.00,0.00,4800.00,4801.00,0.00
1961:Q4,1.00,0.00,4829.00,32.00,0.00,0.00,0.00,1332.00,0.00,-260.00,76.00,-268.00,1784.00,412.00,172.00,0.00,2881.00,0.00,2881.00,0.00,4828.00,4829.00,0.00
1962:Q1,1.00,0.00,4729.00,32.00,0.00,0.00,0.00,2576.00,0.00,900.00,216.00,-352.00,1812.00,376.00,184.00,0.00,1561.00,0.00,1561.00,0.00,4728.00,4729.00,0.00
1962:Q2,1.00,0.00,4797.00,36.00,0.00,0.00,0.00,1672.00,0.00,200.00,72.00,-468.00,1868.00,336.00,196.00,0.00,2557.00,0.00,2557.00,0.00,4796.00,4797.00,0.00
1962:Q3,1.00,0.00,4909.00,32.00,0.00,0.00,0.00,1692.00,0.00,200.00,148.00,-512.00,1856.00,324.00,204.00,0.00,2657.00,0.00,2657.00,0.00,4908.00,4909.00,0.00
1962:Q4,1.00,0.00,5009.00,20.00,0.00,0.00,0.00,1192.00,0.00,-100.00,60.00,-504.00,1736.00,348.00,204.00,0.00,3245.00,0.00,3245.00,0.00,5008.00,5009.00,0.00
1963:Q1,0.00,1.00,5023.00,16.00,0.00,0.00,0.00,1668.00,0.00,400.00,-32.00,-488.00,1788.00,356.00,200.00,0.00,2783.00,0.00,2783.00,0.00,5024.00,5023.00,0.00
1963:Q2,0.00,1.00,5203.00,8.00,0.00,0.00,0.00,2524.00,0.00,1100.00,-24.00,-516.00,1964.00,356.00,196.00,0.00,2119.00,0.00,2119.00,0.00,5204.00,5203.00,0.00
1963:Q3,0.00,1.00,5375.00,4.00,0.00,0.00,0.00,1900.00,0.00,300.00,-120.00,-508.00,2228.00,368.00,208.00,0.00,2895.00,0.00,2895.00,0.00,5376.00,5375.00,0.00
1963:Q4,0.00,1.00,5475.00,-4.00,0.00,0.00,0.00,1808.00,0.00,-160.00,-16.00,-488.00,2472.00,400.00,232.00,0.00,3039.00,0.00,3039.00,0.00,5476.00,5475.00,0.00
1964:Q1,1.00,1.00,5508.00,0.00,0.00,0.00,0.00,2864.00,0.00,860.00,-24.00,-440.00,2468.00,416.00,248.00,0.00,1980.00,0.00,1980.00,0.00,5508.00,5508.00,0.00
1964:Q2,1.00,1.00,5612.00,0.00,0.00,0.00,0.00,2908.00,0.00,1000.00,136.00,-420.00,2192.00,424.00,264.00,0.00,2016.00,0.00,2016.00,0.00,5612.00,5612.00,0.00
1964:Q3,1.00,1.00,5804.00,0.00,0.00,0.00,0.00,1976.00,0.00,364.00,-24.00,-392.00,2028.00,460.00,280.00,0.00,3088.00,0.00,3088.00,0.00,5804.00,5804.00,0.00
1964:Q4,1.00,1.00,5968.00,-8.00,0.00,0.00,0.00,1496.00,0.00,-144.00,48.00,-364.00,1956.00,532.00,300.00,0.00,3648.00,0.00,3648.00,0.00,5968.00,5968.00,0.00
1965:Q1,0.00,1.00,6011.00,0.00,0.00,0.00,0.00,3196.00,0.00,1548.00,-20.00,-320.00,1988.00,604.00,320.00,0.00,1891.00,0.00,1891.00,0.00,6012.00,6011.00,0.00
1965:Q2,0.00,1.00,6263.00,0.00,0.00,0.00,0.00,2540.00,0.00,692.00,20.00,-288.00,2116.00,672.00,332.00,0.00,2719.00,0.00,2719.00,0.00,6264.00,6263.00,0.00
1965:Q3,0.00,1.00,6515.00,4.00,0.00,0.00,0.00,1628.00,0.00,-956.00,416.00,-256.00,2424.00,712.00,360.00,0.00,3811.00,0.00,3811.00,0.00,6516.00,6515.00,0.00
1965:Q4,0.00,1.00,6691.00,20.00,0.00,0.00,0.00,1676.00,0.00,-792.00,28.00,-236.00,2676.00,716.00,396.00,0.00,3883.00,0.00,3883.00,0.00,6692.00,6691.00,0.00
1966:Q1,1.00,2.00,6695.00,32.00,0.00,0.00,0.00,3368.00,0.00,636.00,40.00,-184.00,2876.00,760.00,440.00,0.00,2095.00,0.00,2095.00,0.00,6696.00,6695.00,0.00
1966:Q2,1.00,2.00,6895.00,40.00,0.00,0.00,0.00,2336.00,0.00,-1064.00,480.00,-144.00,3064.00,828.00,476.00,0.00,3215.00,0.00,3215.00,0.00,6896.00,6895.00,0.00
1966:Q3,1.00,2.00,7071.00,56.00,0.00,0.00,0.00,3584.00,0.00,480.00,196.00,-120.00,3028.00,804.00,508.00,0.00,2119.00,0.00,2119.00,0.00,7072.00,7071.00,0.00
1966:Q4,1.00,2.00,7155.00,76.00,0.00,0.00,0.00,2380.00,0.00,-204.00,-76.00,-128.00,2788.00,688.00,528.00,0.00,3483.00,0.00,3483.00,0.00,7156.00,7155.00,0.00
1967:Q1,1.00,2.00,7107.00,156.00,0.00,0.00,0.00,1952.00,0.00,-1260.00,68.00,-80.00,3224.00,660.00,580.00,0.00,3759.00,0.00,3759.00,0.00,7108.00,7107.00,0.00
1967:Q2,1.00,2.00,7359.00,32.00,68.00,0.00,0.00,2700.00,0.00,-616.00,300.00,-76.00,3092.00,664.00,576.00,0.00,3319.00,0.00,3319.00,0.00,7360.00,7359.00,0.00
1967:Q3,1.00,2.00,7723.00,-136.00,208.00,0.00,0.00,2932.00,0.00,-1352.00,60.00,-72.00,4296.00,312.00,760.00,0.00,3647.00,0.00,3647.00,0.00,7724.00,7723.00,0.00
1967:Q4,1.00,2.00,8111.00,-312.00,368.00,0.00,0.00,3796.00,0.00,-572.00,104.00,-72.00,4336.00,312.00,764.00,0.00,3183.00,0.00,3183.00,0.00,8112.00,8111.00,0.00
1968:Q1,1.00,3.00,8466.00,248.00,-212.00,0.00,0.00,2164.00,0.00,216.00,-108.00,124.00,1932.00,580.00,1080.00,0.00,4606.00,0.00,4606.00,0.00,8468.00,8466.00,0.00
1968:Q2,1.00,3.00,8926.00,152.00,-132.00,0.00,0.00,3124.00,0.00,-396.00,1080.00,-260.00,2700.00,484.00,1172.00,0.00,4126.00,0.00,4126.00,0.00,8928.00,8926.00,0.00
1968:Q3,1.00,3.00,9462.00,104.00,284.00,0.00,0.00,3036.00,0.00,-388.00,440.00,48.00,2936.00,24.00,1284.00,0.00,4730.00,0.00,4730.00,0.00,9464.00,9462.00,0.00
1968:Q4,1.00,3.00,9850.00,-208.00,336.00,0.00,0.00,3680.00,0.00,-408.00,1088.00,-8.00,3008.00,348.00,1732.00,0.00,3962.00,0.00,3962.00,0.00,9852.00,9850.00,0.00
1969:Q1,1.00,3.00,9974.00,480.00,-712.00,0.00,0.00,3184.00,0.00,-284.00,108.00,16.00,3344.00,256.00,1208.00,0.00,5558.00,0.00,5558.00,0.00,9976.00,9974.00,0.00
1969:Q2,1.00,3.00,10386.00,-728.00,364.00,0.00,0.00,3792.00,0.00,-140.00,112.00,-72.00,3892.00,196.00,2120.00,0.00,4642.00,0.00,4642.00,0.00,10388.00,10386.00,0.00
1969:Q3,1.00,3.00,10774.00,56.00,272.00,0.00,0.00,4400.00,0.00,-476.00,348.00,-80.00,4608.00,300.00,1720.00,0.00,4026.00,0.00,4026.00,0.00,10776.00,10774.00,0.00
1969:Q4,1.00,3.00,11034.00,-80.00,-164.00,0.00,0.00,3084.00,0.00,-1036.00,56.00,-68.00,4132.00,100.00,2104.00,0.00,5990.00,0.00,5990.00,0.00,11036.00,11034.00,0.00
1970:Q1,1.00,3.00,11066.00,-292.00,-128.00,0.00,0.00,3840.00,0.00,-408.00,104.00,-92.00,4236.00,300.00,1896.00,0.00,5450.00,0.00,5450.00,0.00,11068.00,11066.00,0.00
1970:Q2,1.00,3.00,11506.00,280.00,284.00,0.00,0.00,3320.00,0.00,-624.00,68.00,-596.00,4472.00,632.00,2244.00,0.00,4746.00,0.00,4746.00,0.00,11508.00,11506.00,0.00
1970:Q3,1.00,3.00,12030.00,-128.00,-168.00,0.00,0.00,5332.00,0.00,380.00,-132.00,-104.00,5188.00,-76.00,1520.00,0.00,5550.00,0.00,5550.00,0.00,12032.00,12030.00,0.00
1970:Q4,1.00,3.00,12522.00,456.00,184.00,0.00,0.00,2664.00,0.00,-680.00,-340.00,-404.00,4088.00,524.00,2888.00,0.00,5806.00,0.00,5806.00,0.00,12524.00,12522.00,0.00
1971:Q1,2.00,3.00,12807.00,-144.00,80.00,0.00,0.00,3704.00,0.00,-896.00,-308.00,32.00,4876.00,396.00,2768.00,0.00,6003.00,0.00,6003.00,0.00,12808.00,12807.00,0.00
1971:Q2,2.00,3.00,13587.00,272.00,-212.00,0.00,0.00,3032.00,0.00,-1816.00,-56.00,8.00,4896.00,604.00,3052.00,0.00,6839.00,0.00,6839.00,0.00,13588.00,13587.00,0.00
1971:Q3,2.00,3.00,14451.00,120.00,-24.00,0.00,0.00,2556.00,0.00,-220.00,192.00,32.00,2552.00,32.00,3844.00,0.00,7923.00,0.00,7923.00,0.00,14452.00,14451.00,0.00
1971:Q4,2.00,3.00,15199.00,392.00,-104.00,0.00,0.00,2332.00,0.00,-1900.00,384.00,408.00,3440.00,440.00,3076.00,0.00,9063.00,0.00,9063.00,0.00,15200.00,15199.00,0.00
1972:Q1,2.00,3.00,15723.00,620.00,-436.00,0.00,0.00,4240.00,0.00,-1052.00,496.00,308.00,4488.00,84.00,2052.00,0.00,9163.00,0.00,9163.00,0.00,15724.00,15723.00,0.00
1972:Q2,2.00,3.00,16283.00,176.00,-24.00,0.00,0.00,4240.00,0.00,360.00,528.00,948.00,2404.00,-208.00,3616.00,0.00,8483.00,0.00,8483.00,0.00,16284.00,16283.00,0.00
1972:Q3,2.00,3.00,16831.00,-96.00,128.00,0.00,0.00,4308.00,0.00,-320.00,576.00,-1372.00,5424.00,332.00,4440.00,0.00,7719.00,0.00,7719.00,0.00,16832.00,16831.00,0.00
1972:Q4,2.00,3.00,17015.00,176.00,504.00,0.00,0.00,4692.00,0.00,-184.00,644.00,-376.00,4608.00,520.00,4600.00,0.00,6523.00,0.00,6523.00,0.00,17016.00,17015.00,0.00
1973:Q1,2.00,3.00,16727.00,-620.00,452.00,0.00,0.00,4908.00,0.00,360.00,716.00,-1628.00,5460.00,648.00,5388.00,0.00,5951.00,0.00,5951.00,0.00,16728.00,16727.00,0.00
1973:Q2,2.00,3.00,16999.00,208.00,500.00,0.00,0.00,5144.00,0.00,-908.00,784.00,-344.00,5612.00,756.00,3360.00,0.00,7031.00,0.00,7031.00,0.00,17000.00,16999.00,0.00
1973:Q3,2.00,3.00,17363.00,-256.00,924.00,0.00,0.00,5896.00,0.00,-1728.00,1440.00,456.00,5728.00,268.00,2244.00,0.00,8287.00,0.00,8287.00,0.00,17364.00,17363.00,0.00
1973:Q4,2.00,3.00,17691.00,-224.00,560.00,0.00,0.00,4100.00,0.00,-2080.00,1976.00,164.00,4040.00,1012.00,2652.00,0.00,9591.00,0.00,9591.00,0.00,17692.00,17691.00,0.00
1974:Q1,2.00,4.00,17770.00,-740.00,348.00,0.00,0.00,5060.00,0.00,-2672.00,1932.00,616.00,5184.00,544.00,2940.00,0.00,9618.00,0.00,9618.00,0.00,17772.00,17770.00,0.00
1974:Q2,2.00,4.00,18590.00,-216.00,1184.00,0.00,0.00,6692.00,0.00,184.00,1312.00,-1604.00,6800.00,212.00,2152.00,0.00,8566.00,0.00,8566.00,0.00,18592.00,18590.00,0.00
1974:Q3,2.00,4.00,19582.00,-140.00,760.00,0.00,0.00,7400.00,0.00,-1484.00,1024.00,-784.00,8644.00,372.00,1056.00,0.00,10134.00,0.00,10134.00,0.00,19584.00,19582.00,0.00
1974:Q4,2.00,4.00,20446.00,-64.00,680.00,0.00,0.00,3704.00,0.00,280.00,728.00,-1060.00,3756.00,1116.00,4128.00,0.00,10882.00,0.00,10882.00,0.00,20448.00,20446.00,0.00
1975:Q1,3.00,3.00,20744.00,252.00,1072.00,0.00,0.00,7232.00,0.00,-104.00,544.00,-776.00,7568.00,12.00,1628.00,0.00,10548.00,0.00,10548.00,0.00,20744.00,20744.00,0.00
1975:Q2,3.00,3.00,21464.00,60.00,-492.00,0.00,0.00,9520.00,0.00,2624.00,468.00,-244.00,6672.00,420.00,1996.00,0.00,9960.00,0.00,9960.00,0.00,21464.00,21464.00,0.00
1975:Q3,3.00,3.00,21784.00,-144.00,-1384.00,0.00,0.00,7504.00,0.00,1332.00,836.00,712.00,4624.00,260.00,2908.00,0.00,12640.00,0.00,12640.00,0.00,21784.00,21784.00,0.00
1975:Q4,3.00,3.00,21492.00,-84.00,-684.00,0.00,0.00,11864.00,0.00,-32.00,836.00,4136.00,6924.00,-1332.00,3020.00,0.00,8708.00,0.00,8708.00,0.00,21492.00,21492.00,0.00
1976:Q1,3.00,3.00,20856.00,-40.00,-424.00,0.00,0.00,9368.00,0.00,2072.00,1128.00,1012.00,5156.00,4.00,2128.00,0.00,9820.00,0.00,9820.00,0.00,20856.00,20856.00,0.00
1976:Q2,3.00,3.00,20616.00,80.00,272.00,0.00,0.00,14524.00,0.00,2296.00,1276.00,3828.00,7124.00,320.00,3316.00,0.00,2104.00,0.00,2104.00,0.00,20616.00,20616.00,0.00
1976:Q3,3.00,3.00,21008.00,-124.00,-312.00,0.00,0.00,9124.00,0.00,1072.00,1680.00,932.00,5440.00,8.00,3296.00,0.00,9016.00,0.00,9016.00,0.00,21008.00,21008.00,0.00
1976:Q4,3.00,3.00,21620.00,48.00,372.00,0.00,0.00,3964.00,0.00,628.00,2244.00,-92.00,1184.00,428.00,3724.00,0.00,13084.00,0.00,13084.00,0.00,21620.00,21620.00,0.00
1977:Q1,4.00,3.00,21977.00,-120.00,-200.00,0.00,0.00,6000.00,0.00,2620.00,6304.00,-1952.00,-972.00,-192.00,3232.00,0.00,13257.00,0.00,13257.00,0.00,21976.00,21977.00,0.00
1977:Q2,4.00,3.00,23077.00,256.00,1212.00,0.00,0.00,12324.00,0.00,7424.00,828.00,3024.00,1048.00,720.00,3232.00,0.00,5333.00,0.00,5333.00,0.00,23076.00,23077.00,0.00
1977:Q3,4.00,3.00,24017.00,80.00,328.00,0.00,0.00,13020.00,0.00,756.00,880.00,-288.00,11672.00,-968.00,4088.00,0.00,7469.00,0.00,7469.00,0.00,24016.00,24017.00,0.00
1977:Q4,4.00,3.00,24485.00,-160.00,-268.00,0.00,0.00,13520.00,0.00,12.00,2984.00,-48.00,10572.00,1676.00,4160.00,0.00,5557.00,0.00,5557.00,0.00,24484.00,24485.00,0.00
1978:Q1,3.00,3.00,24304.00,208.00,1368.00,0.00,0.00,13156.00,0.00,3456.00,5532.00,-632.00,4800.00,164.00,2564.00,0.00,6844.00,0.00,6844.00,0.00,24304.00,24304.00,0.00
1978:Q2,3.00,3.00,24960.00,220.00,1140.00,0.00,0.00,17944.00,0.00,5884.00,1532.00,1384.00,9144.00,656.00,2528.00,0.00,2472.00,0.00,2472.00,0.00,24960.00,24960.00,0.00
