1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,222.00,102.00,2880.00,20.00,8.00,0.00,2080.00,264.00,260.00,1556.00,16.00,756.00,2700.00,1832.00,-364.00,2196.00,360.00,360.00,0.00,-64.00,4.00,568.00,0.00,568.00,-60.00,0.00
1953:Q3,214.00,105.00,2556.00,20.00,4.00,0.00,2220.00,564.00,468.00,1188.00,16.00,296.00,2980.00,1908.00,760.00,1148.00,380.00,380.00,0.00,168.00,4.00,520.00,0.00,520.00,533.00,0.00
1953:Q4,194.00,104.00,16.00,20.00,8.00,0.00,-228.00,-1012.00,-156.00,940.00,16.00,200.00,-340.00,320.00,-264.00,584.00,-676.00,-676.00,0.00,316.00,4.00,-304.00,0.00,-304.00,-266.00,0.00
1954:Q1,132.00,115.00,-520.00,36.00,12.00,0.00,-56.00,-52.00,116.00,-120.00,16.00,-528.00,12.00,1040.00,900.00,140.00,-1228.00,-1228.00,0.00,-100.00,4.00,296.00,0.00,296.00,549.00,0.00
1954:Q2,120.00,114.00,948.00,36.00,12.00,0.00,328.00,-24.00,128.00,224.00,16.00,556.00,360.00,-304.00,-432.00,128.00,552.00,552.00,0.00,-356.00,4.00,464.00,0.00,464.00,-583.00,0.00
1954:Q3,113.00,118.00,1048.00,-48.00,-16.00,0.00,1032.00,144.00,372.00,516.00,16.00,64.00,-760.00,-952.00,-176.00,-776.00,-184.00,-184.00,0.00,112.00,4.00,260.00,0.00,260.00,-1813.00,0.00
1954:Q4,113.00,117.00,1948.00,-104.00,-36.00,0.00,1360.00,-44.00,268.00,1136.00,24.00,704.00,348.00,-1584.00,-900.00,-684.00,304.00,304.00,0.00,8.00,0.00,1620.00,0.00,1620.00,-1604.00,0.00
1955:Q1,164.00,150.00,1612.00,44.00,16.00,0.00,1620.00,-1440.00,400.00,2660.00,16.00,-84.00,3664.00,1596.00,1224.00,372.00,800.00,800.00,0.00,-148.00,4.00,1412.00,0.00,1412.00,2066.00,0.00
1955:Q2,196.00,162.00,6516.00,92.00,32.00,0.00,5412.00,1316.00,676.00,3420.00,20.00,960.00,6008.00,524.00,832.00,-308.00,1076.00,1076.00,0.00,-108.00,4.00,4512.00,0.00,4512.00,-474.00,0.00
1955:Q3,214.00,174.00,5196.00,148.00,48.00,0.00,4544.00,376.00,980.00,3188.00,20.00,436.00,4048.00,540.00,-136.00,676.00,1380.00,1380.00,0.00,268.00,4.00,1856.00,0.00,1856.00,-1108.00,0.00
1955:Q4,216.00,183.00,4564.00,188.00,64.00,0.00,3648.00,1764.00,52.00,1832.00,24.00,640.00,4020.00,-80.00,-928.00,848.00,452.00,452.00,0.00,144.00,0.00,3504.00,0.00,3504.00,-511.00,0.00
1956:Q1,256.00,154.00,1356.00,16.00,4.00,0.00,2044.00,704.00,-340.00,1680.00,20.00,-728.00,2192.00,4504.00,2232.00,2272.00,60.00,60.00,0.00,-96.00,4.00,-2280.00,0.00,-2280.00,938.00,0.00
1956:Q2,254.00,157.00,684.00,-4.00,0.00,0.00,368.00,-372.00,-28.00,768.00,24.00,296.00,804.00,696.00,-224.00,920.00,372.00,372.00,0.00,-232.00,4.00,-36.00,0.00,-36.00,217.00,0.00
1956:Q3,228.00,162.00,312.00,-4.00,-4.00,0.00,808.00,-188.00,304.00,692.00,24.00,-512.00,480.00,736.00,-216.00,952.00,704.00,704.00,0.00,224.00,4.00,-1188.00,0.00,-1188.00,234.00,0.00
1956:Q4,232.00,164.00,696.00,4.00,4.00,0.00,252.00,192.00,-352.00,412.00,28.00,408.00,-836.00,-192.00,-1260.00,1068.00,48.00,48.00,0.00,112.00,4.00,-808.00,0.00,-808.00,-1464.00,0.00
1957:Q1,249.00,159.00,636.00,44.00,12.00,0.00,1692.00,1660.00,-844.00,876.00,24.00,-1136.00,3108.00,3892.00,2156.00,1736.00,-844.00,-844.00,0.00,-112.00,4.00,168.00,0.00,168.00,2562.00,0.00
1957:Q2,212.00,159.00,984.00,24.00,8.00,0.00,884.00,548.00,-352.00,688.00,28.00,40.00,216.00,36.00,-820.00,856.00,-352.00,-352.00,0.00,-148.00,0.00,680.00,0.00,680.00,-715.00,0.00
1957:Q3,205.00,164.00,1176.00,28.00,12.00,0.00,2248.00,1320.00,8.00,920.00,28.00,-1140.00,1084.00,1964.00,264.00,1700.00,8.00,8.00,0.00,180.00,0.00,-1068.00,0.00,-1068.00,-52.00,0.00
1957:Q4,214.00,161.00,1288.00,16.00,4.00,0.00,432.00,328.00,-112.00,216.00,36.00,800.00,708.00,864.00,208.00,656.00,-112.00,-112.00,0.00,120.00,-8.00,-156.00,0.00,-156.00,-527.00,0.00
1958:Q1,219.00,185.00,504.00,40.00,12.00,0.00,232.00,80.00,456.00,-304.00,28.00,192.00,1112.00,3392.00,2272.00,1120.00,456.00,456.00,0.00,128.00,0.00,-2864.00,0.00,-2864.00,642.00,0.00
1958:Q2,198.00,177.00,-752.00,16.00,8.00,0.00,-1800.00,-908.00,456.00,-1348.00,24.00,1000.00,-2340.00,-1112.00,-704.00,-408.00,456.00,456.00,0.00,-388.00,0.00,-1296.00,0.00,-1296.00,-1568.00,0.00
1958:Q3,183.00,175.00,-2032.00,24.00,8.00,0.00,-1144.00,-324.00,456.00,-1276.00,28.00,-948.00,-1928.00,-2256.00,-928.00,-1328.00,-1144.00,-1144.00,0.00,-8.00,0.00,1480.00,0.00,1480.00,112.00,0.00
1958:Q4,171.00,184.00,3040.00,4.00,0.00,0.00,1524.00,1348.00,460.00,-284.00,32.00,1480.00,3212.00,-1132.00,-1180.00,48.00,2060.00,2060.00,0.00,-8.00,0.00,2292.00,0.00,2292.00,159.00,0.00
1959:Q1,609.00,215.00,3656.00,140.00,48.00,0.00,3284.00,1616.00,456.00,1212.00,28.00,156.00,3980.00,2800.00,2152.00,648.00,2056.00,2056.00,0.00,-32.00,0.00,-844.00,0.00,-844.00,718.00,0.00
1959:Q2,559.00,222.00,4004.00,144.00,48.00,0.00,3348.00,1860.00,-228.00,1716.00,32.00,432.00,3640.00,2068.00,1264.00,804.00,2172.00,2172.00,0.00,-72.00,4.00,-532.00,0.00,-532.00,-27.00,0.00
1959:Q3,558.00,230.00,3088.00,168.00,56.00,0.00,4092.00,1004.00,424.00,2664.00,32.00,-1260.00,4216.00,796.00,-488.00,1284.00,2024.00,2024.00,0.00,240.00,4.00,1152.00,0.00,1152.00,1456.00,0.00
1959:Q4,560.00,231.00,4812.00,180.00,60.00,0.00,3076.00,1208.00,336.00,1532.00,36.00,1460.00,4468.00,1088.00,-136.00,1224.00,1136.00,1136.00,0.00,128.00,0.00,2116.00,0.00,2116.00,-15.00,0.00
1960:Q1,551.00,228.00,5668.00,48.00,16.00,0.00,5848.00,3280.00,132.00,2436.00,32.00,-276.00,5316.00,9796.00,4724.00,5072.00,-268.00,-268.00,0.00,-88.00,4.00,-4128.00,0.00,-4128.00,-30.00,0.00
1960:Q2,590.00,233.00,4524.00,52.00,16.00,0.00,3924.00,2624.00,-364.00,1664.00,36.00,496.00,2780.00,2544.00,48.00,2496.00,232.00,232.00,0.00,-104.00,8.00,100.00,0.00,100.00,-1388.00,0.00
1960:Q3,632.00,225.00,1336.00,76.00,24.00,0.00,2784.00,544.00,336.00,1904.00,36.00,-1584.00,332.00,1928.00,-536.00,2464.00,-2320.00,-2320.00,0.00,120.00,8.00,596.00,0.00,596.00,-597.00,0.00
1960:Q4,685.00,221.00,2572.00,88.00,32.00,0.00,1404.00,1184.00,-248.00,468.00,40.00,1008.00,2168.00,2040.00,-872.00,2912.00,140.00,140.00,0.00,80.00,8.00,-100.00,0.00,-100.00,60.00,0.00
1961:Q1,707.00,125.00,-1724.00,152.00,48.00,0.00,-1516.00,-1456.00,-12.00,-48.00,40.00,-448.00,-1096.00,4708.00,2908.00,1800.00,-5784.00,-5784.00,0.00,48.00,8.00,-76.00,0.00,-76.00,1210.00,0.00
1961:Q2,756.00,129.00,1292.00,140.00,48.00,0.00,-228.00,-64.00,308.00,-472.00,40.00,1292.00,-140.00,-52.00,-980.00,928.00,-392.00,-392.00,0.00,-240.00,4.00,540.00,0.00,540.00,-805.00,0.00
1961:Q3,795.00,130.00,1120.00,148.00,48.00,0.00,1880.00,804.00,1072.00,4.00,44.00,-1000.00,908.00,-1728.00,-1408.00,-320.00,1200.00,1200.00,0.00,60.00,4.00,1372.00,0.00,1372.00,453.00,0.00
1961:Q4,794.00,135.00,6840.00,148.00,52.00,0.00,4092.00,1528.00,1172.00,1392.00,44.00,2504.00,3968.00,-584.00,-1064.00,480.00,3604.00,3604.00,0.00,12.00,4.00,932.00,0.00,932.00,-2213.00,0.00
1962:Q1,831.00,188.00,416.00,92.00,28.00,0.00,1044.00,-96.00,-304.00,1444.00,44.00,-792.00,12.00,4648.00,3968.00,680.00,-4472.00,-4472.00,0.00,196.00,4.00,-364.00,0.00,-364.00,239.00,0.00
1962:Q2,909.00,193.00,4060.00,92.00,32.00,0.00,1836.00,-208.00,1016.00,1028.00,48.00,2052.00,5244.00,120.00,756.00,-636.00,3020.00,3020.00,0.00,-84.00,4.00,2184.00,0.00,2184.00,1900.00,0.00
1962:Q3,866.00,195.00,2232.00,96.00,32.00,0.00,3268.00,532.00,1048.00,1688.00,48.00,-1212.00,3676.00,968.00,1764.00,-796.00,568.00,568.00,0.00,108.00,4.00,2028.00,0.00,2028.00,2115.00,0.00
1962:Q4,835.00,194.00,4456.00,100.00,32.00,0.00,2756.00,452.00,44.00,2260.00,52.00,1516.00,4064.00,428.00,-1648.00,2076.00,3480.00,3480.00,0.00,-92.00,4.00,244.00,0.00,244.00,249.00,0.00
1963:Q1,615.00,93.00,3324.00,-140.00,-44.00,0.00,4012.00,1456.00,-32.00,2588.00,52.00,-556.00,2684.00,5988.00,4340.00,1648.00,-3040.00,-3040.00,0.00,-40.00,4.00,-228.00,0.00,-228.00,-119.00,0.00
1963:Q2,507.00,97.00,5380.00,-144.00,-48.00,0.00,3412.00,1204.00,1152.00,1056.00,52.00,2108.00,6980.00,1444.00,1516.00,-72.00,2364.00,2364.00,0.00,-168.00,0.00,3340.00,0.00,3340.00,2010.00,0.00
1963:Q3,464.00,99.00,3952.00,-148.00,-52.00,0.00,4976.00,940.00,1464.00,2572.00,56.00,-880.00,4780.00,-204.00,-764.00,560.00,2348.00,2348.00,0.00,92.00,0.00,2544.00,0.00,2544.00,1193.00,0.00
1963:Q4,440.00,103.00,7700.00,-160.00,-52.00,0.00,5496.00,2060.00,748.00,2688.00,60.00,2356.00,7128.00,2124.00,-1012.00,3136.00,4044.00,4044.00,0.00,-12.00,4.00,968.00,0.00,968.00,-236.00,0.00
1964:Q1,501.00,229.00,4044.00,-16.00,-4.00,0.00,4944.00,2444.00,-396.00,2896.00,60.00,-940.00,2032.00,7696.00,4080.00,3616.00,-4880.00,-4880.00,0.00,264.00,0.00,-1048.00,0.00,-1048.00,-1740.00,0.00
1964:Q2,517.00,235.00,7588.00,-32.00,-12.00,0.00,5544.00,2388.00,1220.00,1936.00,60.00,2028.00,10052.00,3268.00,1460.00,1808.00,4832.00,4832.00,0.00,-340.00,4.00,2288.00,0.00,2288.00,2746.00,0.00
1964:Q3,534.00,244.00,2976.00,-16.00,-4.00,0.00,4684.00,1604.00,628.00,2452.00,64.00,-1752.00,1680.00,2724.00,960.00,1764.00,-2368.00,-2368.00,0.00,-200.00,4.00,1520.00,0.00,1520.00,-1007.00,0.00
1964:Q4,564.00,250.00,3700.00,-16.00,-8.00,0.00,1768.00,-76.00,108.00,1736.00,68.00,1888.00,5004.00,2696.00,-520.00,3216.00,2256.00,2256.00,0.00,-44.00,4.00,92.00,0.00,92.00,1618.00,0.00
1965:Q1,541.00,301.00,4728.00,136.00,48.00,0.00,4768.00,1936.00,240.00,2592.00,68.00,-292.00,4024.00,5532.00,4052.00,1480.00,-2028.00,-2028.00,0.00,56.00,4.00,460.00,0.00,460.00,-464.00,0.00
1965:Q2,546.00,312.00,7660.00,128.00,40.00,0.00,6028.00,2532.00,748.00,2748.00,72.00,1392.00,6972.00,-344.00,1780.00,-2124.00,7380.00,7380.00,0.00,-4.00,-4.00,-56.00,0.00,-56.00,-454.00,0.00
1965:Q3,548.00,325.00,3876.00,148.00,52.00,0.00,4576.00,444.00,1432.00,2700.00,72.00,-972.00,3160.00,-244.00,648.00,-892.00,2028.00,2028.00,0.00,148.00,-4.00,1232.00,0.00,1232.00,-493.00,0.00
1965:Q4,533.00,339.00,5624.00,164.00,52.00,0.00,3676.00,2948.00,-252.00,980.00,76.00,1656.00,4928.00,1352.00,-1736.00,3088.00,5892.00,5892.00,0.00,148.00,0.00,-2464.00,0.00,-2464.00,-502.00,0.00
1966:Q1,381.00,320.00,2976.00,156.00,52.00,0.00,3468.00,2044.00,-284.00,1708.00,80.00,-780.00,2264.00,8236.00,6844.00,1392.00,-3244.00,-3244.00,0.00,-128.00,-4.00,-2596.00,0.00,-2596.00,-651.00,0.00
1966:Q2,453.00,331.00,3060.00,124.00,44.00,0.00,2668.00,1660.00,-300.00,1308.00,80.00,144.00,2348.00,1088.00,64.00,1024.00,4800.00,4800.00,0.00,-172.00,4.00,-3372.00,0.00,-3372.00,-590.00,0.00
1966:Q3,515.00,334.00,-3040.00,104.00,32.00,0.00,-624.00,-2268.00,-240.00,1884.00,84.00,-2636.00,-3780.00,3404.00,1708.00,1696.00,-6040.00,-6040.00,0.00,96.00,4.00,-1244.00,0.00,-1244.00,-560.00,0.00
1966:Q4,609.00,339.00,4396.00,72.00,24.00,0.00,3560.00,2860.00,-1432.00,2132.00,88.00,652.00,3696.00,7336.00,5464.00,1872.00,1956.00,1956.00,0.00,68.00,4.00,-5668.00,0.00,-5668.00,-431.00,0.00
1967:Q1,587.00,546.00,-596.00,64.00,24.00,0.00,-124.00,448.00,-172.00,-400.00,28.00,-588.00,-1324.00,7560.00,7172.00,388.00,-7156.00,-7156.00,0.00,-168.00,4.00,-1564.00,0.00,-1564.00,-688.00,0.00
1967:Q2,594.00,548.00,1852.00,60.00,20.00,0.00,-128.00,-1712.00,1572.00,12.00,28.00,1872.00,1124.00,-3364.00,-1804.00,-1560.00,4104.00,4104.00,0.00,-200.00,4.00,580.00,0.00,580.00,-682.00,0.00
1967:Q3,592.00,548.00,-284.00,84.00,28.00,0.00,1356.00,60.00,492.00,804.00,32.00,-1784.00,-1016.00,1192.00,500.00,692.00,-312.00,-312.00,0.00,124.00,4.00,-2024.00,0.00,-2024.00,-688.00,0.00
1967:Q4,580.00,566.00,3080.00,88.00,28.00,0.00,968.00,-192.00,-308.00,1468.00,28.00,1968.00,2368.00,5520.00,2244.00,3276.00,1916.00,1916.00,0.00,20.00,0.00,-5088.00,0.00,-5088.00,-698.00,0.00
1968:Q1,593.00,1040.00,1952.00,80.00,28.00,0.00,2896.00,2784.00,-692.00,804.00,32.00,-1084.00,1240.00,6976.00,6376.00,600.00,-8020.00,-8020.00,0.00,172.00,4.00,2108.00,0.00,2108.00,-1159.00,0.00
1968:Q2,521.00,1034.00,9104.00,48.00,16.00,0.00,7768.00,4308.00,1208.00,2252.00,28.00,1244.00,8416.00,1156.00,1864.00,-708.00,6284.00,6284.00,0.00,-256.00,4.00,1228.00,0.00,1228.00,-1202.00,0.00
1968:Q3,416.00,1053.00,1740.00,36.00,12.00,0.00,3104.00,12.00,688.00,2404.00,32.00,-1444.00,1016.00,-832.00,-252.00,-580.00,-1556.00,-1556.00,0.00,20.00,4.00,3380.00,0.00,3380.00,-1361.00,0.00
1968:Q4,372.00,1101.00,10656.00,68.00,20.00,0.00,6900.00,1828.00,1360.00,3712.00,32.00,3636.00,9968.00,5548.00,3504.00,2044.00,7720.00,7720.00,0.00,60.00,-4.00,-3356.00,0.00,-3356.00,-1418.00,0.00
1969:Q1,373.00,705.00,6108.00,56.00,20.00,0.00,4304.00,864.00,2080.00,1360.00,32.00,1696.00,5404.00,7616.00,9680.00,-2064.00,-4064.00,-4064.00,0.00,184.00,4.00,1664.00,0.00,1664.00,-1036.00,0.00
1969:Q2,337.00,718.00,19376.00,72.00,24.00,0.00,15576.00,8316.00,3736.00,3524.00,32.00,3672.00,18724.00,3656.00,5196.00,-1540.00,8872.00,8872.00,0.00,-200.00,8.00,6388.00,0.00,6388.00,-1033.00,0.00
1969:Q3,304.00,744.00,3240.00,108.00,36.00,0.00,6740.00,5292.00,-1592.00,3040.00,32.00,-3676.00,2536.00,8940.00,5852.00,3088.00,-7672.00,-7672.00,0.00,92.00,8.00,1168.00,0.00,1168.00,-1144.00,0.00
1969:Q4,278.00,749.00,9056.00,112.00,36.00,0.00,7620.00,5404.00,-996.00,3212.00,32.00,1256.00,8372.00,8376.00,3376.00,5000.00,6856.00,6856.00,0.00,116.00,8.00,-6984.00,0.00,-6984.00,-1155.00,0.00
1970:Q1,276.00,670.00,6936.00,124.00,44.00,0.00,2924.00,-656.00,1920.00,1660.00,32.00,3812.00,6232.00,980.00,7252.00,-6272.00,-4572.00,-4572.00,0.00,100.00,8.00,9716.00,0.00,9716.00,-1098.00,0.00
1970:Q2,302.00,677.00,9628.00,156.00,52.00,0.00,6484.00,2688.00,3256.00,540.00,32.00,2904.00,8940.00,-776.00,-1236.00,460.00,10080.00,10080.00,0.00,-160.00,8.00,-212.00,0.00,-212.00,-1063.00,0.00
1970:Q3,334.00,685.00,-3392.00,196.00,64.00,0.00,172.00,1856.00,408.00,-2092.00,36.00,-3860.00,-4132.00,-2456.00,-4768.00,2312.00,-64.00,-64.00,0.00,140.00,8.00,-1760.00,0.00,-1760.00,-1091.00,0.00
1970:Q4,388.00,665.00,1600.00,224.00,76.00,0.00,-408.00,-2472.00,1640.00,424.00,32.00,1676.00,876.00,8160.00,1308.00,6852.00,3196.00,3196.00,0.00,48.00,8.00,-10536.00,0.00,-10536.00,-1001.00,0.00
1971:Q1,457.00,528.00,12340.00,228.00,76.00,0.00,8380.00,2708.00,3732.00,1940.00,36.00,3620.00,11856.00,-3532.00,-3676.00,144.00,-884.00,-884.00,0.00,136.00,8.00,16128.00,276.00,15852.00,-555.00,0.00
1971:Q2,599.00,542.00,9504.00,216.00,72.00,0.00,5172.00,1716.00,2512.00,944.00,36.00,4008.00,9024.00,-948.00,-1428.00,480.00,6200.00,6200.00,0.00,-132.00,8.00,3896.00,260.00,3636.00,-423.00,0.00
1971:Q3,660.00,549.00,1648.00,204.00,68.00,0.00,4664.00,1372.00,892.00,2400.00,32.00,-3320.00,1136.00,2608.00,-1108.00,3716.00,-7868.00,-7868.00,0.00,100.00,8.00,6288.00,556.00,5732.00,-401.00,0.00
1971:Q4,756.00,563.00,9084.00,204.00,68.00,0.00,6272.00,-420.00,2656.00,4036.00,36.00,2504.00,8616.00,9332.00,4360.00,4972.00,6348.00,6348.00,0.00,0.00,0.00,-7064.00,1168.00,-8232.00,-275.00,0.00
1972:Q1,670.00,458.00,10864.00,200.00,64.00,0.00,12344.00,4924.00,1780.00,5640.00,36.00,-1780.00,10424.00,512.00,-2172.00,2684.00,-96.00,-96.00,0.00,92.00,8.00,9908.00,1880.00,8028.00,-228.00,0.00
1972:Q2,640.00,471.00,11948.00,196.00,68.00,0.00,8436.00,3316.00,2196.00,2924.00,36.00,3212.00,11536.00,2836.00,-1004.00,3840.00,3656.00,3656.00,0.00,-204.00,8.00,5240.00,2688.00,2552.00,-243.00,0.00
1972:Q3,649.00,482.00,4668.00,196.00,64.00,0.00,7376.00,2584.00,1568.00,3224.00,40.00,-3008.00,4200.00,-1312.00,-4196.00,2884.00,2804.00,2804.00,0.00,80.00,8.00,2620.00,2788.00,-168.00,-301.00,0.00
1972:Q4,745.00,515.00,18820.00,192.00,64.00,0.00,11600.00,5996.00,3104.00,2500.00,36.00,6928.00,18508.00,8932.00,2372.00,6560.00,13456.00,13456.00,0.00,116.00,4.00,-4000.00,2184.00,-6184.00,-82.00,0.00
1973:Q1,766.00,856.00,10028.00,188.00,64.00,0.00,12628.00,5800.00,832.00,5996.00,36.00,-2888.00,9968.00,4272.00,-1004.00,5276.00,-1900.00,-1900.00,0.00,136.00,24.00,7436.00,1740.00,5696.00,-150.00,0.00
1973:Q2,827.00,905.00,18616.00,188.00,60.00,0.00,14020.00,7112.00,3204.00,3704.00,40.00,4308.00,18264.00,3884.00,2900.00,984.00,9836.00,9836.00,0.00,-244.00,24.00,4764.00,456.00,4308.00,-430.00,0.00
1973:Q3,887.00,930.00,3700.00,184.00,64.00,0.00,8408.00,3460.00,-188.00,5136.00,36.00,-4992.00,3608.00,3252.00,-780.00,4032.00,-1412.00,-1412.00,0.00,100.00,24.00,1644.00,240.00,1404.00,-135.00,0.00
1973:Q4,879.00,947.00,22072.00,180.00,60.00,0.00,12520.00,3476.00,5496.00,3548.00,40.00,9272.00,21780.00,12060.00,6720.00,5340.00,7432.00,7432.00,0.00,8.00,24.00,2256.00,100.00,2156.00,-360.00,0.00
1974:Q1,1199.00,1232.00,11280.00,176.00,56.00,0.00,11612.00,5228.00,3104.00,3280.00,40.00,-604.00,10880.00,7360.00,8720.00,-1360.00,-5808.00,-5808.00,0.00,108.00,-4.00,9224.00,-280.00,9504.00,-433.00,0.00
1974:Q2,860.00,1268.00,6480.00,172.00,60.00,0.00,4920.00,2784.00,-188.00,2324.00,40.00,1288.00,5660.00,5408.00,1388.00,4020.00,3236.00,3236.00,0.00,-212.00,-4.00,-2768.00,-888.00,-1880.00,-1228.00,0.00
