date,FA156902505.A,FA156300003.A,FA156902605.A,FA156025005.A,FA156020001.A,FA156401001.A,FA156240101.A,FA156402101.A,FA156140005.A,FA156402101.A,FA156025105.A,FA156020101.A,FA156401101.A,FA156150105.A,FA156130101.A,FA156120105.A,FA156121101.A,FA156122101.A,FA156130001.A,FA156140005.A,FA156220001.A,FA156404105.A,FA156600001.A,FA156403101.A,FA156403001.A,FA156012095.A,FA156901001.A,FA156006005.A,FA156006315.A,FA156006005.A,FA155440005.A,FA155050905.A,FA155019005.A,FA155012005.A,FA165013005.A,FA156300003.A,FA155420003.A,FA155000905.A,FA155000905.A,FA154090005.A,FA154000005.A,FA153020005.A,FA153030005.A,FA153091003.A,FA313131003.A,FA154022005.A,FA163069103.A,FA153061105.A,FA153061705.A,FA153062005.A,FA153063005.A,FA154023005.A,FA154041005.A,FA153065005.A,FA153081005.A,FA153064105.A,FA153064205.A,FA153034005.A,FA152090205.A,FA153094305.A,FA153052005.A,FA153076005.A,FA153040005.A,FA153050005.A,FA543195005.A,FA313195105.A,FA154190005.A,FA163162003.A,FA154123005.A,FA154141005.A,FA153166000.A,FA153168005.A,FA153169005.A,FA153165005.A,FA543077073.A,FA163170003.A,FA155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010085.A,FR155035005.A,FR155111005.A,FR165015205.A,FR165013765.A,FR158080095.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052045.A,FR158200095.A,FC152090005.A,FL152000005.A,FL152010005.A,LM155035005.A,FL155111005.A,FL165015205.A,FL165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,FL153091003.A,FL153030005.A,FL313131003.A,FL154022005.A,FL163069103.A,FL153061105.A,FL153061705.A,FL153062005.A,FL153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,FL152090205.A,FL153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL543195005.A,FL313195105.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170003.A,FL152090005.A
1980,260650.00,62193.00,198457.00,86529.00,77844.00,8685.00,31802.00,80126.00,2159965.00,80126.00,1626229.00,1373422.00,252807.00,571573.00,322275.00,249298.00,63973.00,185325.00,117962.00,2159965.00,299512.00,271498.00,166188.00,8630.00,6580.00,1967814.00,1754617.00,213196.00,204418.00,213196.00,8778.00,52995.00,116875.00,98956.00,17919.00,62193.00,-1687.00,151423.00,151423.00,343483.00,134496.00,13092.00,121404.00,0.00,0.00,12021.00,-3594.00,17042.00,6160.00,6411.00,-13998.00,14271.00,7822.00,6449.00,-31318.00,-11875.00,-590.00,24907.00,-43760.00,0.00,214013.00,5093.00,10254.00,196587.00,2079.00,0.00,113907.00,3100.00,108381.00,17517.00,3428.00,-872.00,14961.00,90864.00,1247.00,1179.00,229576.00,88079.00,17715.00,-101.00,-7688.00,-78153.00,418623.00,337221.00,77519.00,3116.00,767.00,567610.00,260866.00,7852.00,287387.00,0.00,11505.00,986233.00,1278731.00,11767114.00,4451151.00,3413722.00,990891.00,36149.00,10389.00,7315963.00,1475412.00,238047.00,0.00,1237365.00,0.00,442330.00,52267.00,173868.00,18600.00,130052.00,67543.00,109476.00,22221.00,87255.00,3314313.00,1010470.00,52060.00,64366.00,2187417.00,0.00,1974432.00,42115.00,220559.00,1674445.00,37313.00,0.00,11767114.00,1440572.00,16700.00,1397127.00,452345.00,358044.00,17469.00,76832.00,944782.00,12939.00,13806.00,10326542.00
1981,293934.00,68466.00,225468.00,96845.00,86915.00,9930.00,35138.00,93485.00,2424193.00,93485.00,1795268.00,1511373.00,283895.00,671935.00,399521.00,272415.00,73630.00,198785.00,136495.00,2424193.00,345780.00,307809.00,195701.00,11175.00,11716.00,2189980.00,1937505.00,252475.00,243213.00,252475.00,9262.00,47130.00,117359.00,97536.00,19823.00,68466.00,-1762.00,196083.00,196083.00,388336.00,112877.00,46324.00,66553.00,0.00,0.00,10340.00,-10267.00,-5153.00,-4062.00,28723.00,1099.00,11247.00,-3862.00,15109.00,61000.00,-41897.00,4492.00,90244.00,8161.00,0.00,192872.00,4680.00,9585.00,175283.00,3324.00,0.00,102872.00,4400.00,95719.00,27935.00,19838.00,942.00,7155.00,67784.00,1783.00,970.00,285464.00,111348.00,18941.00,0.00,3025.00,-89381.00,398314.00,344249.00,50935.00,2360.00,770.00,73625.00,-63428.00,-3912.00,149525.00,0.00,-8560.00,471938.00,826499.00,12703733.00,4916756.00,3803851.00,1060767.00,40085.00,12053.00,7786977.00,1589707.00,284389.00,0.00,1305318.00,0.00,460750.00,42000.00,168758.00,14224.00,160269.00,75499.00,119766.00,18359.00,101407.00,3457498.00,905145.00,52640.00,154610.00,2345103.00,0.00,2159256.00,46795.00,230141.00,1841683.00,40637.00,0.00,12703733.00,1550692.00,21100.00,1500094.00,482780.00,377882.00,20911.00,83987.00,1017314.00,14722.00,14776.00,11153041.00
1982,325563.00,72872.00,252691.00,107323.00,96321.00,11002.00,38375.00,106993.00,2573621.00,106993.00,1894319.00,1587517.00,306802.00,736020.00,464045.00,271975.00,77562.00,194413.00,163710.00,2573621.00,354743.00,343079.00,208894.00,12386.00,13843.00,2351606.00,2073910.00,277696.00,267593.00,277696.00,10103.00,35520.00,110259.00,86832.00,23426.00,72872.00,-1867.00,232073.00,232073.00,396229.00,152610.00,19460.00,133150.00,0.00,0.00,64297.00,6718.00,19311.00,-3167.00,41926.00,-491.00,22244.00,4954.00,17290.00,-59493.00,-37257.00,3487.00,32102.00,-57825.00,0.00,216571.00,4805.00,7817.00,200089.00,3860.00,0.00,88501.00,8500.00,78377.00,29085.00,18836.00,1620.00,8629.00,49292.00,793.00,831.00,307728.00,94235.00,18170.00,-309.00,720.00,-75655.00,174948.00,149888.00,23457.00,1092.00,512.00,223451.00,98430.00,8983.00,99395.00,0.00,16643.00,398399.00,760227.00,13537636.00,5148110.00,3989640.00,1102394.00,42671.00,13405.00,8389526.00,1737531.00,303864.00,2427.00,1431240.00,0.00,517054.00,48718.00,185122.00,13424.00,201050.00,68740.00,134201.00,23313.00,110888.00,3604517.00,966318.00,65110.00,186712.00,2386377.00,0.00,2396223.00,51600.00,237958.00,2062168.00,44497.00,0.00,13537636.00,1624369.00,29600.00,1563647.00,511554.00,396718.00,22220.00,92616.00,1052093.00,15515.00,15607.00,11913267.00
1983,355774.00,76013.00,279761.00,118128.00,104712.00,13416.00,40932.00,120702.00,2743066.00,120702.00,2013907.00,1677513.00,336394.00,796189.00,501349.00,294839.00,83288.00,211551.00,187731.00,2743066.00,352879.00,370499.00,225953.00,13796.00,15008.00,2533521.00,2286519.00,247002.00,238712.00,247002.00,8290.00,74700.00,152689.00,127164.00,25525.00,76013.00,-1977.00,164012.00,164012.00,463076.00,197588.00,9725.00,187547.00,316.00,0.00,86303.00,-4938.00,42499.00,1348.00,45410.00,1984.00,-588.00,-740.00,152.00,-94263.00,-28146.00,22733.00,-36768.00,-52082.00,0.00,274036.00,12299.00,8779.00,248849.00,4109.00,0.00,183791.00,11400.00,169366.00,56647.00,48160.00,-1850.00,10337.00,112719.00,584.00,2441.00,279285.00,192378.00,51620.00,-454.00,25939.00,-115273.00,133583.00,111630.00,21021.00,463.00,470.00,296481.00,150401.00,10197.00,111022.00,0.00,24861.00,430064.00,861154.00,14562582.00,5410793.00,4175852.00,1175035.00,45262.00,14644.00,9151789.00,1954062.00,313589.00,6937.00,1633536.00,0.00,597186.00,43780.00,230680.00,14518.00,246647.00,61561.00,133886.00,22573.00,111313.00,3781595.00,1088573.00,98040.00,149944.00,2445038.00,0.00,2685060.00,63899.00,246737.00,2325818.00,48606.00,0.00,14562582.00,1788160.00,41000.00,1713013.00,568201.00,444878.00,20370.00,102953.00,1144812.00,16099.00,18048.00,12774422.00
1984,387680.00,80866.00,306814.00,129915.00,113855.00,16060.00,43989.00,132910.00,3061929.00,132910.00,2217403.00,1844914.00,372489.00,921854.00,574845.00,347009.00,90643.00,256366.00,210238.00,3061929.00,377916.00,380909.00,257470.00,19727.00,16923.00,2810256.00,2498156.00,312100.00,303740.00,312100.00,8360.00,95348.00,178391.00,150938.00,27453.00,80866.00,-2177.00,208392.00,208392.00,504531.00,233036.00,13440.00,219598.00,-2.00,0.00,127682.00,21860.00,56397.00,13214.00,44199.00,-7988.00,6451.00,5324.00,1127.00,-70855.00,-73611.00,19415.00,44374.00,-61033.00,0.00,208217.00,-1378.00,6050.00,199302.00,4243.00,0.00,223739.00,10171.00,211416.00,76911.00,81706.00,-3486.00,-1309.00,134505.00,-991.00,3143.00,280792.00,162282.00,80072.00,0.00,9810.00,-72401.00,481367.00,466282.00,14473.00,344.00,268.00,72090.00,-4998.00,1563.00,58553.00,0.00,16972.00,553457.00,1019478.00,15801832.00,6067104.00,4733727.00,1269579.00,48100.00,15698.00,9734728.00,2187124.00,327033.00,6902.00,1853189.00,0.00,699266.00,65640.00,277496.00,27522.00,290221.00,38387.00,130906.00,27897.00,103009.00,3765858.00,1009964.00,119018.00,194318.00,2442558.00,0.00,2951574.00,62521.00,252787.00,2583417.00,52849.00,0.00,15801832.00,2007932.00,51171.00,1920462.00,641814.00,526584.00,13586.00,101644.00,1278648.00,15108.00,21191.00,13793900.00
1985,415804.00,86155.00,329649.00,139539.00,121836.00,17703.00,46690.00,143420.00,3280069.00,143420.00,2388965.00,1982550.00,406415.00,986878.00,615868.00,371010.00,97390.00,273620.00,239194.00,3280069.00,417813.00,403112.00,281370.00,22260.00,18455.00,2987803.00,2722680.00,265123.00,256189.00,265123.00,8934.00,96568.00,185269.00,157065.00,28205.00,86155.00,-2546.00,159621.00,159621.00,531954.00,156242.00,17810.00,137616.00,816.00,0.00,149116.00,-9169.00,12253.00,-7188.00,104787.00,48433.00,26128.00,21871.00,4257.00,-69224.00,-127570.00,74423.00,3394.00,-19471.00,0.00,269692.00,27241.00,11549.00,226821.00,4081.00,0.00,333506.00,30163.00,300116.00,115193.00,83990.00,5428.00,25775.00,184923.00,101.00,3126.00,198448.00,176332.00,93281.00,-1212.00,45436.00,-38827.00,528346.00,513748.00,14189.00,308.00,101.00,523501.00,344478.00,37774.00,84219.00,0.00,57030.00,1051847.00,1484367.00,17640456.00,6784057.00,5339883.00,1377049.00,50419.00,16706.00,10856399.00,2447233.00,344843.00,7791.00,2094599.00,0.00,834169.00,56471.00,281176.00,22679.00,394259.00,79584.00,165942.00,49768.00,116174.00,4150925.00,1226872.00,219442.00,197712.00,2506899.00,0.00,3258130.00,89762.00,264336.00,2847102.00,56930.00,0.00,17640456.00,2362188.00,81334.00,2241328.00,752507.00,610574.00,19014.00,122919.00,1488821.00,15209.00,24317.00,15278268.00
1986,451640.00,93435.00,358205.00,152117.00,132589.00,19528.00,49545.00,156543.00,3479517.00,156543.00,2543844.00,2102335.00,441509.00,1042568.00,649832.00,392737.00,106030.00,286707.00,263438.00,3479517.00,437806.00,428607.00,303438.00,22948.00,22056.00,3167772.00,2898408.00,269364.00,259345.00,269364.00,10019.00,118753.00,215079.00,184430.00,30649.00,93435.00,-2891.00,140591.00,140591.00,621810.00,240513.00,117079.00,122658.00,776.00,0.00,54414.00,-339.00,-45.00,2740.00,17869.00,34189.00,5657.00,9229.00,-3572.00,40693.00,-122990.00,130094.00,42111.00,-8522.00,0.00,280533.00,16659.00,18263.00,241522.00,4089.00,0.00,267276.00,-2962.00,269290.00,65249.00,55781.00,-1529.00,10997.00,204041.00,-1324.00,2272.00,354534.00,367558.00,108676.00,0.00,44940.00,-213943.00,408268.00,370237.00,36578.00,1412.00,42.00,527524.00,391287.00,26207.00,105217.00,0.00,4813.00,935792.00,1562695.00,19468328.00,7422354.00,5827694.00,1522302.00,54289.00,18069.00,12045974.00,2683810.00,461922.00,8753.00,2213135.00,0.00,877029.00,56132.00,271219.00,23654.00,411316.00,114708.00,171599.00,58997.00,112602.00,4733328.00,1495169.00,375743.00,236701.00,2625715.00,0.00,3580208.00,106421.00,282599.00,3130169.00,61019.00,0.00,19468328.00,2627366.00,78372.00,2508520.00,816256.00,666355.00,17485.00,132416.00,1692264.00,13885.00,26589.00,16840962.00
1987,495315.00,101821.00,393494.00,171035.00,149141.00,21894.00,54103.00,168356.00,3713480.00,168356.00,2724310.00,2256267.00,468044.00,1095824.00,668290.00,427534.00,112150.00,315384.00,275010.00,3713480.00,489587.00,447913.00,323113.00,20228.00,24789.00,3344132.00,3092051.00,252081.00,241505.00,252081.00,10576.00,130476.00,235541.00,200228.00,35313.00,101821.00,-3244.00,111030.00,111030.00,510298.00,146053.00,-659.00,146843.00,-131.00,0.00,173782.00,-786.00,31753.00,4889.00,107030.00,30896.00,-4401.00,-18831.00,14430.00,-89454.00,-130299.00,47612.00,21580.00,-28347.00,0.00,284318.00,23024.00,26941.00,229038.00,5315.00,0.00,253158.00,-299.00,247566.00,19643.00,32285.00,385.00,-13027.00,227923.00,1208.00,4683.00,257140.00,301602.00,100901.00,0.00,54590.00,-146110.00,384876.00,353830.00,29460.00,1079.00,507.00,250766.00,107985.00,-24126.00,141855.00,0.00,25052.00,635642.00,1178749.00,20854934.00,8040329.00,6308911.00,1652663.00,58600.00,20155.00,12814605.00,2822829.00,460886.00,9759.00,2352184.00,0.00,1056911.00,55346.00,312806.00,35600.00,520819.00,132340.00,161333.00,41088.00,120245.00,4867789.00,1472855.00,397429.00,258281.00,2739223.00,0.00,3905743.00,129445.00,307540.00,3402424.00,66334.00,0.00,20854934.00,2835222.00,78073.00,2710784.00,832630.00,698640.00,17870.00,116120.00,1878154.00,15093.00,31272.00,18019712.00
1988,546782.00,109884.00,436898.00,193107.00,169431.00,23676.00,57713.00,186078.00,4037902.00,186078.00,2950040.00,2439782.00,510258.00,1193407.00,710249.00,483158.00,129743.00,353415.00,291622.00,4037902.00,505939.00,476864.00,361482.00,20596.00,26305.00,3641636.00,3346892.00,294744.00,283630.00,294744.00,11114.00,135734.00,249033.00,210839.00,38194.00,109884.00,-3414.00,147896.00,147896.00,559842.00,167595.00,-396.00,167079.00,912.00,0.00,180092.00,38211.00,76575.00,18123.00,58594.00,-11411.00,6240.00,3984.00,2256.00,-136313.00,-114874.00,-5617.00,17611.00,-33433.00,0.00,342228.00,14692.00,27725.00,293545.00,6266.00,0.00,276838.00,1491.00,272463.00,52468.00,46566.00,380.00,5522.00,219995.00,449.00,2435.00,283004.00,290931.00,104051.00,0.00,51773.00,-135108.00,486363.00,441191.00,43592.00,1019.00,562.00,609429.00,409638.00,18224.00,175876.00,0.00,5692.00,1095792.00,1670354.00,22826665.00,8763194.00,6876562.00,1800306.00,63306.00,23020.00,14063471.00,3009153.00,460490.00,10708.00,2537955.00,0.00,1298116.00,93557.00,398038.00,55224.00,590828.00,160469.00,167573.00,45072.00,122501.00,5335213.00,1767619.00,410036.00,275892.00,2881666.00,0.00,4253416.00,144137.00,335651.00,3701028.00,72600.00,0.00,22826665.00,3136599.00,79564.00,3000222.00,882648.00,745206.00,18250.00,119192.00,2117574.00,15542.00,41271.00,19690066.00
1989,592436.00,118237.00,474199.00,211746.00,184718.00,27028.00,62521.00,199933.00,4345198.00,199933.00,3142567.00,2583051.00,559516.00,1321181.00,794802.00,526379.00,157797.00,368582.00,318482.00,4345198.00,567734.00,521070.00,385231.00,23171.00,27146.00,3909328.00,3592816.00,316511.00,305724.00,316511.00,10787.00,129012.00,251054.00,209149.00,41906.00,118237.00,-3806.00,176713.00,176713.00,480617.00,87970.00,1694.00,85511.00,765.00,0.00,103321.00,-5676.00,45904.00,24411.00,29996.00,8686.00,19058.00,10193.00,8865.00,-43694.00,-116406.00,30326.00,78574.00,-36188.00,0.00,313962.00,11818.00,28435.00,268411.00,5298.00,0.00,292354.00,3151.00,272201.00,40099.00,46979.00,-9545.00,2665.00,232102.00,829.00,16173.00,188262.00,181264.00,96343.00,-3258.00,76630.00,-11549.00,479458.00,449131.00,29016.00,898.00,413.00,791367.00,511040.00,36631.00,156617.00,0.00,87079.00,1270824.00,1757813.00,24869343.00,9464624.00,7444347.00,1925665.00,68558.00,26054.00,15404719.00,3097594.00,462190.00,11874.00,2623530.00,0.00,1385395.00,87881.00,399863.00,78611.00,619514.00,199526.00,186631.00,55265.00,131366.00,5994237.00,2186242.00,457339.00,350131.00,3000525.00,0.00,4740863.00,155955.00,365250.00,4141760.00,77898.00,0.00,24869343.00,3421464.00,82715.00,3264934.00,934847.00,809285.00,8705.00,116857.00,2330087.00,16371.00,57444.00,21447879.00
1990,642455.00,125126.00,517329.00,233655.00,203054.00,30601.00,66509.00,217165.00,4598799.00,217165.00,3342670.00,2741199.00,601471.00,1376579.00,823059.00,553520.00,168824.00,384696.00,337614.00,4598799.00,594668.00,574674.00,410108.00,22193.00,29816.00,4161074.00,3825627.00,335448.00,319693.00,335448.00,15755.00,110454.00,239875.00,194687.00,45188.00,125126.00,-4295.00,209239.00,209239.00,660363.00,40076.00,-11539.00,50205.00,1410.00,0.00,220281.00,5777.00,96438.00,35543.00,35866.00,46657.00,19633.00,9586.00,10047.00,34730.00,-52173.00,27573.00,38923.00,20407.00,0.00,345644.00,14384.00,26823.00,298870.00,5567.00,0.00,239228.00,2979.00,226817.00,19608.00,15106.00,887.00,3615.00,207209.00,88.00,9344.00,421135.00,287184.00,77949.00,0.00,-2662.00,-211897.00,97037.00,59936.00,35489.00,1327.00,285.00,-142167.00,-136603.00,-26699.00,35825.00,0.00,-14690.00,-45130.00,561746.00,25699482.00,9747151.00,7604702.00,2039103.00,74319.00,29027.00,15952331.00,3137656.00,450651.00,13427.00,2673578.00,0.00,1629228.00,93658.00,509197.00,121823.00,655388.00,249162.00,206263.00,64851.00,141412.00,5898364.00,1994466.00,458213.00,389054.00,3056631.00,0.00,5080819.00,170339.00,391738.00,4435277.00,83465.00,0.00,25699482.00,3689856.00,85694.00,3520915.00,954455.00,824391.00,9592.00,120472.00,2566460.00,16459.00,66788.00,22009625.00
1991,683950.00,130594.00,553356.00,252425.00,218326.00,34099.00,71474.00,229456.00,4713064.00,229456.00,3451998.00,2814478.00,637520.00,1377089.00,806037.00,571052.00,180170.00,390882.00,345479.00,4713064.00,588901.00,650507.00,430182.00,17636.00,36085.00,4326039.00,3960154.00,365885.00,351433.00,365885.00,14452.00,95822.00,230675.00,183356.00,47320.00,130594.00,-4260.00,255611.00,255611.00,533553.00,-26818.00,54379.00,-82225.00,1028.00,0.00,30398.00,-35158.00,12580.00,-4196.00,35103.00,22069.00,32307.00,30610.00,1697.00,156161.00,12404.00,98456.00,17980.00,27321.00,0.00,341505.00,4836.00,25172.00,305612.00,5885.00,0.00,208570.00,3817.00,196061.00,13009.00,-8810.00,-1852.00,23671.00,183052.00,-722.00,9414.00,324984.00,77080.00,39363.00,-1176.00,-30479.00,-69372.00,76033.00,36972.00,38907.00,-126.00,280.00,921048.00,815567.00,76350.00,-68009.00,0.00,97140.00,997080.00,1425594.00,27337245.00,9957863.00,7729384.00,2117373.00,78767.00,32339.00,17379382.00,3110853.00,505030.00,14565.00,2591258.00,0.00,1622243.00,58500.00,523066.00,104808.00,687041.00,248828.00,238570.00,95461.00,143109.00,6878090.00,2822437.00,633019.00,407034.00,3015600.00,0.00,5529625.00,175175.00,418577.00,4846523.00,89350.00,0.00,27337245.00,3902026.00,89511.00,3720576.00,967464.00,815581.00,7740.00,144143.00,2753112.00,15737.00,76202.00,23435219.00
1992,728684.00,136268.00,592416.00,273018.00,234772.00,38246.00,73853.00,245544.00,5000453.00,245544.00,3671132.00,2965541.00,705592.00,1428246.00,793893.00,634353.00,189051.00,445301.00,344469.00,5000453.00,612802.00,731750.00,454951.00,16287.00,39054.00,4641683.00,4215655.00,426028.00,420348.00,426028.00,5680.00,124761.00,265292.00,215864.00,49428.00,136268.00,-4264.00,295587.00,295587.00,600053.00,-2246.00,111475.00,-114894.00,1173.00,0.00,74480.00,-5824.00,100226.00,19856.00,-41322.00,1544.00,-15896.00,-9913.00,-5983.00,155779.00,28018.00,140708.00,-42633.00,29686.00,0.00,387936.00,9791.00,28598.00,341067.00,8480.00,0.00,208639.00,2380.00,200363.00,20787.00,9188.00,6989.00,4610.00,179577.00,25.00,5871.00,391414.00,145122.00,56405.00,-9790.00,2680.00,-95827.00,144793.00,124703.00,19573.00,280.00,238.00,308562.00,299825.00,27303.00,-43646.00,0.00,25080.00,453354.00,1018825.00,28564708.00,10274263.00,7961953.00,2193351.00,82840.00,36119.00,18290445.00,2996321.00,616505.00,15600.00,2364216.00,0.00,1722504.00,52676.00,633394.00,123316.00,642789.00,270329.00,222674.00,85548.00,137126.00,7275823.00,3112850.00,801030.00,364401.00,2997542.00,0.00,6073124.00,184966.00,447710.00,5342618.00,97830.00,0.00,28564708.00,4110665.00,91891.00,3920939.00,988251.00,824769.00,14729.00,148753.00,2932689.00,15762.00,82073.00,24454043.00
1993,781051.00,145728.00,635323.00,291410.00,250280.00,41130.00,73751.00,270162.00,5218996.00,270162.00,3820671.00,3079341.00,741331.00,1469255.00,784758.00,684496.00,204734.00,479762.00,341092.00,5218996.00,648755.00,778935.00,477425.00,14054.00,47169.00,4838635.00,4470998.00,367638.00,351083.00,367638.00,16555.00,140999.00,291019.00,242941.00,48078.00,145728.00,-4292.00,210085.00,210085.00,561057.00,-72650.00,51076.00,-122646.00,-1080.00,0.00,58568.00,12364.00,40979.00,-67717.00,-47349.00,120290.00,19303.00,26763.00,-7460.00,135093.00,-95305.00,187808.00,-3073.00,45663.00,0.00,420744.00,5699.00,35877.00,371566.00,7602.00,0.00,268743.00,1061.00,261186.00,94189.00,61400.00,8844.00,23945.00,166998.00,506.00,5990.00,292314.00,172173.00,73766.00,-1622.00,17800.00,-82230.00,164989.00,130126.00,35040.00,-283.00,106.00,708732.00,461344.00,93407.00,94727.00,0.00,59254.00,873721.00,1396977.00,30232796.00,10651356.00,8225743.00,2302157.00,85115.00,38341.00,19581440.00,2924964.00,667581.00,15757.00,2241626.00,0.00,1802195.00,65040.00,668515.00,53234.00,596799.00,418607.00,241977.00,112311.00,129666.00,8059458.00,3478889.00,1082245.00,361328.00,3136996.00,0.00,6552847.00,190665.00,484813.00,5771937.00,105432.00,0.00,30232796.00,4381775.00,92952.00,4184492.00,1082439.00,886169.00,23573.00,172697.00,3102053.00,16268.00,88063.00,25851021.00
1994,832440.00,155284.00,677156.00,307628.00,264345.00,43283.00,77172.00,292356.00,5496322.00,292356.00,4010130.00,3236589.00,773541.00,1543052.00,795148.00,747904.00,235217.00,512687.00,349216.00,5496322.00,693072.00,815708.00,508180.00,13255.00,51594.00,5072439.00,4741020.00,331419.00,315953.00,331419.00,15466.00,166146.00,325974.00,276952.00,49022.00,155284.00,-4543.00,149806.00,149806.00,601321.00,-52781.00,-31147.00,-24728.00,3094.00,0.00,366417.00,4676.00,182808.00,126339.00,-29152.00,81746.00,-5067.00,3434.00,-8501.00,-75158.00,-123756.00,-7354.00,11937.00,44015.00,0.00,367910.00,6603.00,35884.00,317372.00,8051.00,0.00,329021.00,3186.00,320139.00,154451.00,134999.00,9394.00,10058.00,165688.00,529.00,5167.00,272300.00,345793.00,93661.00,-4778.00,134416.00,-122494.00,185217.00,156379.00,28319.00,-223.00,742.00,85288.00,-4624.00,-76408.00,168768.00,0.00,-2448.00,270505.00,932250.00,31493385.00,11089782.00,8537041.00,2424137.00,87566.00,41038.00,20403603.00,2872290.00,636434.00,18847.00,2217009.00,0.00,2306290.00,69716.00,890451.00,212720.00,584451.00,548952.00,236551.00,115745.00,120806.00,8064335.00,3350509.00,998483.00,373265.00,3342078.00,0.00,6924137.00,197268.00,520348.00,6093038.00,113483.00,0.00,31493385.00,4710114.00,96138.00,4503949.00,1236208.00,1021168.00,32285.00,182755.00,3267741.00,16797.00,93230.00,26783271.00
1995,885734.00,164822.00,720912.00,324187.00,278543.00,45644.00,77533.00,319193.00,5789416.00,319193.00,4202649.00,3418022.00,784627.00,1657477.00,857006.00,800472.00,257987.00,542485.00,389903.00,5789416.00,748406.00,864727.00,532800.00,18728.00,54565.00,5337099.00,4984177.00,352923.00,334015.00,352923.00,18907.00,148610.00,318235.00,266594.00,51641.00,164822.00,-4803.00,185405.00,185405.00,604777.00,82126.00,-49873.00,127434.00,4565.00,0.00,-19469.00,2015.00,-10077.00,26072.00,-82951.00,45472.00,22548.00,29778.00,-7230.00,125296.00,-41752.00,49353.00,98825.00,18870.00,0.00,394276.00,9557.00,40183.00,336517.00,8019.00,0.00,331632.00,221.00,322833.00,169753.00,146990.00,18511.00,4252.00,153080.00,718.00,7860.00,273145.00,152743.00,94535.00,-1219.00,-28313.00,-87740.00,165846.00,155318.00,10593.00,-527.00,462.00,1777338.00,1189502.00,162382.00,156644.00,0.00,268810.00,1943184.00,2429942.00,34254961.00,11497350.00,8834732.00,2529265.00,90118.00,43235.00,22757611.00,2954498.00,586561.00,23356.00,2344581.00,0.00,2236946.00,71731.00,844973.00,227307.00,490640.00,602295.00,259099.00,145523.00,113576.00,9697694.00,4498259.00,1210218.00,472090.00,3517127.00,0.00,7609374.00,206825.00,566188.00,6714859.00,121502.00,0.00,34254961.00,5041748.00,96359.00,4826784.00,1405963.00,1168160.00,50796.00,187007.00,3420821.00,17515.00,101090.00,29213213.00
1996,931560.00,172679.00,758881.00,339663.00,292390.00,47273.00,80007.00,339211.00,6133138.00,339211.00,4422109.00,3616470.00,805640.00,1786196.00,875309.00,910887.00,302175.00,608712.00,414378.00,6133138.00,837083.00,906325.00,555078.00,22878.00,56898.00,5613282.00,5268069.00,345213.00,322103.00,345213.00,23110.00,176703.00,354027.00,299200.00,54827.00,172679.00,-4645.00,145400.00,145400.00,605578.00,111712.00,-41713.00,141060.00,12365.00,0.00,39466.00,4090.00,-16365.00,105748.00,-44075.00,-9933.00,37007.00,44489.00,-7482.00,38252.00,-150455.00,162898.00,28796.00,-2987.00,0.00,379142.00,2753.00,40160.00,328427.00,7802.00,0.00,349411.00,6081.00,334513.00,125315.00,105718.00,-10113.00,29710.00,209198.00,791.00,8026.00,256168.00,329024.00,110225.00,0.00,108031.00,-110768.00,201320.00,215098.00,-11560.00,-1992.00,-227.00,865489.00,412864.00,137240.00,122144.00,0.00,193241.00,1066809.00,1717936.00,36335324.00,11985994.00,9221358.00,2627930.00,91444.00,45262.00,24349330.00,3065808.00,544848.00,35469.00,2485491.00,0.00,2377896.00,75821.00,898643.00,350693.00,455351.00,597388.00,296106.00,190012.00,106094.00,10347194.00,4760668.00,1450356.00,499886.00,3636284.00,0.00,8262327.00,209578.00,610646.00,7312799.00,129304.00,0.00,36335324.00,5404175.00,102440.00,5174313.00,1531278.00,1273878.00,40683.00,216717.00,3643036.00,18306.00,109116.00,30931149.00
