date,FU316010105.Q,FU316210001.Q,FU316240001.Q,FU316231005.Q,FU316231061.Q,FU316601001.Q,FU316150105.Q,FU316403105.Q,FU316402101.Q,FU316900005.Q,FU316901001.Q,FU316404001.Q,FU316403001.Q,FU316130001.Q,FU316402001.Q,FU316006005.Q,FU316300003.Q,FU313154015.Q,FU315440095.Q,FU316000105.Q,FU315090005.Q,FU315019001.Q,FU315420003.Q,FU315000005.Q,FU314090005.Q,FU313011005.Q,FU313020005.Q,FU313030003.Q,FU314022005.Q,FU313061703.Q,FU313063763.Q,FU314023005.Q,FU313069005.Q,FU313065005.Q,FU313066220.Q,FU313064105.Q,FU313070000.Q,FU313078005.Q,FU313090005.Q,FU314190005.Q,FU313111303.Q,FU713014003.Q,FU313112003.Q,FU314122005.Q,FU313161105.Q,FU313161205.Q,FU313161305.Q,FU313161705.Q,FU313165403.Q,FU313170005.Q,FU313140003.Q,FU313190005.Q,FU343073005.Q,FU313190015.Q,FU317005005.Q,FU314000105.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,39452.00,16351.00,7691.00,8642.00,0.00,6463.00,0.00,305.00,0.00,47618.00,28982.00,8654.00,3144.00,5110.00,1728.00,-8166.00,9952.00,1320.00,-642.00,1108.00,7640.00,3079.00,0.00,4561.00,-15753.00,-89.00,-22723.00,16.00,0.00,0.00,0.00,1963.00,2309.00,-346.00,0.00,0.00,-800.00,5813.00,67.00,-20314.00,0.00,0.00,126.00,-23079.00,-22876.00,-24462.00,1586.00,-203.00,0.00,-2013.00,1165.00,3487.00,3522.00,-35.00,-6532.00,-22104.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,42812.00,18793.00,7664.00,10664.00,0.00,5389.00,0.00,302.00,0.00,40431.00,23020.00,8383.00,2916.00,5377.00,735.00,2381.00,9591.00,1116.00,-676.00,11532.00,21642.00,2793.00,0.00,18849.00,14708.00,1401.00,-552.00,-9.00,0.00,0.00,0.00,3971.00,4064.00,-93.00,0.00,0.00,-100.00,9594.00,403.00,-4141.00,0.00,0.00,-28.00,-6408.00,-6371.00,-9279.00,2908.00,-37.00,0.00,-666.00,605.00,2356.00,2612.00,-256.00,-10110.00,-2114.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
