1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2014:Q2,1746217.00,667810.00,28401.00,240473.00,574399.00,291449.00,515356.00,-11347.00,329570.00,431906.00
2014:Q3,2170007.00,392827.00,19346.00,226490.00,751647.00,465795.00,1107151.00,-81618.00,550229.00,4312.00
2014:Q4,1511367.00,306984.00,94016.00,210890.00,742879.00,447735.00,439870.00,21635.00,475769.00,190883.00
2015:Q1,1188252.00,286717.00,33245.00,203872.00,884591.00,634820.00,-37933.00,54878.00,-152111.00,166496.00
2015:Q2,1933629.00,558142.00,203032.00,266633.00,967795.00,636211.00,391141.00,16550.00,308465.00,58601.00
2015:Q3,1181898.00,197923.00,142381.00,244104.00,677507.00,433484.00,300234.00,6234.00,287568.00,-189578.00
2015:Q4,3419782.00,528372.00,156745.00,216339.00,681929.00,258829.00,2244847.00,-35365.00,222126.00,-114806.00
2016:Q1,2450238.00,378960.00,195413.00,199075.00,1197196.00,892804.00,851939.00,22143.00,596185.00,-89803.00
2016:Q2,1994821.00,621796.00,234151.00,230519.00,535882.00,237246.00,770454.00,66689.00,546502.00,-127441.00
2016:Q3,2679399.00,580263.00,282054.00,272610.00,789244.00,529380.00,1284611.00,25281.00,479885.00,-264380.00
