1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,15312.00,15312.00,15312.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,16097.00,16097.00,16097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,15640.00,15640.00,15640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,17026.00,17026.00,17026.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q1,19440.00,19440.00,19440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q2,20003.00,20003.00,20003.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q3,21007.00,21007.00,21007.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q4,22875.00,22875.00,22875.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q1,23048.00,23048.00,22981.00,31.00,0.00,0.00,0.00,0.00,4.00,32.00,0.00,0.00
1962:Q2,18436.00,18436.00,18257.00,82.00,0.00,0.00,0.00,0.00,11.00,86.00,0.00,0.00
1962:Q3,19088.00,19088.00,18796.00,134.00,0.00,0.00,0.00,0.00,18.00,140.00,0.00,0.00
1962:Q4,21271.00,21271.00,20909.00,168.00,0.00,0.00,0.00,0.00,22.00,172.00,0.00,0.00
1963:Q1,22549.00,22549.00,22156.00,187.00,0.00,0.00,0.00,0.00,22.00,184.00,0.00,0.00
1963:Q2,23693.00,23693.00,23306.00,193.00,0.00,0.00,0.00,0.00,17.00,177.00,0.00,0.00
1963:Q3,24496.00,24496.00,24118.00,195.00,0.00,0.00,0.00,0.00,14.00,169.00,0.00,0.00
1963:Q4,25215.00,25215.00,24819.00,203.00,0.00,0.00,0.00,0.00,17.00,176.00,0.00,0.00
1964:Q1,26881.00,26881.00,26433.00,214.00,0.00,0.00,0.00,0.00,33.00,201.00,0.00,0.00
1964:Q2,27682.00,27682.00,27156.00,225.00,0.00,0.00,0.00,0.00,60.00,241.00,0.00,0.00
1964:Q3,29131.00,29131.00,28523.00,238.00,0.00,0.00,0.00,0.00,87.00,283.00,0.00,0.00
1964:Q4,29116.00,29116.00,28447.00,253.00,0.00,0.00,0.00,0.00,104.00,312.00,0.00,0.00
1965:Q1,30465.00,30465.00,29751.00,270.00,0.00,0.00,0.00,0.00,113.00,331.00,0.00,0.00
1965:Q2,30037.00,30037.00,29291.00,289.00,0.00,0.00,0.00,0.00,116.00,341.00,0.00,0.00
1965:Q3,32825.00,32825.00,32050.00,309.00,0.00,0.00,0.00,0.00,117.00,349.00,0.00,0.00
1965:Q4,35220.00,35220.00,34410.00,330.00,0.00,0.00,0.00,0.00,120.00,360.00,0.00,0.00
1966:Q1,36173.00,36173.00,35326.00,351.00,0.00,0.00,0.00,0.00,124.00,372.00,0.00,0.00
1966:Q2,35429.00,35429.00,34547.00,370.00,0.00,0.00,0.00,0.00,128.00,384.00,0.00,0.00
1966:Q3,32224.00,32224.00,31301.00,393.00,0.00,0.00,0.00,0.00,133.00,397.00,0.00,0.00
1966:Q4,34829.00,34829.00,33850.00,425.00,0.00,0.00,0.00,0.00,140.00,414.00,0.00,0.00
1967:Q1,39280.00,39280.00,38226.00,469.00,0.00,0.00,0.00,0.00,150.00,435.00,0.00,0.00
1967:Q2,40429.00,40429.00,39284.00,523.00,0.00,0.00,0.00,0.00,163.00,459.00,0.00,0.00
1967:Q3,43249.00,43249.00,42006.00,581.00,0.00,0.00,0.00,0.00,177.00,485.00,0.00,0.00
1967:Q4,44308.00,44308.00,42973.00,635.00,0.00,0.00,0.00,0.00,190.00,510.00,0.00,0.00
1968:Q1,41949.00,41949.00,40523.00,692.00,0.00,0.00,0.00,0.00,199.00,535.00,0.00,0.00
1968:Q2,47493.00,47493.00,45972.00,759.00,0.00,0.00,0.00,0.00,201.00,561.00,0.00,0.00
1968:Q3,49914.00,49914.00,48300.00,816.00,0.00,0.00,0.00,0.00,211.00,587.00,0.00,0.00
1968:Q4,51232.00,51232.00,49529.00,845.00,0.00,0.00,0.00,0.00,244.00,614.00,0.00,0.00
1969:Q1,50339.00,50339.00,48554.00,845.00,0.00,0.00,0.00,0.00,301.00,639.00,0.00,0.00
1969:Q2,48052.00,48052.00,46190.00,816.00,0.00,0.00,0.00,0.00,382.00,664.00,0.00,0.00
1969:Q3,47940.00,47940.00,46004.00,777.00,0.00,0.00,0.00,0.00,470.00,689.00,0.00,0.00
1969:Q4,47588.00,47588.00,45578.00,745.00,0.00,0.00,0.00,0.00,550.00,715.00,0.00,0.00
1970:Q1,48369.00,48369.00,46279.00,719.00,0.00,0.00,0.00,0.00,634.00,737.00,0.00,0.00
