1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q4,618018.00,227499.00,274810.00,95905.00,76711.00,19194.00,178905.00,-47311.00,-54379.00,7068.00,390519.00,306569.00,249189.00,181680.00,54581.00,12928.00,57380.00,83950.00,53780.00,30170.00,673520.00,676107.00,547879.00,417673.00,295117.00,94167.00,28389.00,130206.00,128228.00,63948.00,64280.00,120.00,11459.00,5112.00,5112.00,0.00,0.00,6347.00,-11339.00,4454.00,-15793.00,-2707.00,77543.00,-22189.00,13664.00,-39586.00,3733.00,99732.00,-80250.00,-69001.00,-11249.00,55501.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1980:Q1,615935.00,211720.00,268364.00,78670.00,60141.00,18529.00,189694.00,-56644.00,-63516.00,6872.00,404215.00,317670.00,258244.00,188193.00,56467.00,13585.00,59426.00,86545.00,55260.00,31285.00,679675.00,690342.00,554562.00,429227.00,307922.00,90753.00,30552.00,125335.00,135780.00,68324.00,67456.00,120.00,8388.00,1861.00,1861.00,0.00,0.00,6527.00,-8268.00,8008.00,-16276.00,-10787.00,86824.00,-30434.00,2290.00,-34286.00,1562.00,117258.00,-97611.00,-84588.00,-13023.00,63740.00,995.00,995.00,743.00,252.00,0.00,0.00,0.00
1980:Q2,604608.00,186141.00,271580.00,65542.00,60171.00,5371.00,206038.00,-85439.00,-87403.00,1964.00,418467.00,329033.00,267681.00,195065.00,58368.00,14249.00,61352.00,89434.00,56968.00,32466.00,663875.00,654029.00,519290.00,412451.00,303121.00,78676.00,30654.00,106839.00,134739.00,69008.00,65731.00,128.00,5515.00,-1523.00,-1523.00,0.00,0.00,7038.00,-5387.00,11215.00,-16602.00,9718.00,135075.00,-18438.00,12904.00,-20308.00,-11034.00,153513.00,-125357.00,-110658.00,-14699.00,59264.00,1190.00,1190.00,1038.00,152.00,0.00,0.00,0.00
1980:Q3,621981.00,188796.00,284891.00,66790.00,58098.00,8692.00,218101.00,-96095.00,-100347.00,4252.00,433185.00,340657.00,277501.00,202296.00,60284.00,14921.00,63156.00,92528.00,58748.00,33780.00,657587.00,629429.00,495073.00,383106.00,279138.00,71928.00,32040.00,111967.00,134356.00,70268.00,64088.00,132.00,8787.00,1197.00,1197.00,0.00,0.00,7590.00,-8655.00,7390.00,-16045.00,28026.00,157294.00,-4406.00,15665.00,-11644.00,-8427.00,161700.00,-129268.00,-119257.00,-10011.00,35608.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1980:Q4,680001.00,231836.00,317149.00,78197.00,64672.00,13525.00,238952.00,-85313.00,-93740.00,8427.00,448165.00,352541.00,287702.00,209887.00,62215.00,15599.00,64839.00,95624.00,60592.00,35032.00,697113.00,690406.00,551474.00,428114.00,307575.00,86958.00,33581.00,123360.00,138932.00,73412.00,65520.00,132.00,18877.00,11667.00,11667.00,0.00,0.00,7210.00,-18745.00,-1984.00,-16761.00,6575.00,116451.00,-56770.00,-27570.00,-24743.00,-4457.00,173221.00,-109876.00,-104576.00,-5300.00,17113.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1981:Q1,710213.00,246894.00,310305.00,84548.00,74843.00,9705.00,225757.00,-63411.00,-71824.00,8413.00,463319.00,364687.00,298285.00,217837.00,64161.00,16287.00,66402.00,98632.00,62368.00,36264.00,767480.00,765810.00,619383.00,496677.00,353245.00,108425.00,35007.00,122706.00,146427.00,75404.00,71023.00,128.00,6012.00,-876.00,-876.00,0.00,0.00,6888.00,-5884.00,10264.00,-16148.00,1542.00,106864.00,-55701.00,-2422.00,-44264.00,-9015.00,162565.00,-105322.00,-95124.00,-10198.00,57265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1981:Q2,720582.00,242322.00,313306.00,85507.00,84643.00,864.00,227799.00,-70984.00,-75568.00,4584.00,478260.00,376442.00,308590.00,225516.00,66059.00,17015.00,67852.00,101818.00,64436.00,37382.00,755379.00,755208.00,609839.00,488396.00,338639.00,113173.00,36584.00,121443.00,145369.00,79580.00,65789.00,120.00,12042.00,4681.00,4681.00,0.00,0.00,7361.00,-11922.00,3948.00,-15870.00,51.00,102664.00,-64183.00,1636.00,-47114.00,-18705.00,166847.00,-102613.00,-94660.00,-7953.00,34796.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1981:Q3,777208.00,284813.00,363103.00,95790.00,91915.00,3875.00,267313.00,-78290.00,-82585.00,4295.00,492395.00,387808.00,318616.00,232923.00,67914.00,17780.00,69192.00,104587.00,66216.00,38371.00,805096.00,798023.00,652296.00,536453.00,379193.00,118904.00,38356.00,115843.00,145727.00,81672.00,64055.00,120.00,20136.00,12389.00,12389.00,0.00,0.00,7747.00,-20016.00,-5048.00,-14968.00,6953.00,106367.00,-106548.00,-38857.00,-50990.00,-16701.00,212915.00,-99414.00,-92993.00,-6421.00,27886.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1981:Q4,772959.00,266751.00,380782.00,91750.00,88883.00,2867.00,289032.00,-114031.00,-113286.00,-745.00,506208.00,398783.00,328364.00,240060.00,69730.00,18573.00,70419.00,107425.00,68088.00,39337.00,799845.00,795254.00,643395.00,533953.00,381009.00,112359.00,40585.00,109442.00,151859.00,85060.00,66799.00,120.00,11174.00,3170.00,3170.00,0.00,0.00,8004.00,-11054.00,4112.00,-15166.00,4471.00,151882.00,-90123.00,-28349.00,-42629.00,-19145.00,242005.00,-147411.00,-134370.00,-13041.00,26881.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1982:Q1,740848.00,221297.00,357957.00,78422.00,84223.00,-5801.00,279535.00,-136660.00,-133183.00,-3477.00,519551.00,409367.00,337833.00,246926.00,71509.00,19398.00,71534.00,110184.00,70024.00,40160.00,739164.00,738511.00,588317.00,480602.00,335982.00,103557.00,41063.00,107715.00,150194.00,84868.00,65326.00,120.00,12516.00,2919.00,2919.00,0.00,0.00,9597.00,-12396.00,1676.00,-14072.00,533.00,164807.00,-68950.00,-9436.00,-32048.00,-27466.00,233757.00,-164274.00,-149703.00,-14571.00,-1685.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
