1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,29592.00,0.00,4949.00,4970.00,0.00,-215.00,349.00,-1074.00,-42.00,275.00,277.00,965.00,1545.00,266.00,2728.00,13708.00,676.00,60475.00,18564.00,10526.00,29961.00,0.00,1424.00,35163.00,5608.00,6835.00,22720.00,25312.00,12956.00,3691.00,7241.00,0.00,1424.00,12289.00,6444.00,2328.00,1403.00,123.00,1992.00,940.00,43554.00,7241.00,291.00,18.00,36040.00,25948.00,10092.00,237400.00,18.35,15.18,10.93,4.25
1952:Q1,50211.00,0.00,5704.00,5900.00,0.00,10580.00,788.00,3828.00,16.00,6560.00,-612.00,3688.00,1224.00,524.00,2672.00,16024.00,3895.00,58372.00,18176.00,10089.00,28967.00,0.00,1140.00,35748.00,5894.00,7138.00,22716.00,22624.00,12282.00,2951.00,6251.00,0.00,1140.00,15152.00,6584.00,1640.00,2386.00,172.00,4370.00,1034.00,58717.00,6251.00,440.00,20.00,52046.00,27420.00,24626.00,243603.00,24.10,21.37,11.26,10.11
1952:Q2,46920.00,0.00,-276.00,8076.00,0.00,18508.00,-400.00,5680.00,2356.00,9988.00,884.00,1224.00,776.00,512.00,2832.00,14912.00,356.00,59463.00,18666.00,9944.00,29184.00,0.00,1669.00,36500.00,5963.00,7216.00,23321.00,22963.00,12703.00,2728.00,5863.00,0.00,1669.00,17003.00,6384.00,3056.00,6382.00,284.00,897.00,1079.00,53959.00,5863.00,520.00,24.00,47600.00,26203.00,21397.00,246634.00,21.88,19.30,10.62,8.68
1952:Q3,34908.00,0.00,3896.00,6368.00,0.00,2212.00,420.00,-960.00,1208.00,2444.00,-900.00,584.00,544.00,524.00,2956.00,15184.00,2640.00,57664.00,18659.00,8934.00,27735.00,0.00,2336.00,36816.00,6043.00,7286.00,23487.00,20848.00,12616.00,1648.00,4248.00,0.00,2336.00,15053.00,6672.00,2380.00,4542.00,188.00,1271.00,1103.00,41806.00,4248.00,292.00,24.00,37290.00,30098.00,7192.00,253244.00,16.51,14.73,11.88,2.84
1952:Q4,26500.00,0.00,-2568.00,9552.00,0.00,-3060.00,188.00,-696.00,-3896.00,1876.00,-532.00,2108.00,616.00,460.00,3092.00,15636.00,664.00,61864.00,19544.00,9892.00,31741.00,0.00,687.00,37578.00,6135.00,7351.00,24092.00,24286.00,13409.00,2541.00,7649.00,0.00,687.00,14720.00,7136.00,1324.00,7378.00,228.00,-1346.00,1004.00,37070.00,7649.00,300.00,20.00,29141.00,27640.00,1501.00,259116.00,14.31,11.25,10.67,0.58
1953:Q1,49644.00,0.00,12160.00,8300.00,0.00,2356.00,920.00,-1204.00,52.00,3192.00,-604.00,1300.00,888.00,492.00,3096.00,15848.00,5204.00,64810.00,19876.00,10363.00,33660.00,0.00,911.00,37212.00,6175.00,7474.00,23563.00,27598.00,13701.00,2889.00,10097.00,0.00,911.00,23143.00,7508.00,948.00,7897.00,856.00,5934.00,1224.00,55323.00,10097.00,336.00,24.00,44914.00,27998.00,16916.00,263286.00,21.01,17.06,10.63,6.42
1953:Q2,50448.00,0.00,-6068.00,9436.00,0.00,24764.00,-212.00,16684.00,3100.00,4124.00,1068.00,796.00,1388.00,332.00,3040.00,16428.00,332.00,63669.00,19966.00,10658.00,33501.00,0.00,-456.00,38004.00,6270.00,7530.00,24204.00,25665.00,13696.00,3128.00,9297.00,0.00,-456.00,16215.00,8356.00,2836.00,3529.00,984.00,510.00,1052.00,60951.00,9297.00,312.00,24.00,51366.00,29863.00,21503.00,267131.00,22.82,19.23,11.18,8.05
1953:Q3,28296.00,0.00,3568.00,6492.00,0.00,-3280.00,476.00,-6312.00,1468.00,2548.00,-1460.00,112.00,116.00,336.00,2952.00,16704.00,1296.00,64317.00,19386.00,11102.00,33078.00,0.00,751.00,38556.00,6359.00,7586.00,24611.00,25761.00,13027.00,3516.00,8467.00,0.00,751.00,13588.00,7188.00,1824.00,3097.00,-56.00,1535.00,1113.00,41581.00,8467.00,296.00,24.00,32842.00,29190.00,3652.00,267312.00,15.56,12.29,10.92,1.37
1953:Q4,15812.00,0.00,-5196.00,8712.00,0.00,-7976.00,-160.00,-6572.00,-4000.00,1800.00,956.00,2264.00,-100.00,372.00,2840.00,16512.00,-1616.00,64278.00,19150.00,11036.00,32222.00,0.00,1870.00,38880.00,6442.00,7640.00,24798.00,25398.00,12708.00,3396.00,7424.00,0.00,1870.00,3132.00,7016.00,916.00,1845.00,584.00,-7229.00,1203.00,39281.00,7424.00,368.00,20.00,31509.00,29919.00,1590.00,267572.00,14.68,11.78,11.18,0.59
1954:Q1,37912.00,0.00,3628.00,8632.00,0.00,1692.00,472.00,1012.00,-284.00,1564.00,-1072.00,668.00,108.00,340.00,2768.00,15896.00,4180.00,62286.00,19252.00,10515.00,31831.00,0.00,688.00,40282.00,6502.00,7708.00,26072.00,22004.00,12750.00,2807.00,5759.00,0.00,688.00,15785.00,6836.00,1084.00,-739.00,360.00,8244.00,1195.00,45326.00,5759.00,148.00,24.00,39443.00,30635.00,8808.00,270296.00,16.77,14.59,11.33,3.26
