date,FA146110005.Q,FA146000105.Q,FA145090005.Q,FA145050005.Q,FA145019005.Q,FA145012005.Q,FA145013005.Q,FA145020005.Q,FA105420005.Q,FA145000005.Q,FA144090005.Q,FA103091003.Q,FA143020005.Q,FA143030005.Q,FA143034005.Q,FA102051003.Q,FA144022005.Q,FA103069100.Q,FA143061105.Q,FA103061703.Q,FA143062005.Q,FA144023005.Q,FA143065005.Q,FA143066005.Q,FA103064203.Q,FA143070005.Q,FA103092005.Q,FA143090005.Q,FA144190005.Q,FA104122005.Q,FA103169100.Q,FA103162000.Q,FA103163003.Q,FA144123005.Q,FA143168005.Q,FA143169005.Q,FA143165005.Q,FA103164103.Q,FA143170005.Q,FA143178005.Q,FA143192005.Q,FA143190005.Q,FA112090205.Q,FA107005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,62238.00,13990.00,10346.00,25119.00,19178.00,1161.00,18017.00,6011.00,-70.00,-14773.00,303.00,35.00,1159.00,0.00,0.00,0.00,-5636.00,32.00,-5729.00,0.00,61.00,622.00,5.00,617.00,0.00,3763.00,211.00,149.00,15076.00,995.00,42.00,0.00,953.00,6171.00,4483.00,1.00,1687.00,1018.00,7849.00,-1958.00,-12.00,442.00,571.00,3644.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,68293.00,19971.00,17883.00,25268.00,25908.00,1815.00,24093.00,-550.00,-90.00,-7385.00,9567.00,-17.00,2105.00,0.00,0.00,0.00,-354.00,97.00,-488.00,0.00,37.00,916.00,6.00,910.00,0.00,5286.00,727.00,904.00,16952.00,2848.00,35.00,0.00,2813.00,5805.00,3720.00,178.00,1907.00,1093.00,4380.00,2186.00,1.00,551.00,88.00,2088.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
