date,FA413065005.Q,FA413065105.Q,FA413065405.Q,FA413065505.Q,FA413065605.Q,FA413065005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3.00,0.00,0.00,0.00,3.00,3.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25.00,0.00,0.00,0.00,25.00,25.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1972:Q3,4268.00,3624.00,272.00,160.00,212.00,4268.00
1972:Q4,6356.00,4456.00,448.00,1140.00,312.00,6356.00
1973:Q1,3024.00,2620.00,440.00,0.00,-36.00,3024.00
1973:Q2,5820.00,4576.00,176.00,412.00,656.00,5820.00
1973:Q3,1768.00,1688.00,208.00,-80.00,-48.00,1768.00
1973:Q4,3932.00,2856.00,72.00,696.00,308.00,3932.00
1974:Q1,6676.00,6532.00,64.00,-24.00,104.00,6676.00
1974:Q2,1692.00,2120.00,64.00,-212.00,-280.00,1692.00
1974:Q3,5880.00,5412.00,356.00,0.00,112.00,5880.00
1974:Q4,3684.00,3544.00,152.00,0.00,-12.00,3684.00
1975:Q1,11848.00,11128.00,480.00,0.00,240.00,11848.00
1975:Q2,4732.00,6124.00,-172.00,0.00,-1220.00,4732.00
1975:Q3,4728.00,4540.00,948.00,0.00,-760.00,4728.00
1975:Q4,6904.00,7412.00,344.00,0.00,-852.00,6904.00
1976:Q1,10564.00,9444.00,1084.00,0.00,36.00,10564.00
1976:Q2,11496.00,11708.00,92.00,0.00,-304.00,11496.00
1976:Q3,11832.00,11544.00,356.00,0.00,-68.00,11832.00
1976:Q4,14836.00,14976.00,404.00,0.00,-544.00,14836.00
1977:Q1,18900.00,17984.00,1060.00,0.00,-144.00,18900.00
1977:Q2,10248.00,10596.00,252.00,0.00,-600.00,10248.00
1977:Q3,17728.00,17712.00,900.00,0.00,-884.00,17728.00
1977:Q4,17564.00,16632.00,1488.00,0.00,-556.00,17564.00
1978:Q1,10836.00,9448.00,1204.00,0.00,184.00,10836.00
1978:Q2,12396.00,10572.00,2336.00,0.00,-512.00,12396.00
1978:Q3,12576.00,12156.00,1068.00,0.00,-648.00,12576.00
1978:Q4,18608.00,17288.00,1444.00,0.00,-124.00,18608.00
1979:Q1,19600.00,18400.00,1000.00,0.00,200.00,19600.00
1979:Q2,19516.00,18108.00,1332.00,0.00,76.00,19516.00
1979:Q3,27212.00,26024.00,1152.00,0.00,36.00,27212.00
1979:Q4,25876.00,24532.00,1356.00,0.00,-12.00,25876.00
1980:Q1,20704.00,20368.00,316.00,0.00,20.00,20704.00
1980:Q2,16248.00,15304.00,884.00,0.00,60.00,16248.00
1980:Q3,22700.00,22132.00,856.00,0.00,-288.00,22700.00
1980:Q4,17072.00,16984.00,576.00,0.00,-488.00,17072.00
1981:Q1,13204.00,12552.00,540.00,0.00,112.00,13204.00
1981:Q2,14364.00,14408.00,360.00,0.00,-404.00,14364.00
1981:Q3,14076.00,13512.00,692.00,0.00,-128.00,14076.00
1981:Q4,18464.00,16652.00,1828.00,0.00,-16.00,18464.00
1982:Q1,34568.00,34896.00,156.00,0.00,-484.00,34568.00
1982:Q2,37292.00,36932.00,432.00,0.00,-72.00,37292.00
1982:Q3,53120.00,52804.00,420.00,0.00,-104.00,53120.00
1982:Q4,73152.00,72724.00,436.00,0.00,-8.00,73152.00
1983:Q1,71992.00,70504.00,1172.00,0.00,316.00,71992.00
1983:Q2,66176.00,65460.00,1092.00,0.00,-376.00,66176.00
1983:Q3,73908.00,72180.00,1804.00,0.00,-76.00,73908.00
1983:Q4,53076.00,52216.00,856.00,0.00,4.00,53076.00
1984:Q1,44492.00,43968.00,532.00,0.00,-8.00,44492.00
1984:Q2,31124.00,29324.00,1952.00,0.00,-152.00,31124.00
1984:Q3,48776.00,45996.00,1708.00,0.00,1072.00,48776.00
1984:Q4,53796.00,54768.00,68.00,0.00,-1040.00,53796.00
1985:Q1,60184.00,56572.00,3612.00,0.00,0.00,60184.00
1985:Q2,68228.00,66668.00,1388.00,0.00,172.00,68228.00
1985:Q3,88968.00,88808.00,632.00,0.00,-472.00,88968.00
1985:Q4,98128.00,98172.00,288.00,0.00,-332.00,98128.00
1986:Q1,106892.00,98644.00,7972.00,0.00,276.00,106892.00
1986:Q2,137940.00,137504.00,448.00,0.00,-12.00,137940.00
1986:Q3,187296.00,183236.00,4212.00,0.00,-152.00,187296.00
1986:Q4,222780.00,216664.00,6836.00,528.00,-1248.00,222780.00
1987:Q1,175376.00,168056.00,7356.00,-20.00,-16.00,175376.00
1987:Q2,158828.00,154244.00,4600.00,-4.00,-12.00,158828.00
1987:Q3,127768.00,123768.00,4016.00,-8.00,-8.00,127768.00
1987:Q4,89240.00,87420.00,2080.00,-244.00,-16.00,89240.00
1988:Q1,33788.00,28456.00,5400.00,-20.00,-48.00,33788.00
1988:Q2,69896.00,66800.00,3192.00,-68.00,-28.00,69896.00
1988:Q3,103288.00,97268.00,6036.00,-12.00,-4.00,103288.00
1988:Q4,96600.00,90316.00,6288.00,0.00,-4.00,96600.00
1989:Q1,100687.00,94904.00,5807.00,-16.00,-8.00,100687.00
1989:Q2,96094.00,89839.00,6294.00,-32.00,-8.00,96094.00
1989:Q3,130118.00,126423.00,3700.00,-1.00,-4.00,130118.00
1989:Q4,170148.00,169625.00,531.00,-1.00,-7.00,170148.00
1990:Q1,142464.00,138081.00,4395.00,-3.00,-9.00,142464.00
1990:Q2,156133.00,154803.00,1338.00,-2.00,-6.00,156133.00
1990:Q3,137338.00,138105.00,-763.00,-1.00,-3.00,137338.00
1990:Q4,165313.00,158149.00,7178.00,-2.00,-12.00,165313.00
1991:Q1,121782.00,128904.00,-7114.00,-1.00,-6.00,121782.00
1991:Q2,142708.00,141798.00,932.00,-10.00,-12.00,142708.00
1991:Q3,149316.00,154321.00,-4998.00,-2.00,-5.00,149316.00
1991:Q4,132707.00,132043.00,679.00,-5.00,-11.00,132707.00
1992:Q1,92953.00,94849.00,-1886.00,-4.00,-6.00,92953.00
1992:Q2,157039.00,159564.00,-2522.00,0.00,-2.00,157039.00
1992:Q3,98639.00,101007.00,-2362.00,-2.00,-4.00,98639.00
1992:Q4,113600.00,115921.00,-2315.00,-3.00,-3.00,113600.00
1993:Q1,113074.00,115601.00,-2513.00,-6.00,-8.00,113074.00
1993:Q2,10834.00,13441.00,-2603.00,-2.00,-2.00,10834.00
1993:Q3,113468.00,114365.00,-890.00,-5.00,-2.00,113468.00
1993:Q4,101498.00,100990.00,514.00,-5.00,-2.00,101498.00
1994:Q1,191423.00,192026.00,-597.00,-3.00,-3.00,191423.00
1994:Q2,128414.00,128489.00,-63.00,-8.00,-4.00,128414.00
1994:Q3,85163.00,86143.00,-972.00,-4.00,-3.00,85163.00
1994:Q4,56125.00,54556.00,1571.00,0.00,-2.00,56125.00
1995:Q1,56238.00,57123.00,-936.00,-9.00,61.00,56238.00
1995:Q2,68902.00,62241.00,6597.00,-3.00,67.00,68902.00
1995:Q3,102842.00,99498.00,3280.00,-3.00,67.00,102842.00
1995:Q4,165321.00,156392.00,8861.00,-1.00,70.00,165321.00
1996:Q1,146555.00,142923.00,3640.00,0.00,-8.00,146555.00
1996:Q2,157248.00,152716.00,4540.00,0.00,-8.00,157248.00
1996:Q3,129690.00,122638.00,7068.00,-4.00,-12.00,129690.00
1996:Q4,130415.00,123259.00,7176.00,-16.00,-4.00,130415.00
1997:Q1,130343.00,125319.00,5000.00,0.00,24.00,130343.00
1997:Q2,82054.00,76358.00,5672.00,0.00,24.00,82054.00
1997:Q3,96982.00,92138.00,4820.00,0.00,24.00,96982.00
1997:Q4,148965.00,143249.00,5688.00,0.00,28.00,148965.00
1998:Q1,104333.00,99437.00,4804.00,0.00,92.00,104333.00
1998:Q2,239675.00,233983.00,5592.00,0.00,100.00,239675.00
1998:Q3,239002.00,222154.00,16748.00,0.00,100.00,239002.00
1998:Q4,187691.00,172887.00,14700.00,0.00,104.00,187691.00
1999:Q1,394648.00,384372.00,9524.00,0.00,752.00,394648.00
1999:Q2,274462.00,265354.00,8344.00,0.00,764.00,274462.00
1999:Q3,230747.00,221627.00,8368.00,0.00,752.00,230747.00
1999:Q4,198390.00,186974.00,10656.00,0.00,760.00,198390.00
2000:Q1,133026.00,126202.00,6496.00,0.00,328.00,133026.00
2000:Q2,153111.00,145075.00,7708.00,0.00,328.00,153111.00
2000:Q3,229843.00,221707.00,7812.00,0.00,324.00,229843.00
2000:Q4,282876.00,270520.00,12028.00,0.00,328.00,282876.00
2001:Q1,161149.00,148025.00,13100.00,0.00,24.00,161149.00
2001:Q2,432414.00,413198.00,19192.00,0.00,24.00,432414.00
2001:Q3,495632.00,482624.00,12984.00,0.00,24.00,495632.00
2001:Q4,264961.00,247725.00,17208.00,0.00,28.00,264961.00
2002:Q1,522545.00,512401.00,11432.00,0.00,-1288.00,522545.00
2002:Q2,354574.00,347222.00,8640.00,0.00,-1288.00,354574.00
2002:Q3,168398.00,162314.00,7372.00,0.00,-1288.00,168398.00
2002:Q4,261758.00,238778.00,24272.00,0.00,-1292.00,261758.00
2003:Q1,287936.00,273336.00,14716.00,0.00,-116.00,287936.00
2003:Q2,278825.00,264341.00,14480.00,0.00,4.00,278825.00
2003:Q3,310483.00,277103.00,30620.00,0.00,2760.00,310483.00
2003:Q4,464244.00,418268.00,46080.00,0.00,-104.00,464244.00
2004:Q1,-9974.00,8342.00,-18168.00,0.00,-148.00,-9974.00
2004:Q2,90117.00,77625.00,12488.00,0.00,4.00,90117.00
2004:Q3,51062.00,54778.00,-3704.00,0.00,-12.00,51062.00
2004:Q4,31863.00,34595.00,-2628.00,0.00,-104.00,31863.00
2005:Q1,83250.00,88470.00,-4996.00,0.00,-224.00,83250.00
2005:Q2,163650.00,168734.00,-5056.00,0.00,-28.00,163650.00
2005:Q3,145453.00,150137.00,-4524.00,0.00,-160.00,145453.00
2005:Q4,265507.00,268703.00,-3232.00,0.00,36.00,265507.00
2006:Q1,327590.00,337002.00,-11228.00,0.00,1816.00,327590.00
2006:Q2,267167.00,277891.00,-12784.00,0.00,2060.00,267167.00
2006:Q3,268373.00,276149.00,-12952.00,0.00,5176.00,268373.00
2006:Q4,307414.00,320010.00,-12900.00,0.00,304.00,307414.00
2007:Q1,479273.00,485521.00,-7124.00,0.00,876.00,479273.00
2007:Q2,485977.00,485961.00,-5092.00,0.00,5108.00,485977.00
2007:Q3,660981.00,660649.00,576.00,0.00,-244.00,660981.00
2007:Q4,877833.00,869293.00,8840.00,0.00,-300.00,877833.00
2008:Q1,579217.00,580705.00,-1128.00,0.00,-360.00,579217.00
2008:Q2,631311.00,621679.00,10216.00,0.00,-584.00,631311.00
2008:Q3,502065.00,508201.00,-7800.00,0.00,1664.00,502065.00
2008:Q4,317103.00,299995.00,17308.00,0.00,-200.00,317103.00
2009:Q1,368982.00,364994.00,4212.00,0.00,-224.00,368982.00
2009:Q2,527373.00,512649.00,14916.00,0.00,-192.00,527373.00
2009:Q3,522371.00,509199.00,13432.00,0.00,-260.00,522371.00
2009:Q4,414590.00,395390.00,19272.00,0.00,-72.00,414590.00
2010:Q1,167788.00,162656.00,7688.00,0.00,-2556.00,167788.00
2010:Q2,255166.00,237214.00,16032.00,0.00,1920.00,255166.00
2010:Q3,172316.00,158352.00,14064.00,0.00,-100.00,172316.00
2010:Q4,181658.00,169634.00,12196.00,0.00,-172.00,181658.00
2011:Q1,217457.00,202229.00,17344.00,0.00,-2116.00,217457.00
2011:Q2,186743.00,163651.00,23196.00,0.00,-104.00,186743.00
2011:Q3,137310.00,127478.00,15868.00,0.00,-6036.00,137310.00
2011:Q4,118770.00,98394.00,20556.00,0.00,-180.00,118770.00
2012:Q1,127369.00,108705.00,18856.00,0.00,-192.00,127369.00
2012:Q2,179261.00,145773.00,31760.00,0.00,1728.00,179261.00
2012:Q3,92770.00,72014.00,20912.00,0.00,-156.00,92770.00
2012:Q4,123972.00,88224.00,36032.00,0.00,-284.00,123972.00
2013:Q1,127780.00,98976.00,29040.00,0.00,-236.00,127780.00
2013:Q2,128978.00,91758.00,37348.00,0.00,-128.00,128978.00
2013:Q3,140548.00,105908.00,34752.00,0.00,-112.00,140548.00
2013:Q4,125834.00,92774.00,33212.00,0.00,-152.00,125834.00
2014:Q1,89460.00,69900.00,19672.00,0.00,-112.00,89460.00
2014:Q2,50421.00,28285.00,22256.00,0.00,-120.00,50421.00
2014:Q3,63886.00,41526.00,22472.00,0.00,-112.00,63886.00
2014:Q4,96201.00,63593.00,32784.00,0.00,-176.00,96201.00
2015:Q1,14936.00,704.00,14388.00,0.00,-156.00,14936.00
2015:Q2,120205.00,84789.00,35516.00,0.00,-100.00,120205.00
2015:Q3,176455.00,149171.00,24100.00,0.00,3184.00,176455.00
2015:Q4,196197.00,141637.00,54708.00,0.00,-148.00,196197.00
2016:Q1,136405.00,98429.00,36568.00,0.00,1408.00,136405.00
2016:Q2,158725.00,106321.00,52280.00,0.00,124.00,158725.00
2016:Q3,93759.00,100875.00,-6904.00,0.00,-212.00,93759.00
