date,FL263191005.Q,FL153091003.Q,FL103091003.Q,FL633091003.Q,FL903091005.Q
1961:Q2,213.00,0.00,213.00,0.00,0.00
1961:Q3,238.00,0.00,238.00,0.00,0.00
1961:Q4,236.00,0.00,236.00,0.00,0.00
1962:Q1,234.00,0.00,234.00,0.00,0.00
1962:Q2,296.00,0.00,296.00,0.00,0.00
1962:Q3,788.00,0.00,788.00,0.00,0.00
1962:Q4,790.00,0.00,790.00,0.00,0.00
1963:Q1,828.00,0.00,828.00,0.00,0.00
1963:Q2,1065.00,0.00,1065.00,0.00,0.00
1963:Q3,1000.00,0.00,1000.00,0.00,0.00
1963:Q4,731.00,0.00,731.00,0.00,0.00
1964:Q1,867.00,0.00,867.00,0.00,0.00
1964:Q2,978.00,0.00,978.00,0.00,0.00
1964:Q3,1243.00,0.00,1243.00,0.00,0.00
1964:Q4,1097.00,0.00,1097.00,0.00,0.00
1965:Q1,1033.00,0.00,1033.00,0.00,0.00
1965:Q2,822.00,0.00,822.00,0.00,0.00
1965:Q3,892.00,0.00,892.00,0.00,0.00
1965:Q4,781.00,0.00,781.00,0.00,0.00
1966:Q1,884.00,0.00,884.00,0.00,0.00
1966:Q2,917.00,0.00,917.00,0.00,0.00
1966:Q3,932.00,0.00,932.00,0.00,0.00
1966:Q4,885.00,0.00,885.00,0.00,0.00
1967:Q1,951.00,0.00,951.00,0.00,0.00
1967:Q2,843.00,0.00,843.00,0.00,0.00
1967:Q3,827.00,0.00,827.00,0.00,0.00
1967:Q4,1055.00,0.00,1055.00,0.00,0.00
1968:Q1,1357.00,0.00,1357.00,0.00,0.00
1968:Q2,1749.00,0.00,1749.00,0.00,0.00
1968:Q3,1832.00,0.00,1832.00,0.00,0.00
1968:Q4,1587.00,0.00,1587.00,0.00,0.00
1969:Q1,1856.00,0.00,1856.00,0.00,0.00
1969:Q2,1809.00,0.00,1809.00,0.00,0.00
1969:Q3,1618.00,0.00,1618.00,0.00,0.00
1969:Q4,1173.00,0.00,1173.00,0.00,0.00
1970:Q1,1172.00,0.00,1172.00,0.00,0.00
1970:Q2,1220.00,0.00,1220.00,0.00,0.00
1970:Q3,1141.00,0.00,1141.00,0.00,0.00
1970:Q4,798.00,0.00,798.00,0.00,0.00
1971:Q1,1082.00,0.00,1082.00,0.00,0.00
1971:Q2,1102.00,0.00,1102.00,0.00,0.00
1971:Q3,1239.00,0.00,1239.00,0.00,0.00
1971:Q4,1234.00,0.00,1234.00,0.00,0.00
1972:Q1,1421.00,0.00,1421.00,0.00,0.00
1972:Q2,1626.00,0.00,1626.00,0.00,0.00
1972:Q3,1820.00,0.00,1820.00,0.00,0.00
1972:Q4,2172.00,0.00,2172.00,0.00,0.00
1973:Q1,2722.00,0.00,2722.00,0.00,0.00
1973:Q2,3005.00,0.00,3005.00,0.00,0.00
1973:Q3,2729.00,0.00,2729.00,0.00,0.00
1973:Q4,3329.00,0.00,3329.00,0.00,0.00
1974:Q1,3729.00,0.00,3729.00,0.00,0.00
1974:Q2,3529.00,0.00,3529.00,0.00,0.00
1974:Q3,3129.00,0.00,3129.00,0.00,0.00
1974:Q4,4946.00,0.00,4946.00,0.00,0.00
1975:Q1,5022.00,0.00,2170.00,0.00,2852.00
1975:Q2,4822.00,0.00,1739.00,0.00,3083.00
1975:Q3,5272.00,0.00,1760.00,0.00,3512.00
1975:Q4,5772.00,0.00,2622.00,0.00,3150.00
1976:Q1,6428.00,0.00,3182.00,0.00,3246.00
1976:Q2,6941.00,0.00,3298.00,0.00,3643.00
1976:Q3,6763.00,0.00,2709.00,0.00,4054.00
1976:Q4,7441.00,0.00,3439.00,0.00,4002.00
1977:Q1,8287.00,0.00,3897.00,0.00,4390.00
1977:Q2,9731.00,0.00,4744.00,73.00,4914.00
1977:Q3,8990.00,0.00,4914.00,106.00,3970.00
1977:Q4,8756.00,0.00,5686.00,14.00,3056.00
1978:Q1,10041.00,0.00,7097.00,255.00,2689.00
1978:Q2,10192.00,0.00,7450.00,145.00,2597.00
1978:Q3,9613.00,0.00,6457.00,301.00,2855.00
1978:Q4,17131.00,0.00,8317.00,470.00,8344.00
1979:Q1,22361.00,0.00,12524.00,1162.00,8675.00
1979:Q2,21989.00,0.00,11273.00,2298.00,8418.00
1979:Q3,27282.00,0.00,9777.00,3856.00,13649.00
1979:Q4,26913.00,0.00,10080.00,5109.00,11724.00
1980:Q1,30071.00,0.00,9174.00,6316.00,14581.00
1980:Q2,31804.00,0.00,8564.00,7056.00,16184.00
1980:Q3,29447.00,0.00,8670.00,8657.00,12120.00
1980:Q4,31392.00,0.00,9696.00,6769.00,14927.00
1981:Q1,37927.00,0.00,9384.00,10754.00,17789.00
1981:Q2,39125.00,0.00,9411.00,14174.00,15540.00
1981:Q3,39943.00,0.00,10495.00,17072.00,12376.00
1981:Q4,41811.00,0.00,12386.00,18846.00,10579.00
1982:Q1,47174.00,0.00,10066.00,22466.00,14642.00
1982:Q2,48286.00,0.00,11310.00,23204.00,13772.00
1982:Q3,41159.00,0.00,8268.00,22819.00,10072.00
1982:Q4,49522.00,2427.00,10063.00,23759.00,13273.00
1983:Q1,51747.00,2536.00,11580.00,19182.00,18449.00
1983:Q2,50818.00,2490.00,11545.00,19644.00,17139.00
1983:Q3,53082.00,2601.00,13176.00,19890.00,17415.00
1983:Q4,141573.00,6937.00,14393.00,21911.00,98332.00
1984:Q1,146438.00,7190.00,15541.00,23774.00,99933.00
1984:Q2,147963.00,7280.00,16503.00,22971.00,101209.00
1984:Q3,142799.00,7026.00,12418.00,23651.00,99704.00
1984:Q4,139968.00,6902.00,13284.00,21197.00,98585.00
1985:Q1,141748.00,7017.00,12568.00,20941.00,101222.00
1985:Q2,136231.00,6812.00,11895.00,18582.00,98942.00
1985:Q3,141303.00,7207.00,12514.00,18983.00,102599.00
1985:Q4,148461.00,7791.00,16023.00,19011.00,105636.00
1986:Q1,152917.00,7952.00,17734.00,19157.00,108074.00
1986:Q2,159332.00,8126.00,18854.00,22030.00,110322.00
1986:Q3,168938.00,8447.00,18104.00,22612.00,119775.00
1986:Q4,179874.00,8753.00,19201.00,22140.00,129780.00
1987:Q1,180965.00,8687.00,16826.00,27061.00,128391.00
1987:Q2,181371.00,8525.00,15896.00,23889.00,133061.00
1987:Q3,182604.00,8400.00,15081.00,22668.00,136455.00
1987:Q4,213270.00,9759.00,16262.00,21579.00,165670.00
1988:Q1,211387.00,9724.00,18334.00,22067.00,161262.00
1988:Q2,220222.00,10130.00,25398.00,22080.00,162614.00
1988:Q3,224302.00,10318.00,26273.00,22463.00,165248.00
1988:Q4,228720.00,10708.00,21554.00,29648.00,166810.00
1989:Q1,242447.00,11153.00,18622.00,28983.00,183689.00
1989:Q2,245142.00,11032.00,17113.00,22296.00,194701.00
1989:Q3,250390.00,11268.00,13992.00,29354.00,195776.00
1989:Q4,266828.00,11874.00,14705.00,26328.00,213921.00
1990:Q1,261211.00,11755.00,15669.00,26996.00,206791.00
1990:Q2,273580.00,12312.00,15551.00,27990.00,217727.00
1990:Q3,287725.00,12949.00,14509.00,31756.00,228511.00
1990:Q4,297926.00,13427.00,14717.00,27025.00,242757.00
1991:Q1,296995.00,13959.00,15349.00,32892.00,234795.00
1991:Q2,284823.00,13957.00,12599.00,27191.00,231076.00
1991:Q3,282524.00,14409.00,13578.00,24164.00,230373.00
1991:Q4,273526.00,14565.00,16435.00,21806.00,220720.00
1992:Q1,264833.00,14566.00,14978.00,20424.00,214865.00
1992:Q2,267007.00,14953.00,14987.00,16786.00,220281.00
1992:Q3,271987.00,15504.00,15639.00,21576.00,219268.00
1992:Q4,267711.00,15600.00,15791.00,20557.00,215763.00
1993:Q1,265061.00,15445.00,13489.00,18881.00,217246.00
1993:Q2,263474.00,15352.00,13667.00,19261.00,215194.00
1993:Q3,252269.00,14697.00,15278.00,14012.00,208282.00
1993:Q4,271821.00,15757.00,14502.00,10083.00,231479.00
1994:Q1,271120.00,15716.00,15730.00,11457.00,228217.00
1994:Q2,290447.00,16847.00,16080.00,8959.00,248561.00
1994:Q3,299169.00,17357.00,12638.00,8572.00,260602.00
1994:Q4,373929.00,18847.00,15664.00,16020.00,323398.00
1995:Q1,382087.00,20324.00,13850.00,15239.00,332674.00
1995:Q2,410073.00,22461.00,14454.00,15599.00,357559.00
1995:Q3,403948.00,22103.00,15856.00,21509.00,344480.00
1995:Q4,418824.00,23356.00,17403.00,20056.00,358009.00
1996:Q1,444015.00,26021.00,20387.00,21589.00,376018.00
1996:Q2,444762.00,27693.00,19844.00,14403.00,382822.00
1996:Q3,474734.00,31693.00,20922.00,17971.00,404148.00
1996:Q4,521682.00,35469.00,28208.00,23568.00,434437.00
1997:Q1,567770.00,34112.00,28968.00,21145.00,483545.00
1997:Q2,573814.00,34459.00,33462.00,20655.00,485238.00
1997:Q3,599233.00,36014.00,33251.00,23449.00,506519.00
1997:Q4,618473.00,37179.00,23139.00,23601.00,534554.00
1998:Q1,612437.00,36817.00,27115.00,28778.00,519727.00
1998:Q2,628576.00,37785.00,20577.00,22275.00,547939.00
1998:Q3,657156.00,39500.00,18385.00,27148.00,572123.00
1998:Q4,627575.00,37725.00,30518.00,30714.00,528618.00
1999:Q1,654952.00,39368.00,36235.00,40128.00,539221.00
1999:Q2,673591.00,40486.00,32343.00,45490.00,555272.00
1999:Q3,684991.00,41170.00,33490.00,55369.00,554962.00
1999:Q4,676469.00,40659.00,31460.00,42096.00,562254.00
2000:Q1,751326.00,45150.00,35750.00,58635.00,611791.00
2000:Q2,762844.00,45841.00,29742.00,64970.00,622291.00
2000:Q3,740645.00,44509.00,13998.00,64607.00,617531.00
2000:Q4,803348.00,48271.00,24029.00,82095.00,648953.00
2001:Q1,845324.00,50790.00,16928.00,104776.00,672830.00
2001:Q2,806479.00,48459.00,17093.00,102027.00,638900.00
2001:Q3,805295.00,48388.00,14369.00,102712.00,639826.00
2001:Q4,810100.00,48676.00,15517.00,113612.00,632295.00
2002:Q1,795025.00,47771.00,16672.00,106311.00,624271.00
2002:Q2,802487.00,48219.00,18500.00,104313.00,631455.00
2002:Q3,828523.00,49781.00,20000.00,106904.00,651838.00
2002:Q4,914441.00,49937.00,20587.00,106890.00,737027.00
2003:Q1,940895.00,51628.00,21933.00,97149.00,770185.00
2003:Q2,982619.00,54115.00,30297.00,86298.00,811909.00
2003:Q3,936809.00,51146.00,34513.00,80522.00,770628.00
2003:Q4,953790.00,52841.00,38145.00,68694.00,794110.00
2004:Q1,989088.00,55204.00,41699.00,71865.00,820320.00
2004:Q2,1054727.00,57889.00,47625.00,78636.00,870577.00
2004:Q3,1053883.00,58864.00,44697.00,70198.00,880124.00
2004:Q4,1142212.00,61764.00,53705.00,69546.00,957197.00
2005:Q1,1233545.00,67402.00,61301.00,64843.00,1039999.00
2005:Q2,1185684.00,64549.00,57496.00,78612.00,985027.00
2005:Q3,1206169.00,66584.00,51419.00,89737.00,998429.00
2005:Q4,1165469.00,63847.00,63571.00,77329.00,960722.00
2006:Q1,1234576.00,67879.00,41996.00,82850.00,1041851.00
2006:Q2,1332161.00,72666.00,53045.00,64015.00,1142435.00
2006:Q3,1348809.00,71749.00,43697.00,55761.00,1177602.00
2006:Q4,1346130.00,69946.00,49336.00,67216.00,1159632.00
2007:Q1,1386778.00,73534.00,45306.00,63270.00,1204668.00
2007:Q2,1528188.00,79929.00,55824.00,53970.00,1338465.00
2007:Q3,1625841.00,84843.00,56965.00,81892.00,1402141.00
2007:Q4,1636214.00,87722.00,50250.00,102250.00,1395992.00
2008:Q1,1599644.00,84065.00,55037.00,112509.00,1348033.00
2008:Q2,1487846.00,78508.00,36837.00,112635.00,1259866.00
2008:Q3,1352787.00,70526.00,31580.00,102333.00,1148348.00
2008:Q4,1302936.00,69892.00,24704.00,87521.00,1120819.00
2009:Q1,1265830.00,65515.00,25736.00,77002.00,1097577.00
2009:Q2,1310456.00,65587.00,26241.00,89432.00,1129196.00
2009:Q3,1374194.00,66015.00,26260.00,105759.00,1176160.00
2009:Q4,1258432.00,62724.00,31528.00,99091.00,1065089.00
2010:Q1,1204754.00,58472.00,38111.00,94391.00,1013780.00
2010:Q2,1221270.00,61341.00,38657.00,94586.00,1026686.00
2010:Q3,1262385.00,63875.00,35791.00,106365.00,1056354.00
2010:Q4,1303877.00,67271.00,40626.00,107992.00,1087988.00
2011:Q1,1338512.00,69608.00,47972.00,111587.00,1109345.00
2011:Q2,1242958.00,65296.00,41634.00,116222.00,1019806.00
2011:Q3,1195775.00,64382.00,38164.00,71574.00,1021655.00
2011:Q4,1066420.00,57360.00,34827.00,43839.00,930394.00
2012:Q1,1041284.00,56257.00,32101.00,40962.00,911964.00
2012:Q2,939913.00,50697.00,28517.00,33681.00,827018.00
2012:Q3,965122.00,52037.00,32825.00,40975.00,839285.00
2012:Q4,919488.00,49480.00,35380.00,44102.00,790526.00
2013:Q1,970235.00,52699.00,54285.00,49631.00,813620.00
2013:Q2,1020366.00,56511.00,63748.00,37758.00,862349.00
2013:Q3,1011247.00,56488.00,63635.00,36924.00,854200.00
2013:Q4,950580.00,52079.00,77511.00,34281.00,786709.00
2014:Q1,921322.00,51138.00,68246.00,19732.00,782206.00
2014:Q2,902457.00,49913.00,79381.00,27113.00,746050.00
2014:Q3,951212.00,52740.00,72829.00,23626.00,802017.00
2014:Q4,827422.00,45710.00,68652.00,24518.00,688542.00
2015:Q1,817033.00,44962.00,51271.00,20486.00,700314.00
2015:Q2,734220.00,39807.00,57098.00,22491.00,614824.00
2015:Q3,667600.00,36058.00,49010.00,12565.00,569967.00
2015:Q4,585879.00,31581.00,48007.00,11071.00,495220.00
2016:Q1,624551.00,32408.00,37602.00,17565.00,536976.00
2016:Q2,579675.00,30359.00,48154.00,12921.00,488241.00
