1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q2,24531.00,10413.00,12698.00,28563.00,17327.00,-1462.00,-5713.00,9159.00,14872.00,3428.00,10030.00,10035.00,-5.00,3759.00,2665.00,652.00,327.00,0.00,-116.00,328.00,1185451.00
1972:Q3,23079.00,9219.00,13627.00,29889.00,17718.00,-1455.00,-7003.00,11475.00,18478.00,2596.00,10708.00,10713.00,-5.00,2556.00,1753.00,619.00,265.00,0.00,82.00,596.00,1208530.00
1972:Q4,35679.00,23248.00,15121.00,31029.00,18147.00,-2239.00,5487.00,36682.00,31195.00,2640.00,11726.00,11694.00,32.00,20532.00,335.00,549.00,170.00,19482.00,3.00,-19828.00,1244208.00
1973:Q1,36440.00,17149.00,19416.00,34073.00,18614.00,-3957.00,-4018.00,16979.00,20997.00,1751.00,11919.00,12006.00,-87.00,-13669.00,2595.00,1092.00,2491.00,-19482.00,365.00,21040.00,1280648.00
1973:Q2,39170.00,8115.00,20297.00,34205.00,19171.00,-5263.00,-14351.00,17631.00,31982.00,2169.00,20283.00,20358.00,-75.00,7476.00,4730.00,1200.00,1911.00,0.00,366.00,3296.00,1319818.00
1973:Q3,40699.00,6499.00,19641.00,34788.00,19817.00,-4670.00,-14429.00,16860.00,31288.00,1287.00,26483.00,26426.00,57.00,5628.00,4102.00,1496.00,25.00,0.00,-6.00,2089.00,1360517.00
1973:Q4,43049.00,9632.00,23279.00,38152.00,20551.00,-5679.00,-16323.00,26678.00,43001.00,2676.00,25256.00,25343.00,-87.00,15497.00,2123.00,1833.00,2028.00,8865.00,-648.00,-7336.00,1403566.00
1974:Q1,55265.00,19514.00,24676.00,38107.00,21373.00,-7942.00,-6717.00,13007.00,19724.00,1555.00,22144.00,22187.00,-43.00,13123.00,7641.00,2174.00,3441.00,0.00,133.00,484.00,1458831.00
1974:Q2,70127.00,13878.00,28985.00,42087.00,22288.00,-9186.00,-16351.00,14450.00,30801.00,1244.00,38774.00,38851.00,-77.00,20432.00,12850.00,2146.00,5437.00,0.00,0.00,-2958.00,1528958.00
1974:Q3,92873.00,18320.00,26487.00,37278.00,23295.00,-12504.00,-8162.00,18262.00,26424.00,-5.00,48251.00,48459.00,-208.00,25617.00,19866.00,2188.00,3563.00,0.00,0.00,685.00,1621831.00
1974:Q4,168204.00,10409.00,28250.00,44054.00,24394.00,-8589.00,-19144.00,4876.00,24020.00,1303.00,46739.00,46680.00,59.00,26279.00,24443.00,2206.00,-358.00,0.00,11.00,84777.00,1790035.00
1975:Q1,-76496.00,4838.00,9424.00,31920.00,25584.00,-3088.00,-6519.00,614.00,7132.00,1933.00,36750.00,36638.00,112.00,22287.00,22270.00,1657.00,-1704.00,0.00,-65.00,-140370.00,1713539.00
1975:Q2,53056.00,-197.00,6857.00,31706.00,26595.00,-1745.00,-10277.00,4649.00,14926.00,3223.00,24105.00,24009.00,96.00,18551.00,16286.00,2033.00,232.00,0.00,0.00,10597.00,1766595.00
1975:Q3,13172.00,3041.00,11181.00,35676.00,27426.00,-2932.00,-9854.00,15173.00,25027.00,1713.00,12742.00,12848.00,-106.00,10790.00,8292.00,1073.00,1425.00,0.00,0.00,-13401.00,1779767.00
