1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q3,4220.00,4220.00,12.00,4208.00,0.00,0.00,4220.00,2444.00,360.00,0.00,32.00,1540.00,-16.00,0.00,0.00,44.00,160.00,176.00,0.00,0.00,0.00,0.00,0.00,-520.00,0.00
1952:Q4,4320.00,4320.00,136.00,4184.00,0.00,0.00,4320.00,1876.00,940.00,0.00,-8.00,200.00,16.00,4.00,0.00,520.00,-40.00,180.00,0.00,0.00,0.00,0.00,0.00,632.00,0.00
1953:Q1,5776.00,5776.00,28.00,5748.00,0.00,0.00,5776.00,3192.00,208.00,0.00,12.00,1656.00,0.00,4.00,0.00,616.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,-312.00,0.00
1953:Q2,5284.00,5284.00,140.00,5144.00,0.00,0.00,5284.00,4124.00,272.00,0.00,120.00,-60.00,36.00,4.00,0.00,716.00,60.00,212.00,0.00,0.00,0.00,0.00,0.00,-200.00,0.00
1953:Q3,5016.00,5016.00,208.00,4808.00,0.00,0.00,5016.00,2548.00,352.00,0.00,236.00,672.00,20.00,4.00,0.00,800.00,160.00,224.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,5344.00,5344.00,300.00,5044.00,0.00,0.00,5344.00,1800.00,-64.00,0.00,360.00,632.00,28.00,4.00,0.00,860.00,160.00,244.00,0.00,0.00,0.00,0.00,0.00,1320.00,0.00
1954:Q1,5528.00,5528.00,268.00,5260.00,0.00,0.00,5528.00,1564.00,-168.00,0.00,364.00,2540.00,-16.00,4.00,0.00,848.00,660.00,252.00,0.00,0.00,0.00,0.00,0.00,-520.00,0.00
1954:Q2,6072.00,6072.00,256.00,5816.00,0.00,0.00,6072.00,1840.00,-164.00,0.00,228.00,2332.00,-24.00,8.00,0.00,812.00,776.00,264.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q3,5372.00,5372.00,-32.00,5404.00,0.00,0.00,5372.00,1604.00,300.00,0.00,108.00,1792.00,-16.00,8.00,0.00,760.00,536.00,280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,5632.00,5632.00,-52.00,5684.00,0.00,0.00,5632.00,3356.00,-100.00,0.00,-4.00,1116.00,24.00,4.00,0.00,720.00,220.00,296.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,5472.00,5472.00,-76.00,5548.00,0.00,0.00,5472.00,1584.00,372.00,0.00,-44.00,1896.00,48.00,4.00,0.00,740.00,552.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,5144.00,5144.00,-56.00,5200.00,0.00,0.00,5144.00,4796.00,-24.00,0.00,-4.00,-868.00,124.00,0.00,0.00,776.00,0.00,344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,4908.00,4908.00,112.00,4796.00,0.00,0.00,4908.00,2708.00,600.00,0.00,32.00,172.00,96.00,0.00,0.00,812.00,128.00,360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,4612.00,4612.00,132.00,4480.00,0.00,0.00,4612.00,3752.00,40.00,0.00,64.00,-600.00,64.00,0.00,0.00,840.00,88.00,364.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,4444.00,4444.00,128.00,4316.00,0.00,0.00,4444.00,1084.00,1100.00,0.00,64.00,476.00,-80.00,4.00,0.00,804.00,620.00,372.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,4420.00,4420.00,140.00,4280.00,0.00,0.00,4420.00,4204.00,-644.00,0.00,32.00,176.00,-56.00,4.00,0.00,752.00,-28.00,380.00,0.00,0.00,0.00,0.00,0.00,-400.00,0.00
1956:Q3,3956.00,3956.00,-16.00,3972.00,0.00,0.00,3956.00,2704.00,-152.00,0.00,-16.00,536.00,-68.00,8.00,0.00,692.00,260.00,392.00,0.00,0.00,0.00,0.00,0.00,-400.00,0.00
1956:Q4,3840.00,3840.00,124.00,3716.00,0.00,0.00,3840.00,2912.00,188.00,0.00,-76.00,-260.00,-60.00,8.00,0.00,636.00,88.00,404.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,3740.00,3740.00,88.00,3652.00,0.00,0.00,3740.00,2036.00,308.00,0.00,-60.00,704.00,36.00,8.00,0.00,628.00,64.00,416.00,0.00,0.00,0.00,0.00,0.00,-400.00,0.00
1957:Q2,4420.00,4420.00,112.00,4308.00,0.00,0.00,4420.00,1876.00,-64.00,0.00,36.00,960.00,0.00,8.00,0.00,640.00,132.00,432.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00
1957:Q3,4532.00,4532.00,96.00,4436.00,0.00,0.00,4532.00,1964.00,428.00,0.00,160.00,780.00,-8.00,8.00,0.00,660.00,104.00,436.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,5336.00,5336.00,404.00,4932.00,0.00,0.00,5336.00,1928.00,-124.00,0.00,304.00,1652.00,-60.00,8.00,0.00,684.00,112.00,432.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00
1958:Q1,5264.00,5264.00,268.00,4996.00,0.00,0.00,5264.00,1548.00,-1048.00,0.00,304.00,2516.00,-12.00,8.00,0.00,676.00,336.00,436.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00
1958:Q2,5428.00,5428.00,392.00,5036.00,0.00,0.00,5428.00,-3404.00,1860.00,0.00,156.00,5216.00,0.00,8.00,0.00,668.00,296.00,448.00,0.00,0.00,0.00,0.00,0.00,180.00,0.00
1958:Q3,5124.00,5124.00,152.00,4972.00,0.00,0.00,5124.00,868.00,1188.00,0.00,72.00,2188.00,-4.00,8.00,0.00,676.00,316.00,432.00,0.00,0.00,0.00,0.00,0.00,-620.00,0.00
1958:Q4,5984.00,5984.00,848.00,5136.00,0.00,0.00,5984.00,4048.00,-84.00,0.00,56.00,616.00,-16.00,8.00,0.00,704.00,272.00,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,5676.00,5676.00,416.00,5260.00,0.00,0.00,5676.00,2744.00,0.00,0.00,32.00,920.00,-4.00,0.00,0.00,816.00,588.00,340.00,0.00,0.00,0.00,0.00,0.00,240.00,0.00
1959:Q2,5940.00,5940.00,708.00,5232.00,0.00,0.00,5940.00,3340.00,204.00,0.00,8.00,584.00,0.00,0.00,0.00,948.00,652.00,304.00,0.00,0.00,0.00,0.00,0.00,-100.00,0.00
1959:Q3,6680.00,6680.00,1168.00,5512.00,0.00,0.00,6680.00,2884.00,1784.00,0.00,-36.00,368.00,0.00,0.00,0.00,1060.00,628.00,272.00,0.00,0.00,0.00,0.00,0.00,-280.00,0.00
1959:Q4,5072.00,5072.00,-680.00,5752.00,0.00,0.00,5072.00,6020.00,-2644.00,0.00,-96.00,-272.00,4.00,-8.00,0.00,1136.00,208.00,236.00,0.00,0.00,0.00,0.00,0.00,488.00,0.00
1960:Q1,5752.00,5752.00,4.00,5748.00,0.00,0.00,5752.00,1844.00,2620.00,0.00,-104.00,-100.00,-4.00,4.00,0.00,1044.00,336.00,216.00,0.00,0.00,0.00,0.00,0.00,-104.00,0.00
