1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1221353.00,430936.00,308963.00,1592.00,366.00,120015.00,333810.00,255779.00,31387.00,3103.00,43541.00,0.00,197692.00,147629.00,50063.00,121528.00,72612.00,40493.00,8423.00,122865.00,120038.00,2465.00,362.00,14522.00,32026.00,1390.00,30636.00,17504.00,3450.00,14054.00,1221353.00,123622.00,11.26,1271283.00,108836.00,9.36
1952:Q1,1234613.00,437119.00,311906.00,1635.00,365.00,123213.00,336211.00,257821.00,31641.00,3158.00,43591.00,0.00,201685.00,151463.00,50222.00,122772.00,72191.00,41977.00,8604.00,122863.00,119969.00,2531.00,363.00,13963.00,31580.00,363.00,31217.00,17617.00,3454.00,14163.00,1234613.00,13260.00,1.09,1289240.00,17957.00,1.41
1952:Q2,1261495.00,448851.00,322754.00,1683.00,366.00,124048.00,338155.00,259926.00,31911.00,3202.00,43116.00,0.00,207970.00,157607.00,50363.00,125406.00,73255.00,43346.00,8805.00,126503.00,123568.00,2570.00,365.00,14610.00,32772.00,789.00,31983.00,18162.00,3539.00,14623.00,1261495.00,26883.00,2.18,1311099.00,21858.00,1.70
1952:Q3,1275200.00,453492.00,324183.00,1698.00,369.00,127242.00,339403.00,262032.00,32444.00,3242.00,41685.00,0.00,207383.00,156907.00,50476.00,128816.00,74699.00,45092.00,9025.00,131381.00,128397.00,2616.00,368.00,14725.00,33488.00,1128.00,32360.00,18763.00,3434.00,15329.00,1275200.00,13704.00,1.09,1324319.00,13220.00,1.01
1952:Q4,1274882.00,464001.00,334895.00,1728.00,375.00,127003.00,336954.00,262603.00,32718.00,3221.00,38412.00,0.00,197219.00,146628.00,50591.00,131007.00,74967.00,46780.00,9260.00,130154.00,127135.00,2647.00,372.00,15547.00,34347.00,1459.00,32888.00,18800.00,3705.00,15095.00,1274882.00,-317.00,-0.02,1328005.00,3686.00,0.28
1953:Q1,1283674.00,472953.00,340387.00,1786.00,380.00,130400.00,335833.00,262881.00,33004.00,3298.00,36650.00,0.00,193757.00,143052.00,50705.00,132803.00,75421.00,47886.00,9496.00,132118.00,129004.00,2737.00,377.00,16210.00,34947.00,1492.00,33455.00,18737.00,3569.00,15168.00,1283674.00,8791.00,0.69,1338183.00,10178.00,0.77
1953:Q2,1285006.00,481977.00,347238.00,1854.00,386.00,132499.00,335462.00,263390.00,33598.00,3332.00,35142.00,0.00,184623.00,133816.00,50807.00,135711.00,76170.00,49824.00,9717.00,130829.00,127702.00,2745.00,382.00,16404.00,35403.00,1399.00,34004.00,18999.00,3476.00,15523.00,1285006.00,1332.00,0.10,1340065.00,1882.00,0.14
1953:Q3,1297162.00,493038.00,357332.00,1925.00,390.00,133391.00,337026.00,265056.00,34170.00,3380.00,34420.00,0.00,180195.00,129274.00,50921.00,138581.00,76737.00,51908.00,9936.00,131615.00,128461.00,2766.00,388.00,16707.00,36095.00,1290.00,34805.00,19388.00,3430.00,15958.00,1297162.00,12157.00,0.95,1354587.00,14522.00,1.08
1953:Q4,1311602.00,493418.00,355919.00,1980.00,394.00,135125.00,337209.00,264204.00,34705.00,3430.00,34869.00,0.00,195074.00,144082.00,50992.00,140065.00,76379.00,53539.00,10147.00,128808.00,125614.00,2800.00,394.00,17028.00,36770.00,1329.00,35441.00,19742.00,3650.00,16092.00,1311602.00,14439.00,1.11,1375264.00,20677.00,1.53
1954:Q1,1329995.00,498303.00,357485.00,2045.00,399.00,138374.00,338563.00,264497.00,35149.00,3506.00,35411.00,0.00,207401.00,156255.00,51146.00,142081.00,76593.00,55120.00,10368.00,127014.00,123750.00,2862.00,402.00,16633.00,37253.00,1439.00,35814.00,20620.00,3996.00,16624.00,1329995.00,18393.00,1.40,1397943.00,22679.00,1.65
1954:Q2,1358689.00,501397.00,361814.00,2109.00,404.00,137070.00,340120.00,266067.00,35660.00,3520.00,34873.00,0.00,223864.00,172550.00,51314.00,144535.00,77893.00,56023.00,10619.00,132359.00,128941.00,3009.00,409.00,16414.00,37734.00,1554.00,36180.00,21320.00,4353.00,16967.00,1358689.00,28694.00,2.16,1418735.00,20792.00,1.49
1954:Q3,1392486.00,510861.00,371385.00,2121.00,410.00,136945.00,342945.00,269336.00,35103.00,3559.00,34948.00,0.00,243537.00,191985.00,51552.00,147072.00,77923.00,58248.00,10901.00,132199.00,128678.00,3104.00,417.00,15872.00,38107.00,1708.00,36399.00,22235.00,4804.00,17431.00,1392486.00,33797.00,2.49,1455292.00,36557.00,2.58
1954:Q4,1412598.00,520897.00,379599.00,2160.00,417.00,138721.00,344491.00,271288.00,35045.00,3603.00,34554.00,0.00,246489.00,194840.00,51649.00,150217.00,79313.00,59696.00,11208.00,134547.00,130904.00,3217.00,426.00,15957.00,39041.00,1868.00,37173.00,23084.00,5254.00,17830.00,1412598.00,20111.00,1.44,1471900.00,16608.00,1.14
1955:Q1,1428865.00,527833.00,384467.00,2175.00,425.00,140766.00,347995.00,273935.00,35512.00,3770.00,34778.00,0.00,253750.00,202122.00,51628.00,149768.00,78720.00,59494.00,11554.00,133259.00,129467.00,3356.00,436.00,16260.00,39318.00,1934.00,37384.00,23058.00,5407.00,17651.00,1428865.00,16267.00,1.15,1494084.00,22183.00,1.51
1955:Q2,1473895.00,540621.00,394908.00,2227.00,432.00,143054.00,351075.00,277893.00,36197.00,3814.00,33171.00,0.00,277402.00,225533.00,51869.00,152056.00,79104.00,61013.00,11939.00,136398.00,132498.00,3453.00,447.00,16343.00,40215.00,2168.00,38047.00,23872.00,5981.00,17891.00,1473895.00,45031.00,3.15,1528950.00,34867.00,2.33
1955:Q3,1520316.00,555204.00,406169.00,2314.00,442.00,146279.00,355583.00,282691.00,37136.00,3858.00,31898.00,0.00,293047.00,240995.00,52052.00,155622.00,80757.00,62495.00,12370.00,144662.00,140564.00,3638.00,460.00,16198.00,40792.00,2333.00,38459.00,24594.00,6349.00,18245.00,1520316.00,46421.00,3.15,1567815.00,38864.00,2.54
1955:Q4,1545869.00,565457.00,414487.00,2412.00,455.00,148103.00,359454.00,287208.00,38015.00,3850.00,30381.00,0.00,296234.00,244222.00,52012.00,158645.00,81225.00,64552.00,12868.00,149445.00,145186.00,3783.00,476.00,16634.00,41596.00,2439.00,39157.00,24962.00,6575.00,18387.00,1545869.00,25553.00,1.68,1587415.00,19601.00,1.25
1956:Q1,1593282.00,577332.00,424188.00,2484.00,466.00,150194.00,366109.00,292719.00,38694.00,3949.00,30746.00,0.00,314586.00,262345.00,52241.00,163284.00,82956.00,66910.00,13418.00,155276.00,150890.00,3895.00,491.00,16695.00,42652.00,2642.00,40010.00,25957.00,7074.00,18883.00,1593282.00,47412.00,3.07,1630335.00,42920.00,2.70
1956:Q2,1611818.00,588163.00,433166.00,2555.00,478.00,151964.00,372324.00,297114.00,39211.00,4000.00,31999.00,0.00,305098.00,252704.00,52394.00,167535.00,86124.00,67389.00,14022.00,161205.00,156844.00,3856.00,505.00,17493.00,43688.00,2591.00,41097.00,26195.00,6899.00,19296.00,1611818.00,18536.00,1.16,1639924.00,9589.00,0.59
1956:Q3,1631602.00,599570.00,440946.00,2651.00,490.00,155483.00,376761.00,301340.00,39974.00,4061.00,31386.00,0.00,299357.00,246833.00,52524.00,171266.00,88558.00,68036.00,14672.00,166573.00,162169.00,3886.00,518.00,18075.00,44922.00,2565.00,42357.00,26847.00,6805.00,20042.00,1631602.00,19784.00,1.23,1658115.00,18191.00,1.11
