1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q1,2779.00,728.00,1996.00,55.00,2779.00,52.00,0.00,54.00,538.00,0.00,2112.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q2,2349.00,283.00,2010.00,56.00,2349.00,135.00,0.00,20.00,495.00,0.00,1675.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q3,2610.00,425.00,2127.00,58.00,2610.00,209.00,0.00,1.00,493.00,0.00,1882.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,4412.00,2253.00,2099.00,60.00,4412.00,154.00,0.00,0.00,516.00,0.00,3698.00,0.00,0.00,1.00,0.00,0.00,18.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q1,4843.00,2911.00,1871.00,61.00,4843.00,140.00,0.00,18.00,547.00,0.00,4093.00,0.00,0.00,1.00,0.00,0.00,16.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q2,4031.00,2002.00,1967.00,62.00,4031.00,140.00,0.00,8.00,568.00,0.00,3267.00,0.00,0.00,1.00,0.00,0.00,16.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q3,2699.00,537.00,2092.00,70.00,2699.00,152.00,0.00,6.00,600.00,0.00,1897.00,0.00,0.00,1.00,0.00,0.00,9.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,4480.00,2338.00,2064.00,78.00,4480.00,147.00,0.00,1.00,659.00,0.00,3627.00,0.00,0.00,1.00,0.00,0.00,7.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,4726.00,2595.00,2045.00,86.00,4726.00,39.00,150.00,7.00,732.00,0.00,3745.00,0.00,0.00,1.00,0.00,0.00,9.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,4006.00,1550.00,2361.00,95.00,4006.00,117.00,200.00,8.00,764.00,0.00,2857.00,0.00,0.00,1.00,0.00,0.00,11.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,3615.00,908.00,2602.00,105.00,3615.00,232.00,250.00,4.00,747.00,0.00,2315.00,0.00,0.00,1.00,0.00,0.00,13.00,0.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,4732.00,1611.00,3005.00,116.00,4732.00,605.00,300.00,20.00,676.00,0.00,3053.00,0.00,0.00,1.00,0.00,0.00,19.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
