1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q2,94208.00,8685.00,65391.00,20132.00,94208.00,6970.00,2607.00,0.00,15834.00,2828.00,48418.00,602.00,0.00,1936.00,2781.00,937.00,3264.00,0.00,4145.00,0.00,0.00,312.00,0.00,0.00,0.00,0.00,3574.00
1974:Q3,102062.00,8477.00,73048.00,20537.00,102062.00,11510.00,3080.00,0.00,16412.00,3834.00,48986.00,557.00,0.00,2008.00,2940.00,989.00,3511.00,0.00,4401.00,0.00,0.00,310.00,0.00,0.00,0.00,0.00,3524.00
1974:Q4,106124.00,8227.00,76439.00,21458.00,106124.00,13669.00,2953.00,0.00,16044.00,4702.00,50166.00,602.00,0.00,2125.00,2680.00,1065.00,4305.00,0.00,4583.00,0.00,0.00,449.00,0.00,0.00,0.00,0.00,2781.00
1975:Q1,108426.00,7934.00,76072.00,24420.00,108426.00,11529.00,3999.00,0.00,16327.00,5044.00,52087.00,379.00,0.00,2289.00,2963.00,1110.00,4673.00,0.00,4719.00,0.00,0.00,384.00,0.00,0.00,0.00,0.00,2923.00
1975:Q2,109510.00,7885.00,76022.00,25603.00,109510.00,8769.00,3555.00,0.00,17610.00,4846.00,54866.00,331.00,0.00,2504.00,2914.00,1179.00,4900.00,0.00,4836.00,0.00,0.00,399.00,0.00,0.00,0.00,0.00,2801.00
1975:Q3,111617.00,7876.00,76956.00,26785.00,111617.00,7681.00,3484.00,0.00,18506.00,5615.00,56424.00,277.00,0.00,2726.00,2829.00,1282.00,4981.00,0.00,5045.00,0.00,0.00,399.00,0.00,0.00,0.00,0.00,2368.00
1975:Q4,115166.00,7874.00,78781.00,28511.00,115166.00,7584.00,3264.00,0.00,18206.00,6072.00,57912.00,331.00,0.00,2911.00,3302.00,1419.00,5466.00,0.00,5254.00,0.00,0.00,424.00,0.00,0.00,0.00,330.00,2691.00
1976:Q1,118587.00,8406.00,79029.00,31152.00,118587.00,6963.00,3088.00,0.00,18389.00,6607.00,59977.00,316.00,0.00,3055.00,3574.00,1642.00,5951.00,0.00,5536.00,0.00,0.00,370.00,0.00,0.00,0.00,352.00,2767.00
1976:Q2,122030.00,8448.00,79556.00,34026.00,122030.00,7594.00,3029.00,0.00,18729.00,6805.00,60783.00,371.00,0.00,3173.00,3887.00,1648.00,6326.00,0.00,5855.00,0.00,0.00,378.00,0.00,0.00,0.00,374.00,3078.00
1976:Q3,126588.00,8733.00,80871.00,36984.00,126588.00,6993.00,3018.00,0.00,19745.00,6729.00,63718.00,302.00,0.00,3278.00,4021.00,2090.00,6517.00,0.00,6275.00,0.00,0.00,356.00,0.00,0.00,0.00,396.00,3150.00
1976:Q4,130263.00,8329.00,81241.00,40693.00,130263.00,11692.00,2868.00,0.00,20359.00,6794.00,62830.00,325.00,0.00,3383.00,3859.00,2318.00,6075.00,0.00,6836.00,0.00,0.00,455.00,0.00,0.00,0.00,452.00,2017.00
1977:Q1,135711.00,8175.00,82118.00,45418.00,135711.00,7499.00,2789.00,0.00,23950.00,6690.00,65497.00,258.00,0.00,3484.00,4311.00,2547.00,7089.00,0.00,8412.00,0.00,0.00,549.00,0.00,0.00,0.00,506.00,2130.00
1977:Q2,140748.00,8097.00,84671.00,47980.00,140748.00,7588.00,2682.00,0.00,24830.00,7423.00,67365.00,240.00,0.00,3574.00,4326.00,2685.00,7630.00,0.00,8619.00,0.00,0.00,367.00,0.00,0.00,0.00,572.00,2847.00
1977:Q3,146033.00,7599.00,86022.00,52412.00,146033.00,7913.00,2375.00,0.00,26402.00,7370.00,68779.00,232.00,0.00,3663.00,4225.00,3040.00,8610.00,0.00,8839.00,0.00,0.00,342.00,0.00,0.00,0.00,660.00,3583.00
1977:Q4,152556.00,7556.00,88197.00,56803.00,152556.00,8372.00,2672.00,0.00,26705.00,8004.00,70842.00,211.00,0.00,3760.00,4386.00,4002.00,8501.00,0.00,9585.00,0.00,0.00,84.00,0.00,0.00,0.00,737.00,4695.00
1978:Q1,159366.00,7233.00,92621.00,59512.00,159366.00,8564.00,2897.00,0.00,28415.00,7929.00,73246.00,242.00,0.00,3877.00,4362.00,4605.00,8472.00,0.00,10968.00,0.00,0.00,210.00,0.00,0.00,0.00,660.00,4919.00
1978:Q2,169026.00,7136.00,99279.00,62611.00,169026.00,8452.00,3358.00,0.00,33040.00,8168.00,75914.00,331.00,0.00,3816.00,4525.00,4895.00,8423.00,0.00,11351.00,200.00,0.00,637.00,0.00,0.00,0.00,594.00,5322.00
1978:Q3,177607.00,6584.00,105268.00,65755.00,177607.00,8500.00,2779.00,0.00,34581.00,7950.00,80181.00,342.00,0.00,3745.00,4313.00,5831.00,9974.00,0.00,11921.00,400.00,0.00,355.00,0.00,0.00,0.00,528.00,6207.00
1978:Q4,187894.00,6221.00,111266.00,70407.00,187894.00,9910.00,2773.00,0.00,39495.00,7896.00,83297.00,409.00,0.00,3626.00,4887.00,6543.00,8681.00,0.00,13965.00,600.00,0.00,193.00,0.00,0.00,0.00,454.00,5165.00
1979:Q1,198574.00,5593.00,117354.00,75627.00,198574.00,11678.00,3364.00,0.00,42995.00,7464.00,85541.00,369.00,0.00,3457.00,5124.00,7121.00,9895.00,0.00,14432.00,1200.00,0.00,225.00,0.00,0.00,0.00,550.00,5159.00
1979:Q2,208211.00,5146.00,122559.00,80506.00,208211.00,11553.00,3430.00,0.00,46504.00,7761.00,88687.00,359.00,0.00,3236.00,5355.00,7988.00,10734.00,0.00,14496.00,1833.00,0.00,345.00,0.00,0.00,0.00,660.00,5270.00
1979:Q3,219355.00,5070.00,126976.00,87309.00,219355.00,12626.00,2570.00,0.00,50211.00,8224.00,91635.00,394.00,0.00,3022.00,5674.00,9023.00,12004.00,0.00,14065.00,3085.00,0.00,390.00,0.00,0.00,0.00,770.00,5662.00
1979:Q4,235238.00,4938.00,135522.00,94778.00,235238.00,12500.00,1800.00,0.00,59357.00,8216.00,95697.00,430.00,0.00,2658.00,5971.00,9381.00,12559.00,0.00,15360.00,4020.00,0.00,602.00,0.00,0.00,0.00,819.00,5868.00
1980:Q1,249123.00,4874.00,144295.00,99954.00,249123.00,19044.00,1933.00,0.00,61731.00,8211.00,98529.00,377.00,0.00,2125.00,5909.00,9870.00,13343.00,0.00,15981.00,3607.00,0.00,610.00,0.00,0.00,0.00,836.00,7017.00
1980:Q2,257577.00,4685.00,148876.00,104016.00,257577.00,17494.00,1969.00,0.00,60336.00,8875.00,102994.00,354.00,0.00,2839.00,5836.00,9739.00,15027.00,0.00,17783.00,5725.00,0.00,707.00,0.00,0.00,0.00,836.00,7063.00
1980:Q3,265008.00,4573.00,150744.00,109691.00,265008.00,16814.00,1679.00,0.00,59467.00,8782.00,109313.00,353.00,0.00,3310.00,5775.00,10303.00,16447.00,0.00,18052.00,5399.00,0.00,766.00,0.00,0.00,0.00,858.00,7690.00
1980:Q4,278330.00,4445.00,159926.00,113959.00,278330.00,18600.00,2205.00,0.00,59721.00,8739.00,115687.00,389.00,0.00,3328.00,6178.00,11144.00,18345.00,0.00,19083.00,4754.00,0.00,825.00,0.00,0.00,0.00,859.00,8473.00
1981:Q1,285034.00,4391.00,163383.00,117260.00,285034.00,14218.00,2243.00,0.00,60564.00,8722.00,119438.00,447.00,0.00,3451.00,6296.00,12256.00,20305.00,0.00,20201.00,6345.00,0.00,680.00,0.00,0.00,0.00,814.00,9054.00
1981:Q2,298481.00,4232.00,173398.00,120851.00,298481.00,14201.00,3864.00,0.00,62628.00,8694.00,122416.00,460.00,0.00,3396.00,6505.00,13667.00,22926.00,0.00,20948.00,7403.00,0.00,863.00,0.00,0.00,0.00,801.00,9709.00
1981:Q3,315259.00,4170.00,186719.00,124370.00,315259.00,13478.00,4475.00,0.00,66253.00,8661.00,128164.00,654.00,0.00,3067.00,6797.00,14322.00,25713.00,0.00,22121.00,9655.00,0.00,745.00,0.00,0.00,0.00,814.00,10340.00
1981:Q4,323521.00,4104.00,190431.00,128986.00,323521.00,14224.00,5779.00,0.00,69085.00,9125.00,132851.00,590.00,0.00,3597.00,6982.00,14293.00,20199.00,0.00,24250.00,10370.00,0.00,983.00,0.00,0.00,0.00,849.00,10344.00
1982:Q1,333348.00,3506.00,192214.00,137628.00,333348.00,13753.00,3809.00,0.00,65763.00,9013.00,141163.00,580.00,0.00,3997.00,7298.00,15157.00,23902.00,0.00,27237.00,9889.00,0.00,875.00,0.00,0.00,0.00,638.00,10274.00
1982:Q2,351445.00,3485.00,201009.00,146951.00,351445.00,13601.00,3837.00,0.00,64250.00,9002.00,150905.00,582.00,0.00,4268.00,7662.00,16274.00,27580.00,0.00,27893.00,13287.00,0.00,1083.00,0.00,0.00,0.00,419.00,10802.00
1982:Q3,370776.00,3443.00,207102.00,160231.00,370776.00,13569.00,2506.00,0.00,69922.00,8949.00,157866.00,597.00,0.00,3852.00,8069.00,17307.00,29696.00,0.00,31339.00,15137.00,0.00,1048.00,0.00,0.00,0.00,506.00,10413.00
1982:Q4,387243.00,3351.00,205373.00,178519.00,387243.00,13424.00,3322.00,0.00,70180.00,8937.00,168400.00,589.00,0.00,4526.00,8515.00,18634.00,31997.00,0.00,34310.00,11972.00,0.00,929.00,0.00,0.00,0.00,594.00,10914.00
1983:Q1,402097.00,3387.00,202193.00,196517.00,402097.00,12562.00,2830.00,0.00,70582.00,8915.00,183711.00,555.00,0.00,4391.00,9010.00,19319.00,33229.00,0.00,35339.00,9759.00,349.00,460.00,0.00,0.00,0.00,605.00,10481.00
1983:Q2,419074.00,3344.00,202669.00,213061.00,419074.00,12366.00,3753.00,0.00,71057.00,8890.00,191975.00,523.00,0.00,6485.00,9566.00,20265.00,34441.00,0.00,36156.00,11091.00,852.00,556.00,0.00,0.00,0.00,610.00,10488.00
1983:Q3,438438.00,3320.00,203580.00,231538.00,438438.00,14073.00,3141.00,0.00,70347.00,8737.00,201958.00,617.00,0.00,7497.00,10143.00,22151.00,36972.00,0.00,36406.00,12022.00,1192.00,320.00,1789.00,0.00,0.00,792.00,10281.00
1983:Q4,454898.00,3311.00,206780.00,244807.00,454898.00,14518.00,4187.00,0.00,70054.00,8645.00,205220.00,648.00,0.00,6263.00,10700.00,25863.00,38890.00,0.00,39252.00,13375.00,1620.00,497.00,2995.00,0.00,0.00,988.00,11183.00
1984:Q1,471527.00,3274.00,212323.00,255930.00,471527.00,15820.00,2548.00,0.00,71639.00,8558.00,211225.00,603.00,0.00,6381.00,11473.00,28094.00,39302.00,0.00,40192.00,15729.00,2288.00,205.00,4750.00,690.00,0.00,902.00,11128.00
1984:Q2,487974.00,3262.00,221368.00,263344.00,487974.00,17019.00,3291.00,0.00,71707.00,8501.00,219879.00,599.00,0.00,6797.00,12266.00,30538.00,38414.00,0.00,38801.00,16633.00,3062.00,426.00,6500.00,1379.00,0.00,852.00,11310.00
1984:Q3,512617.00,3255.00,233824.00,275538.00,512617.00,19809.00,3715.00,0.00,75416.00,8493.00,224169.00,756.00,0.00,6763.00,13158.00,33223.00,41402.00,0.00,39492.00,18073.00,4289.00,755.00,8250.00,2066.00,0.00,1012.00,11776.00
1984:Q4,529441.00,3244.00,237210.00,288987.00,529441.00,27522.00,5319.00,0.00,74572.00,8389.00,220782.00,597.00,0.00,5860.00,13912.00,36870.00,44618.00,0.00,43308.00,16962.00,5489.00,725.00,8799.00,2572.00,0.00,1176.00,11969.00
1985:Q1,548395.00,3230.00,241132.00,304033.00,548395.00,26669.00,4183.00,0.00,84887.00,8372.00,222665.00,581.00,0.00,6135.00,15462.00,39898.00,46315.00,0.00,43495.00,17605.00,9476.00,250.00,5015.00,2580.00,1220.00,1298.00,12289.00
1985:Q2,574247.00,3221.00,249936.00,321090.00,574247.00,39673.00,3502.00,0.00,88968.00,8303.00,215686.00,590.00,0.00,6527.00,17656.00,42861.00,49971.00,0.00,40841.00,19702.00,12810.00,928.00,6699.00,2591.00,2440.00,1436.00,13063.00
1985:Q3,600079.00,3215.00,253532.00,343332.00,600079.00,34893.00,3533.00,0.00,90871.00,8227.00,222246.00,708.00,0.00,7100.00,19627.00,47568.00,52048.00,0.00,41556.00,21961.00,16761.00,1150.00,9450.00,2603.00,3660.00,1782.00,14335.00
1985:Q4,628876.00,3217.00,257795.00,367864.00,628876.00,22679.00,4017.00,0.00,105083.00,8227.00,221031.00,1079.00,0.00,6992.00,22157.00,49368.00,67106.00,0.00,38124.00,18093.00,26690.00,799.00,10174.00,2763.00,4880.00,2136.00,17478.00
1986:Q1,654303.00,3163.00,256553.00,394587.00,654303.00,17655.00,4167.00,0.00,102965.00,8187.00,232055.00,1583.00,0.00,7389.00,22820.00,53500.00,68646.00,0.00,34901.00,17103.00,35079.00,379.00,17040.00,4005.00,6100.00,1936.00,18793.00
1986:Q2,693538.00,3165.00,261301.00,429072.00,693538.00,21634.00,4518.00,0.00,95669.00,8137.00,256742.00,2078.00,0.00,7673.00,22721.00,55885.00,66237.00,0.00,36024.00,14806.00,44384.00,188.00,21667.00,5247.00,7320.00,1767.00,20841.00
1986:Q3,746678.00,3559.00,267223.00,475896.00,746678.00,22949.00,5750.00,0.00,102273.00,8047.00,279578.00,2378.00,0.00,8392.00,22367.00,56720.00,65490.00,0.00,37905.00,15176.00,54902.00,209.00,25345.00,6489.00,8540.00,1843.00,22325.00
1986:Q4,808209.00,3608.00,273010.00,531591.00,808209.00,23654.00,2360.00,0.00,103663.00,7829.00,303803.00,2589.00,0.00,8783.00,22262.00,59976.00,59135.00,0.00,38147.00,15101.00,62962.00,200.00,53525.00,7731.00,9760.00,1740.00,24989.00
1987:Q1,848405.00,4594.00,268376.00,575435.00,848405.00,23136.00,2274.00,0.00,92814.00,7719.00,317245.00,2584.00,0.00,9660.00,22281.00,62756.00,61479.00,0.00,39917.00,16644.00,72575.00,220.00,69250.00,9346.00,10908.00,1897.00,25700.00
1987:Q2,895040.00,4127.00,275771.00,615142.00,895040.00,23892.00,3006.00,0.00,94242.00,7683.00,339816.00,2917.00,0.00,10554.00,22293.00,64744.00,68626.00,0.00,41311.00,15835.00,72003.00,200.00,76028.00,10961.00,12200.00,2006.00,26723.00
1987:Q3,934710.00,3901.00,283725.00,647084.00,934710.00,29075.00,3036.00,0.00,100018.00,7623.00,355351.00,3540.00,0.00,9459.00,22309.00,67654.00,70435.00,0.00,42927.00,18392.00,67121.00,165.00,81439.00,12576.00,13420.00,2007.00,28163.00
1987:Q4,977752.00,5144.00,303214.00,669394.00,977752.00,35600.00,2648.00,0.00,108896.00,7553.00,375301.00,3832.00,0.00,8803.00,22340.00,67010.00,72258.00,0.00,42961.00,26957.00,62493.00,126.00,81771.00,14191.00,14640.00,2050.00,28322.00
1988:Q1,996381.00,5021.00,313519.00,677841.00,996381.00,31458.00,3702.00,0.00,105533.00,7553.00,379493.00,3983.00,289.00,7470.00,22365.00,68656.00,80809.00,0.00,40327.00,29732.00,61833.00,475.00,91720.00,14824.00,15860.00,1835.00,28464.00
1988:Q2,1020149.00,6952.00,317882.00,695315.00,1020149.00,27195.00,6107.00,0.00,110888.00,7553.00,393439.00,4281.00,324.00,7068.00,22366.00,71151.00,81456.00,0.00,39568.00,21961.00,62839.00,400.00,98092.00,15457.00,17080.00,1810.00,31114.00
1988:Q3,1061800.00,12176.00,328487.00,721137.00,1061800.00,31824.00,5918.00,0.00,124609.00,7553.00,407808.00,4599.00,366.00,7258.00,22409.00,72709.00,83917.00,0.00,39557.00,20844.00,61268.00,400.00,101944.00,16090.00,18300.00,1852.00,32575.00
1988:Q4,1115962.00,22578.00,348097.00,745287.00,1115962.00,55224.00,6022.00,0.00,131713.00,7553.00,425128.00,4922.00,423.00,7142.00,22563.00,75730.00,86584.00,0.00,35347.00,18433.00,59180.00,339.00,107131.00,16723.00,19520.00,2092.00,34193.00
1989:Q1,1157059.00,22284.00,364316.00,770459.00,1157059.00,51898.00,7692.00,0.00,143527.00,6779.00,433445.00,5597.00,502.00,6966.00,23133.00,81530.00,97388.00,0.00,37920.00,14060.00,58326.00,321.00,109991.00,16941.00,20740.00,2076.00,38227.00
1989:Q2,1187035.00,23567.00,368986.00,794482.00,1187035.00,41142.00,7090.00,0.00,152932.00,6654.00,442038.00,5978.00,606.00,6845.00,23925.00,89474.00,101011.00,0.00,43928.00,17328.00,58378.00,570.00,107924.00,17158.00,21960.00,2054.00,40040.00
1989:Q3,1222783.00,25342.00,370429.00,827012.00,1222783.00,52852.00,6564.00,0.00,161595.00,6555.00,436688.00,5185.00,707.00,6576.00,24897.00,95855.00,104862.00,0.00,47393.00,16500.00,59577.00,1383.00,110046.00,17376.00,23180.00,1969.00,43023.00
1989:Q4,1267073.00,24197.00,373327.00,869549.00,1267073.00,78611.00,9170.00,0.00,162629.00,6525.00,431010.00,5222.00,777.00,6259.00,26007.00,100844.00,110428.00,0.00,51203.00,21000.00,60454.00,6262.00,99100.00,17593.00,24400.00,2360.00,47219.00
1990:Q1,1314825.00,31590.00,378070.00,905165.00,1314825.00,87665.00,7046.00,0.00,151991.00,6524.00,443266.00,5902.00,817.00,9565.00,27244.00,104874.00,122943.00,0.00,54214.00,22093.00,62663.00,8008.00,105141.00,17318.00,25620.00,2543.00,49388.00
1990:Q2,1358105.00,32933.00,380974.00,944198.00,1358105.00,102295.00,5292.00,0.00,151960.00,6446.00,446385.00,6194.00,830.00,11526.00,28594.00,108755.00,127920.00,0.00,56085.00,29082.00,64126.00,9390.00,105931.00,17043.00,27324.00,2070.00,50857.00
1990:Q3,1395546.00,32603.00,384410.00,978533.00,1395546.00,113162.00,2886.00,0.00,151795.00,6377.00,450642.00,6541.00,836.00,13220.00,30149.00,115224.00,130652.00,0.00,61255.00,30356.00,64019.00,10440.00,107378.00,16768.00,31485.00,2037.00,50324.00
1990:Q4,1445905.00,32350.00,393694.00,1019861.00,1445905.00,121823.00,3285.00,0.00,151033.00,6342.00,460562.00,7153.00,855.00,14432.00,32000.00,121049.00,132637.00,0.00,62851.00,37205.00,67741.00,11883.00,103252.00,16493.00,44013.00,1890.00,49406.00
1991:Q1,1473629.00,26350.00,396972.00,1050307.00,1473629.00,98201.00,2873.00,0.00,152905.00,6342.00,461390.00,7942.00,866.00,16289.00,34361.00,129000.00,146543.00,0.00,62935.00,39671.00,76056.00,22869.00,101467.00,16517.00,45290.00,1887.00,50225.00
1991:Q2,1500385.00,24800.00,389601.00,1085984.00,1500385.00,102634.00,4955.00,0.00,153813.00,6213.00,457953.00,8660.00,850.00,17936.00,37412.00,145581.00,144457.00,0.00,64651.00,36345.00,81440.00,23957.00,94215.00,16541.00,49116.00,2093.00,51563.00
1991:Q3,1535656.00,17602.00,394741.00,1123313.00,1535656.00,103846.00,3350.00,0.00,157515.00,6154.00,456355.00,9000.00,865.00,19692.00,40291.00,148864.00,147391.00,20.00,64551.00,41114.00,91217.00,29465.00,87131.00,16565.00,54652.00,1757.00,55861.00
1991:Q4,1577948.00,18556.00,402903.00,1156489.00,1577948.00,104808.00,5112.00,0.00,162725.00,6044.00,466240.00,11151.00,971.00,19593.00,42135.00,164184.00,145747.00,45.00,58038.00,41323.00,106893.00,34764.00,76631.00,16589.00,54029.00,2395.00,58531.00
1992:Q1,1601229.00,15765.00,405736.00,1179728.00,1601229.00,115785.00,7872.00,0.00,148155.00,5960.00,471200.00,11720.00,1184.00,22461.00,42989.00,171663.00,157123.00,80.00,55408.00,39880.00,95413.00,40286.00,76437.00,16520.00,57617.00,1766.00,61710.00
1992:Q2,1653139.00,15862.00,418289.00,1218988.00,1653139.00,101561.00,7727.00,0.00,166627.00,5710.00,483400.00,13532.00,1517.00,24569.00,42897.00,176868.00,155059.00,107.00,49236.00,44187.00,109948.00,45517.00,71788.00,16400.00,66514.00,1589.00,68386.00
1992:Q3,1696980.00,18119.00,435214.00,1243647.00,1696980.00,114107.00,8462.00,0.00,172507.00,5534.00,491167.00,13759.00,1854.00,26851.00,42546.00,185766.00,157006.00,148.00,48036.00,51206.00,118280.00,45374.00,64032.00,16150.00,62053.00,2314.00,69828.00
1992:Q4,1734442.00,18786.00,443609.00,1272047.00,1734442.00,123316.00,8585.00,0.00,174902.00,5413.00,503167.00,14084.00,2077.00,28652.00,42621.00,193006.00,156333.00,183.00,39761.00,55109.00,137348.00,47482.00,59971.00,15900.00,52981.00,2199.00,71352.00
1993:Q1,1771049.00,19576.00,451677.00,1299796.00,1771049.00,106656.00,15167.00,0.00,161570.00,5123.00,518794.00,17036.00,2203.00,31887.00,42985.00,199330.00,171023.00,217.00,32740.00,50914.00,152474.00,45843.00,65634.00,15800.00,60300.00,2183.00,73170.00
1993:Q2,1790737.00,20596.00,468841.00,1301300.00,1790737.00,75842.00,11620.00,0.00,166402.00,5032.00,529694.00,17988.00,2249.00,32690.00,43496.00,209211.00,169668.00,268.00,32078.00,56429.00,155984.00,47525.00,68925.00,15700.00,65400.00,2406.00,82130.00
1993:Q3,1865973.00,24654.00,510764.00,1330555.00,1865973.00,65677.00,17224.00,0.00,180476.00,4804.00,537990.00,19021.00,2265.00,34631.00,44030.00,216867.00,167978.00,332.00,34149.00,66223.00,161818.00,52576.00,76924.00,14800.00,73800.00,2495.00,91893.00
1993:Q4,1907522.00,26585.00,524171.00,1356766.00,1907522.00,53234.00,19059.00,0.00,175007.00,4638.00,543577.00,21481.00,2303.00,36342.00,44463.00,222812.00,170207.00,380.00,35796.00,68614.00,177268.00,66041.00,83563.00,15600.00,60800.00,3096.00,103241.00
1994:Q1,1989720.00,26259.00,564165.00,1399296.00,1989720.00,118024.00,22414.00,0.00,168135.00,4227.00,543499.00,25089.00,2400.00,39997.00,44791.00,228816.00,175517.00,438.00,40588.00,69334.00,148899.00,77659.00,94748.00,14000.00,58600.00,3357.00,109188.00
1994:Q2,2060648.00,27438.00,600793.00,1432417.00,2060648.00,144862.00,24901.00,0.00,172648.00,3920.00,548059.00,24794.00,2500.00,40404.00,45119.00,227119.00,188455.00,454.00,45014.00,71966.00,143273.00,89461.00,101126.00,12400.00,55300.00,3740.00,115133.00
1994:Q3,2121886.00,28162.00,638791.00,1454933.00,2121886.00,163352.00,14900.00,0.00,183963.00,3806.00,558290.00,23970.00,2600.00,41625.00,45447.00,227953.00,202501.00,473.00,38390.00,74643.00,138941.00,111418.00,105535.00,10800.00,50000.00,4229.00,119050.00
1994:Q4,2200192.00,26743.00,701044.00,1472405.00,2200192.00,212720.00,19875.00,0.00,186600.00,3637.00,558006.00,23030.00,2771.00,40868.00,45774.00,234129.00,210789.00,470.00,39872.00,78862.00,139434.00,130793.00,106736.00,9200.00,45000.00,4833.00,106793.00
1995:Q1,2223465.00,26436.00,716783.00,1480246.00,2223465.00,182339.00,21042.00,0.00,205900.00,3408.00,559120.00,31240.00,2769.00,40878.00,46400.00,242145.00,212380.00,486.00,44665.00,76542.00,141152.00,136137.00,106906.00,8900.00,45000.00,4100.00,111956.00
1995:Q2,2274800.00,26838.00,748564.00,1499398.00,2274800.00,182129.00,24306.00,0.00,200300.00,3096.00,566567.00,36110.00,2787.00,43697.00,46962.00,243972.00,212445.00,513.00,48067.00,89970.00,133757.00,158901.00,111121.00,8600.00,42000.00,3911.00,115589.00
1995:Q3,2328063.00,26940.00,774093.00,1527030.00,2328063.00,203118.00,20783.00,0.00,172200.00,2895.00,583918.00,36165.00,2829.00,43189.00,47500.00,247446.00,211891.00,545.00,56192.00,83109.00,145817.00,163941.00,124146.00,8300.00,46000.00,4147.00,123932.00
1995:Q4,2405961.00,28223.00,807007.00,1570731.00,2405961.00,227307.00,23421.00,0.00,151500.00,2634.00,586032.00,37288.00,4025.00,45743.00,48150.00,242864.00,212661.00,589.00,63118.00,92543.00,158980.00,190828.00,127556.00,9000.00,54000.00,4671.00,123051.00
1996:Q1,2442646.00,27643.00,814908.00,1600095.00,2442646.00,228090.00,20853.00,0.00,150600.00,2526.00,587285.00,39111.00,3997.00,47866.00,48262.00,239102.00,212456.00,639.00,69231.00,97906.00,167718.00,208504.00,130457.00,9700.00,50000.00,4733.00,123610.00
1996:Q2,2518478.00,28205.00,846568.00,1643705.00,2518478.00,284672.00,22880.00,0.00,149423.00,2388.00,589746.00,40505.00,3708.00,50149.00,47714.00,234608.00,212494.00,643.00,70214.00,91299.00,173671.00,222433.00,129785.00,10400.00,48200.00,4820.00,128726.00
1996:Q3,2573406.00,27437.00,866605.00,1679364.00,2573406.00,320285.00,25926.00,0.00,137807.00,2309.00,583848.00,43387.00,4184.00,50160.00,48071.00,242394.00,207148.00,671.00,65037.00,97094.00,179580.00,236746.00,127192.00,11128.00,46500.00,4686.00,139253.00
1996:Q4,2635764.00,26613.00,897443.00,1711708.00,2635764.00,350693.00,28480.00,0.00,116211.00,2225.00,592797.00,49722.00,4258.00,50691.00,50986.00,244134.00,200606.00,679.00,68622.00,103881.00,185448.00,256631.00,122972.00,12198.00,55200.00,4930.00,134400.00
1997:Q1,2662430.00,26258.00,895813.00,1740359.00,2662430.00,342959.00,19272.00,0.00,108916.00,1994.00,602059.00,54772.00,5132.00,51891.00,68827.00,243051.00,202344.00,685.00,78763.00,94326.00,183568.00,271911.00,116493.00,12210.00,53807.00,4554.00,144896.00
1997:Q2,2734372.00,26319.00,945532.00,1762521.00,2734372.00,354868.00,11823.00,0.00,121578.00,1496.00,614862.00,57467.00,5060.00,53367.00,69362.00,245763.00,203419.00,694.00,78798.00,95209.00,187376.00,294515.00,114677.00,13399.00,53744.00,5220.00,151675.00
1997:Q3,2774276.00,26089.00,957099.00,1791088.00,2774276.00,358368.00,8394.00,0.00,110234.00,925.00,622562.00,60320.00,5460.00,53587.00,70022.00,249310.00,205385.00,710.00,81608.00,90198.00,193136.00,311779.00,105090.00,15810.00,66391.00,4357.00,160630.00
1997:Q4,2849331.00,26526.00,996511.00,1826294.00,2849331.00,401564.00,7971.00,0.00,115436.00,685.00,652418.00,62196.00,6306.00,51049.00,70820.00,226662.00,206810.00,749.00,87006.00,98089.00,201680.00,324238.00,101229.00,21187.00,50432.00,5505.00,157299.00
1998:Q1,2905729.00,25918.00,1032256.00,1847555.00,2905729.00,368302.00,7283.00,0.00,110226.00,625.00,662902.00,67245.00,6991.00,53204.00,71581.00,225659.00,206165.00,789.00,90116.00,97473.00,211717.00,356552.00,99724.00,23183.00,67883.00,8605.00,169504.00
1998:Q2,3008901.00,25558.00,1073954.00,1909389.00,3008901.00,402552.00,7036.00,0.00,132500.00,526.00,654619.00,70462.00,7549.00,55928.00,71487.00,222915.00,201145.00,814.00,98041.00,95256.00,212607.00,385173.00,99880.00,21062.00,86937.00,5801.00,176611.00
1998:Q3,3149272.00,25455.00,1147570.00,1976247.00,3149272.00,460500.00,8288.00,0.00,140508.00,403.00,686825.00,65883.00,8044.00,57019.00,71206.00,219892.00,198451.00,881.00,104820.00,124163.00,207302.00,424912.00,112088.00,18301.00,61524.00,6418.00,171844.00
1998:Q4,3322895.00,28501.00,1275425.00,2018969.00,3322895.00,473163.00,10609.00,0.00,154103.00,338.00,722568.00,67436.00,10209.00,58374.00,69668.00,217032.00,188681.00,959.00,106104.00,176043.00,202247.00,482679.00,126445.00,13119.00,50922.00,6633.00,185563.00
1999:Q1,3464886.00,28118.00,1323758.00,2113010.00,3464886.00,483078.00,11324.00,0.00,164525.00,311.00,735808.00,70019.00,10600.00,63233.00,70677.00,221319.00,197595.00,986.00,113106.00,173245.00,212589.00,538853.00,144241.00,14915.00,32874.00,6096.00,199492.00
1999:Q2,3612367.00,28268.00,1400457.00,2183642.00,3612367.00,520601.00,11363.00,0.00,174399.00,259.00,743597.00,64669.00,11678.00,65796.00,73313.00,223523.00,207008.00,995.00,114932.00,160755.00,226269.00,587557.00,159185.00,14875.00,34718.00,4134.00,212741.00
