1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,295060.00,1828.00,223261.00,2343.00,22770.00,44858.00,295060.00,286337.00,0.00,40061.00,223506.00,22770.00,5324.00,396.00,99.00,2055.00,43.00,0.00,2731.00,0.00,0.00,0.00,0.00,3399.00,295060.00,107742.00,78323.00,19587.00,0.00,5.00,9827.00,182424.00,23604.00,89139.00,638.00,312.00,100.00,7687.00,39647.00,5928.00,7453.00,5331.00,0.00,462.00,440.00,0.00,428.00,0.00,0.00,0.00,1184.00,0.00,71.00,4894.00
1952:Q1,297181.00,2109.00,221993.00,2194.00,25016.00,45869.00,297181.00,288418.00,0.00,41201.00,222201.00,25016.00,5325.00,370.00,93.00,1941.00,45.00,0.00,2876.00,0.00,0.00,0.00,0.00,3438.00,297181.00,109945.00,80979.00,18825.00,0.00,14.00,10127.00,182439.00,22228.00,89218.00,693.00,313.00,102.00,7929.00,40192.00,6171.00,7552.00,5572.00,0.00,501.00,453.00,0.00,565.00,0.00,0.00,0.00,874.00,0.00,76.00,4797.00
1952:Q2,301294.00,2227.00,221979.00,2138.00,27480.00,47470.00,301294.00,292159.00,0.00,42647.00,222032.00,27480.00,5648.00,336.00,84.00,2038.00,47.00,0.00,3143.00,0.00,0.00,0.00,0.00,3487.00,301294.00,111350.00,82987.00,17555.00,0.00,4.00,10804.00,185037.00,22506.00,89471.00,754.00,320.00,103.00,8063.00,40480.00,6414.00,7938.00,5749.00,0.00,510.00,469.00,0.00,496.00,0.00,0.00,0.00,1699.00,0.00,65.00,4907.00
1952:Q3,307448.00,2436.00,225252.00,2579.00,28695.00,48486.00,307448.00,298164.00,0.00,43816.00,225653.00,28695.00,5880.00,367.00,92.00,2128.00,50.00,0.00,3243.00,0.00,0.00,0.00,0.00,3404.00,307448.00,113792.00,84828.00,18007.00,0.00,2.00,10955.00,188351.00,23215.00,90836.00,672.00,328.00,104.00,8358.00,41317.00,6691.00,8363.00,6089.00,0.00,516.00,485.00,0.00,483.00,0.00,0.00,0.00,834.00,0.00,60.00,5305.00
1952:Q4,313492.00,2246.00,229203.00,2781.00,29657.00,49605.00,313492.00,304314.00,0.00,44828.00,229829.00,29657.00,5752.00,398.00,99.00,2102.00,53.00,0.00,3100.00,0.00,0.00,0.00,0.00,3426.00,313492.00,115288.00,85382.00,18655.00,0.00,2.00,11249.00,193068.00,24034.00,92477.00,722.00,333.00,107.00,8610.00,41974.00,7027.00,8411.00,6287.00,0.00,539.00,500.00,0.00,495.00,0.00,0.00,0.00,1486.00,0.00,66.00,5136.00
1953:Q1,313432.00,2440.00,226183.00,2779.00,31221.00,50809.00,313432.00,303759.00,0.00,45627.00,226911.00,31221.00,6196.00,368.00,92.00,1996.00,55.00,0.00,3685.00,0.00,0.00,0.00,0.00,3477.00,313432.00,116772.00,85999.00,19241.00,0.00,54.00,11478.00,191403.00,23269.00,90269.00,682.00,335.00,108.00,8906.00,42691.00,7375.00,8471.00,6561.00,0.00,542.00,515.00,0.00,695.00,0.00,0.00,0.00,914.00,0.00,70.00,5257.00
1953:Q2,315865.00,2248.00,226643.00,2349.00,32379.00,52246.00,315865.00,305872.00,0.00,46567.00,226926.00,32379.00,6641.00,346.00,86.00,2010.00,56.00,0.00,4143.00,0.00,0.00,0.00,0.00,3352.00,315865.00,118744.00,89516.00,17581.00,0.00,20.00,11627.00,191633.00,24146.00,87994.00,709.00,335.00,109.00,9127.00,43255.00,7717.00,8804.00,6932.00,0.00,520.00,530.00,0.00,574.00,0.00,0.00,0.00,821.00,0.00,60.00,5488.00
1953:Q3,325182.00,2576.00,233183.00,2610.00,33795.00,53018.00,325182.00,314550.00,0.00,47147.00,233608.00,33795.00,7325.00,416.00,104.00,2127.00,58.00,0.00,4620.00,0.00,0.00,0.00,0.00,3307.00,325182.00,121294.00,90016.00,19467.00,0.00,1.00,11810.00,198101.00,24635.00,92066.00,700.00,334.00,110.00,9429.00,43746.00,8029.00,8902.00,7291.00,0.00,524.00,545.00,0.00,592.00,0.00,0.00,0.00,1140.00,0.00,58.00,5787.00
1953:Q4,331557.00,2624.00,235126.00,4412.00,35012.00,54383.00,331557.00,320805.00,0.00,48414.00,237379.00,35012.00,7438.00,463.00,116.00,2099.00,60.00,0.00,4700.00,0.00,0.00,0.00,0.00,3314.00,331557.00,121948.00,89348.00,20449.00,0.00,0.00,12151.00,203799.00,25317.00,95004.00,758.00,333.00,113.00,9734.00,44402.00,8301.00,8941.00,7514.00,0.00,547.00,560.00,0.00,589.00,0.00,0.00,0.00,1608.00,0.00,78.00,5810.00
1954:Q1,330286.00,2979.00,230582.00,4843.00,36516.00,55366.00,330286.00,319323.00,0.00,49314.00,233493.00,36516.00,7478.00,469.00,117.00,1871.00,61.00,0.00,4960.00,0.00,0.00,0.00,0.00,3485.00,330286.00,121378.00,89865.00,19162.00,0.00,18.00,12333.00,202853.00,24232.00,93618.00,729.00,336.00,115.00,9925.00,45097.00,8578.00,8961.00,7898.00,0.00,595.00,575.00,0.00,901.00,0.00,0.00,0.00,1219.00,0.00,74.00,6055.00
