1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,24734.00,6939.00,1696.00,0.00,815.00,11810.00,0.00,9114.00,493.00,2203.00,0.00,471.00,0.00,0.00,2234.00,496.00,273.00,54067.00,33795.00,1992.00,31803.00,842.00,2024.00,17406.00
1953:Q4,25409.00,7577.00,1957.00,0.00,175.00,12151.00,0.00,9342.00,516.00,2293.00,0.00,492.00,0.00,0.00,2203.00,457.00,397.00,55719.00,35012.00,1948.00,33064.00,774.00,2158.00,17775.00
1954:Q1,25693.00,7913.00,2283.00,0.00,-216.00,12333.00,0.00,9402.00,547.00,2384.00,0.00,514.00,0.00,0.00,2155.00,444.00,267.00,57560.00,36516.00,2137.00,34379.00,670.00,2298.00,18076.00
1954:Q2,25952.00,7864.00,2335.00,0.00,0.00,12475.00,0.00,9466.00,568.00,2441.00,0.00,538.00,0.00,0.00,2161.00,458.00,121.00,59164.00,37866.00,2033.00,35833.00,477.00,2441.00,18380.00
1954:Q3,26595.00,6936.00,2438.00,0.00,1006.00,12706.00,0.00,9638.00,600.00,2468.00,0.00,561.00,0.00,0.00,2259.00,477.00,212.00,61227.00,39376.00,2192.00,37184.00,453.00,2589.00,18809.00
1954:Q4,27227.00,7943.00,2419.00,0.00,172.00,12915.00,0.00,9789.00,659.00,2467.00,0.00,582.00,0.00,0.00,2378.00,503.00,315.00,63082.00,40663.00,2058.00,38605.00,439.00,2738.00,19242.00
1955:Q1,27555.00,7894.00,2377.00,0.00,402.00,13166.00,0.00,9978.00,732.00,2456.00,0.00,599.00,0.00,0.00,2386.00,518.00,213.00,65229.00,42155.00,2163.00,39992.00,447.00,2896.00,19731.00
1955:Q2,28031.00,8354.00,2452.00,0.00,0.00,13467.00,0.00,10248.00,764.00,2455.00,0.00,613.00,0.00,0.00,2478.00,526.00,141.00,66989.00,43267.00,1975.00,41292.00,438.00,3057.00,20227.00
1955:Q3,28840.00,7486.00,2313.00,0.00,1136.00,13760.00,0.00,10550.00,747.00,2463.00,0.00,626.00,0.00,0.00,2686.00,520.00,313.00,69018.00,44668.00,2177.00,42491.00,441.00,3220.00,20689.00
1955:Q4,29667.00,7982.00,2356.00,0.00,721.00,14091.00,0.00,10936.00,676.00,2479.00,0.00,641.00,0.00,0.00,2863.00,544.00,469.00,70689.00,45697.00,2086.00,43611.00,451.00,3384.00,21157.00
1956:Q1,29837.00,8084.00,2508.00,0.00,563.00,14308.00,0.00,11198.00,615.00,2495.00,0.00,657.00,0.00,0.00,2832.00,494.00,391.00,72544.00,46932.00,2242.00,44690.00,458.00,3553.00,21601.00
1956:Q2,30239.00,8700.00,2509.00,0.00,0.00,14662.00,0.00,11531.00,628.00,2503.00,0.00,671.00,0.00,0.00,2928.00,478.00,291.00,74343.00,47853.00,2093.00,45760.00,460.00,3726.00,22304.00
1956:Q3,30811.00,6980.00,2347.00,0.00,1878.00,14963.00,0.00,11779.00,685.00,2499.00,0.00,690.00,0.00,0.00,3035.00,452.00,466.00,76469.00,49038.00,2285.00,46753.00,495.00,3900.00,23036.00
1956:Q4,31293.00,7438.00,2400.00,0.00,1292.00,15226.00,0.00,11988.00,758.00,2480.00,0.00,721.00,0.00,0.00,3127.00,556.00,533.00,78232.00,49862.00,2180.00,47682.00,519.00,4076.00,23775.00
1957:Q1,31147.00,7358.00,2584.00,0.00,1118.00,15297.00,0.00,12017.00,815.00,2465.00,0.00,762.00,0.00,0.00,3095.00,554.00,379.00,80052.00,50925.00,2330.00,48595.00,576.00,4262.00,24289.00
1957:Q2,31054.00,8347.00,2723.00,0.00,0.00,15309.00,0.00,12006.00,829.00,2474.00,0.00,814.00,0.00,0.00,3083.00,556.00,222.00,81643.00,51836.00,2164.00,49672.00,578.00,4451.00,24778.00
1957:Q3,31280.00,6191.00,2742.00,0.00,2242.00,15169.00,0.00,11867.00,788.00,2514.00,0.00,871.00,0.00,0.00,3138.00,551.00,376.00,83756.00,53192.00,2411.00,50781.00,644.00,4642.00,25278.00
1957:Q4,31598.00,6781.00,2783.00,0.00,1820.00,14989.00,0.00,11660.00,739.00,2590.00,0.00,923.00,0.00,0.00,3238.00,524.00,540.00,85765.00,54369.00,2355.00,52014.00,670.00,4839.00,25887.00
1958:Q1,31235.00,6402.00,3433.00,0.00,1758.00,14687.00,0.00,11326.00,695.00,2666.00,0.00,975.00,0.00,0.00,3108.00,552.00,320.00,88074.00,55829.00,2566.00,53263.00,721.00,5042.00,26482.00
1958:Q2,31367.00,7585.00,4114.00,0.00,0.00,14770.00,0.00,11395.00,670.00,2705.00,0.00,1026.00,0.00,0.00,3178.00,569.00,125.00,90324.00,56972.00,2450.00,54522.00,758.00,5249.00,27345.00
1958:Q3,31805.00,5867.00,3735.00,0.00,2093.00,14835.00,0.00,11471.00,641.00,2723.00,0.00,1079.00,0.00,0.00,3345.00,605.00,246.00,92887.00,58513.00,2748.00,55765.00,817.00,5464.00,28093.00
1958:Q4,32214.00,6564.00,3589.00,0.00,1417.00,14961.00,0.00,11627.00,597.00,2737.00,0.00,1135.00,0.00,0.00,3499.00,588.00,461.00,95160.00,59819.00,2770.00,57049.00,850.00,5685.00,28806.00
1959:Q1,32427.00,7667.00,3589.00,0.00,204.00,15155.00,0.00,11848.00,562.00,2745.00,0.00,1196.00,0.00,0.00,3569.00,558.00,489.00,96403.00,61397.00,3033.00,58364.00,875.00,5912.00,28219.00
1959:Q2,32968.00,7849.00,3647.00,0.00,0.00,15485.00,0.00,12165.00,573.00,2747.00,0.00,1263.00,0.00,0.00,3686.00,586.00,452.00,97451.00,62655.00,2983.00,59672.00,938.00,6139.00,27719.00
1959:Q3,33480.00,7507.00,3177.00,0.00,998.00,15691.00,0.00,12375.00,578.00,2738.00,0.00,1329.00,0.00,0.00,3748.00,569.00,461.00,99014.00,64594.00,3544.00,61050.00,981.00,6363.00,27076.00
1959:Q4,34406.00,8258.00,3179.00,0.00,576.00,16102.00,0.00,12842.00,546.00,2714.00,0.00,1390.00,0.00,0.00,3875.00,554.00,472.00,99797.00,65661.00,3173.00,62488.00,1035.00,6581.00,26520.00
1960:Q1,35210.00,8847.00,3348.00,0.00,154.00,16424.00,0.00,13200.00,536.00,2688.00,0.00,1442.00,0.00,0.00,3961.00,571.00,463.00,102269.00,67248.00,3323.00,63925.00,1073.00,6803.00,27145.00
1960:Q2,35926.00,8813.00,3748.00,0.00,0.00,16807.00,0.00,13511.00,622.00,2674.00,0.00,1485.00,0.00,0.00,4022.00,582.00,469.00,104398.00,68353.00,3154.00,65199.00,1171.00,7033.00,27841.00
1960:Q3,36612.00,8456.00,4036.00,0.00,155.00,17256.00,0.00,13775.00,793.00,2688.00,0.00,1529.00,0.00,0.00,4112.00,567.00,501.00,107167.00,69924.00,3548.00,66376.00,1250.00,7266.00,28727.00
1960:Q4,37012.00,8223.00,4557.00,0.00,-176.00,17536.00,0.00,13739.00,1050.00,2747.00,0.00,1582.00,0.00,0.00,4214.00,553.00,523.00,109124.00,70971.00,3457.00,67514.00,1240.00,7501.00,29412.00
1961:Q1,37189.00,7622.00,4883.00,0.00,79.00,17674.00,0.00,13581.00,1287.00,2806.00,0.00,1643.00,0.00,0.00,4211.00,518.00,559.00,111354.00,72420.00,3820.00,68600.00,1290.00,7749.00,29895.00
1961:Q2,37703.00,7472.00,5266.00,0.00,0.00,17886.00,0.00,13946.00,1116.00,2824.00,0.00,1712.00,0.00,0.00,4293.00,537.00,537.00,113247.00,73250.00,3483.00,69767.00,1403.00,7992.00,30602.00
