1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q4,32513.00,73491.00,73012.00,302.00,177.00,362.00,-41340.00,32513.00,22729.00,9784.00
2012:Q1,25515.00,-16825.00,-17590.00,497.00,268.00,1624.00,40716.00,25515.00,21894.00,3621.00
2012:Q2,25458.00,12195.00,11230.00,609.00,356.00,-948.00,14211.00,25458.00,21695.00,3763.00
2012:Q3,25426.00,24858.00,23427.00,350.00,1081.00,-2091.00,2659.00,25426.00,21827.00,3599.00
2012:Q4,25680.00,35575.00,35471.00,92.00,12.00,-2688.00,-7207.00,25680.00,22121.00,3559.00
2013:Q1,23902.00,7946.00,9074.00,-562.00,-566.00,4079.00,11877.00,23902.00,21483.00,2419.00
2013:Q2,25063.00,-98267.00,-97337.00,-472.00,-458.00,2331.00,120999.00,25063.00,21998.00,3065.00
2013:Q3,26761.00,-112150.00,-111646.00,-452.00,-52.00,-2299.00,141210.00,26761.00,22254.00,4507.00
2013:Q4,31565.00,310321.00,310759.00,-205.00,-233.00,4988.00,-283744.00,31565.00,22570.00,8995.00
2014:Q1,25641.00,-11054.00,-9553.00,-720.00,-781.00,1807.00,34888.00,25641.00,21820.00,3821.00
2014:Q2,24894.00,5165.00,4889.00,176.00,100.00,-78.00,19807.00,24894.00,22296.00,2598.00
2014:Q3,29664.00,25181.00,24735.00,-111.00,557.00,816.00,3667.00,29664.00,22521.00,7143.00
2014:Q4,31899.00,67194.00,66970.00,140.00,84.00,934.00,-36229.00,31899.00,22837.00,9062.00
2015:Q1,25724.00,-108217.00,-108338.00,118.00,3.00,1433.00,132508.00,25724.00,22273.00,3451.00
2015:Q2,26179.00,-127445.00,-127602.00,97.00,60.00,-938.00,154562.00,26179.00,23129.00,3050.00
2015:Q3,27642.00,-91764.00,-92369.00,-87.00,692.00,-310.00,119716.00,27642.00,23575.00,4067.00
2015:Q4,31497.00,419583.00,419584.00,56.00,-57.00,-7.00,-388079.00,31497.00,24072.00,7425.00
2016:Q1,27648.00,-8708.00,-8768.00,70.00,-10.00,-2964.00,39320.00,27648.00,24179.00,3469.00
2016:Q2,25772.00,3989.00,3682.00,202.00,105.00,-2316.00,24099.00,25772.00,24122.00,1650.00
2016:Q3,28042.00,23027.00,22632.00,261.00,134.00,-1861.00,6876.00,28042.00,24009.00,4033.00
