1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,1944.00,355.00,355.00,0.00,0.00,0.00,1589.00,1944.00,1944.00,0.00
1955:Q3,1984.00,273.00,273.00,0.00,0.00,0.00,1711.00,1984.00,1984.00,0.00
1955:Q4,2002.00,73.00,73.00,0.00,0.00,0.00,1929.00,2002.00,2002.00,0.00
1956:Q1,2004.00,13.00,13.00,0.00,0.00,0.00,1991.00,2004.00,2004.00,0.00
1956:Q2,2042.00,316.00,316.00,0.00,0.00,0.00,1726.00,2042.00,2042.00,0.00
1956:Q3,2123.00,541.00,541.00,0.00,0.00,0.00,1582.00,2123.00,2123.00,0.00
1956:Q4,2200.00,-7.00,-7.00,0.00,0.00,0.00,2207.00,2200.00,2200.00,0.00
1957:Q1,2233.00,13.00,13.00,0.00,0.00,0.00,2220.00,2233.00,2233.00,0.00
1957:Q2,2331.00,300.00,300.00,0.00,0.00,0.00,2031.00,2331.00,2331.00,0.00
1957:Q3,2413.00,46.00,46.00,0.00,0.00,0.00,2367.00,2413.00,2413.00,0.00
1957:Q4,2449.00,76.00,76.00,0.00,0.00,0.00,2373.00,2449.00,2449.00,0.00
1958:Q1,2416.00,165.00,165.00,0.00,0.00,0.00,2251.00,2416.00,2416.00,0.00
1958:Q2,2459.00,348.00,348.00,0.00,0.00,0.00,2111.00,2459.00,2459.00,0.00
1958:Q3,2506.00,311.00,311.00,0.00,0.00,0.00,2195.00,2506.00,2506.00,0.00
1958:Q4,2532.00,110.00,110.00,0.00,0.00,0.00,2422.00,2532.00,2532.00,0.00
1959:Q1,2505.00,133.00,133.00,0.00,0.00,0.00,2372.00,2505.00,2505.00,0.00
1959:Q2,2563.00,385.00,385.00,0.00,0.00,0.00,2178.00,2563.00,2563.00,0.00
1959:Q3,2620.00,323.00,323.00,0.00,0.00,0.00,2297.00,2620.00,2620.00,0.00
1959:Q4,2648.00,43.00,43.00,0.00,0.00,0.00,2605.00,2648.00,2648.00,0.00
1960:Q1,2646.00,87.00,87.00,0.00,0.00,0.00,2559.00,2646.00,2646.00,0.00
1960:Q2,2676.00,685.00,685.00,0.00,0.00,0.00,1991.00,2676.00,2676.00,0.00
1960:Q3,2741.00,102.00,102.00,0.00,0.00,0.00,2639.00,2741.00,2741.00,0.00
1960:Q4,2781.00,52.00,52.00,0.00,0.00,0.00,2729.00,2781.00,2781.00,0.00
1961:Q1,2764.00,51.00,51.00,0.00,0.00,0.00,2713.00,2764.00,2764.00,0.00
1961:Q2,2840.00,786.00,786.00,0.00,0.00,0.00,2054.00,2840.00,2840.00,0.00
1961:Q3,2918.00,69.00,69.00,0.00,0.00,0.00,2849.00,2918.00,2918.00,0.00
1961:Q4,2964.00,10.00,10.00,0.00,0.00,0.00,2954.00,2964.00,2964.00,0.00
1962:Q1,2944.00,48.00,48.00,0.00,0.00,0.00,2896.00,2944.00,2944.00,0.00
1962:Q2,3019.00,854.00,854.00,0.00,0.00,0.00,2165.00,3019.00,3019.00,0.00
1962:Q3,3093.00,15.00,15.00,0.00,0.00,0.00,3078.00,3093.00,3093.00,0.00
1962:Q4,3132.00,76.00,76.00,0.00,0.00,0.00,3056.00,3132.00,3132.00,0.00
1963:Q1,3101.00,49.00,49.00,0.00,0.00,0.00,3052.00,3101.00,3101.00,0.00
1963:Q2,3173.00,952.00,952.00,0.00,0.00,0.00,2221.00,3173.00,3173.00,0.00
1963:Q3,3250.00,73.00,73.00,0.00,0.00,0.00,3177.00,3250.00,3250.00,0.00
1963:Q4,3296.00,87.00,87.00,0.00,0.00,0.00,3209.00,3296.00,3296.00,0.00
1964:Q1,3307.00,108.00,108.00,0.00,0.00,0.00,3199.00,3307.00,3307.00,0.00
1964:Q2,3356.00,911.00,911.00,0.00,0.00,0.00,2445.00,3356.00,3356.00,0.00
1964:Q3,3445.00,169.00,169.00,0.00,0.00,0.00,3276.00,3445.00,3445.00,0.00
1964:Q4,3500.00,61.00,61.00,0.00,0.00,0.00,3439.00,3500.00,3500.00,0.00
1965:Q1,3480.00,71.00,71.00,0.00,0.00,0.00,3409.00,3480.00,3480.00,0.00
1965:Q2,3582.00,1070.00,1070.00,0.00,0.00,0.00,2512.00,3582.00,3582.00,0.00
1965:Q3,3693.00,178.00,178.00,0.00,0.00,0.00,3515.00,3693.00,3693.00,0.00
1965:Q4,3773.00,-4.00,-4.00,0.00,0.00,0.00,3777.00,3773.00,3773.00,0.00
1966:Q1,3771.00,23.00,23.00,0.00,0.00,0.00,3748.00,3771.00,3771.00,0.00
1966:Q2,3894.00,1088.00,1088.00,0.00,0.00,0.00,2806.00,3894.00,3894.00,0.00
1966:Q3,4017.00,100.00,100.00,0.00,0.00,0.00,3917.00,4017.00,4017.00,0.00
1966:Q4,4094.00,42.00,42.00,0.00,0.00,0.00,4052.00,4094.00,4094.00,0.00
1967:Q1,4078.00,-52.00,-52.00,0.00,0.00,0.00,4130.00,4078.00,4078.00,0.00
1967:Q2,4200.00,1118.00,1118.00,0.00,0.00,0.00,3082.00,4200.00,4200.00,0.00
1967:Q3,4327.00,31.00,31.00,0.00,0.00,0.00,4296.00,4327.00,4327.00,0.00
1967:Q4,4413.00,218.00,218.00,0.00,0.00,0.00,4195.00,4413.00,4413.00,0.00
1968:Q1,4448.00,42.00,42.00,0.00,0.00,0.00,4406.00,4448.00,4448.00,0.00
1968:Q2,4524.00,1269.00,1269.00,0.00,0.00,0.00,3255.00,4524.00,4524.00,0.00
1968:Q3,4643.00,-9.00,-9.00,0.00,0.00,0.00,4652.00,4643.00,4643.00,0.00
1968:Q4,4716.00,34.00,34.00,0.00,0.00,0.00,4682.00,4716.00,4716.00,0.00
1969:Q1,4712.00,127.00,127.00,0.00,0.00,0.00,4585.00,4712.00,4712.00,0.00
1969:Q2,4921.00,1116.00,1116.00,0.00,0.00,0.00,3805.00,4921.00,4921.00,0.00
1969:Q3,5219.00,305.00,305.00,0.00,0.00,0.00,4914.00,5219.00,5219.00,0.00
1969:Q4,5542.00,-29.00,-29.00,0.00,0.00,0.00,5571.00,5542.00,5542.00,0.00
1970:Q1,5771.00,38.00,38.00,0.00,0.00,0.00,5733.00,5771.00,5771.00,0.00
1970:Q2,6183.00,1725.00,1725.00,0.00,0.00,0.00,4458.00,6183.00,6183.00,0.00
1970:Q3,6561.00,136.00,136.00,0.00,0.00,0.00,6425.00,6561.00,6561.00,0.00
1970:Q4,6811.00,482.00,482.00,0.00,0.00,0.00,6329.00,6811.00,6811.00,0.00
1971:Q1,6854.00,198.00,198.00,0.00,0.00,0.00,6656.00,6854.00,6854.00,0.00
1971:Q2,7082.00,1857.00,1857.00,0.00,0.00,0.00,5225.00,7082.00,7082.00,0.00
1971:Q3,7282.00,231.00,231.00,0.00,0.00,0.00,7051.00,7282.00,7282.00,0.00
1971:Q4,7383.00,557.00,557.00,0.00,0.00,0.00,6826.00,7383.00,7383.00,0.00
1972:Q1,7388.00,-82.00,-82.00,0.00,0.00,0.00,7470.00,7388.00,7388.00,0.00
1972:Q2,7466.00,2134.00,2134.00,0.00,0.00,0.00,5332.00,7466.00,7466.00,0.00
1972:Q3,7628.00,270.00,270.00,0.00,0.00,0.00,7358.00,7628.00,7628.00,0.00
1972:Q4,7710.00,671.00,671.00,0.00,0.00,0.00,7039.00,7710.00,7710.00,0.00
1973:Q1,7621.00,-182.00,-182.00,0.00,0.00,0.00,7803.00,7621.00,7621.00,0.00
1973:Q2,7778.00,2315.00,2315.00,0.00,0.00,0.00,5463.00,7778.00,7778.00,0.00
