1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,-14274.00,-27352.00,0.00,260.00,202.00,4856.00,-288.00,160.00,234.00,0.00,2121.00,384.00,4430.00,0.00,615.00,0.00,104.00,8046.00,951.00,0.00,0.00,313.00,208.00,3471.00,-59.00,251.00,-56.00,0.00,812.00,843.00,0.00,0.00,0.00,0.00,317.00,1143.00,0.00,-148.00,0.00,-22320.00
1955:Q4,-13826.00,-27506.00,0.00,238.00,343.00,4461.00,-293.00,163.00,252.00,0.00,2180.00,339.00,5306.00,0.00,600.00,0.00,91.00,7821.00,836.00,0.00,0.00,469.00,221.00,3140.00,-69.00,255.00,-59.00,0.00,828.00,896.00,0.00,0.00,0.00,0.00,313.00,1145.00,0.00,-154.00,0.00,-21647.00
1956:Q1,-14537.00,-28080.00,0.00,233.00,139.00,4941.00,-288.00,166.00,272.00,0.00,2294.00,330.00,4736.00,0.00,585.00,0.00,135.00,8186.00,1231.00,0.00,0.00,391.00,182.00,3143.00,36.00,258.00,-62.00,0.00,853.00,952.00,0.00,0.00,0.00,0.00,311.00,1052.00,0.00,-161.00,0.00,-22723.00
1956:Q2,-14714.00,-28509.00,0.00,231.00,135.00,5050.00,-285.00,172.00,292.00,0.00,2416.00,387.00,4727.00,0.00,572.00,0.00,98.00,8494.00,1135.00,0.00,0.00,291.00,292.00,3344.00,125.00,261.00,-65.00,0.00,887.00,1027.00,0.00,0.00,0.00,0.00,328.00,1037.00,0.00,-168.00,0.00,-23208.00
1956:Q3,-15374.00,-29145.00,0.00,261.00,34.00,5440.00,-299.00,177.00,314.00,0.00,2381.00,344.00,4430.00,0.00,569.00,0.00,120.00,8952.00,1060.00,0.00,0.00,466.00,353.00,3401.00,202.00,266.00,-67.00,0.00,921.00,1101.00,0.00,0.00,0.00,0.00,316.00,1108.00,0.00,-175.00,0.00,-24326.00
1956:Q4,-16514.00,-29896.00,0.00,263.00,225.00,4745.00,-320.00,183.00,336.00,0.00,2410.00,500.00,4349.00,0.00,583.00,0.00,108.00,8779.00,896.00,0.00,0.00,533.00,325.00,3362.00,234.00,274.00,-71.00,0.00,947.00,1153.00,0.00,0.00,0.00,0.00,296.00,1011.00,0.00,-181.00,0.00,-25293.00
1957:Q1,-17588.00,-31367.00,0.00,311.00,118.00,5158.00,-317.00,190.00,359.00,0.00,2451.00,428.00,4393.00,0.00,568.00,0.00,120.00,8312.00,1032.00,0.00,0.00,379.00,220.00,3160.00,235.00,288.00,-74.00,0.00,967.00,1200.00,0.00,0.00,0.00,0.00,300.00,794.00,0.00,-189.00,0.00,-25900.00
1957:Q2,-17597.00,-31703.00,0.00,400.00,-134.00,5323.00,-303.00,198.00,384.00,0.00,2540.00,435.00,4573.00,0.00,564.00,0.00,126.00,8400.00,843.00,0.00,0.00,222.00,212.00,3608.00,278.00,308.00,-77.00,0.00,982.00,1223.00,0.00,0.00,0.00,0.00,301.00,697.00,0.00,-197.00,0.00,-25997.00
1957:Q3,-18494.00,-33103.00,0.00,386.00,77.00,5958.00,-377.00,206.00,412.00,0.00,2530.00,425.00,4313.00,0.00,560.00,0.00,119.00,8749.00,904.00,0.00,0.00,376.00,210.00,3702.00,258.00,329.00,-79.00,0.00,996.00,1260.00,0.00,0.00,0.00,0.00,308.00,690.00,0.00,-205.00,0.00,-27243.00
1957:Q4,-20605.00,-34516.00,0.00,296.00,67.00,5325.00,-423.00,210.00,443.00,0.00,2590.00,476.00,4255.00,0.00,549.00,0.00,123.00,8956.00,849.00,0.00,0.00,540.00,308.00,3656.00,288.00,352.00,-84.00,0.00,1011.00,1298.00,0.00,0.00,0.00,0.00,300.00,652.00,0.00,-214.00,0.00,-29561.00
1958:Q1,-21984.00,-35487.00,0.00,294.00,101.00,5509.00,-400.00,215.00,478.00,0.00,2581.00,478.00,3545.00,0.00,549.00,0.00,153.00,8699.00,807.00,0.00,0.00,320.00,259.00,3540.00,311.00,362.00,-87.00,0.00,1028.00,1322.00,0.00,0.00,0.00,0.00,298.00,760.00,0.00,-221.00,0.00,-30683.00
1958:Q2,-21177.00,-35379.00,0.00,308.00,526.00,5698.00,-308.00,221.00,511.00,0.00,2811.00,474.00,3229.00,0.00,549.00,0.00,183.00,9767.00,1021.00,0.00,0.00,125.00,259.00,4360.00,393.00,367.00,-90.00,0.00,1043.00,1335.00,0.00,0.00,0.00,0.00,314.00,869.00,0.00,-229.00,0.00,-30944.00
1958:Q3,-19438.00,-34616.00,0.00,335.00,135.00,6641.00,-322.00,225.00,544.00,0.00,2862.00,448.00,3600.00,0.00,539.00,0.00,171.00,9271.00,1016.00,0.00,0.00,246.00,244.00,3557.00,465.00,370.00,-92.00,0.00,1061.00,1345.00,0.00,0.00,0.00,0.00,318.00,978.00,0.00,-237.00,0.00,-28709.00
1958:Q4,-18669.00,-34095.00,0.00,317.00,236.00,6373.00,-358.00,225.00,577.00,0.00,2767.00,477.00,4155.00,0.00,541.00,0.00,116.00,9875.00,805.00,0.00,0.00,461.00,240.00,4035.00,448.00,376.00,-97.00,0.00,1083.00,1366.00,0.00,0.00,0.00,0.00,320.00,1083.00,0.00,-245.00,0.00,-28544.00
1959:Q1,-18546.00,-34655.00,0.00,317.00,363.00,7105.00,-352.00,173.00,604.00,0.00,2652.00,612.00,3955.00,0.00,531.00,0.00,149.00,10541.00,1268.00,0.00,0.00,489.00,245.00,3923.00,591.00,363.00,-100.00,0.00,1112.00,1410.00,0.00,0.00,0.00,0.00,308.00,1186.00,0.00,-254.00,0.00,-29087.00
1959:Q2,-18604.00,-34737.00,0.00,317.00,131.00,7652.00,-348.00,116.00,630.00,0.00,2601.00,531.00,3825.00,0.00,528.00,0.00,150.00,11462.00,1485.00,0.00,0.00,452.00,279.00,4440.00,791.00,346.00,-104.00,0.00,1149.00,1455.00,0.00,0.00,0.00,0.00,316.00,1116.00,0.00,-263.00,0.00,-30066.00
1959:Q3,-18526.00,-35577.00,0.00,317.00,173.00,8453.00,-391.00,60.00,657.00,0.00,2494.00,481.00,4105.00,0.00,516.00,0.00,186.00,12171.00,1513.00,0.00,0.00,461.00,319.00,4741.00,953.00,305.00,-107.00,0.00,1187.00,1518.00,0.00,0.00,0.00,0.00,342.00,1211.00,0.00,-272.00,0.00,-30697.00
1959:Q4,-18628.00,-35526.00,0.00,317.00,498.00,7373.00,-437.00,51.00,686.00,0.00,2554.00,559.00,4628.00,0.00,517.00,0.00,152.00,9955.00,1041.00,0.00,0.00,472.00,363.00,3275.00,440.00,324.00,-112.00,0.00,1220.00,1570.00,0.00,0.00,0.00,0.00,363.00,1280.00,0.00,-281.00,0.00,-28583.00
1960:Q1,-20683.00,-36856.00,0.00,317.00,127.00,7844.00,-483.00,50.00,719.00,0.00,2733.00,575.00,3608.00,0.00,503.00,0.00,180.00,10672.00,2208.00,0.00,0.00,463.00,365.00,2590.00,580.00,330.00,-115.00,0.00,1248.00,1652.00,0.00,0.00,0.00,0.00,343.00,1299.00,0.00,-291.00,0.00,-31355.00
