date,FU206010105.Q,FU206210001.Q,FU206240001.Q,FU206231001.Q,FU206601001.Q,FU206150105.Q,FU206403105.Q,FU206402101.Q,FU206900005.Q,FU206901001.Q,FU206404001.Q,FU206403001.Q,FU206130001.Q,FU206402001.Q,FU206006005.Q,FU206300003.Q,FU205440005.Q,FU206000105.Q,FU205090005.Q,FU205019001.Q,FU205420003.Q,FU215000005.Q,FU214090005.Q,FU213020005.Q,FU213030005.Q,FU213034003.Q,FU212051003.Q,FU214022005.Q,FU213069103.Q,FU213061105.Q,FU213061703.Q,FU213062003.Q,FU213063003.Q,FU213065005.Q,FU213064103.Q,FU213064203.Q,FU213070003.Q,FU213078005.Q,FU213093003.Q,FU214190005.Q,FU213162005.Q,FU213162400.Q,FU213162200.Q,FU213169203.Q,FU213170003.Q,FU223073045.Q,FU217005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,12465.00,859.00,9141.00,462.00,155.00,388.00,1094.00,366.00,11679.00,9508.00,1468.00,0.00,703.00,0.00,786.00,1571.00,-236.00,2593.00,1329.00,1629.00,70.00,-370.00,437.00,867.00,179.00,0.00,0.00,-757.00,0.00,-352.00,-100.00,-305.00,0.00,25.00,0.00,0.00,123.00,0.00,0.00,807.00,69.00,1.00,68.00,-21.00,146.00,613.00,1264.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,14190.00,997.00,10442.00,604.00,175.00,439.00,1193.00,340.00,14118.00,11326.00,2045.00,0.00,747.00,0.00,72.00,1874.00,-320.00,2266.00,2514.00,2890.00,90.00,-466.00,1803.00,733.00,159.00,0.00,0.00,675.00,0.00,711.00,3.00,-39.00,0.00,25.00,0.00,0.00,211.00,0.00,0.00,2269.00,1611.00,199.00,1412.00,19.00,-132.00,771.00,-248.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
