date,FL713014003.Q,FL713014003.Q,FL313112003.Q,FL713012003.Q,FL903012005.Q
1945:Q4,0.00,0.00,2310.00,4183.00,-1873.00
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,2436.00,4406.00,-1970.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,2408.00,4406.00,-1998.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,2403.00,4433.00,-2030.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,2384.00,4442.00,-2058.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,0.00,0.00,2374.00,4480.00,-2106.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1972:Q2,400.00,400.00,6372.00,8066.00,-1694.00
1972:Q3,400.00,400.00,6483.00,8200.00,-1717.00
1972:Q4,400.00,400.00,6579.00,8313.00,-1734.00
1973:Q1,400.00,400.00,6667.00,8420.00,-1753.00
1973:Q2,400.00,400.00,6860.00,8531.00,-1671.00
1973:Q3,400.00,400.00,6924.00,8614.00,-1690.00
1973:Q4,400.00,400.00,7001.00,8716.00,-1715.00
1974:Q1,400.00,400.00,6988.00,8813.00,-1825.00
1974:Q2,400.00,400.00,7085.00,8924.00,-1839.00
1974:Q3,400.00,400.00,7188.00,9069.00,-1881.00
1974:Q4,400.00,400.00,7333.00,9252.00,-1919.00
1975:Q1,400.00,400.00,7500.00,9453.00,-1953.00
1975:Q2,500.00,500.00,7711.00,9687.00,-1976.00
1975:Q3,500.00,500.00,7910.00,9934.00,-2024.00
1975:Q4,500.00,500.00,8170.00,10218.00,-2048.00
1976:Q1,500.00,500.00,8318.00,10403.00,-2085.00
1976:Q2,500.00,500.00,8657.00,10558.00,-1901.00
1976:Q3,800.00,800.00,8556.00,10685.00,-2129.00
1976:Q4,1200.00,1200.00,8659.00,10820.00,-2161.00
1977:Q1,1200.00,1200.00,8648.00,10939.00,-2291.00
1977:Q2,1200.00,1200.00,8765.00,11081.00,-2316.00
1977:Q3,1200.00,1200.00,8864.00,11206.00,-2342.00
1977:Q4,1250.00,1250.00,8909.00,11331.00,-2422.00
1978:Q1,1250.00,1250.00,9045.00,11441.00,-2396.00
1978:Q2,1250.00,1250.00,9142.00,11565.00,-2423.00
1978:Q3,1300.00,1300.00,9271.00,11683.00,-2412.00
1978:Q4,1300.00,1300.00,9383.00,11831.00,-2448.00
1979:Q1,1300.00,1300.00,9659.00,12158.00,-2499.00
1979:Q2,1800.00,1800.00,9982.00,12525.00,-2543.00
1979:Q3,1800.00,1800.00,10262.00,12825.00,-2563.00
1979:Q4,1800.00,1800.00,10493.00,13091.00,-2598.00
1980:Q1,2968.00,2968.00,10709.00,13352.00,-2643.00
1980:Q2,3018.00,3018.00,10849.00,13523.00,-2674.00
1980:Q3,3268.00,3268.00,10925.00,13653.00,-2728.00
1980:Q4,2518.00,2518.00,11057.00,13832.00,-2775.00
1981:Q1,2818.00,2818.00,11167.00,14004.00,-2837.00
1981:Q2,3068.00,3068.00,11266.00,14158.00,-2892.00
1981:Q3,3318.00,3318.00,11374.00,14313.00,-2939.00
1981:Q4,3318.00,3318.00,11502.00,14482.00,-2980.00
1982:Q1,3568.00,3568.00,11606.00,14637.00,-3031.00
1982:Q2,3818.00,3818.00,11693.00,14777.00,-3084.00
1982:Q3,4218.00,4218.00,11764.00,14912.00,-3148.00
1982:Q4,4618.00,4618.00,11859.00,15043.00,-3184.00
1983:Q1,4618.00,4618.00,11971.00,15213.00,-3242.00
1983:Q2,4618.00,4618.00,12104.00,15392.00,-3288.00
1983:Q3,4618.00,4618.00,12241.00,15568.00,-3327.00
1983:Q4,4618.00,4618.00,12327.00,15732.00,-3405.00
1984:Q1,4618.00,4618.00,12501.00,15889.00,-3388.00
1984:Q2,4618.00,4618.00,12656.00,16113.00,-3457.00
1984:Q3,4618.00,4618.00,12739.00,16237.00,-3498.00
1984:Q4,4618.00,4618.00,12880.00,16418.00,-3538.00
1985:Q1,4618.00,4618.00,13157.00,16588.00,-3431.00
1985:Q2,4618.00,4618.00,13175.00,16783.00,-3608.00
1985:Q3,4618.00,4618.00,13255.00,16924.00,-3669.00
1985:Q4,4718.00,4718.00,13267.00,17052.00,-3785.00
1986:Q1,4718.00,4718.00,13478.00,17207.00,-3729.00
1986:Q2,4818.00,4818.00,13571.00,17330.00,-3759.00
1986:Q3,5018.00,5018.00,13647.00,17438.00,-3791.00
1986:Q4,5018.00,5018.00,13756.00,17567.00,-3811.00
1987:Q1,5018.00,5018.00,13884.00,17735.00,-3851.00
1987:Q2,5018.00,5018.00,13991.00,17889.00,-3898.00
1987:Q3,5018.00,5018.00,14105.00,18006.00,-3901.00
1987:Q4,5018.00,5018.00,14225.00,18177.00,-3952.00
1988:Q1,5018.00,5018.00,14354.00,18339.00,-3985.00
1988:Q2,5018.00,5018.00,14454.00,18501.00,-4047.00
1988:Q3,5018.00,5018.00,14574.00,18637.00,-4063.00
1988:Q4,5018.00,5018.00,14736.00,18799.00,-4063.00
1989:Q1,5368.00,5368.00,14876.00,19036.00,-4160.00
1989:Q2,8518.00,8518.00,15056.00,19253.00,-4197.00
1989:Q3,8518.00,8518.00,15166.00,19425.00,-4259.00
1989:Q4,8518.00,8518.00,15303.00,19627.00,-4324.00
1990:Q1,8518.00,8518.00,15453.00,19841.00,-4388.00
1990:Q2,8518.00,8518.00,15614.00,20066.00,-4452.00
1990:Q3,8518.00,8518.00,15713.00,20221.00,-4508.00
1990:Q4,10018.00,10018.00,16256.00,20402.00,-4146.00
1991:Q1,10018.00,10018.00,15958.00,20574.00,-4616.00
1991:Q2,10018.00,10018.00,16070.00,20749.00,-4679.00
1991:Q3,10018.00,10018.00,16170.00,20886.00,-4716.00
1991:Q4,10018.00,10018.00,16296.00,21014.00,-4718.00
1992:Q1,10018.00,10018.00,16314.00,21135.00,-4821.00
1992:Q2,10018.00,10018.00,16386.00,21253.00,-4867.00
1992:Q3,10018.00,10018.00,16433.00,21338.00,-4905.00
1992:Q4,8018.00,8018.00,16516.00,21447.00,-4931.00
1993:Q1,8018.00,8018.00,16588.00,21573.00,-4985.00
1993:Q2,8018.00,8018.00,16678.00,21705.00,-5027.00
1993:Q3,8018.00,8018.00,16784.00,21866.00,-5082.00
1993:Q4,8018.00,8018.00,16962.00,22095.00,-5133.00
1994:Q1,8018.00,8018.00,17126.00,22318.00,-5192.00
1994:Q2,8018.00,8018.00,17285.00,22528.00,-5243.00
1994:Q3,8018.00,8018.00,17477.00,22779.00,-5302.00
1994:Q4,8018.00,8018.00,17648.00,22994.00,-5346.00
1995:Q1,8018.00,8018.00,17832.00,23226.00,-5394.00
1995:Q2,8018.00,8018.00,18002.00,23490.00,-5488.00
1995:Q3,10168.00,10168.00,18199.00,23760.00,-5561.00
1995:Q4,10168.00,10168.00,18326.00,24003.00,-5677.00
1996:Q1,10168.00,10168.00,18325.00,24269.00,-5944.00
1996:Q2,10168.00,10168.00,18280.00,24520.00,-6240.00
1996:Q3,9718.00,9718.00,18866.00,24744.00,-5878.00
1996:Q4,9718.00,9718.00,18865.00,24966.00,-6101.00
1997:Q1,9200.00,9200.00,18974.00,25157.00,-6183.00
1997:Q2,9200.00,9200.00,19013.00,25274.00,-6261.00
1997:Q3,9200.00,9200.00,19326.00,25402.00,-6076.00
1997:Q4,9200.00,9200.00,19325.00,25543.00,-6218.00
1998:Q1,9200.00,9200.00,19405.00,25664.00,-6259.00
1998:Q2,9200.00,9200.00,19461.00,25786.00,-6325.00
1998:Q3,9200.00,9200.00,19886.00,25991.00,-6105.00
1998:Q4,9200.00,9200.00,19885.00,26270.00,-6385.00
1999:Q1,8200.00,8200.00,19885.00,26638.00,-6753.00
1999:Q2,8200.00,8200.00,20402.00,27004.00,-6602.00
1999:Q3,7200.00,7200.00,20902.00,27457.00,-6555.00
1999:Q4,6200.00,6200.00,20901.00,28013.00,-7112.00
2000:Q1,6200.00,6200.00,21441.00,29003.00,-7562.00
2000:Q2,4200.00,4200.00,22124.00,29979.00,-7855.00
2000:Q3,3200.00,3200.00,23181.00,30811.00,-7630.00
