date,FA206902505.A,FA206300003.A,FA206902605.A,FA206025001.A,FA206020001.A,FA206401005.A,FA206402101.A,FA206140005.A,FA206402101.A,FA206240001.A,FA206402015.A,FA206150195.A,FA206130101.A,FA206121101.A,FA206112101.A,FA206130095.A,FA206140005.A,FA206220005.A,FA206601001.A,FA206404001.A,FA206403105.A,FA206403001.A,FA206012005.A,FA206901001.A,FA206006095.A,FA206006395.A,FA206006095.A,FA205440005.A,FA205050905.A,FA205019001.A,FA206300003.A,FA205420003.A,FA205000995.A,FA205000995.A,FA214090005.A,FA214000005.A,FA213020005.A,FA213030005.A,FA214022005.A,FA213069103.A,FA213061105.A,FA213061703.A,FA213062003.A,FA213063003.A,FA214035005.A,FA212051003.A,FA213065005.A,FA213081005.A,FA213034003.A,FA213064103.A,FA213064203.A,FA213096005.A,FA213070003.A,FA213078005.A,FA213093003.A,FA214190005.A,FA213162005.A,FA213162400.A,FA213162200.A,FA213169203.A,FA223073045.A,FA213170003.A,FA215000005.A,FV218090185.A,FV212010095.A,FV218090085.A,FU217005045.A,FR212010095.A,FR215014665.A,FR215013265.A,FR215013765.A,FR213081005.A,FR218200005.A,FC212090095.A,FL212000095.A,FL212010095.A,FL215014665.A,FL215013265.A,FL215013765.A,FL214090005.A,FL214000005.A,FL213020005.A,FL213030005.A,FL214022005.A,FL213069103.A,FL213061105.A,FL213061703.A,FL213062003.A,FL213063003.A,FL214035005.A,FL212051003.A,FL213065005.A,FL213081005.A,FL213034003.A,LM213064103.A,LM213064203.A,FL213096005.A,FL213070003.A,FL213078005.A,FL213093003.A,FL212100005.A,FL214190005.A,FL213162005.A,FL213162400.A,FL213162200.A,FL213169203.A,FL223073045.A,FL213170003.A,FL212090095.A
1993,643395.00,78348.00,565047.00,557732.00,415298.00,142434.00,7315.00,432600.00,7315.00,436767.00,-363.00,61115.00,55991.00,586.00,4538.00,72235.00,432600.00,167973.00,14129.00,195210.00,189767.00,0.00,609258.00,646476.00,-37218.00,-9008.00,-37218.00,-28210.00,68741.00,141203.00,78348.00,5886.00,-77749.00,-77749.00,18029.00,422.00,1951.00,-1529.00,38025.00,3739.00,29600.00,105.00,-1019.00,5600.00,5302.00,10696.00,-5394.00,7662.00,1755.00,834.00,5073.00,-33382.00,3601.00,-2712.00,-34271.00,105067.00,58657.00,1792.00,56865.00,-712.00,32124.00,14998.00,-87038.00,41344.00,0.00,50633.00,9289.00,77433.00,75271.00,1535.00,628.00,2082.00,79515.00,111852.00,3990364.00,2879215.00,2713711.00,126113.00,39391.00,1111149.00,82351.00,33561.00,48790.00,676629.00,17864.00,447775.00,175007.00,9483.00,26500.00,242031.00,133746.00,108285.00,32369.00,1755.00,9267.00,21347.00,77769.00,65802.00,35597.00,-23630.00,3990364.00,1452858.00,1143882.00,35378.00,1108504.00,9158.00,103469.00,196349.00,2537506.00
1994,676676.00,82938.00,593738.00,585949.00,435472.00,150477.00,7789.00,465449.00,7789.00,466262.00,-340.00,63502.00,58215.00,756.00,4531.00,71764.00,465449.00,177960.00,14515.00,206707.00,204053.00,0.00,655270.00,682237.00,-26967.00,2956.00,-26967.00,-29923.00,72082.00,148813.00,82938.00,6207.00,-69126.00,-69126.00,7283.00,8317.00,1788.00,6529.00,-57222.00,4424.00,-77764.00,11593.00,-875.00,5400.00,-12884.00,-15106.00,2222.00,13798.00,4096.00,1528.00,8174.00,55274.00,5442.00,1268.00,48564.00,8722.00,-45939.00,-2178.00,-43761.00,396.00,38261.00,16004.00,-1439.00,53170.00,-2049.00,-12468.00,-67687.00,117419.00,115132.00,1287.00,1001.00,-618.00,116801.00,172927.00,4178293.00,3060478.00,2884484.00,134054.00,41940.00,1117815.00,90668.00,35349.00,55319.00,619407.00,22288.00,370011.00,186600.00,8608.00,31900.00,229147.00,118640.00,110507.00,45549.00,5851.00,10598.00,29100.00,133044.00,71244.00,36866.00,24934.00,4178293.00,1467860.00,1097943.00,33200.00,1064743.00,9554.00,148010.00,212353.00,2710433.00
1995,710427.00,88286.00,622141.00,611572.00,455326.00,156246.00,10569.00,485103.00,10569.00,482350.00,-310.00,69114.00,63626.00,963.00,4525.00,76620.00,485103.00,189765.00,13600.00,217636.00,214445.00,0.00,685277.00,716823.00,-31546.00,804.00,-31546.00,-32350.00,78267.00,159979.00,88286.00,6574.00,-77464.00,-77464.00,-9536.00,9995.00,3355.00,6640.00,-94656.00,17078.00,-80220.00,-35100.00,-3493.00,7079.00,347.00,-2955.00,3302.00,13325.00,4821.00,12132.00,-3628.00,61453.00,6066.00,879.00,54508.00,-4275.00,-60903.00,1230.00,-62133.00,138.00,39278.00,17212.00,-5261.00,224503.00,0.00,152301.00,-72203.00,108616.00,106120.00,1637.00,860.00,13213.00,121829.00,347136.00,4362323.00,3240832.00,3053520.00,143434.00,43878.00,1121491.00,100663.00,38704.00,61959.00,524751.00,39366.00,289791.00,151500.00,5115.00,38979.00,229494.00,115685.00,113809.00,72087.00,10672.00,26415.00,35000.00,194496.00,77310.00,37744.00,79442.00,4362323.00,1304754.00,1037040.00,34430.00,1002610.00,9692.00,28457.00,229565.00,3057569.00
1996,739899.00,92583.00,647316.00,634886.00,473446.00,161440.00,12430.00,521346.00,12430.00,507900.00,-331.00,73698.00,67714.00,1353.00,4631.00,72351.00,521346.00,201696.00,12453.00,224255.00,224387.00,0.00,735626.00,748081.00,-12454.00,21386.00,-12454.00,-33840.00,83597.00,170159.00,92583.00,6020.00,-62211.00,-62211.00,28130.00,5052.00,-5547.00,10599.00,-37546.00,20316.00,-32798.00,-35289.00,-476.00,10701.00,35939.00,32121.00,3818.00,15205.00,1365.00,14477.00,-637.00,9480.00,5592.00,2337.00,1551.00,58248.00,-15700.00,6252.00,-21952.00,-4843.00,60564.00,18227.00,-30118.00,169451.00,0.00,137359.00,-32093.00,76380.00,77172.00,-757.00,-36.00,12677.00,89057.00,279894.00,4557105.00,3394805.00,3200343.00,149329.00,45133.00,1162300.00,105715.00,33157.00,72558.00,487205.00,59682.00,256993.00,116211.00,4639.00,49680.00,265433.00,147806.00,117627.00,99969.00,12037.00,46898.00,41034.00,203978.00,82902.00,40083.00,80993.00,4557105.00,1219642.00,1021340.00,40682.00,980658.00,4849.00,-54339.00,247792.00,3337463.00
1997,772564.00,96855.00,675709.00,664829.00,495619.00,169210.00,10880.00,552093.00,10880.00,533778.00,-436.00,78093.00,71785.00,1525.00,4783.00,70222.00,552093.00,216143.00,10823.00,227558.00,236108.00,0.00,787609.00,785931.00,1679.00,36900.00,1679.00,-35221.00,94817.00,185828.00,96855.00,5844.00,-57917.00,-57917.00,98758.00,10188.00,4385.00,5803.00,-3551.00,14318.00,-17675.00,-775.00,-739.00,1320.00,7247.00,3567.00,3680.00,2186.00,3592.00,16801.00,-18207.00,82688.00,6343.00,4244.00,72101.00,106692.00,45617.00,8314.00,37303.00,5140.00,36340.00,19595.00,-7934.00,271061.00,0.00,221078.00,-49983.00,92732.00,95338.00,-2798.00,192.00,25536.00,118268.00,426229.00,4863155.00,3576562.00,3375149.00,153959.00,47454.00,1286593.00,115903.00,37542.00,78361.00,483654.00,74000.00,239318.00,115436.00,3900.00,51000.00,272680.00,151373.00,121307.00,127691.00,15629.00,78426.00,33636.00,286665.00,89245.00,44326.00,153094.00,4863155.00,1099463.00,1066957.00,48996.00,1017961.00,9989.00,-244870.00,267387.00,3763692.00
1998,811521.00,101753.00,709768.00,701057.00,522441.00,178616.00,8711.00,586861.00,8711.00,558775.00,-446.00,81254.00,74982.00,1630.00,4642.00,61433.00,586861.00,236155.00,10351.00,235779.00,253496.00,0.00,851084.00,835680.00,15404.00,51319.00,15404.00,-35915.00,99572.00,193739.00,101753.00,7586.00,-48253.00,-48253.00,145284.00,10912.00,-3902.00,14814.00,103629.00,12795.00,41439.00,38667.00,-706.00,11434.00,10230.00,4179.00,6051.00,9004.00,31053.00,-8819.00,-13230.00,11509.00,7010.00,4976.00,-477.00,148286.00,66679.00,-6268.00,72947.00,128.00,60675.00,20804.00,-3001.00,207666.00,0.00,162414.00,-45252.00,97980.00,99720.00,-2135.00,395.00,42673.00,140652.00,399637.00,5241086.00,3766536.00,3555117.00,161051.00,50368.00,1474550.00,126815.00,33640.00,93175.00,587283.00,86795.00,280757.00,154103.00,3194.00,62434.00,282910.00,155552.00,127358.00,179368.00,46682.00,98549.00,34137.00,298174.00,96255.00,49302.00,152617.00,5241086.00,1077757.00,1133636.00,42728.00,1090908.00,10117.00,-354187.00,288191.00,4163329.00
1999,863882.00,108148.00,755733.00,746765.00,550250.00,196515.00,8969.00,626150.00,8969.00,590153.00,-429.00,85240.00,78597.00,1497.00,5146.00,57783.00,626150.00,250282.00,9752.00,252349.00,277398.00,0.00,911232.00,902002.00,9231.00,49256.00,9231.00,-40025.00,114090.00,213610.00,108148.00,8628.00,-64834.00,-64834.00,97753.00,17892.00,3911.00,13981.00,97450.00,17531.00,23764.00,44235.00,325.00,11595.00,1956.00,-2491.00,4447.00,-25293.00,4487.00,-21660.00,-8120.00,5748.00,8687.00,9918.00,-12857.00,142102.00,38885.00,2563.00,36322.00,-1629.00,82017.00,22829.00,-44349.00,255655.00,0.00,235169.00,-20485.00,148268.00,148191.00,-1029.00,1106.00,28733.00,177001.00,481911.00,5621324.00,4020288.00,3795745.00,170556.00,53987.00,1601036.00,144707.00,37551.00,107156.00,684733.00,104326.00,304521.00,198338.00,3519.00,74029.00,284866.00,153061.00,131805.00,182808.00,51169.00,98289.00,33350.00,303922.00,104942.00,59220.00,139760.00,5621324.00,976084.00,1172521.00,45291.00,1127230.00,8488.00,-515945.00,311020.00,4645240.00
2000,917178.00,116178.00,801000.00,795590.00,584799.00,210791.00,5410.00,668006.00,5410.00,621305.00,-534.00,93926.00,86317.00,1355.00,6254.00,52101.00,668006.00,271939.00,10822.00,271434.00,299692.00,0.00,979025.00,969117.00,9909.00,54098.00,9909.00,-44189.00,125291.00,232878.00,116178.00,8590.00,-71193.00,-71193.00,75141.00,10759.00,149.00,10610.00,72015.00,15158.00,5468.00,41403.00,204.00,9782.00,-11578.00,-10308.00,-1270.00,10044.00,2691.00,6147.00,1206.00,-6099.00,4925.00,10579.00,-21603.00,76866.00,16504.00,1357.00,15147.00,379.00,34993.00,24990.00,-1725.00,-85951.00,0.00,-155419.00,-69468.00,172844.00,172362.00,-912.00,1394.00,-14957.00,157887.00,126034.00,5971134.00,4309913.00,4071951.00,179720.00,58242.00,1661221.00,155466.00,37700.00,117766.00,756748.00,119484.00,309989.00,239741.00,3723.00,83811.00,273288.00,142753.00,130535.00,177895.00,53860.00,93214.00,30821.00,297824.00,109867.00,69800.00,118157.00,5971134.00,1199860.00,1189025.00,46648.00,1142377.00,8867.00,-334042.00,336010.00,4771274.00
2001,979884.00,122988.00,856896.00,854533.00,622414.00,232119.00,2364.00,660820.00,2364.00,642407.00,-7665.00,89161.00,81274.00,1422.00,6465.00,65447.00,660820.00,271871.00,13691.00,305070.00,333138.00,0.00,974450.00,1039740.00,-65290.00,-13569.00,-65290.00,-51721.00,136920.00,249790.00,122988.00,10118.00,-150489.00,-150489.00,100735.00,16025.00,3979.00,12046.00,94745.00,17460.00,18449.00,47294.00,245.00,11297.00,-11686.00,-10859.00,-827.00,7720.00,3247.00,4057.00,416.00,-6069.00,5995.00,3021.00,-15085.00,188230.00,105358.00,23848.00,81510.00,100.00,55780.00,26992.00,-87495.00,-165457.00,-1740.00,-226711.00,-62994.00,118344.00,120734.00,-2558.00,168.00,-12396.00,105948.00,-73078.00,6303019.00,4553459.00,4306631.00,185523.00,61305.00,1749560.00,171491.00,41679.00,129812.00,851493.00,136944.00,328438.00,287035.00,3968.00,95108.00,261602.00,131894.00,129708.00,173219.00,57107.00,87973.00,28139.00,291755.00,115862.00,72821.00,103072.00,6303019.00,1604823.00,1294383.00,70496.00,1223887.00,8967.00,-61529.00,363002.00,4698196.00
2002,1030093.00,129023.00,901070.00,900931.00,655787.00,245144.00,140.00,669247.00,140.00,675797.00,-909.00,78589.00,70455.00,1551.00,6583.00,84370.00,669247.00,252714.00,15826.00,333035.00,365359.00,0.00,970111.00,1091038.00,-120927.00,-68038.00,-120927.00,-52889.00,145471.00,263295.00,129023.00,11199.00,-213509.00,-213509.00,75682.00,14013.00,5164.00,8849.00,91497.00,14345.00,26235.00,41726.00,131.00,9060.00,-21678.00,-16342.00,-5336.00,13970.00,1587.00,10264.00,2119.00,-22120.00,2571.00,1529.00,-26220.00,270116.00,143919.00,25221.00,118698.00,631.00,97275.00,28291.00,-194434.00,-350283.00,0.00,-369358.00,-19075.00,110447.00,111542.00,-1209.00,114.00,-24987.00,85460.00,-332861.00,6598723.00,4798468.00,4542954.00,191477.00,64037.00,1800255.00,185504.00,46843.00,138661.00,942990.00,151289.00,354673.00,328761.00,4099.00,104168.00,239924.00,115552.00,124372.00,162202.00,58694.00,79254.00,24254.00,269635.00,118433.00,74350.00,76852.00,6598723.00,2233388.00,1438302.00,95717.00,1342585.00,9598.00,394195.00,391293.00,4365335.00
2003,1077151.00,134536.00,942615.00,945405.00,678481.00,266924.00,-2791.00,673546.00,-2791.00,717823.00,-84.00,73820.00,64476.00,1720.00,7624.00,115223.00,673546.00,260800.00,19932.00,353566.00,405019.00,0.00,1005730.00,1127139.00,-121408.00,-69458.00,-121408.00,-51950.00,145790.00,268903.00,134536.00,11423.00,-215248.00,-215248.00,44219.00,27284.00,6972.00,20312.00,21529.00,-888.00,6771.00,11486.00,440.00,3720.00,6246.00,1480.00,4766.00,-4935.00,4738.00,-8013.00,-1660.00,-5905.00,-1879.00,788.00,-4814.00,268199.00,120457.00,10375.00,110082.00,78.00,118875.00,28789.00,-223981.00,336614.00,0.00,345346.00,8733.00,91535.00,91508.00,-595.00,621.00,28940.00,120475.00,387630.00,6897829.00,5024416.00,4760369.00,196561.00,67486.00,1873413.00,212788.00,53815.00,158973.00,964519.00,150401.00,361444.00,340247.00,4539.00,107888.00,246170.00,117032.00,129138.00,186207.00,63432.00,93364.00,29411.00,263729.00,116554.00,75137.00,72038.00,6897829.00,2144864.00,1558759.00,106092.00,1452667.00,9676.00,156347.00,420082.00,4752965.00
2004,1137687.00,143779.00,993908.00,1000590.00,702740.00,297850.00,-6682.00,727974.00,-6682.00,768695.00,-369.00,76817.00,66389.00,1956.00,8472.00,110487.00,727974.00,289154.00,24654.00,385019.00,422442.00,0.00,1079204.00,1187569.00,-108365.00,-60392.00,-108365.00,-47973.00,145021.00,277455.00,143779.00,11345.00,-205413.00,-205413.00,167241.00,4336.00,-3443.00,7779.00,93160.00,2337.00,42417.00,35766.00,1124.00,11516.00,21213.00,6723.00,14490.00,20944.00,12533.00,5052.00,3359.00,27588.00,8495.00,12870.00,6223.00,338237.00,180640.00,22176.00,158464.00,318.00,127295.00,29984.00,-170997.00,-749414.00,0.00,-783830.00,-34417.00,504531.00,500979.00,2638.00,914.00,11723.00,516254.00,-293552.00,7715145.00,5662768.00,5388052.00,203331.00,71385.00,2052377.00,217124.00,50372.00,166752.00,1057679.00,152738.00,403861.00,376013.00,5663.00,119404.00,267383.00,123755.00,143628.00,218874.00,75965.00,107242.00,35667.00,291317.00,125049.00,88007.00,78261.00,7715145.00,3255732.00,2473943.00,44348.00,2429595.00,9994.00,321729.00,450066.00,4459413.00
2005,1191720.00,157296.00,1034424.00,1041764.00,728027.00,313737.00,-7341.00,804224.00,-7341.00,835137.00,-372.00,88592.00,76844.00,1970.00,9777.00,111793.00,804224.00,331378.00,24615.00,406620.00,436409.00,0.00,1190006.00,1256607.00,-66601.00,-16246.00,-66601.00,-50356.00,143472.00,290763.00,157296.00,10006.00,-159718.00,-159718.00,263253.00,19277.00,15831.00,3446.00,161191.00,789.00,108847.00,38015.00,1276.00,12264.00,21963.00,6443.00,15520.00,22658.00,14060.00,4942.00,3656.00,38164.00,17406.00,14314.00,6444.00,271803.00,166449.00,-1691.00,168140.00,626.00,72805.00,31923.00,-8550.00,171334.00,-10749.00,30914.00,-151168.00,473443.00,472155.00,445.00,843.00,5452.00,478895.00,633983.00,8580042.00,6258965.00,5976793.00,206910.00,75262.00,2321077.00,236401.00,66203.00,170198.00,1218870.00,153527.00,512708.00,414028.00,6939.00,131668.00,289346.00,130198.00,159148.00,246984.00,90025.00,116213.00,40746.00,329476.00,142455.00,102316.00,84705.00,8580042.00,3486646.00,2640392.00,42657.00,2597735.00,10620.00,353645.00,481989.00,5093396.00
2006,1250298.00,170305.00,1079994.00,1091100.00,763289.00,327811.00,-11106.00,868315.00,-11106.00,892717.00,-373.00,107176.00,94725.00,2078.00,10372.00,120099.00,868315.00,361742.00,21486.00,403923.00,438879.00,0.00,1286499.00,1325906.00,-39408.00,18353.00,-39408.00,-57761.00,154979.00,314299.00,170305.00,10986.00,-136626.00,-136626.00,208176.00,22812.00,5499.00,17313.00,111535.00,-1192.00,58792.00,39680.00,1429.00,12826.00,22224.00,5890.00,16334.00,24121.00,15552.00,4650.00,3919.00,27484.00,8865.00,12095.00,6524.00,253474.00,115994.00,-8393.00,124387.00,595.00,102625.00,34260.00,-45298.00,260050.00,0.00,168722.00,-91328.00,604977.00,602742.00,1118.00,1117.00,16861.00,621838.00,900241.00,9554124.00,7008006.00,6715135.00,212667.00,80204.00,2546118.00,259213.00,71702.00,187511.00,1330405.00,152335.00,571500.00,453708.00,8368.00,144494.00,311570.00,136088.00,175482.00,287966.00,105577.00,133171.00,49218.00,356964.00,151320.00,114415.00,91229.00,9554124.00,3560487.00,2756386.00,34264.00,2722122.00,11215.00,276637.00,516249.00,5993637.00
2007,1318525.00,186575.00,1131949.00,1150436.00,805574.00,344862.00,-18487.00,910740.00,-18487.00,939957.00,-7133.00,117942.00,104235.00,2174.00,11534.00,121541.00,910740.00,381361.00,18885.00,433272.00,460927.00,0.00,1338641.00,1411371.00,-72730.00,-13392.00,-72730.00,-59339.00,167855.00,340784.00,186575.00,13646.00,-181247.00,-181247.00,238522.00,32950.00,-220.00,33170.00,135456.00,-2384.00,77401.00,44418.00,1649.00,14372.00,24939.00,6160.00,18779.00,27246.00,17867.00,4939.00,4440.00,17931.00,7779.00,2954.00,7198.00,343416.00,162734.00,16975.00,145759.00,666.00,143273.00,36743.00,-104894.00,189339.00,0.00,112987.00,-76353.00,460863.00,457928.00,575.00,2361.00,5162.00,466025.00,641973.00,10412524.00,7623135.00,7314764.00,221450.00,86921.00,2789389.00,292163.00,71482.00,220681.00,1465861.00,149951.00,648901.00,498126.00,10017.00,158866.00,336086.00,142248.00,193838.00,320374.00,123444.00,141861.00,55069.00,374905.00,159099.00,117379.00,98427.00,10412524.00,3776914.00,2919120.00,51239.00,2867881.00,11881.00,292921.00,552992.00,6635610.00
2008,1385163.00,200154.00,1185009.00,1207058.00,847382.00,359676.00,-22049.00,901608.00,-22049.00,947949.00,-2969.00,105709.00,91009.00,2597.00,12103.00,127032.00,901608.00,380971.00,18681.00,455399.00,477826.00,0.00,1323687.00,1488743.00,-165056.00,-101831.00,-165056.00,-63225.00,172485.00,358842.00,200154.00,13797.00,-274315.00,-274315.00,-107574.00,26371.00,8401.00,17970.00,-94740.00,-22377.00,-47276.00,-19488.00,401.00,-6000.00,-17075.00,-12403.00,-4672.00,-6482.00,2359.00,-8088.00,-753.00,-15648.00,-15361.00,5219.00,-5506.00,258519.00,33724.00,4785.00,28939.00,835.00,185344.00,38616.00,-366093.00,-961487.00,0.00,-869709.00,91778.00,411434.00,402989.00,6648.00,1797.00,-60978.00,350456.00,-712861.00,10812701.00,8193292.00,7863341.00,236380.00,93571.00,2619409.00,318534.00,79883.00,238651.00,1371121.00,127574.00,601625.00,478638.00,10418.00,152866.00,317223.00,129845.00,187378.00,252914.00,125803.00,90873.00,36238.00,359617.00,143738.00,122958.00,92921.00,10812701.00,4889952.00,2952844.00,56024.00,2896820.00,12716.00,1332784.00,591608.00,5922749.00
2009,1419443.00,208187.00,1211257.00,1232636.00,862930.00,369706.00,-21380.00,811042.00,-21380.00,934782.00,-1407.00,87804.00,74429.00,2144.00,11231.00,188758.00,811042.00,333367.00,18567.00,492629.00,566099.00,0.00,1236446.00,1508360.00,-271914.00,-204197.00,-271914.00,-67717.00,167162.00,363047.00,208187.00,12303.00,-371359.00,-371359.00,31956.00,29714.00,19286.00,10428.00,-32038.00,-38022.00,-14023.00,14153.00,1114.00,4740.00,7054.00,-3116.00,10170.00,11545.00,11031.00,-1525.00,2039.00,15681.00,-4604.00,-5780.00,26065.00,480379.00,126880.00,7884.00,118996.00,820.00,313761.00,38918.00,-448423.00,321944.00,0.00,399007.00,77064.00,-105150.00,-104343.00,-1069.00,263.00,33444.00,-71706.00,46041.00,10924190.00,8242982.00,7903581.00,240865.00,98536.00,2681208.00,348248.00,99169.00,249079.00,1339083.00,89552.00,587602.00,492791.00,11532.00,157606.00,320791.00,126729.00,194062.00,297903.00,136834.00,112359.00,48710.00,375183.00,139134.00,117063.00,118986.00,10924190.00,4955400.00,3079724.00,63908.00,3015816.00,13536.00,1231614.00,630526.00,5968790.00
2010,1454192.00,212733.00,1241459.00,1261260.00,862567.00,398693.00,-19801.00,829456.00,-19801.00,960353.00,-1566.00,82600.00,69104.00,2302.00,11195.00,192130.00,829456.00,345292.00,18128.00,523826.00,611955.00,0.00,1281005.00,1518305.00,-237300.00,-160579.00,-237300.00,-76721.00,149690.00,351857.00,212733.00,10566.00,-310268.00,-310268.00,77335.00,-287.00,5687.00,-5974.00,55404.00,13203.00,8416.00,24358.00,1409.00,8018.00,12848.00,-967.00,13815.00,17392.00,14365.00,57.00,2970.00,-8022.00,13061.00,1021.00,-22104.00,360821.00,72354.00,-882.00,73236.00,867.00,249126.00,38474.00,-283486.00,38500.00,0.00,11718.00,-26782.00,175731.00,171909.00,2433.00,1390.00,21624.00,197355.00,75277.00,11334369.00,8557532.00,8207688.00,245407.00,104437.00,2776837.00,347961.00,104856.00,243105.00,1394487.00,102755.00,596018.00,517149.00,12941.00,165624.00,330604.00,125762.00,204842.00,336919.00,151199.00,126959.00,58761.00,366866.00,152195.00,117789.00,96882.00,11334369.00,5290302.00,3152078.00,63026.00,3089052.00,14403.00,1454821.00,669000.00,6044067.00
2011,1471351.00,222170.00,1249181.00,1266544.00,863088.00,403456.00,-17363.00,864628.00,-17363.00,994024.00,-546.00,79216.00,64831.00,2648.00,11737.00,190703.00,864628.00,374272.00,18216.00,530368.00,582130.00,0.00,1308878.00,1524800.00,-215922.00,-142087.00,-215922.00,-73835.00,127552.00,340492.00,222170.00,9230.00,-269638.00,-269638.00,-26826.00,32588.00,16792.00,15796.00,-60940.00,-12033.00,-33864.00,-13288.00,242.00,-1997.00,-4414.00,-4557.00,143.00,-1109.00,2330.00,-3298.00,-141.00,7049.00,5601.00,2414.00,-966.00,308362.00,-48670.00,-10634.00,-38036.00,869.00,317791.00,38372.00,-335188.00,-70906.00,0.00,-5357.00,65549.00,392747.00,389232.00,1595.00,1920.00,1885.00,394632.00,181639.00,11818088.00,9068603.00,8711905.00,246464.00,110234.00,2749485.00,380549.00,121648.00,258901.00,1333547.00,90722.00,562154.00,503861.00,13183.00,163627.00,324018.00,121205.00,202813.00,337695.00,153529.00,124964.00,59202.00,373676.00,157796.00,119964.00,95916.00,11818088.00,5592382.00,3103408.00,52392.00,3051016.00,15272.00,1766330.00,707372.00,6225706.00
2012,1496501.00,231896.00,1264605.00,1274955.00,870589.00,404366.00,-10351.00,880335.00,-10351.00,1016912.00,-458.00,75382.00,59757.00,3345.00,12281.00,201151.00,880335.00,399150.00,18048.00,540004.00,558012.00,0.00,1315541.00,1536315.00,-220775.00,-146624.00,-220775.00,-74151.00,106978.00,329745.00,231896.00,9130.00,-253602.00,-253602.00,72080.00,13087.00,-8765.00,21852.00,21335.00,-7520.00,44552.00,-18668.00,222.00,2749.00,9656.00,4298.00,5358.00,7061.00,4841.00,1466.00,754.00,20941.00,5339.00,9468.00,6134.00,344404.00,-6411.00,3809.00,-10220.00,412.00,312325.00,38078.00,-272324.00,260739.00,-7606.00,287066.00,18721.00,225873.00,222556.00,1879.00,1438.00,18483.00,244356.00,358471.00,12233832.00,9384749.00,9022908.00,246690.00,115151.00,2849083.00,412742.00,118208.00,294534.00,1354882.00,83202.00,606706.00,485193.00,13405.00,166376.00,331724.00,125503.00,206221.00,363239.00,158370.00,138629.00,66240.00,386496.00,163135.00,121311.00,102050.00,12233832.00,5649655.00,3096997.00,56201.00,3040796.00,15684.00,1791524.00,745450.00,6584177.00
2013,1532008.00,238505.00,1293503.00,1303326.00,887564.00,415762.00,-9823.00,914496.00,-9823.00,1050080.00,-476.00,75449.00,58913.00,3625.00,12911.00,200735.00,914496.00,431311.00,18507.00,563388.00,571267.00,0.00,1372193.00,1562707.00,-190514.00,-118936.00,-190514.00,-71578.00,94385.00,323887.00,238505.00,9003.00,-213321.00,-213321.00,-22840.00,25158.00,7074.00,18084.00,-63764.00,-9818.00,-20012.00,-31996.00,-145.00,-1793.00,-245.00,877.00,-1122.00,-924.00,523.00,-955.00,-492.00,16935.00,9475.00,4099.00,3361.00,226737.00,-56841.00,-10893.00,-45948.00,542.00,244865.00,38171.00,-249577.00,550987.00,0.00,587242.00,36255.00,240186.00,236621.00,1718.00,1848.00,37475.00,277661.00,709711.00,12571368.00,9710329.00,9341510.00,247655.00,121164.00,2861039.00,437900.00,125282.00,312618.00,1291118.00,73384.00,586694.00,453197.00,13260.00,164583.00,330378.00,126380.00,203998.00,399790.00,158893.00,162410.00,78487.00,401853.00,172610.00,123832.00,105411.00,12571368.00,5277480.00,3040156.00,45308.00,2994848.00,16226.00,1437477.00,783621.00,7293888.00
2014,1575325.00,246095.00,1329231.00,1341161.00,912692.00,428469.00,-11930.00,957860.00,-11930.00,1075651.00,-495.00,77202.00,59562.00,3782.00,13859.00,182568.00,957860.00,443203.00,19132.00,612896.00,624469.00,0.00,1431768.00,1601607.00,-169839.00,-98915.00,-169839.00,-70924.00,94430.00,331588.00,246095.00,8937.00,-193345.00,-193345.00,88382.00,24929.00,16006.00,8923.00,19482.00,-7118.00,36452.00,-14830.00,372.00,4606.00,12173.00,5831.00,6342.00,10461.00,6741.00,2455.00,1265.00,21337.00,10057.00,3744.00,7536.00,265158.00,-35230.00,-6392.00,-28838.00,369.00,261098.00,38921.00,-176776.00,211357.00,0.00,194788.00,-16569.00,173223.00,170122.00,2899.00,202.00,13567.00,186790.00,299232.00,12941055.00,9969036.00,9594338.00,249505.00,125193.00,2972019.00,462829.00,141288.00,321541.00,1310600.00,66266.00,623146.00,438367.00,13632.00,169189.00,341920.00,132211.00,209709.00,423818.00,165634.00,173820.00,84364.00,432852.00,182667.00,137238.00,112947.00,12941055.00,5347935.00,3004926.00,38916.00,2966010.00,16595.00,1503872.00,822542.00,7593120.00
