1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2475.00,2898.00,-429.00,242.00,-37.00,-199.00,3269.00,-232.00,2898.00,0.00,0.00,603.00,-794.00,523.00,523.00,0.00,2375.00,2375.00,0.00,0.00,-232.00,-232.00,-184.00,-48.00,163.00,163.00,0.00,263.00,311.00,48.00,-177.00,-180.00,3.00,0.00,0.00,0.00,603.00,-540.00,-536.00,22.00,37.00,199.00,4.00,-794.00
1952:Q1,-252.00,-57.00,-317.00,130.00,-2.00,-6.00,-231.00,-336.00,-57.00,0.00,0.00,162.00,-21.00,-277.00,-277.00,0.00,220.00,220.00,0.00,0.00,-336.00,-336.00,-474.00,138.00,13.00,13.00,0.00,143.00,169.00,26.00,-6.00,-7.00,1.00,0.00,0.00,0.00,162.00,-1.00,2.00,15.00,2.00,6.00,3.00,-21.00
1952:Q2,-1253.00,-919.00,-416.00,102.00,1.00,-21.00,-1051.00,-242.00,-919.00,0.00,0.00,110.00,-202.00,-24.00,-24.00,0.00,-895.00,-895.00,0.00,0.00,-242.00,-242.00,-129.00,-113.00,-6.00,-6.00,0.00,115.00,138.00,23.00,-1.00,-2.00,1.00,0.00,0.00,0.00,110.00,-170.00,-169.00,13.00,-1.00,21.00,1.00,-202.00
1952:Q3,2254.00,1334.00,1074.00,-151.00,2.00,-5.00,1580.00,468.00,1334.00,0.00,0.00,-222.00,674.00,134.00,134.00,0.00,1200.00,1200.00,0.00,0.00,468.00,468.00,157.00,311.00,-67.00,-67.00,0.00,-158.00,-181.00,-23.00,-3.00,-2.00,-1.00,0.00,0.00,0.00,-222.00,671.00,667.00,-10.00,-2.00,5.00,-4.00,674.00
1952:Q4,-935.00,-408.00,-536.00,56.00,3.00,-50.00,-375.00,1.00,-408.00,0.00,0.00,32.00,-560.00,223.00,223.00,0.00,-631.00,-631.00,0.00,0.00,1.00,1.00,229.00,-228.00,6.00,6.00,0.00,60.00,72.00,12.00,34.00,34.00,0.00,0.00,0.00,0.00,32.00,-509.00,-507.00,6.00,-3.00,50.00,2.00,-560.00
1953:Q1,418.00,-5.00,495.00,-89.00,0.00,17.00,385.00,406.00,-5.00,0.00,0.00,-16.00,33.00,-203.00,-203.00,0.00,198.00,198.00,0.00,0.00,406.00,406.00,-157.00,563.00,45.00,45.00,0.00,-88.00,-58.00,30.00,-27.00,-28.00,1.00,0.00,0.00,0.00,-16.00,16.00,14.00,-2.00,0.00,-17.00,-2.00,33.00
1953:Q2,-1368.00,-547.00,-829.00,56.00,-1.00,-47.00,-1351.00,-845.00,-547.00,0.00,0.00,41.00,-17.00,40.00,40.00,0.00,-587.00,-587.00,0.00,0.00,-845.00,-845.00,-209.00,-636.00,-7.00,-7.00,0.00,60.00,32.00,-28.00,12.00,12.00,0.00,0.00,0.00,0.00,41.00,35.00,35.00,4.00,1.00,47.00,0.00,-17.00
1953:Q3,540.00,-192.00,756.00,-23.00,-1.00,0.00,182.00,359.00,-192.00,0.00,0.00,15.00,358.00,60.00,60.00,0.00,-252.00,-252.00,0.00,0.00,359.00,359.00,84.00,275.00,39.00,39.00,0.00,-24.00,-25.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,358.00,358.00,-1.00,1.00,0.00,0.00,358.00
1953:Q4,23.00,713.00,-681.00,52.00,-1.00,-60.00,531.00,-66.00,713.00,0.00,0.00,-116.00,-508.00,-138.00,-138.00,0.00,851.00,851.00,0.00,0.00,-66.00,-66.00,250.00,-316.00,-168.00,-168.00,0.00,60.00,74.00,14.00,8.00,6.00,2.00,0.00,0.00,0.00,-116.00,-441.00,-439.00,8.00,1.00,60.00,2.00,-508.00
1954:Q1,-1520.00,-848.00,-635.00,-8.00,0.00,-29.00,-1209.00,-281.00,-848.00,0.00,0.00,-80.00,-311.00,118.00,118.00,0.00,-966.00,-966.00,0.00,0.00,-281.00,-281.00,-400.00,119.00,-81.00,-81.00,0.00,-9.00,-8.00,1.00,-10.00,-9.00,-1.00,0.00,0.00,0.00,-80.00,-282.00,-282.00,0.00,0.00,29.00,0.00,-311.00
1954:Q2,27.00,-153.00,192.00,25.00,1.00,-38.00,-227.00,-78.00,-153.00,0.00,0.00,4.00,254.00,30.00,30.00,0.00,-183.00,-183.00,0.00,0.00,-78.00,-78.00,32.00,-110.00,-9.00,-9.00,0.00,31.00,40.00,9.00,18.00,16.00,2.00,0.00,0.00,0.00,4.00,295.00,295.00,4.00,-1.00,38.00,0.00,254.00
1954:Q3,-135.00,-510.00,399.00,17.00,1.00,-42.00,-393.00,96.00,-510.00,0.00,0.00,21.00,258.00,170.00,170.00,0.00,-680.00,-680.00,0.00,0.00,96.00,96.00,-56.00,152.00,30.00,30.00,0.00,18.00,24.00,6.00,27.00,27.00,0.00,0.00,0.00,0.00,21.00,300.00,302.00,3.00,-1.00,42.00,2.00,258.00
1954:Q4,-317.00,184.00,-534.00,121.00,4.00,-92.00,419.00,133.00,184.00,0.00,0.00,102.00,-736.00,-361.00,-361.00,0.00,545.00,545.00,0.00,0.00,133.00,133.00,297.00,-164.00,-1.00,-1.00,0.00,130.00,155.00,25.00,27.00,26.00,1.00,0.00,0.00,0.00,102.00,-640.00,-636.00,12.00,-4.00,92.00,4.00,-736.00
1955:Q1,150.00,-127.00,319.00,-42.00,-1.00,1.00,195.00,332.00,-127.00,0.00,0.00,-10.00,-45.00,361.00,361.00,0.00,-488.00,-488.00,0.00,0.00,332.00,332.00,-256.00,588.00,2.00,2.00,0.00,-46.00,-54.00,-8.00,-34.00,-33.00,-1.00,0.00,0.00,0.00,-10.00,-48.00,-50.00,-5.00,1.00,-1.00,-2.00,-45.00
1955:Q2,-381.00,-471.00,33.00,88.00,-1.00,-30.00,-595.00,-225.00,-471.00,0.00,0.00,101.00,214.00,-149.00,-149.00,0.00,-322.00,-322.00,0.00,0.00,-225.00,-225.00,298.00,-523.00,27.00,27.00,0.00,95.00,110.00,15.00,21.00,20.00,1.00,0.00,0.00,0.00,101.00,251.00,253.00,8.00,1.00,30.00,2.00,214.00
1955:Q3,1501.00,688.00,881.00,-38.00,-2.00,-28.00,1212.00,512.00,688.00,0.00,0.00,12.00,289.00,279.00,279.00,0.00,409.00,409.00,0.00,0.00,512.00,512.00,-62.00,574.00,32.00,32.00,0.00,-41.00,-49.00,-8.00,-21.00,-21.00,0.00,0.00,0.00,0.00,12.00,316.00,316.00,-3.00,2.00,28.00,0.00,289.00
1955:Q4,77.00,252.00,-126.00,39.00,-3.00,-85.00,521.00,255.00,252.00,0.00,0.00,14.00,-444.00,-278.00,-278.00,0.00,530.00,530.00,0.00,0.00,255.00,255.00,797.00,-542.00,-17.00,-17.00,0.00,40.00,47.00,7.00,9.00,10.00,-1.00,0.00,0.00,0.00,14.00,-354.00,-354.00,2.00,3.00,85.00,0.00,-444.00
1956:Q1,-412.00,-215.00,-145.00,21.00,-4.00,-69.00,-310.00,-193.00,-215.00,0.00,0.00,98.00,-102.00,208.00,208.00,0.00,-423.00,-423.00,0.00,0.00,-193.00,-193.00,-792.00,599.00,62.00,62.00,0.00,25.00,33.00,8.00,-11.00,-12.00,1.00,0.00,0.00,0.00,98.00,-26.00,-26.00,3.00,4.00,69.00,0.00,-102.00
1956:Q2,-1004.00,-756.00,-318.00,91.00,-5.00,-16.00,-871.00,-61.00,-756.00,0.00,0.00,-54.00,-133.00,-617.00,-617.00,0.00,-139.00,-139.00,0.00,0.00,-61.00,-61.00,413.00,-474.00,-169.00,-169.00,0.00,99.00,121.00,22.00,-16.00,-18.00,2.00,0.00,0.00,0.00,-54.00,-106.00,-101.00,11.00,5.00,16.00,5.00,-133.00
1956:Q3,2122.00,1040.00,1001.00,85.00,-6.00,2.00,1504.00,195.00,1040.00,0.00,0.00,269.00,618.00,827.00,827.00,0.00,213.00,213.00,0.00,0.00,195.00,195.00,-146.00,341.00,231.00,231.00,0.00,95.00,116.00,21.00,57.00,55.00,2.00,0.00,0.00,0.00,269.00,630.00,632.00,10.00,6.00,-2.00,2.00,618.00
1956:Q4,122.00,564.00,-360.00,34.00,-6.00,-110.00,658.00,57.00,564.00,0.00,0.00,37.00,-536.00,161.00,161.00,0.00,403.00,403.00,0.00,0.00,57.00,57.00,605.00,-548.00,-63.00,-63.00,0.00,38.00,47.00,9.00,-62.00,-63.00,1.00,0.00,0.00,0.00,37.00,-417.00,-415.00,5.00,6.00,110.00,2.00,-536.00
1957:Q1,-1820.00,-1060.00,-662.00,-30.00,-7.00,-61.00,-1450.00,-291.00,-1060.00,0.00,0.00,-99.00,-370.00,-351.00,-351.00,0.00,-709.00,-709.00,0.00,0.00,-291.00,-291.00,-858.00,567.00,-61.00,-61.00,0.00,-28.00,-32.00,-4.00,10.00,6.00,4.00,0.00,0.00,0.00,-99.00,-304.00,-304.00,-2.00,7.00,61.00,0.00,-370.00
1957:Q2,742.00,318.00,332.00,92.00,-8.00,8.00,749.00,454.00,318.00,0.00,0.00,-23.00,-7.00,40.00,40.00,0.00,278.00,278.00,0.00,0.00,454.00,454.00,222.00,232.00,-109.00,-109.00,0.00,96.00,111.00,15.00,10.00,6.00,4.00,0.00,0.00,0.00,-23.00,-7.00,-1.00,6.00,8.00,-8.00,6.00,-7.00
1957:Q3,463.00,56.00,409.00,-19.00,-8.00,25.00,-103.00,-92.00,56.00,0.00,0.00,-67.00,566.00,90.00,90.00,0.00,-34.00,-34.00,0.00,0.00,-92.00,-92.00,-44.00,-48.00,-53.00,-53.00,0.00,-17.00,-22.00,-5.00,-3.00,-8.00,5.00,0.00,0.00,0.00,-67.00,546.00,546.00,-3.00,8.00,-25.00,0.00,566.00
1957:Q4,-341.00,735.00,-962.00,27.00,-5.00,-136.00,400.00,-287.00,735.00,0.00,0.00,-48.00,-741.00,295.00,295.00,0.00,440.00,440.00,0.00,0.00,-287.00,-287.00,439.00,-726.00,-60.00,-60.00,0.00,31.00,35.00,4.00,19.00,11.00,8.00,0.00,0.00,0.00,-48.00,-604.00,-600.00,0.00,5.00,136.00,4.00,-741.00
1958:Q1,-2568.00,-1053.00,-1410.00,53.00,-6.00,-152.00,-1565.00,-652.00,-1053.00,0.00,0.00,140.00,-1003.00,-445.00,-445.00,0.00,-608.00,-608.00,0.00,0.00,-652.00,-652.00,-720.00,68.00,70.00,70.00,0.00,43.00,50.00,7.00,-27.00,-14.00,-13.00,0.00,0.00,0.00,140.00,-842.00,-841.00,4.00,6.00,152.00,1.00,-1003.00
1958:Q2,149.00,269.00,-201.00,134.00,-6.00,-47.00,576.00,102.00,269.00,0.00,0.00,205.00,-427.00,127.00,127.00,0.00,142.00,142.00,0.00,0.00,102.00,102.00,92.00,10.00,114.00,114.00,0.00,126.00,146.00,20.00,35.00,49.00,-14.00,0.00,0.00,0.00,205.00,-368.00,-363.00,11.00,6.00,47.00,5.00,-427.00
1958:Q3,924.00,-344.00,1278.00,33.00,-4.00,-39.00,-10.00,362.00,-344.00,0.00,0.00,-28.00,934.00,123.00,123.00,0.00,-467.00,-467.00,0.00,0.00,362.00,362.00,153.00,209.00,-50.00,-50.00,0.00,34.00,40.00,6.00,12.00,11.00,1.00,0.00,0.00,0.00,-28.00,977.00,980.00,3.00,4.00,39.00,3.00,934.00
1958:Q4,293.00,512.00,-76.00,4.00,-1.00,-146.00,403.00,56.00,512.00,0.00,0.00,-165.00,-110.00,109.00,109.00,0.00,403.00,403.00,0.00,0.00,56.00,56.00,347.00,-291.00,-173.00,-173.00,0.00,4.00,4.00,0.00,-4.00,-5.00,1.00,0.00,0.00,0.00,-165.00,36.00,36.00,-1.00,1.00,146.00,0.00,-110.00
