1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,2239.00,39.00,1739.00,248.00,13.00,173.00,10.00,17.00,1654.00,1156.00,81.00,250.00,96.00,32.00,0.00,39.00,585.00
1956:Q3,2511.00,41.00,1704.00,501.00,65.00,174.00,0.00,26.00,4129.00,3491.00,481.00,-23.00,107.00,35.00,0.00,38.00,-1618.00
1956:Q4,2171.00,37.00,2559.00,-873.00,241.00,176.00,0.00,31.00,-498.00,-87.00,-423.00,-143.00,92.00,39.00,0.00,24.00,2669.00
1957:Q1,-582.00,33.00,-1674.00,958.00,-74.00,186.00,10.00,-21.00,2214.00,1207.00,876.00,105.00,-32.00,39.00,0.00,19.00,-2796.00
1957:Q2,-127.00,31.00,-4.00,-328.00,-55.00,189.00,0.00,40.00,-360.00,138.00,-768.00,183.00,-12.00,40.00,0.00,59.00,233.00
1957:Q3,1374.00,31.00,1117.00,81.00,-52.00,191.00,0.00,6.00,1821.00,1944.00,-162.00,-70.00,55.00,40.00,0.00,14.00,-447.00
1957:Q4,2380.00,33.00,2160.00,-425.00,342.00,197.00,10.00,63.00,-2448.00,-1662.00,-619.00,-307.00,100.00,41.00,0.00,-1.00,4828.00
1958:Q1,-2716.00,36.00,-4065.00,1263.00,-102.00,203.00,0.00,-51.00,2094.00,1114.00,1239.00,-138.00,-130.00,39.00,0.00,-30.00,-4810.00
1958:Q2,1712.00,37.00,1366.00,125.00,-61.00,207.00,0.00,38.00,-13.00,156.00,-101.00,-177.00,70.00,37.00,0.00,2.00,1725.00
1958:Q3,3855.00,38.00,3238.00,289.00,68.00,215.00,10.00,-3.00,5191.00,4747.00,358.00,-130.00,167.00,36.00,0.00,13.00,-1336.00
1958:Q4,3540.00,40.00,3713.00,-603.00,158.00,221.00,0.00,11.00,-37.00,387.00,-497.00,-93.00,154.00,36.00,0.00,-24.00,3577.00
1959:Q1,978.00,251.00,-123.00,674.00,-30.00,227.00,10.00,-31.00,2496.00,1661.00,702.00,-31.00,70.00,40.00,0.00,54.00,-1518.00
1959:Q2,2055.00,40.00,1835.00,6.00,-123.00,227.00,0.00,70.00,1768.00,2074.00,-523.00,-5.00,117.00,44.00,0.00,61.00,287.00
1959:Q3,944.00,50.00,349.00,317.00,-10.00,224.00,10.00,4.00,2140.00,1909.00,92.00,15.00,62.00,48.00,0.00,14.00,-1196.00
1959:Q4,2400.00,50.00,3255.00,-1407.00,234.00,218.00,0.00,50.00,-1291.00,-98.00,-1414.00,20.00,127.00,51.00,0.00,23.00,3691.00
1960:Q1,1471.00,40.00,-559.00,1553.00,205.00,222.00,10.00,0.00,4491.00,2562.00,1521.00,100.00,86.00,48.00,0.00,174.00,-3020.00
1960:Q2,860.00,50.00,914.00,-359.00,-111.00,230.00,0.00,136.00,-274.00,517.00,-745.00,-51.00,61.00,42.00,0.00,-98.00,1134.00
1960:Q3,1548.00,-20.00,987.00,253.00,81.00,233.00,0.00,14.00,3199.00,2854.00,236.00,-10.00,90.00,35.00,0.00,-6.00,-1651.00
1960:Q4,1809.00,40.00,1507.00,-865.00,281.00,235.00,0.00,611.00,-1484.00,-1008.00,-692.00,29.00,102.00,27.00,0.00,58.00,3293.00
1961:Q1,-590.00,0.00,-1666.00,993.00,85.00,248.00,10.00,-260.00,2168.00,902.00,1177.00,2.00,-3.00,20.00,0.00,70.00,-2758.00
1961:Q2,1406.00,100.00,1474.00,-361.00,-233.00,243.00,0.00,183.00,2382.00,2607.00,-310.00,-43.00,82.00,15.00,0.00,31.00,-976.00
1961:Q3,2188.00,30.00,1647.00,-40.00,154.00,245.00,0.00,152.00,3985.00,3552.00,234.00,49.00,120.00,12.00,0.00,18.00,-1797.00
1961:Q4,3331.00,60.00,3796.00,-1068.00,253.00,259.00,0.00,31.00,345.00,831.00,-751.00,-22.00,108.00,12.00,0.00,167.00,2986.00
1962:Q1,-299.00,50.00,-1363.00,700.00,-208.00,258.00,10.00,254.00,1957.00,1073.00,820.00,4.00,8.00,42.00,0.00,10.00,-2256.00
1962:Q2,764.00,30.00,739.00,-272.00,55.00,258.00,0.00,-46.00,563.00,1227.00,-656.00,41.00,58.00,58.00,0.00,-165.00,201.00
1962:Q3,3362.00,20.00,2504.00,175.00,169.00,264.00,10.00,220.00,4373.00,3936.00,85.00,65.00,179.00,60.00,0.00,48.00,-1011.00
1962:Q4,1124.00,30.00,1081.00,-716.00,417.00,267.00,0.00,45.00,-2051.00,-1717.00,-691.00,119.00,78.00,48.00,0.00,112.00,3175.00
1963:Q1,91.00,50.00,-585.00,495.00,-87.00,277.00,5.00,-64.00,2887.00,1843.00,687.00,287.00,35.00,38.00,0.00,-3.00,-2796.00
1963:Q2,935.00,80.00,1614.00,-460.00,-206.00,279.00,0.00,-372.00,1642.00,1680.00,-447.00,253.00,71.00,31.00,0.00,54.00,-707.00
1963:Q3,2557.00,90.00,2300.00,-343.00,167.00,290.00,5.00,48.00,3383.00,3125.00,-5.00,-45.00,150.00,29.00,0.00,129.00,-826.00
1963:Q4,3857.00,90.00,4064.00,-1082.00,456.00,296.00,0.00,33.00,-636.00,-340.00,-736.00,-10.00,208.00,33.00,0.00,209.00,4493.00
1964:Q1,-2187.00,130.00,-3146.00,522.00,-113.00,301.00,10.00,109.00,1892.00,1087.00,613.00,63.00,-67.00,36.00,0.00,160.00,-4079.00
1964:Q2,1609.00,50.00,1590.00,-20.00,-354.00,312.00,0.00,31.00,1709.00,1686.00,-120.00,20.00,109.00,38.00,0.00,-24.00,-100.00
1964:Q3,3768.00,50.00,2983.00,-9.00,174.00,316.00,10.00,244.00,5978.00,5411.00,207.00,102.00,204.00,39.00,0.00,15.00,-2210.00
1964:Q4,5603.00,30.00,5551.00,-1049.00,388.00,319.00,0.00,364.00,414.00,358.00,-555.00,59.00,286.00,39.00,0.00,227.00,5189.00
1965:Q1,686.00,70.00,-129.00,582.00,7.00,325.00,10.00,-179.00,3514.00,2796.00,521.00,36.00,63.00,39.00,0.00,59.00,-2828.00
1965:Q2,2886.00,110.00,2498.00,-133.00,48.00,338.00,0.00,25.00,3380.00,3208.00,-361.00,128.00,167.00,38.00,0.00,200.00,-494.00
1965:Q3,4068.00,110.00,3279.00,101.00,259.00,355.00,10.00,-46.00,6254.00,5567.00,221.00,198.00,221.00,41.00,0.00,6.00,-2186.00
1965:Q4,6151.00,130.00,6106.00,-878.00,258.00,363.00,0.00,172.00,1545.00,1699.00,-557.00,26.00,312.00,47.00,0.00,18.00,4606.00
1966:Q1,-495.00,110.00,-1221.00,161.00,-13.00,370.00,10.00,88.00,4272.00,3254.00,697.00,208.00,13.00,55.00,0.00,45.00,-4767.00
1966:Q2,2269.00,90.00,2315.00,-668.00,95.00,378.00,10.00,49.00,4382.00,4299.00,-367.00,163.00,134.00,62.00,0.00,91.00,-2113.00
1966:Q3,4215.00,70.00,3258.00,138.00,271.00,385.00,10.00,83.00,7007.00,5349.00,655.00,471.00,225.00,66.00,0.00,241.00,-2792.00
