date,FU796000105.Q,FU795090005.Q,FU795019005.Q,FU645012063.Q,FU795013005.Q,FU795000005.Q,FU794090005.Q,FU713011005.Q,FU713014003.Q,FU713012003.Q,FU633091003.Q,FU794010005.Q,FU793020005.Q,FU793030005.Q,FU793034005.Q,FU792050005.Q,FU794022005.Q,FU793069175.Q,FU793061105.Q,FU793061705.Q,FU793062005.Q,FU793063005.Q,FU794023005.Q,FU793068005.Q,FU793069005.Q,FU793065005.Q,FU793066005.Q,FU793064105.Q,FU793064205.Q,FU793070005.Q,FU793040005.Q,FU793092005.Q,FU793090005.Q,FU794190005.Q,FU794110005.Q,FU793120005.Q,FU703130005.Q,FU634090005.Q,FU792150005.Q,FU794122005.Q,FU793169175.Q,FU423161705.Q,FU793163005.Q,FU794123005.Q,FU793168005.Q,FU793169005.Q,FU643165005.Q,FU793164105.Q,FU653164205.Q,FU663170003.Q,FU543140005.Q,FU153050005.Q,FU793178005.Q,FU662090205.Q,FU793192005.Q,FU793190005.Q,FU797005005.Q
1990:Q1,15929.00,37557.00,22999.00,49.00,22950.00,14558.00,198154.00,1580.00,0.00,214.00,668.00,-6691.00,-252.00,-6439.00,6628.00,11634.00,129784.00,33528.00,10826.00,51525.00,10125.00,23780.00,14310.00,-22243.00,-7397.00,55598.00,-11648.00,-10249.00,3318.00,2207.00,0.00,-1790.00,53233.00,183596.00,4916.00,-38624.00,2277.00,35689.00,-3653.00,44230.00,-28.00,37141.00,7117.00,-13437.00,-226.00,-13341.00,130.00,6012.00,11266.00,-1910.00,7095.00,74835.00,999.00,6.00,534.00,53361.00,-21628.00
1990:Q2,17329.00,16321.00,22336.00,49.00,22287.00,-6015.00,168600.00,-40.00,0.00,225.00,994.00,-47.00,359.00,-8879.00,3859.00,-5020.00,75892.00,1128.00,22686.00,28183.00,-1815.00,25710.00,68329.00,8762.00,3005.00,51243.00,5319.00,11754.00,5298.00,2441.00,0.00,-834.00,14270.00,174615.00,-1114.00,33436.00,-14642.00,-10401.00,-2354.00,50532.00,-8804.00,41937.00,17399.00,-2413.00,1846.00,-4389.00,130.00,-2296.00,16324.00,-229.00,6176.00,77990.00,239.00,-313.00,1290.00,22390.00,1008.00
1990:Q3,17313.00,7892.00,22202.00,49.00,22152.00,-14310.00,192995.00,-688.00,0.00,155.00,3766.00,-904.00,3248.00,-19297.00,7879.00,11636.00,86946.00,11827.00,25917.00,30680.00,8202.00,10320.00,25826.00,-9289.00,-17287.00,39302.00,13100.00,-3217.00,3227.00,2781.00,0.00,3424.00,68214.00,207306.00,17091.00,2674.00,-3032.00,31603.00,-8345.00,51768.00,9334.00,37771.00,4663.00,-10433.00,-5544.00,-5119.00,230.00,4804.00,3380.00,-146.00,8575.00,73405.00,228.00,6.00,-10092.00,45820.00,9421.00
1990:Q4,17188.00,35648.00,21585.00,49.00,21536.00,14064.00,189440.00,495.00,1500.00,181.00,-4731.00,12692.00,10771.00,-5925.00,3023.00,-8299.00,91939.00,-21579.00,61017.00,40834.00,3142.00,8525.00,46907.00,-3027.00,9833.00,35078.00,5023.00,24549.00,-321.00,3238.00,0.00,-3679.00,17101.00,175376.00,-12071.00,45102.00,18102.00,14370.00,-16027.00,84057.00,8091.00,50612.00,25354.00,7947.00,-569.00,8386.00,130.00,-1837.00,11884.00,383.00,5061.00,71561.00,81.00,-389.00,-3059.00,-49789.00,-18461.00
1991:Q1,22975.00,13533.00,20964.00,49.00,20915.00,-7430.00,185053.00,25.00,0.00,172.00,5867.00,-22060.00,-14026.00,10423.00,614.00,30595.00,146047.00,15175.00,56751.00,37444.00,16024.00,20653.00,-16864.00,-13833.00,-20350.00,31548.00,-14229.00,-16105.00,10295.00,1433.00,0.00,6581.00,42057.00,192484.00,-14884.00,-28330.00,18183.00,54143.00,4224.00,33631.00,-17103.00,33724.00,17010.00,-5788.00,6123.00,-11981.00,70.00,1525.00,20351.00,-329.00,4808.00,63215.00,-229.00,56.00,-1507.00,43415.00,9442.00
1991:Q2,23128.00,35389.00,20552.00,49.00,20504.00,14837.00,192760.00,-568.00,0.00,175.00,-5701.00,-1851.00,4028.00,4405.00,6158.00,29391.00,71873.00,-8577.00,32635.00,18797.00,-443.00,29461.00,33143.00,-11355.00,-9570.00,53168.00,900.00,13743.00,5515.00,1544.00,0.00,-4613.00,35517.00,177923.00,94.00,27852.00,-43470.00,-19754.00,39847.00,37411.00,-10680.00,28306.00,19785.00,-11877.00,2382.00,-14341.00,82.00,9538.00,28473.00,695.00,7658.00,80959.00,562.00,126.00,12872.00,6937.00,-12261.00
1991:Q3,23403.00,26447.00,20136.00,76.00,20060.00,6311.00,256016.00,-1994.00,0.00,137.00,-3027.00,6959.00,-1331.00,4752.00,8222.00,37225.00,141516.00,-15141.00,83445.00,24919.00,2953.00,45340.00,-9700.00,-7820.00,-1716.00,-1500.00,1336.00,21843.00,6239.00,1537.00,0.00,901.00,42736.00,249704.00,23376.00,14040.00,-14337.00,351.00,40634.00,52281.00,-3235.00,42469.00,13047.00,-6843.00,-7642.00,703.00,96.00,4497.00,36967.00,-267.00,4026.00,79590.00,1119.00,315.00,3096.00,10859.00,-3044.00
1991:Q4,22092.00,25470.00,19840.00,41.00,19798.00,5631.00,252111.00,-619.00,0.00,128.00,-2358.00,7257.00,-1058.00,970.00,2204.00,-60211.00,158541.00,-6725.00,81893.00,32475.00,19490.00,31408.00,50242.00,-4129.00,4626.00,42409.00,7336.00,21934.00,7093.00,1413.00,0.00,-1833.00,68408.00,246481.00,-2916.00,74217.00,-27989.00,6433.00,-64393.00,62124.00,-1323.00,41339.00,22108.00,28973.00,9826.00,18932.00,215.00,6705.00,44724.00,583.00,4596.00,81848.00,-431.00,-39.00,10073.00,21973.00,-3378.00
1992:Q1,26516.00,18622.00,19631.00,50.00,19581.00,-1009.00,259937.00,492.00,0.00,121.00,-1382.00,-4583.00,-716.00,-3811.00,9279.00,29567.00,104199.00,25958.00,5080.00,17909.00,15975.00,39277.00,-17032.00,-16451.00,-13350.00,28041.00,-15272.00,8847.00,13420.00,984.00,0.00,6457.00,114096.00,260946.00,18052.00,-29231.00,-31451.00,32395.00,37642.00,40735.00,-2280.00,26071.00,16944.00,-18215.00,1434.00,-19864.00,215.00,11022.00,50379.00,-783.00,7535.00,74875.00,347.00,-71.00,-251.00,67966.00,7894.00
1992:Q2,26177.00,-9433.00,20162.00,20.00,20142.00,-29595.00,262806.00,-816.00,0.00,118.00,-3638.00,-5756.00,-1896.00,-7545.00,-3180.00,31455.00,137048.00,37.00,52064.00,39488.00,12032.00,33427.00,38283.00,1641.00,10056.00,28448.00,-1862.00,40501.00,13222.00,-208.00,0.00,-293.00,25511.00,292401.00,-13112.00,41421.00,-16905.00,-15098.00,43508.00,69721.00,-2691.00,51813.00,20599.00,7805.00,-1306.00,9090.00,21.00,9437.00,50542.00,430.00,3849.00,87161.00,-86.00,-158.00,-538.00,24424.00,35610.00
