1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q2,16283.00,176.00,-24.00,0.00,0.00,4240.00,0.00,360.00,528.00,948.00,2404.00,-208.00,3616.00,0.00,8483.00,8483.00,0.00,16284.00
1972:Q3,16831.00,-96.00,128.00,0.00,0.00,4308.00,0.00,-320.00,576.00,-1372.00,5424.00,332.00,4440.00,0.00,7719.00,7719.00,0.00,16832.00
1972:Q4,17015.00,176.00,504.00,0.00,0.00,4692.00,0.00,-184.00,644.00,-376.00,4608.00,520.00,4600.00,0.00,6523.00,6523.00,0.00,17016.00
1973:Q1,16727.00,-620.00,452.00,0.00,0.00,4908.00,0.00,360.00,716.00,-1628.00,5460.00,648.00,5388.00,0.00,5951.00,5951.00,0.00,16728.00
1973:Q2,16999.00,208.00,500.00,0.00,0.00,5144.00,0.00,-908.00,784.00,-344.00,5612.00,756.00,3360.00,0.00,7031.00,7031.00,0.00,17000.00
1973:Q3,17363.00,-256.00,924.00,0.00,0.00,5896.00,0.00,-1728.00,1440.00,456.00,5728.00,268.00,2244.00,0.00,8287.00,8287.00,0.00,17364.00
1973:Q4,17691.00,-224.00,560.00,0.00,0.00,4100.00,0.00,-2080.00,1976.00,164.00,4040.00,1012.00,2652.00,0.00,9591.00,9591.00,0.00,17692.00
1974:Q1,17770.00,-740.00,348.00,0.00,0.00,5060.00,0.00,-2672.00,1932.00,616.00,5184.00,544.00,2940.00,0.00,9618.00,9618.00,0.00,17772.00
1974:Q2,18590.00,-216.00,1184.00,0.00,0.00,6692.00,0.00,184.00,1312.00,-1604.00,6800.00,212.00,2152.00,0.00,8566.00,8566.00,0.00,18592.00
1974:Q3,19582.00,-140.00,760.00,0.00,0.00,7400.00,0.00,-1484.00,1024.00,-784.00,8644.00,372.00,1056.00,0.00,10134.00,10134.00,0.00,19584.00
1974:Q4,20446.00,-64.00,680.00,0.00,0.00,3704.00,0.00,280.00,728.00,-1060.00,3756.00,1116.00,4128.00,0.00,10882.00,10882.00,0.00,20448.00
1975:Q1,20744.00,252.00,1072.00,0.00,0.00,7232.00,0.00,-104.00,544.00,-776.00,7568.00,12.00,1628.00,0.00,10548.00,10548.00,0.00,20744.00
1975:Q2,21464.00,60.00,-492.00,0.00,0.00,9520.00,0.00,2624.00,468.00,-244.00,6672.00,420.00,1996.00,0.00,9960.00,9960.00,0.00,21464.00
1975:Q3,21784.00,-144.00,-1384.00,0.00,0.00,7504.00,0.00,1332.00,836.00,712.00,4624.00,260.00,2908.00,0.00,12640.00,12640.00,0.00,21784.00
1975:Q4,21492.00,-84.00,-684.00,0.00,0.00,11864.00,0.00,-32.00,836.00,4136.00,6924.00,-1332.00,3020.00,0.00,8708.00,8708.00,0.00,21492.00
1976:Q1,20856.00,-40.00,-424.00,0.00,0.00,9368.00,0.00,2072.00,1128.00,1012.00,5156.00,4.00,2128.00,0.00,9820.00,9820.00,0.00,20856.00
1976:Q2,20616.00,80.00,272.00,0.00,0.00,14524.00,0.00,2296.00,1276.00,3828.00,7124.00,320.00,3316.00,0.00,2104.00,2104.00,0.00,20616.00
1976:Q3,21008.00,-124.00,-312.00,0.00,0.00,9124.00,0.00,1072.00,1680.00,932.00,5440.00,8.00,3296.00,0.00,9016.00,9016.00,0.00,21008.00
1976:Q4,21620.00,48.00,372.00,0.00,0.00,3964.00,0.00,628.00,2244.00,-92.00,1184.00,428.00,3724.00,0.00,13084.00,13084.00,0.00,21620.00
1977:Q1,21977.00,-120.00,-200.00,0.00,0.00,6000.00,0.00,2620.00,6304.00,-1952.00,-972.00,-192.00,3232.00,0.00,13257.00,13257.00,0.00,21976.00
1977:Q2,23077.00,256.00,1212.00,0.00,0.00,12324.00,0.00,7424.00,828.00,3024.00,1048.00,720.00,3232.00,0.00,5333.00,5333.00,0.00,23076.00
1977:Q3,24017.00,80.00,328.00,0.00,0.00,13020.00,0.00,756.00,880.00,-288.00,11672.00,-968.00,4088.00,0.00,7469.00,7469.00,0.00,24016.00
1977:Q4,24485.00,-160.00,-268.00,0.00,0.00,13520.00,0.00,12.00,2984.00,-48.00,10572.00,1676.00,4160.00,0.00,5557.00,5557.00,0.00,24484.00
1978:Q1,24304.00,208.00,1368.00,0.00,0.00,13156.00,0.00,3456.00,5532.00,-632.00,4800.00,164.00,2564.00,0.00,6844.00,6844.00,0.00,24304.00
1978:Q2,24960.00,220.00,1140.00,0.00,0.00,17944.00,0.00,5884.00,1532.00,1384.00,9144.00,656.00,2528.00,0.00,2472.00,2472.00,0.00,24960.00
1978:Q3,25796.00,128.00,1572.00,0.00,0.00,13820.00,0.00,1792.00,2280.00,-256.00,10004.00,644.00,2864.00,0.00,6768.00,6768.00,0.00,25796.00
1978:Q4,26532.00,-136.00,-328.00,0.00,0.00,20016.00,0.00,-356.00,8176.00,1132.00,11064.00,716.00,2560.00,0.00,3704.00,3704.00,0.00,26532.00
1979:Q1,26714.00,296.00,1572.00,0.00,0.00,7848.00,0.00,4892.00,1868.00,488.00,600.00,844.00,1072.00,0.00,15082.00,15082.00,0.00,26716.00
1979:Q2,27698.00,80.00,388.00,0.00,0.00,17528.00,0.00,10600.00,256.00,-824.00,7496.00,880.00,2988.00,0.00,5834.00,5834.00,0.00,27700.00
1979:Q3,28502.00,20.00,844.00,0.00,0.00,3888.00,0.00,-160.00,-1724.00,52.00,5720.00,1220.00,8060.00,0.00,14470.00,14470.00,0.00,28504.00
1979:Q4,28798.00,328.00,1612.00,0.00,0.00,8920.00,0.00,5676.00,5180.00,120.00,-2056.00,1128.00,4472.00,0.00,12338.00,12338.00,0.00,28800.00
1980:Q1,28704.00,200.00,444.00,0.00,0.00,21768.00,0.00,5812.00,2484.00,764.00,12708.00,1800.00,3584.00,0.00,908.00,836.00,72.00,28708.00
1980:Q2,28984.00,192.00,-52.00,0.00,0.00,29900.00,0.00,5692.00,7208.00,-304.00,17304.00,964.00,3516.00,0.00,-5536.00,-5604.00,68.00,28988.00
1980:Q3,29780.00,-300.00,12.00,0.00,0.00,15076.00,0.00,9668.00,1076.00,-416.00,4748.00,1208.00,5212.00,0.00,8572.00,8500.00,72.00,29784.00
1980:Q4,30460.00,56.00,500.00,0.00,0.00,10572.00,0.00,3712.00,4124.00,552.00,2184.00,1172.00,9016.00,0.00,9144.00,9076.00,68.00,30464.00
1981:Q1,30540.00,724.00,1692.00,0.00,0.00,12772.00,0.00,6020.00,4472.00,-556.00,2836.00,1104.00,4432.00,0.00,9816.00,9744.00,72.00,30544.00
1981:Q2,31584.00,-272.00,-1384.00,0.00,0.00,27128.00,0.00,8396.00,2988.00,300.00,15444.00,1744.00,8528.00,0.00,-4160.00,-4228.00,68.00,31588.00
1981:Q3,32492.00,108.00,2140.00,0.00,0.00,14748.00,0.00,2736.00,4692.00,-544.00,7864.00,2392.00,10700.00,0.00,2404.00,2332.00,72.00,32496.00
1981:Q4,32919.00,-476.00,-1932.00,0.00,0.00,26012.00,0.00,9396.00,8516.00,-12.00,8112.00,1276.00,4620.00,0.00,3419.00,3347.00,72.00,32924.00
1982:Q1,32641.00,112.00,636.00,0.00,0.00,23944.00,0.00,7924.00,11948.00,-820.00,4892.00,1884.00,5952.00,0.00,113.00,-7.00,120.00,32644.00
1982:Q2,33645.00,432.00,2552.00,0.00,0.00,24556.00,0.00,11488.00,2624.00,788.00,9656.00,944.00,2212.00,0.00,2949.00,2825.00,124.00,33648.00
1982:Q3,35025.00,304.00,1892.00,0.00,0.00,22836.00,0.00,13728.00,13784.00,-1192.00,-3484.00,1764.00,-3044.00,0.00,11273.00,11149.00,124.00,35028.00
1982:Q4,36353.00,580.00,3636.00,0.00,0.00,10544.00,0.00,4196.00,11884.00,-1676.00,-3860.00,424.00,18984.00,0.00,2185.00,2061.00,124.00,36356.00
1983:Q1,36912.00,884.00,5432.00,0.00,656.00,12588.00,656.00,11656.00,4116.00,-3072.00,-768.00,840.00,19644.00,0.00,-3132.00,-3272.00,140.00,36916.00
1983:Q2,38476.00,96.00,1628.00,0.00,968.00,17856.00,968.00,15440.00,3268.00,480.00,-2300.00,464.00,13260.00,0.00,4204.00,3996.00,208.00,38480.00
1983:Q3,39624.00,-260.00,-1808.00,0.00,1156.00,-6852.00,1156.00,10424.00,1000.00,-240.00,-19192.00,200.00,25684.00,0.00,21504.00,21220.00,284.00,39628.00
1983:Q4,39887.00,956.00,5920.00,0.00,1220.00,5412.00,1220.00,10528.00,11384.00,-1692.00,-16028.00,2008.00,21364.00,0.00,3007.00,2659.00,348.00,39892.00
1984:Q1,39516.00,892.00,5276.00,0.00,1284.00,26236.00,1284.00,22604.00,3760.00,604.00,-2016.00,300.00,7120.00,0.00,-1592.00,-1452.00,-140.00,39524.00
1984:Q2,39659.00,668.00,3956.00,0.00,1344.00,42492.00,1344.00,18464.00,-5564.00,452.00,27796.00,836.00,1832.00,0.00,-11469.00,-11329.00,-140.00,39668.00
1984:Q3,40586.00,852.00,6536.00,0.00,1532.00,31268.00,1532.00,20616.00,2764.00,-784.00,7140.00,104.00,11076.00,0.00,-10782.00,-10714.00,-68.00,40596.00
1984:Q4,41470.00,-16.00,-3068.00,0.00,1840.00,34972.00,1840.00,14332.00,15264.00,-2136.00,5672.00,1176.00,9064.00,0.00,-2498.00,-2286.00,-212.00,41480.00
1985:Q1,41627.00,1360.00,8500.00,0.00,2156.00,-2712.00,2156.00,23632.00,748.00,64.00,-29312.00,256.00,21068.00,0.00,10999.00,10931.00,68.00,41640.00
1985:Q2,43163.00,2188.00,2116.00,0.00,2468.00,22240.00,2468.00,13472.00,-10616.00,-1088.00,18004.00,104.00,39472.00,0.00,-25425.00,-25497.00,72.00,43176.00
1985:Q3,44568.00,-1560.00,-1860.00,0.00,2656.00,34072.00,2656.00,10880.00,2860.00,-212.00,17888.00,-96.00,16384.00,0.00,-5028.00,-5172.00,144.00,44580.00
1985:Q4,45300.00,-580.00,-3288.00,5708.00,2720.00,22968.00,2720.00,21892.00,-13728.00,-388.00,12472.00,-48.00,37356.00,0.00,-19536.00,-19736.00,200.00,45312.00
