1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7914.00,7914.00,7914.00,12541.00,11117.00,1424.00,-4627.00,707.00,506.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,109.00,-117.00,209.00,204.00,5.00,0.00,5333.00,3293.00,814.00,454.00,2025.00,325.00,0.00,6.00,0.00,1710.00
1952:Q1,8235.00,8235.00,8235.00,11857.00,10717.00,1140.00,-3622.00,6595.00,52.00,0.00,0.00,0.00,0.00,0.00,3368.00,0.00,3368.00,2912.00,263.00,260.00,4.00,0.00,10217.00,2036.00,569.00,26.00,1440.00,2598.00,0.00,4.00,0.00,5579.00
1952:Q2,8302.00,8302.00,8302.00,12305.00,10636.00,1669.00,-4003.00,-244.00,-636.00,0.00,0.00,0.00,0.00,0.00,744.00,0.00,744.00,-652.00,300.00,292.00,8.00,0.00,3759.00,3421.00,496.00,173.00,2752.00,340.00,0.00,4.00,0.00,-6.00
1952:Q3,8371.00,8371.00,8371.00,11975.00,9639.00,2336.00,-3604.00,1380.00,-808.00,0.00,0.00,0.00,0.00,0.00,260.00,0.00,260.00,1624.00,304.00,300.00,4.00,0.00,4984.00,2503.00,256.00,171.00,2076.00,772.00,0.00,4.00,0.00,1705.00
1952:Q4,8446.00,8446.00,8446.00,11340.00,10653.00,687.00,-2894.00,656.00,-484.00,0.00,0.00,0.00,0.00,0.00,1284.00,0.00,1284.00,-428.00,284.00,280.00,4.00,0.00,3550.00,2054.00,196.00,794.00,1064.00,-1384.00,0.00,4.00,0.00,2876.00
1953:Q1,8525.00,8525.00,8525.00,12075.00,11164.00,911.00,-3550.00,3260.00,-336.00,0.00,0.00,0.00,0.00,0.00,-884.00,0.00,-884.00,4212.00,268.00,260.00,8.00,0.00,6810.00,586.00,-80.00,26.00,640.00,4652.00,0.00,4.00,0.00,1568.00
1953:Q2,8599.00,8599.00,8599.00,10959.00,11415.00,-456.00,-2360.00,-184.00,-292.00,0.00,0.00,0.00,0.00,0.00,444.00,0.00,444.00,-592.00,256.00,256.00,0.00,0.00,2176.00,2234.00,-192.00,-114.00,2540.00,392.00,0.00,4.00,0.00,-453.00
1953:Q3,8671.00,8671.00,8671.00,12472.00,11721.00,751.00,-3801.00,500.00,-164.00,0.00,0.00,0.00,0.00,0.00,-32.00,0.00,-32.00,428.00,268.00,256.00,12.00,0.00,4301.00,2367.00,656.00,139.00,1572.00,1208.00,0.00,8.00,0.00,717.00
1953:Q4,8737.00,8737.00,8737.00,13476.00,11606.00,1870.00,-4739.00,-1212.00,8.00,0.00,0.00,0.00,0.00,0.00,984.00,0.00,984.00,-2468.00,264.00,256.00,8.00,0.00,3527.00,-1513.00,-2424.00,323.00,588.00,-4788.00,0.00,8.00,0.00,9820.00
1954:Q1,8794.00,8794.00,8794.00,11485.00,10797.00,688.00,-2691.00,2720.00,236.00,0.00,0.00,0.00,0.00,0.00,-1236.00,0.00,-1236.00,3456.00,264.00,260.00,4.00,0.00,5411.00,1712.00,712.00,284.00,716.00,5440.00,0.00,4.00,0.00,-1745.00
1954:Q2,8854.00,8854.00,8854.00,10655.00,11020.00,-365.00,-1801.00,-224.00,496.00,0.00,0.00,0.00,0.00,0.00,292.00,0.00,292.00,-1280.00,268.00,264.00,4.00,0.00,1577.00,3205.00,80.00,-143.00,3268.00,1420.00,0.00,8.00,0.00,-3056.00
1954:Q3,8917.00,8917.00,8917.00,12167.00,11623.00,544.00,-3250.00,1176.00,556.00,0.00,0.00,0.00,0.00,0.00,-200.00,0.00,-200.00,556.00,264.00,256.00,8.00,0.00,4426.00,4085.00,1084.00,349.00,2652.00,3400.00,0.00,8.00,0.00,-3067.00
1954:Q4,8975.00,8975.00,8975.00,11577.00,12089.00,-512.00,-2602.00,-1148.00,412.00,0.00,0.00,0.00,0.00,0.00,1148.00,0.00,1148.00,-2968.00,260.00,252.00,8.00,0.00,1454.00,1220.00,-972.00,720.00,1472.00,-3308.00,0.00,8.00,0.00,3534.00
1955:Q1,9045.00,9045.00,9045.00,12439.00,12363.00,76.00,-3394.00,2504.00,320.00,0.00,0.00,0.00,0.00,0.00,-1192.00,0.00,-1192.00,3124.00,252.00,244.00,8.00,0.00,5898.00,2688.00,284.00,536.00,1868.00,3756.00,0.00,8.00,0.00,-554.00
