date,FA893065105.Q,FA153165105.Q,FA103165105.Q,FA113165105.Q,FA893065105.Q,FA153065103.Q,FA103065105.Q,FA113065103.Q,FA313065105.Q,FA213065103.Q,FA763065105.Q,FA753065103.Q,FA743065103.Q,FA473065100.Q,FA543065105.Q,FA573065103.Q,FA223065143.Q,FA403065105.Q,FA413065105.Q,FA673065105.Q,FA613065105.Q,FA643065105.Q,FV893065153.Q,FA893065125.Q,FA763065125.Q,FA753065203.Q,FA473065125.Q,FA673065123.Q,FA613065123.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5155.00,5155.00,0.00,0.00,5155.00,517.00,0.00,0.00,85.00,50.00,2949.00,0.00,26.00,77.00,1446.00,9.00,5.00,0.00,0.00,0.00,-9.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4332.00,4332.00,0.00,0.00,4332.00,196.00,0.00,0.00,465.00,75.00,2309.00,0.00,15.00,43.00,1150.00,8.00,9.00,0.00,0.00,0.00,62.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,7594.00,7594.00,0.00,0.00,7594.00,220.00,0.00,0.00,293.00,46.00,4411.00,0.00,22.00,57.00,2385.00,10.00,12.00,0.00,0.00,0.00,138.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6444.00,6444.00,0.00,0.00,6444.00,288.00,0.00,0.00,520.00,62.00,3472.00,0.00,25.00,3.00,2132.00,8.00,15.00,0.00,0.00,0.00,-81.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1952:Q1,6584.00,6584.00,0.00,0.00,6584.00,208.00,0.00,0.00,1164.00,72.00,3540.00,0.00,8.00,-192.00,1352.00,12.00,16.00,0.00,0.00,0.00,404.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1952:Q2,6384.00,6384.00,0.00,0.00,6384.00,-60.00,0.00,0.00,96.00,80.00,4880.00,0.00,0.00,188.00,1048.00,12.00,20.00,0.00,0.00,0.00,120.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1952:Q3,6672.00,6672.00,0.00,0.00,6672.00,-184.00,0.00,0.00,192.00,80.00,5416.00,0.00,0.00,-176.00,1112.00,16.00,20.00,0.00,0.00,0.00,196.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1952:Q4,7136.00,7136.00,0.00,0.00,7136.00,124.00,0.00,0.00,688.00,76.00,4920.00,0.00,-4.00,120.00,1076.00,16.00,20.00,0.00,0.00,0.00,100.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q1,7508.00,7508.00,0.00,0.00,7508.00,1384.00,0.00,0.00,632.00,64.00,4404.00,0.00,0.00,20.00,1352.00,16.00,24.00,0.00,0.00,0.00,-388.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q2,8356.00,8356.00,0.00,0.00,8356.00,-4.00,0.00,0.00,476.00,60.00,6044.00,0.00,4.00,132.00,1380.00,20.00,24.00,0.00,0.00,0.00,220.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q3,7188.00,7188.00,0.00,0.00,7188.00,-464.00,0.00,0.00,160.00,56.00,5768.00,0.00,4.00,-168.00,1380.00,24.00,28.00,0.00,0.00,0.00,400.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q4,7016.00,7016.00,0.00,0.00,7016.00,372.00,0.00,0.00,-280.00,60.00,5316.00,0.00,0.00,-12.00,1640.00,20.00,28.00,0.00,0.00,0.00,-128.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q1,6836.00,6836.00,0.00,0.00,6836.00,636.00,0.00,0.00,-156.00,64.00,4808.00,0.00,0.00,-88.00,1420.00,20.00,28.00,0.00,0.00,0.00,104.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q2,10780.00,10780.00,0.00,0.00,10780.00,-48.00,0.00,0.00,2052.00,72.00,6380.00,0.00,0.00,380.00,1780.00,20.00,32.00,0.00,0.00,0.00,112.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q3,7624.00,7624.00,0.00,0.00,7624.00,-112.00,0.00,0.00,-2220.00,68.00,7712.00,0.00,0.00,-164.00,1952.00,20.00,40.00,0.00,0.00,0.00,328.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q4,12172.00,12172.00,0.00,0.00,12172.00,328.00,0.00,0.00,324.00,56.00,8512.00,0.00,4.00,-32.00,2680.00,28.00,36.00,0.00,0.00,0.00,236.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q1,12776.00,12776.00,0.00,0.00,12776.00,980.00,0.00,0.00,360.00,44.00,8280.00,0.00,16.00,396.00,2280.00,36.00,36.00,0.00,0.00,0.00,348.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q2,13356.00,13356.00,0.00,0.00,13356.00,-64.00,0.00,0.00,236.00,32.00,10144.00,0.00,28.00,152.00,2120.00,36.00,40.00,36.00,0.00,0.00,596.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q3,12480.00,12480.00,0.00,0.00,12480.00,-744.00,0.00,0.00,40.00,32.00,10024.00,0.00,28.00,-72.00,2148.00,44.00,44.00,84.00,0.00,0.00,852.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q4,11708.00,11708.00,0.00,0.00,11708.00,344.00,0.00,0.00,0.00,44.00,7460.00,0.00,24.00,-8.00,3484.00,48.00,36.00,224.00,0.00,0.00,52.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q1,11036.00,11036.00,0.00,0.00,11036.00,1376.00,0.00,0.00,-60.00,52.00,6816.00,0.00,16.00,-8.00,2760.00,52.00,40.00,280.00,0.00,0.00,-288.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q2,11388.00,11388.00,0.00,0.00,11388.00,72.00,0.00,0.00,-48.00,48.00,8008.00,0.00,12.00,508.00,2396.00,60.00,36.00,308.00,0.00,0.00,-12.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q3,10408.00,10408.00,0.00,0.00,10408.00,-748.00,0.00,0.00,-52.00,68.00,8244.00,0.00,8.00,-208.00,2240.00,64.00,44.00,476.00,0.00,0.00,272.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q4,10404.00,10404.00,0.00,0.00,10404.00,416.00,0.00,0.00,-16.00,116.00,6412.00,0.00,8.00,-16.00,2480.00,64.00,52.00,1188.00,0.00,0.00,-300.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q1,9940.00,9940.00,0.00,0.00,9940.00,1896.00,0.00,0.00,36.00,156.00,4628.00,0.00,4.00,344.00,1940.00,64.00,68.00,1528.00,0.00,0.00,-724.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q2,8180.00,8180.00,0.00,0.00,8180.00,384.00,0.00,0.00,116.00,204.00,5544.00,0.00,0.00,32.00,1196.00,60.00,76.00,872.00,0.00,0.00,-304.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q3,8340.00,8340.00,0.00,0.00,8340.00,-368.00,0.00,0.00,204.00,220.00,6324.00,0.00,0.00,-144.00,1156.00,64.00,88.00,784.00,0.00,0.00,12.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q4,8056.00,8056.00,0.00,0.00,8056.00,324.00,0.00,0.00,308.00,200.00,5688.00,0.00,4.00,-236.00,952.00,64.00,88.00,764.00,0.00,0.00,-100.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q1,8100.00,8100.00,0.00,0.00,8100.00,1140.00,0.00,0.00,208.00,192.00,4356.00,0.00,24.00,304.00,988.00,68.00,92.00,328.00,0.00,0.00,400.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q2,7940.00,7940.00,0.00,0.00,7940.00,316.00,0.00,0.00,108.00,184.00,7492.00,0.00,36.00,-144.00,684.00,64.00,100.00,-1296.00,0.00,0.00,396.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q3,10400.00,10400.00,0.00,0.00,10400.00,-520.00,0.00,0.00,108.00,192.00,9368.00,0.00,36.00,132.00,744.00,76.00,108.00,-244.00,0.00,0.00,400.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q4,12772.00,12772.00,0.00,0.00,12772.00,660.00,0.00,0.00,496.00,208.00,9464.00,0.00,16.00,-184.00,1316.00,84.00,120.00,192.00,0.00,0.00,400.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q1,12980.00,12980.00,0.00,0.00,12980.00,1236.00,-56.00,0.00,1268.00,228.00,8000.00,0.00,4.00,424.00,932.00,100.00,120.00,332.00,0.00,0.00,392.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q2,12880.00,12880.00,0.00,0.00,12880.00,-488.00,-48.00,0.00,1332.00,256.00,10560.00,0.00,-8.00,24.00,776.00,112.00,120.00,440.00,0.00,0.00,-196.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q3,13692.00,13692.00,0.00,0.00,13692.00,-1260.00,-164.00,0.00,832.00,252.00,11124.00,0.00,-12.00,196.00,1276.00,124.00,140.00,812.00,0.00,0.00,372.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q4,12588.00,12588.00,0.00,0.00,12588.00,-320.00,0.00,0.00,268.00,220.00,9052.00,0.00,-12.00,-112.00,1852.00,124.00,172.00,1052.00,0.00,0.00,292.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q1,11876.00,11876.00,0.00,0.00,11876.00,1460.00,0.00,0.00,-492.00,188.00,6612.00,0.00,0.00,716.00,1612.00,136.00,212.00,1320.00,0.00,0.00,112.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q2,10092.00,10092.00,0.00,0.00,10092.00,364.00,0.00,0.00,40.00,160.00,7424.00,0.00,4.00,-100.00,1188.00,152.00,256.00,920.00,0.00,0.00,-316.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q3,11700.00,11700.00,0.00,0.00,11700.00,20.00,0.00,0.00,220.00,152.00,8924.00,0.00,8.00,-128.00,968.00,152.00,268.00,824.00,0.00,0.00,292.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q4,11448.00,11448.00,0.00,0.00,11448.00,1204.00,0.00,0.00,348.00,164.00,7852.00,0.00,8.00,-84.00,1416.00,132.00,248.00,380.00,0.00,0.00,-220.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q1,11128.00,11128.00,0.00,0.00,11128.00,2868.00,0.00,0.00,220.00,180.00,6548.00,0.00,12.00,564.00,924.00,120.00,240.00,-532.00,0.00,0.00,-16.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q2,10612.00,10612.00,0.00,0.00,10612.00,264.00,0.00,0.00,184.00,192.00,9688.00,0.00,12.00,-268.00,908.00,112.00,244.00,-992.00,0.00,0.00,268.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q3,13196.00,13196.00,0.00,0.00,13196.00,176.00,0.00,0.00,168.00,184.00,10384.00,0.00,20.00,356.00,304.00,108.00,236.00,336.00,0.00,0.00,924.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q4,15660.00,15660.00,0.00,0.00,15660.00,608.00,0.00,0.00,280.00,148.00,10468.00,0.00,28.00,268.00,1452.00,120.00,212.00,1064.00,0.00,0.00,1012.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q1,12072.00,12072.00,0.00,0.00,12072.00,3136.00,0.00,0.00,232.00,124.00,7496.00,0.00,40.00,204.00,196.00,128.00,188.00,600.00,0.00,0.00,-272.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q2,13548.00,13548.00,0.00,0.00,13548.00,104.00,0.00,0.00,-120.00,100.00,12440.00,0.00,52.00,-160.00,564.00,140.00,176.00,-628.00,0.00,0.00,880.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q3,15376.00,15376.00,0.00,0.00,15376.00,456.00,0.00,0.00,-52.00,80.00,13092.00,0.00,52.00,252.00,372.00,144.00,168.00,-92.00,0.00,0.00,904.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q4,16124.00,16124.00,0.00,0.00,16124.00,1608.00,0.00,0.00,132.00,64.00,12428.00,0.00,44.00,280.00,1260.00,140.00,168.00,-20.00,0.00,0.00,20.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q1,14544.00,14544.00,0.00,0.00,14544.00,2700.00,0.00,0.00,-172.00,48.00,11856.00,0.00,40.00,400.00,656.00,140.00,180.00,-1272.00,0.00,0.00,-32.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q2,16144.00,16144.00,0.00,0.00,16144.00,1204.00,0.00,0.00,-1320.00,24.00,15792.00,0.00,36.00,-28.00,676.00,140.00,184.00,-1560.00,0.00,0.00,996.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q3,18504.00,18504.00,0.00,0.00,18504.00,244.00,0.00,0.00,-180.00,12.00,15944.00,0.00,32.00,296.00,780.00,148.00,192.00,-228.00,0.00,0.00,1264.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q4,18004.00,18004.00,0.00,0.00,18004.00,700.00,0.00,0.00,184.00,16.00,14112.00,0.00,36.00,352.00,1716.00,176.00,200.00,-120.00,0.00,0.00,632.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q1,17268.00,17268.00,0.00,0.00,17268.00,3612.00,0.00,0.00,-108.00,20.00,12680.00,0.00,40.00,16.00,972.00,244.00,216.00,-68.00,0.00,0.00,-356.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q2,16452.00,16452.00,0.00,0.00,16452.00,-140.00,0.00,0.00,-400.00,16.00,14764.00,0.00,44.00,-240.00,944.00,264.00,216.00,-52.00,0.00,0.00,1036.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q3,18004.00,18004.00,0.00,0.00,18004.00,1408.00,0.00,0.00,28.00,12.00,14536.00,0.00,48.00,228.00,912.00,236.00,228.00,-152.00,0.00,0.00,520.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1964:Q4,17192.00,17192.00,0.00,0.00,17192.00,1744.00,0.00,0.00,76.00,12.00,12876.00,0.00,52.00,-132.00,1948.00,232.00,260.00,56.00,0.00,0.00,68.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q1,16988.00,16988.00,0.00,0.00,16988.00,2836.00,0.00,0.00,-108.00,8.00,11436.00,0.00,64.00,556.00,1312.00,248.00,308.00,132.00,0.00,0.00,196.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q2,15624.00,15624.00,0.00,0.00,15624.00,392.00,0.00,0.00,-384.00,4.00,13324.00,0.00,76.00,-12.00,668.00,452.00,344.00,120.00,0.00,0.00,640.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q3,18188.00,18188.00,0.00,0.00,18188.00,216.00,0.00,0.00,-48.00,4.00,15200.00,0.00,76.00,-320.00,748.00,216.00,364.00,420.00,92.00,0.00,1220.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1965:Q4,17656.00,17656.00,0.00,0.00,17656.00,1544.00,0.00,0.00,48.00,20.00,12960.00,0.00,60.00,-320.00,1528.00,148.00,364.00,1424.00,108.00,0.00,-228.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q1,17184.00,17184.00,0.00,0.00,17184.00,224.00,0.00,0.00,380.00,36.00,11016.00,0.00,44.00,984.00,1040.00,204.00,372.00,3004.00,136.00,0.00,-256.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q2,13184.00,13184.00,0.00,0.00,13184.00,392.00,0.00,0.00,504.00,56.00,9536.00,0.00,28.00,-200.00,708.00,124.00,400.00,1752.00,152.00,0.00,-268.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q3,11672.00,11672.00,0.00,0.00,11672.00,1424.00,0.00,0.00,832.00,52.00,7496.00,0.00,24.00,-484.00,228.00,188.00,388.00,1476.00,264.00,0.00,-216.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1966:Q4,9772.00,9772.00,0.00,0.00,9772.00,2176.00,0.00,0.00,832.00,32.00,5340.00,0.00,36.00,-268.00,600.00,340.00,332.00,1272.00,312.00,0.00,-1232.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q1,9360.00,9360.00,0.00,0.00,9360.00,3572.00,0.00,0.00,600.00,8.00,3620.00,0.00,56.00,8.00,40.00,124.00,312.00,824.00,360.00,0.00,-164.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q2,9016.00,9016.00,0.00,0.00,9016.00,-732.00,0.00,0.00,352.00,-12.00,8076.00,0.00,72.00,-32.00,-684.00,-44.00,316.00,-40.00,408.00,0.00,1336.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q3,17616.00,17616.00,0.00,0.00,17616.00,1456.00,0.00,0.00,900.00,-16.00,13440.00,0.00,72.00,-12.00,-900.00,136.00,152.00,1604.00,372.00,0.00,412.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1967:Q4,17440.00,17440.00,0.00,0.00,17440.00,1904.00,0.00,0.00,1012.00,-12.00,12544.00,0.00,52.00,-164.00,-336.00,36.00,152.00,2120.00,404.00,0.00,-272.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1968:Q1,16580.00,16580.00,0.00,0.00,16580.00,4296.00,0.00,0.00,1072.00,4.00,9208.00,0.00,44.00,-260.00,-476.00,4.00,280.00,2564.00,436.00,0.00,-592.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1968:Q2,15168.00,15168.00,0.00,0.00,15168.00,104.00,0.00,0.00,956.00,4.00,11356.00,0.00,32.00,-32.00,-776.00,-84.00,232.00,1832.00,468.00,0.00,1036.00,40.00,0.00,ND,ND,ND,ND,ND,ND
1968:Q3,17908.00,17908.00,0.00,0.00,17908.00,2084.00,0.00,0.00,936.00,12.00,14216.00,0.00,28.00,-128.00,-1008.00,28.00,-8.00,872.00,232.00,0.00,580.00,64.00,0.00,ND,ND,ND,ND,ND,ND
1968:Q4,18616.00,18616.00,0.00,0.00,18616.00,1544.00,0.00,0.00,644.00,20.00,14228.00,0.00,36.00,-12.00,-672.00,-24.00,152.00,1284.00,232.00,0.00,1148.00,36.00,0.00,ND,ND,ND,ND,ND,ND
1969:Q1,18472.00,18472.00,0.00,0.00,18472.00,1236.00,0.00,0.00,432.00,28.00,12612.00,0.00,32.00,-68.00,-404.00,16.00,124.00,2080.00,232.00,0.00,2092.00,60.00,0.00,ND,ND,ND,ND,ND,ND
1969:Q2,17072.00,17072.00,0.00,0.00,17072.00,-1916.00,0.00,0.00,108.00,36.00,14084.00,0.00,32.00,-308.00,-732.00,-24.00,28.00,1936.00,224.00,0.00,3468.00,136.00,0.00,ND,ND,ND,ND,ND,ND
1969:Q3,19032.00,19032.00,0.00,0.00,19032.00,1876.00,0.00,0.00,164.00,68.00,14544.00,0.00,32.00,-380.00,-976.00,108.00,-148.00,4572.00,512.00,0.00,-1520.00,180.00,0.00,ND,ND,ND,ND,ND,ND
1969:Q4,16240.00,16240.00,0.00,0.00,16240.00,5812.00,0.00,0.00,120.00,100.00,7516.00,0.00,32.00,-128.00,-3412.00,120.00,100.00,6484.00,532.00,0.00,-1372.00,336.00,0.00,ND,ND,ND,ND,ND,ND
1970:Q1,14964.00,12068.00,579.00,2317.00,14964.00,1116.00,0.00,0.00,4.00,144.00,4436.00,0.00,288.00,-1300.00,512.00,0.00,200.00,6108.00,612.00,0.00,2236.00,608.00,0.00,ND,ND,ND,ND,ND,ND
1970:Q2,6640.00,4500.00,428.00,1712.00,6640.00,-5208.00,0.00,0.00,-100.00,8.00,5752.00,0.00,60.00,56.00,-1316.00,-60.00,452.00,4248.00,656.00,0.00,1848.00,244.00,0.00,ND,ND,ND,ND,ND,ND
1970:Q3,12864.00,11624.00,248.00,992.00,12864.00,-1800.00,0.00,0.00,-176.00,16.00,10556.00,0.00,60.00,108.00,-1536.00,-92.00,-244.00,5500.00,1276.00,0.00,-1056.00,252.00,0.00,ND,ND,ND,ND,ND,332.00
1970:Q4,17868.00,16976.00,178.00,714.00,17868.00,792.00,0.00,0.00,-236.00,132.00,12444.00,0.00,72.00,116.00,-1300.00,-40.00,40.00,2620.00,2108.00,0.00,656.00,464.00,0.00,ND,ND,ND,ND,ND,336.00
1971:Q1,23948.00,21820.00,426.00,1702.00,23948.00,5608.00,0.00,400.00,-784.00,60.00,14500.00,0.00,84.00,-16.00,-1404.00,-196.00,-152.00,-932.00,4204.00,0.00,2320.00,256.00,0.00,ND,ND,ND,ND,ND,336.00
1971:Q2,20184.00,15840.00,869.00,3475.00,20184.00,-4708.00,0.00,500.00,-328.00,8.00,20256.00,0.00,296.00,32.00,-2244.00,-20.00,16.00,-168.00,5832.00,0.00,300.00,412.00,0.00,ND,ND,ND,ND,ND,332.00
1971:Q3,29640.00,26784.00,571.00,2285.00,29640.00,-2580.00,0.00,500.00,-340.00,44.00,27448.00,0.00,24.00,72.00,-2560.00,-412.00,-176.00,5844.00,2704.00,0.00,-812.00,-116.00,0.00,ND,ND,ND,ND,ND,336.00
1971:Q4,33408.00,31808.00,320.00,1280.00,33408.00,3304.00,0.00,500.00,-1024.00,264.00,23664.00,0.00,24.00,100.00,-2168.00,-544.00,664.00,3564.00,4000.00,0.00,892.00,168.00,0.00,ND,ND,ND,ND,ND,336.00
1972:Q1,36840.00,33808.00,606.00,2426.00,36840.00,5244.00,0.00,500.00,180.00,4.00,28476.00,0.00,16.00,32.00,-1888.00,-616.00,56.00,1260.00,3676.00,0.00,-504.00,404.00,0.00,ND,ND,ND,ND,ND,332.00
1972:Q2,31868.00,25672.00,1239.00,4957.00,31868.00,-7192.00,0.00,400.00,-256.00,288.00,34000.00,0.00,60.00,-40.00,-2208.00,-88.00,-148.00,2080.00,4180.00,0.00,-120.00,912.00,0.00,ND,ND,ND,ND,ND,340.00
1972:Q3,42460.00,35760.00,1340.00,5360.00,42460.00,-3112.00,0.00,400.00,-612.00,24.00,40196.00,0.00,20.00,492.00,-2740.00,-664.00,88.00,2100.00,3624.00,0.00,2772.00,-128.00,0.00,ND,ND,ND,ND,ND,332.00
1972:Q4,44712.00,41152.00,712.00,2848.00,44712.00,1692.00,0.00,400.00,-1848.00,140.00,38448.00,0.00,-8.00,128.00,-2484.00,-280.00,200.00,1956.00,4456.00,0.00,1400.00,512.00,0.00,ND,ND,ND,ND,ND,332.00
