1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,102677.00,2630.00,68806.00,15023.00,4051.00,9543.00,320.00,2304.00,111474.00,92772.00,8462.00,2005.00,4844.00,2201.00,0.00,1190.00,-8797.00
1963:Q1,102768.00,2680.00,68221.00,15518.00,3964.00,9820.00,325.00,2240.00,114361.00,94615.00,9149.00,2292.00,4879.00,2239.00,0.00,1187.00,-11593.00
1963:Q2,103703.00,2760.00,69835.00,15058.00,3758.00,10099.00,325.00,1868.00,116003.00,96295.00,8702.00,2545.00,4950.00,2270.00,0.00,1241.00,-12300.00
1963:Q3,106260.00,2850.00,72135.00,14715.00,3925.00,10389.00,330.00,1916.00,119386.00,99420.00,8697.00,2500.00,5100.00,2299.00,0.00,1370.00,-13126.00
1963:Q4,110117.00,2940.00,76199.00,13633.00,4381.00,10685.00,330.00,1949.00,118750.00,99080.00,7961.00,2490.00,5308.00,2332.00,0.00,1579.00,-8633.00
1964:Q1,107919.00,3070.00,73042.00,14155.00,4268.00,10986.00,340.00,2058.00,120642.00,100167.00,8574.00,2553.00,5241.00,2368.00,0.00,1739.00,-12723.00
1964:Q2,109528.00,3120.00,74631.00,14136.00,3914.00,11298.00,340.00,2089.00,122351.00,101853.00,8454.00,2573.00,5350.00,2406.00,0.00,1715.00,-12823.00
1964:Q3,113296.00,3170.00,77614.00,14127.00,4088.00,11614.00,350.00,2333.00,128329.00,107264.00,8661.00,2675.00,5554.00,2445.00,0.00,1730.00,-15033.00
1964:Q4,118899.00,3200.00,83165.00,13078.00,4476.00,11933.00,350.00,2697.00,128743.00,107622.00,8106.00,2734.00,5840.00,2484.00,0.00,1957.00,-9844.00
1965:Q1,119585.00,3270.00,83036.00,13660.00,4483.00,12258.00,360.00,2518.00,132257.00,110418.00,8627.00,2770.00,5903.00,2523.00,0.00,2016.00,-12672.00
1965:Q2,122471.00,3380.00,85534.00,13527.00,4531.00,12596.00,360.00,2543.00,135637.00,113626.00,8266.00,2898.00,6070.00,2561.00,0.00,2216.00,-13166.00
1965:Q3,126539.00,3490.00,88813.00,13628.00,4790.00,12951.00,370.00,2497.00,141891.00,119193.00,8487.00,3096.00,6291.00,2602.00,0.00,2222.00,-15352.00
1965:Q4,132637.00,3620.00,94866.00,12750.00,5048.00,13314.00,370.00,2669.00,143436.00,120892.00,7930.00,3122.00,6603.00,2649.00,0.00,2240.00,-10799.00
1966:Q1,132142.00,3730.00,93645.00,12911.00,5035.00,13684.00,380.00,2757.00,147708.00,124146.00,8627.00,3330.00,6616.00,2704.00,0.00,2285.00,-15566.00
1966:Q2,134411.00,3820.00,95960.00,12243.00,5130.00,14062.00,390.00,2806.00,152090.00,128445.00,8260.00,3493.00,6750.00,2766.00,0.00,2376.00,-17679.00
1966:Q3,138626.00,3890.00,99218.00,12381.00,5401.00,14447.00,400.00,2889.00,159097.00,133794.00,8915.00,3964.00,6975.00,2832.00,0.00,2617.00,-20471.00
1966:Q4,143719.00,3970.00,104101.00,11547.00,5831.00,14849.00,410.00,3011.00,159115.00,133268.00,8491.00,4371.00,7244.00,2898.00,0.00,2843.00,-15396.00
1967:Q1,140233.00,4070.00,100021.00,11491.00,5723.00,15266.00,420.00,3242.00,161004.00,133760.00,9150.00,4868.00,7112.00,2964.00,0.00,3150.00,-20771.00
1967:Q2,142624.00,4240.00,101278.00,11472.00,6141.00,15685.00,430.00,3378.00,163724.00,135559.00,8982.00,5435.00,7256.00,3031.00,0.00,3461.00,-21100.00
1967:Q3,146367.00,4420.00,103953.00,11869.00,6152.00,16104.00,440.00,3429.00,169172.00,139850.00,9422.00,5746.00,7459.00,3100.00,0.00,3595.00,-22805.00
1967:Q4,153246.00,4600.00,110025.00,11456.00,6483.00,16536.00,450.00,3696.00,171100.00,141598.00,9022.00,5839.00,7822.00,3176.00,0.00,3643.00,-17854.00
1968:Q1,150308.00,4740.00,109085.00,9185.00,6200.00,16983.00,460.00,3655.00,173224.00,144408.00,7893.00,6066.00,7742.00,3247.00,0.00,3868.00,-22916.00
1968:Q2,155739.00,4800.00,113714.00,9346.00,6046.00,17448.00,480.00,3905.00,179408.00,149697.00,7736.00,6248.00,8025.00,3317.00,0.00,4385.00,-23669.00
1968:Q3,162992.00,4990.00,119581.00,9939.00,6095.00,17922.00,500.00,3965.00,187469.00,156494.00,8263.00,6309.00,8388.00,3391.00,0.00,4624.00,-24477.00
1968:Q4,170662.00,5150.00,126472.00,9351.00,6467.00,18407.00,510.00,4305.00,191862.00,160123.00,7655.00,6414.00,8769.00,3476.00,0.00,5425.00,-21200.00
1969:Q1,171156.00,5290.00,126454.00,9575.00,6124.00,18903.00,520.00,4290.00,198008.00,165141.00,8257.00,6850.00,8842.00,3572.00,0.00,5346.00,-26852.00
1969:Q2,177440.00,5460.00,131507.00,10003.00,6090.00,19411.00,540.00,4429.00,205352.00,171408.00,8345.00,7203.00,9173.00,3680.00,0.00,5543.00,-27912.00
1969:Q3,184661.00,5620.00,137717.00,10529.00,5929.00,19922.00,560.00,4384.00,214822.00,179673.00,8705.00,7466.00,9543.00,3792.00,0.00,5643.00,-30161.00
1969:Q4,194085.00,5820.00,145977.00,9992.00,6389.00,20431.00,580.00,4896.00,218559.00,182946.00,8110.00,7333.00,10008.00,3898.00,0.00,6264.00,-24474.00
1970:Q1,192778.00,5980.00,143719.00,10013.00,6224.00,20953.00,590.00,5299.00,222789.00,186944.00,8331.00,7165.00,9991.00,4011.00,0.00,6347.00,-30011.00
1970:Q2,196128.00,6100.00,146599.00,10208.00,5692.00,21484.00,600.00,5445.00,225366.00,189675.00,7860.00,6971.00,10184.00,4127.00,0.00,6549.00,-29238.00
1970:Q3,198784.00,6300.00,148522.00,10168.00,5572.00,22045.00,600.00,5577.00,228340.00,192568.00,7418.00,6809.00,10351.00,4246.00,0.00,6948.00,-29556.00
1970:Q4,204056.00,6460.00,153842.00,9315.00,5351.00,22618.00,610.00,5860.00,227305.00,191389.00,6623.00,6556.00,10630.00,4370.00,0.00,7737.00,-23249.00
1971:Q1,204710.00,6650.00,151926.00,10966.00,5349.00,23200.00,620.00,5999.00,230558.00,193247.00,8333.00,6120.00,10701.00,4443.00,0.00,7714.00,-25848.00
1971:Q2,206787.00,6800.00,153992.00,10455.00,4956.00,23796.00,630.00,6158.00,232810.00,196592.00,8152.00,5260.00,10839.00,4471.00,0.00,7496.00,-26023.00
1971:Q3,210873.00,7120.00,157278.00,10290.00,4877.00,24395.00,650.00,6263.00,238280.00,201971.00,8530.00,5024.00,11062.00,4521.00,0.00,7172.00,-27407.00
1971:Q4,220695.00,7340.00,167507.00,9517.00,4228.00,25012.00,670.00,6421.00,240416.00,203801.00,8123.00,4852.00,11559.00,4661.00,0.00,7420.00,-19721.00
1972:Q1,220298.00,7500.00,166340.00,9742.00,3945.00,25638.00,690.00,6443.00,247438.00,210218.00,8636.00,4856.00,11582.00,4895.00,0.00,7251.00,-27140.00
1972:Q2,223979.00,7670.00,169128.00,10276.00,3512.00,26259.00,710.00,6424.00,253772.00,215549.00,8824.00,4866.00,11785.00,5229.00,0.00,7519.00,-29793.00
1972:Q3,234256.00,7850.00,177611.00,10978.00,3754.00,26891.00,730.00,6442.00,262640.00,222993.00,9386.00,4693.00,12291.00,5574.00,0.00,7703.00,-28384.00
1972:Q4,249229.00,8180.00,190682.00,10662.00,4429.00,27547.00,750.00,6979.00,270276.00,230207.00,8770.00,4033.00,13013.00,5842.00,0.00,8411.00,-21047.00
1973:Q1,254263.00,8220.00,192172.00,13619.00,4183.00,28217.00,760.00,7092.00,281591.00,240370.00,9240.00,4143.00,13297.00,6050.00,0.00,8491.00,-27328.00
1973:Q2,269957.00,8520.00,203349.00,17017.00,4250.00,28895.00,770.00,7156.00,294817.00,251373.00,9753.00,4476.00,14058.00,6218.00,0.00,8939.00,-24860.00
1973:Q3,283559.00,8700.00,211837.00,20453.00,4491.00,29591.00,780.00,7707.00,309410.00,264071.00,10376.00,4378.00,14726.00,6359.00,0.00,9500.00,-25851.00
1973:Q4,306728.00,8910.00,228791.00,24018.00,5219.00,30318.00,790.00,8682.00,317109.00,269317.00,11086.00,4307.00,15840.00,6485.00,0.00,10074.00,-10381.00
1974:Q1,311224.00,9170.00,228674.00,26283.00,4918.00,31089.00,810.00,10280.00,332228.00,281929.00,12540.00,4516.00,16116.00,6639.00,0.00,10488.00,-21004.00
1974:Q2,325582.00,9600.00,239399.00,27920.00,5039.00,31913.00,830.00,10881.00,350152.00,297374.00,13632.00,4740.00,16846.00,6764.00,0.00,10796.00,-24570.00
1974:Q3,337436.00,9780.00,249203.00,28075.00,5567.00,32766.00,850.00,11195.00,359899.00,305285.00,13821.00,5097.00,17457.00,6885.00,0.00,11354.00,-22463.00
1974:Q4,255213.00,10060.00,165625.00,27123.00,6165.00,33640.00,870.00,11730.00,297072.00,245519.00,13288.00,5305.00,13802.00,7020.00,0.00,12138.00,-41859.00
1975:Q1,248233.00,10107.00,153489.00,27490.00,10140.00,34575.00,890.00,11542.00,315337.00,262584.00,13693.00,5402.00,13581.00,7182.00,0.00,12895.00,-67104.00
1975:Q2,250925.00,10210.00,153874.00,27932.00,10737.00,35497.00,910.00,11765.00,323554.00,269070.00,14062.00,5924.00,13772.00,7359.00,0.00,13367.00,-72629.00
1975:Q3,264068.00,10391.00,164111.00,28312.00,11616.00,36449.00,930.00,12259.00,341218.00,285011.00,14341.00,6315.00,14447.00,7526.00,0.00,13578.00,-77150.00
1975:Q4,278573.00,10555.00,176878.00,28435.00,11791.00,37443.00,950.00,12521.00,329516.00,271441.00,14551.00,6495.00,15191.00,7668.00,0.00,14170.00,-50943.00
1976:Q1,273626.00,10693.00,168504.00,29052.00,13549.00,38467.00,970.00,12391.00,349875.00,290075.00,14542.00,6499.00,15055.00,7925.00,0.00,15779.00,-76249.00
1976:Q2,285018.00,10635.00,176799.00,29996.00,14559.00,39465.00,990.00,12574.00,366357.00,305080.00,14666.00,6882.00,15648.00,8232.00,0.00,15849.00,-81339.00
1976:Q3,294767.00,10723.00,183236.00,30741.00,16438.00,40452.00,1010.00,12167.00,382090.00,317988.00,15123.00,6984.00,16158.00,8559.00,0.00,17278.00,-87323.00
1976:Q4,310859.00,10717.00,195798.00,31438.00,17920.00,41437.00,1030.00,12519.00,369936.00,302449.00,15849.00,6949.00,16917.00,8878.00,0.00,18894.00,-59077.00
1977:Q1,316215.00,10824.00,197280.00,32994.00,19239.00,42458.00,1050.00,12370.00,393723.00,325485.00,15878.00,6768.00,17252.00,9193.00,0.00,19147.00,-77508.00
1977:Q2,327289.00,10864.00,205311.00,34219.00,20153.00,43509.00,1070.00,12163.00,408509.00,338436.00,16826.00,6583.00,17845.00,9510.00,0.00,19309.00,-81220.00
1977:Q3,335066.00,10902.00,210866.00,34892.00,21146.00,44563.00,1090.00,11607.00,428958.00,355283.00,18221.00,7037.00,18278.00,9836.00,0.00,20303.00,-93892.00
1977:Q4,353365.00,11092.00,227832.00,35037.00,21125.00,45629.00,1100.00,11550.00,422773.00,346406.00,19976.00,6187.00,19261.00,10176.00,0.00,20767.00,-69408.00
1978:Q1,358988.00,11306.00,230556.00,35571.00,22235.00,46700.00,1120.00,11500.00,447082.00,366132.00,21559.00,7376.00,19667.00,10530.00,0.00,21818.00,-88094.00
1978:Q2,373761.00,11570.00,242406.00,36474.00,22851.00,47870.00,1140.00,11450.00,473762.00,389338.00,23113.00,7836.00,20539.00,10897.00,0.00,22039.00,-100001.00
1978:Q3,383647.00,11724.00,248746.00,37584.00,23953.00,49080.00,1160.00,11400.00,503576.00,415102.00,24594.00,8077.00,21163.00,11274.00,0.00,23366.00,-119929.00
1978:Q4,411665.00,11879.00,272766.00,38623.00,25524.00,50326.00,1190.00,11357.00,497772.00,407281.00,26018.00,8912.00,22572.00,11656.00,0.00,21333.00,-86107.00
1979:Q1,419062.00,12119.00,276162.00,40543.00,26361.00,51548.00,1240.00,11089.00,530927.00,438034.00,27421.00,9151.00,23021.00,12107.00,0.00,21193.00,-111865.00
1979:Q2,438273.00,12262.00,290229.00,42710.00,27378.00,52845.00,1270.00,11579.00,556968.00,459209.00,28676.00,9892.00,24027.00,12605.00,0.00,22559.00,-118695.00
1979:Q3,460421.00,12298.00,306524.00,44870.00,28676.00,54203.00,1300.00,12550.00,591590.00,490540.00,29563.00,10224.00,25158.00,13113.00,0.00,22992.00,-131169.00
1979:Q4,485643.00,12627.00,328508.00,46885.00,27767.00,55615.00,1340.00,12901.00,583836.00,479655.00,30154.00,11313.00,26463.00,13591.00,0.00,22660.00,-98193.00
1980:Q1,491670.00,12885.00,329610.00,48603.00,28609.00,57082.00,1400.00,13481.00,618670.00,511553.00,30642.00,12838.00,26878.00,14081.00,0.00,22678.00,-127000.00
1980:Q2,489669.00,13058.00,322833.00,50118.00,29247.00,58546.00,1500.00,14367.00,626689.00,510604.00,31168.00,13316.00,26900.00,14581.00,0.00,30120.00,-137020.00
1980:Q3,502917.00,13403.00,329964.00,51537.00,29832.00,60010.00,1600.00,16571.00,649744.00,530436.00,31791.00,14443.00,27613.00,15080.00,0.00,30381.00,-146827.00
1980:Q4,532098.00,13806.00,357752.00,52581.00,30033.00,61506.00,1700.00,14720.00,653199.00,529353.00,32492.00,15091.00,29217.00,15575.00,0.00,31471.00,-121101.00
1981:Q1,556921.00,13969.00,375831.00,54087.00,31462.00,63091.00,1800.00,16681.00,698042.00,572031.00,33031.00,15733.00,30482.00,16189.00,0.00,30576.00,-141121.00
1981:Q2,566805.00,14261.00,383036.00,56343.00,31484.00,64649.00,1900.00,15132.00,717303.00,588802.00,33808.00,16495.00,31017.00,16879.00,0.00,30302.00,-150498.00
1981:Q3,565827.00,14430.00,379431.00,57776.00,31209.00,66215.00,2000.00,14766.00,733681.00,603446.00,35180.00,17133.00,31069.00,17583.00,0.00,29270.00,-167854.00
1981:Q4,573706.00,14776.00,384759.00,58628.00,30572.00,67828.00,2100.00,15043.00,707942.00,574123.00,37028.00,17633.00,31551.00,18117.00,0.00,29490.00,-134236.00
1982:Q1,562612.00,14927.00,373348.00,59292.00,31624.00,69447.00,2200.00,11774.00,716262.00,580813.00,38721.00,18712.00,31190.00,18674.00,0.00,28152.00,-153650.00
1982:Q2,571314.00,15086.00,376311.00,61728.00,33484.00,71099.00,2300.00,11306.00,727303.00,587005.00,40591.00,19968.00,31687.00,19206.00,0.00,28846.00,-155989.00
1982:Q3,577997.00,15307.00,378638.00,63095.00,34969.00,72783.00,2450.00,10755.00,740562.00,598450.00,42703.00,19852.00,32091.00,19725.00,0.00,27741.00,-162565.00
1982:Q4,597706.00,15607.00,395569.00,63055.00,35325.00,74509.00,2600.00,11041.00,719775.00,569115.00,45009.00,22425.00,32899.00,20242.00,0.00,30085.00,-122069.00
1983:Q1,580940.00,16186.00,378034.00,61351.00,35546.00,76249.00,2692.00,10882.00,732169.00,581521.00,46965.00,23698.00,32231.00,20753.00,0.00,27001.00,-151229.00
1983:Q2,588864.00,16720.00,381444.00,62266.00,37472.00,77999.00,3221.00,9742.00,756751.00,602729.00,48878.00,24780.00,32688.00,21254.00,220.00,26202.00,-167887.00
1983:Q3,590103.00,17324.00,378274.00,62716.00,39169.00,79804.00,3083.00,9733.00,790005.00,630051.00,50683.00,25071.00,32866.00,21751.00,440.00,29143.00,-199902.00
1983:Q4,622570.00,18048.00,403363.00,62983.00,40336.00,81623.00,5086.00,11131.00,791414.00,626517.00,52404.00,26191.00,34398.00,22239.00,660.00,29005.00,-168844.00
1984:Q1,635698.00,18729.00,411972.00,62914.00,42926.00,83503.00,4027.00,11627.00,832860.00,662415.00,54394.00,27510.00,35090.00,22871.00,880.00,29700.00,-197162.00
1984:Q2,661869.00,19551.00,430436.00,64770.00,45535.00,85435.00,4133.00,12009.00,870911.00,693100.00,56277.00,29795.00,36415.00,23603.00,1100.00,30621.00,-209042.00
1984:Q3,666500.00,20290.00,429567.00,66509.00,47291.00,87428.00,4727.00,10688.00,898988.00,717799.00,57892.00,31057.00,36765.00,24321.00,1320.00,29834.00,-232488.00
1984:Q4,680042.00,21191.00,437970.00,67829.00,47479.00,89461.00,5465.00,10647.00,878542.00,694120.00,59293.00,31273.00,37508.00,25000.00,1540.00,29808.00,-198500.00
