1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,1448.00,424.00,0.00,412.00,-88.00,692.00,-40.00,48.00,-671.00,-711.00,40.00,2119.00
1963:Q2,860.00,2980.00,0.00,-1192.00,-116.00,-644.00,-168.00,0.00,3458.00,3310.00,148.00,-2598.00
1963:Q3,1788.00,1644.00,0.00,-80.00,120.00,-36.00,92.00,48.00,2459.00,2367.00,92.00,-671.00
1963:Q4,-136.00,508.00,0.00,-612.00,-4.00,-36.00,-12.00,20.00,1959.00,1927.00,32.00,-2095.00
1964:Q1,2048.00,632.00,0.00,800.00,-60.00,416.00,264.00,-4.00,-1139.00,-1267.00,128.00,3187.00
1964:Q2,520.00,1476.00,0.00,-272.00,-64.00,-256.00,-340.00,-24.00,781.00,753.00,28.00,-261.00
1964:Q3,692.00,420.00,0.00,160.00,-48.00,328.00,-200.00,32.00,1138.00,1066.00,72.00,-446.00
1964:Q4,-564.00,-660.00,0.00,196.00,-48.00,-16.00,-44.00,8.00,233.00,285.00,-52.00,-797.00
1965:Q1,1832.00,2236.00,0.00,-664.00,120.00,56.00,56.00,28.00,-601.00,-677.00,76.00,2433.00
1965:Q2,832.00,1556.00,0.00,-364.00,-12.00,-332.00,-4.00,-12.00,-113.00,-153.00,40.00,945.00
1965:Q3,2408.00,1488.00,0.00,424.00,72.00,204.00,148.00,72.00,2159.00,2079.00,80.00,249.00
1965:Q4,3368.00,3052.00,0.00,88.00,44.00,-8.00,148.00,44.00,3787.00,3675.00,112.00,-419.00
1966:Q1,4500.00,3124.00,0.00,1024.00,32.00,416.00,-128.00,32.00,318.00,162.00,156.00,4182.00
1966:Q2,-7836.00,-5380.00,0.00,-1752.00,-68.00,-396.00,-172.00,-68.00,-9899.00,-9855.00,-44.00,2063.00
1966:Q3,1208.00,976.00,0.00,-44.00,32.00,116.00,96.00,32.00,2160.00,2228.00,-68.00,-952.00
1966:Q4,-1572.00,-2240.00,0.00,472.00,12.00,104.00,68.00,12.00,1718.00,1742.00,-24.00,-3290.00
1967:Q1,3156.00,1348.00,0.00,664.00,316.00,844.00,-168.00,152.00,-1517.00,-1897.00,380.00,4673.00
1967:Q2,-19360.00,-16128.00,0.00,-1356.00,-292.00,-1288.00,-200.00,-96.00,-24881.00,-24857.00,-24.00,5521.00
1967:Q3,-688.00,-1400.00,0.00,324.00,-4.00,124.00,124.00,144.00,2606.00,2606.00,0.00,-3294.00
1967:Q4,-636.00,-576.00,0.00,32.00,-12.00,-124.00,20.00,24.00,3745.00,3601.00,144.00,-4381.00
1968:Q1,23076.00,21884.00,0.00,52.00,120.00,648.00,172.00,200.00,12438.00,11894.00,544.00,10638.00
1968:Q2,-13344.00,-12164.00,0.00,-392.00,-144.00,-360.00,-256.00,-28.00,-10786.00,-10890.00,104.00,-2558.00
1968:Q3,-3500.00,-4452.00,0.00,408.00,96.00,304.00,20.00,124.00,-357.00,-365.00,8.00,-3143.00
1968:Q4,-1172.00,-848.00,0.00,-176.00,-160.00,56.00,60.00,-104.00,2781.00,2697.00,84.00,-3953.00
1969:Q1,10840.00,9220.00,0.00,616.00,128.00,652.00,184.00,40.00,8002.00,7594.00,408.00,2838.00
1969:Q2,-8540.00,-6752.00,0.00,-624.00,-24.00,-680.00,-200.00,-260.00,-21492.00,-21360.00,-132.00,12952.00
1969:Q3,-1844.00,-3012.00,0.00,480.00,172.00,348.00,92.00,76.00,1317.00,1501.00,-184.00,-3161.00
1969:Q4,-6520.00,-6264.00,0.00,-136.00,-72.00,-100.00,116.00,-64.00,-596.00,-544.00,-52.00,-5924.00
1970:Q1,-904.00,-3576.00,0.00,1756.00,184.00,744.00,100.00,-112.00,-4863.00,-5219.00,356.00,3959.00
1970:Q2,-4928.00,-2600.00,0.00,-1144.00,-188.00,-792.00,-160.00,-44.00,-1623.00,-1559.00,-64.00,-3305.00
1970:Q3,-704.00,-2224.00,0.00,748.00,128.00,396.00,140.00,108.00,-1764.00,-1896.00,132.00,1060.00
1970:Q4,-1652.00,-2128.00,0.00,72.00,144.00,152.00,48.00,60.00,-2194.00,-2030.00,-164.00,542.00
1971:Q1,3944.00,2120.00,0.00,1012.00,136.00,500.00,136.00,40.00,3410.00,2922.00,488.00,534.00
1971:Q2,3748.00,5016.00,1244.00,-1820.00,132.00,-532.00,-132.00,-160.00,8603.00,7243.00,1360.00,-4855.00
1971:Q3,5184.00,2788.00,1452.00,532.00,-48.00,320.00,100.00,40.00,-368.00,-1992.00,1624.00,5552.00
1971:Q4,3488.00,2436.00,1452.00,348.00,-392.00,-396.00,0.00,40.00,-921.00,-2433.00,1512.00,4409.00
1972:Q1,2932.00,612.00,1452.00,-104.00,264.00,576.00,92.00,40.00,4470.00,2526.00,1944.00,-1538.00
1972:Q2,3064.00,4004.00,1452.00,-1220.00,-56.00,-804.00,-204.00,-108.00,1093.00,-403.00,1496.00,1971.00
1972:Q3,3012.00,216.00,1452.00,580.00,188.00,384.00,80.00,112.00,-272.00,-1948.00,1676.00,3284.00
1972:Q4,6568.00,4908.00,1452.00,48.00,84.00,-96.00,116.00,56.00,413.00,-1587.00,2000.00,6155.00
1973:Q1,7324.00,3496.00,1456.00,1344.00,104.00,728.00,136.00,60.00,6093.00,4301.00,1792.00,1231.00
1973:Q2,4496.00,5660.00,1476.00,-1296.00,-128.00,-828.00,-244.00,-144.00,2086.00,538.00,1548.00,2410.00
1973:Q3,3524.00,1008.00,1508.00,424.00,88.00,348.00,100.00,48.00,1268.00,4.00,1264.00,2256.00
1973:Q4,6408.00,4972.00,1544.00,12.00,-12.00,-104.00,8.00,-12.00,3065.00,1173.00,1892.00,3343.00
1974:Q1,10436.00,6632.00,1736.00,1164.00,140.00,708.00,108.00,-52.00,-653.00,-2617.00,1964.00,11089.00
1974:Q2,9388.00,10408.00,1668.00,-1256.00,-128.00,-860.00,-212.00,-232.00,3920.00,1920.00,2000.00,5468.00
1974:Q3,12368.00,9704.00,1488.00,760.00,84.00,304.00,84.00,-56.00,5166.00,2998.00,2168.00,7202.00
1974:Q4,3816.00,2684.00,1348.00,72.00,-16.00,-200.00,20.00,-92.00,-1781.00,-2305.00,524.00,5597.00
1975:Q1,-9596.00,-12596.00,1208.00,876.00,108.00,620.00,124.00,64.00,-11687.00,-12607.00,920.00,2091.00
1975:Q2,-3308.00,-1004.00,1148.00,-1992.00,-132.00,-932.00,-212.00,-184.00,372.00,-1412.00,1784.00,-3680.00
1975:Q3,3440.00,1772.00,996.00,152.00,60.00,220.00,92.00,148.00,5324.00,2732.00,2592.00,-1884.00
1975:Q4,3772.00,2932.00,876.00,140.00,-16.00,-268.00,-4.00,112.00,4632.00,3612.00,1020.00,-860.00
1976:Q1,9372.00,6040.00,1168.00,264.00,128.00,772.00,132.00,868.00,10540.00,8196.00,2344.00,-1168.00
1976:Q2,7528.00,7808.00,1172.00,92.00,-96.00,-812.00,-244.00,-392.00,11313.00,10213.00,1100.00,-3785.00
1976:Q3,5844.00,3732.00,1188.00,236.00,132.00,512.00,100.00,-56.00,5992.00,4744.00,1248.00,-148.00
1976:Q4,6072.00,4412.00,1204.00,240.00,52.00,60.00,12.00,92.00,3078.00,1994.00,1084.00,2994.00
1977:Q1,-976.00,-2700.00,1120.00,344.00,96.00,312.00,72.00,-220.00,-3624.00,-5660.00,2036.00,2648.00
1977:Q2,-276.00,-2356.00,1104.00,424.00,120.00,416.00,112.00,-96.00,-4131.00,-6123.00,1992.00,3855.00
1977:Q3,6232.00,4056.00,1072.00,440.00,128.00,444.00,124.00,-32.00,5855.00,4335.00,1520.00,377.00
1977:Q4,8436.00,6376.00,1048.00,388.00,128.00,388.00,116.00,-8.00,4516.00,3404.00,1112.00,3920.00
1978:Q1,3848.00,2588.00,376.00,356.00,132.00,368.00,120.00,-92.00,-1502.00,-494.00,-1008.00,5350.00
1978:Q2,3716.00,1788.00,660.00,340.00,148.00,388.00,148.00,244.00,2948.00,416.00,2532.00,768.00
1978:Q3,6396.00,3816.00,1360.00,320.00,132.00,336.00,120.00,312.00,4204.00,2764.00,1440.00,2192.00
1978:Q4,13864.00,11492.00,1924.00,296.00,84.00,224.00,36.00,-192.00,10753.00,8273.00,2480.00,3111.00
1979:Q1,11892.00,9176.00,2264.00,320.00,44.00,132.00,-40.00,-4.00,6729.00,3873.00,2856.00,5163.00
1979:Q2,5856.00,3028.00,2496.00,380.00,16.00,60.00,-120.00,-4.00,-4708.00,-7196.00,2488.00,10564.00
1979:Q3,10944.00,7700.00,3076.00,280.00,-16.00,-28.00,-152.00,84.00,3880.00,996.00,2884.00,7064.00
1979:Q4,10996.00,7820.00,3540.00,-4.00,-60.00,-152.00,-156.00,8.00,4015.00,895.00,3120.00,6981.00
1980:Q1,12656.00,8176.00,4300.00,-268.00,108.00,304.00,-88.00,124.00,10795.00,3427.00,7368.00,1861.00
1980:Q2,-548.00,-4736.00,3592.00,-572.00,188.00,516.00,-72.00,536.00,-24935.00,-24983.00,48.00,24387.00
1980:Q3,1660.00,-636.00,1828.00,-640.00,184.00,500.00,-72.00,496.00,-2249.00,-5329.00,3080.00,3909.00
1980:Q4,8816.00,8708.00,412.00,-508.00,96.00,264.00,-100.00,-56.00,9369.00,7669.00,1700.00,-553.00
1981:Q1,-1792.00,88.00,-1168.00,-388.00,8.00,24.00,-100.00,-256.00,1798.00,1150.00,648.00,-3590.00
1981:Q2,-3268.00,-1012.00,-1332.00,-356.00,-76.00,-204.00,-108.00,-180.00,-29807.00,-26339.00,-3468.00,26539.00
1981:Q3,-3400.00,-764.00,-1748.00,-300.00,-84.00,-228.00,-116.00,-160.00,-10476.00,-9184.00,-1292.00,7076.00
1981:Q4,-16904.00,-14312.00,-2088.00,-252.00,-28.00,-48.00,-136.00,-40.00,-17158.00,-13502.00,-3656.00,254.00
1982:Q1,-15980.00,-15736.00,120.00,-156.00,48.00,132.00,-144.00,-244.00,-27040.00,-26732.00,-308.00,11060.00
1982:Q2,-7152.00,-7968.00,668.00,-72.00,108.00,292.00,-180.00,0.00,-19056.00,-19784.00,728.00,11904.00
1982:Q3,520.00,-2300.00,2036.00,-36.00,108.00,296.00,-156.00,572.00,6052.00,2988.00,3064.00,-5532.00
1982:Q4,13028.00,8888.00,3140.00,-60.00,52.00,148.00,-88.00,948.00,-9.00,-2625.00,2616.00,13037.00
1983:Q1,15044.00,13028.00,2012.00,-36.00,0.00,4.00,12.00,24.00,962.00,890.00,72.00,14082.00
1983:Q2,508.00,-832.00,1944.00,-16.00,-48.00,-124.00,100.00,-516.00,19264.00,14564.00,4700.00,-18756.00
1983:Q3,7216.00,5672.00,1776.00,-48.00,-56.00,-144.00,120.00,-104.00,10124.00,6064.00,4060.00,-2908.00
1983:Q4,-4060.00,-5624.00,1652.00,-16.00,-40.00,-64.00,64.00,-32.00,2150.00,14.00,2136.00,-6210.00
1984:Q1,12452.00,13188.00,428.00,-880.00,0.00,0.00,20.00,-304.00,16395.00,14531.00,1864.00,-3943.00
1984:Q2,-3520.00,-4476.00,684.00,840.00,8.00,8.00,-8.00,-576.00,-1752.00,-2788.00,1036.00,-1768.00
1984:Q3,800.00,-1464.00,1324.00,204.00,24.00,68.00,-16.00,660.00,-13714.00,-12462.00,-1252.00,14514.00
1984:Q4,8184.00,6836.00,1844.00,-692.00,48.00,168.00,-8.00,-12.00,-3177.00,-5405.00,2228.00,11361.00
1985:Q1,-1412.00,-4544.00,2496.00,68.00,68.00,272.00,12.00,216.00,-7756.00,-11732.00,3976.00,6344.00
1985:Q2,-8904.00,-10960.00,2876.00,-1612.00,80.00,360.00,16.00,336.00,-6064.00,-8872.00,2808.00,-2840.00
1985:Q3,15300.00,9512.00,3824.00,1168.00,108.00,436.00,20.00,232.00,8057.00,2965.00,5092.00,7243.00
1985:Q4,372.00,-6640.00,4584.00,1160.00,152.00,500.00,20.00,596.00,-2292.00,-6384.00,4092.00,2664.00
1986:Q1,-52.00,-1880.00,960.00,536.00,184.00,616.00,8.00,-476.00,-2470.00,-4146.00,1676.00,2418.00
1986:Q2,6344.00,3040.00,1248.00,1132.00,208.00,776.00,-16.00,-44.00,6711.00,4791.00,1920.00,-367.00
1986:Q3,9208.00,5072.00,1956.00,1176.00,260.00,756.00,8.00,-20.00,559.00,-1393.00,1952.00,8649.00
1986:Q4,12104.00,8868.00,2528.00,-1448.00,336.00,552.00,92.00,1176.00,-633.00,-6021.00,5388.00,12737.00
1987:Q1,-2808.00,-4204.00,760.00,-416.00,416.00,352.00,188.00,96.00,-27586.00,-25933.00,-1653.00,24778.00
1987:Q2,12080.00,19688.00,84.00,-7432.00,500.00,152.00,280.00,-1192.00,28118.00,25171.00,2947.00,-16038.00
1987:Q3,1312.00,1260.00,248.00,-748.00,548.00,128.00,308.00,-432.00,-17094.00,-17963.00,869.00,18406.00
1987:Q4,3992.00,3584.00,1236.00,-1144.00,560.00,268.00,264.00,-776.00,-6254.00,-6024.00,-230.00,10246.00
1988:Q1,-11792.00,-13044.00,2072.00,-1984.00,316.00,356.00,232.00,260.00,-13485.00,-14121.00,636.00,1693.00
1988:Q2,9696.00,8552.00,2728.00,-2612.00,316.00,388.00,204.00,120.00,4232.00,461.00,3771.00,5464.00
1988:Q3,-7376.00,-13104.00,3236.00,1416.00,316.00,472.00,216.00,72.00,-3128.00,-7897.00,4769.00,-4248.00
1988:Q4,12564.00,3616.00,3604.00,3996.00,316.00,620.00,268.00,144.00,-287.00,-5679.00,5392.00,12851.00
1989:Q1,4839.00,2407.00,4364.00,-1848.00,-688.00,808.00,320.00,-524.00,4184.00,809.00,3375.00,655.00
1989:Q2,5087.00,-3361.00,5528.00,1684.00,-688.00,1036.00,364.00,524.00,-9549.00,-13386.00,3837.00,14636.00
1989:Q3,-11292.00,-16164.00,5236.00,-1744.00,-688.00,1040.00,388.00,640.00,-2027.00,-6034.00,4007.00,-9264.00
1989:Q4,-6898.00,-7210.00,3496.00,-3320.00,-684.00,820.00,388.00,-388.00,4208.00,1447.00,2761.00,-11106.00
1990:Q1,5725.00,273.00,1456.00,2192.00,652.00,596.00,400.00,156.00,-16499.00,-15424.00,-1075.00,22223.00
1990:Q2,821.00,-463.00,328.00,-672.00,648.00,360.00,416.00,204.00,-761.00,258.00,-1019.00,1582.00
1990:Q3,2648.00,1512.00,224.00,-520.00,652.00,384.00,428.00,-32.00,2818.00,3176.00,-358.00,-170.00
1990:Q4,-622.00,-1270.00,324.00,-1336.00,652.00,660.00,444.00,-96.00,-8594.00,-8922.00,329.00,7972.00
1991:Q1,-33169.00,-32825.00,572.00,-2548.00,664.00,896.00,456.00,-384.00,-25440.00,-27651.00,2211.00,-7730.00
1991:Q2,-8035.00,-10615.00,332.00,-104.00,664.00,1084.00,456.00,148.00,21744.00,19764.00,1980.00,-29780.00
1991:Q3,11454.00,6394.00,584.00,1804.00,664.00,1196.00,484.00,328.00,-9930.00,-10529.00,599.00,21384.00
1991:Q4,-1889.00,-593.00,428.00,-4812.00,664.00,1236.00,536.00,652.00,-7168.00,-9406.00,2238.00,5279.00
1992:Q1,1514.00,-522.00,648.00,1108.00,-1700.00,1288.00,584.00,108.00,-9840.00,-9589.00,-251.00,11354.00
1992:Q2,8534.00,8266.00,612.00,-756.00,-1704.00,1368.00,624.00,124.00,16832.00,16387.00,445.00,-8298.00
1992:Q3,10276.00,9816.00,648.00,-872.00,-1700.00,1436.00,664.00,284.00,-6513.00,-5831.00,-683.00,16789.00
1992:Q4,8748.00,8248.00,660.00,-280.00,-1700.00,1492.00,692.00,-364.00,-2278.00,-2498.00,220.00,11026.00
1993:Q1,-14462.00,-2642.00,-1644.00,-15444.00,2120.00,1600.00,736.00,812.00,-26607.00,-23921.00,-2685.00,12145.00
1993:Q2,11597.00,9841.00,-1736.00,-1092.00,2124.00,1772.00,784.00,-96.00,6743.00,12054.00,-5311.00,4854.00
1993:Q3,12870.00,7670.00,-1704.00,736.00,2124.00,1720.00,804.00,1520.00,-15015.00,-11046.00,-3969.00,27886.00
1993:Q4,13146.00,6654.00,-1852.00,4172.00,2124.00,1448.00,784.00,-184.00,11711.00,10593.00,1119.00,1435.00
1994:Q1,-15461.00,-13421.00,436.00,-4100.00,-416.00,1152.00,780.00,108.00,-36139.00,-37535.00,1396.00,20679.00
1994:Q2,7799.00,9215.00,2016.00,-4340.00,-416.00,836.00,788.00,-300.00,6858.00,7678.00,-819.00,941.00
1994:Q3,4515.00,-557.00,1280.00,2368.00,-412.00,828.00,784.00,224.00,-892.00,-1170.00,277.00,5408.00
1994:Q4,3851.00,3123.00,1948.00,-1856.00,-416.00,1140.00,768.00,-856.00,10198.00,5979.00,4219.00,-6348.00
1995:Q1,7361.00,2677.00,364.00,2076.00,708.00,1452.00,676.00,-592.00,-3961.00,-7348.00,3387.00,11322.00
1995:Q2,6549.00,-3415.00,432.00,6304.00,708.00,1652.00,768.00,100.00,-8708.00,-6878.00,-1831.00,15257.00
1995:Q3,2984.00,-7324.00,600.00,5340.00,712.00,1744.00,808.00,1104.00,-8418.00,-7553.00,-865.00,11403.00
1995:Q4,17670.00,8038.00,808.00,6784.00,708.00,1540.00,716.00,-924.00,-6861.00,-9685.00,2824.00,24531.00
1996:Q1,4131.00,6255.00,1904.00,-5652.00,640.00,460.00,740.00,-216.00,-7411.00,-10646.00,3235.00,11542.00
1996:Q2,16816.00,10896.00,2312.00,1152.00,644.00,440.00,840.00,532.00,-1349.00,-1987.00,638.00,18166.00
1996:Q3,7023.00,-2385.00,3348.00,4444.00,644.00,600.00,840.00,-468.00,-6904.00,-8681.00,1776.00,13928.00
1996:Q4,36073.00,23485.00,1704.00,8240.00,644.00,484.00,776.00,740.00,23708.00,20010.00,3698.00,12365.00
1997:Q1,28644.00,20976.00,4476.00,1800.00,472.00,1080.00,736.00,-896.00,-11914.00,-16808.00,4894.00,40558.00
1997:Q2,17999.00,1767.00,5120.00,9228.00,472.00,1200.00,816.00,-604.00,-16103.00,-18460.00,2357.00,34103.00
1997:Q3,24830.00,12870.00,3600.00,4832.00,472.00,1292.00,880.00,884.00,11050.00,7928.00,3122.00,13780.00
1997:Q4,15351.00,1755.00,3868.00,5508.00,472.00,2000.00,808.00,940.00,-7315.00,-13920.00,6605.00,22666.00
1998:Q1,18975.00,12279.00,5208.00,1276.00,-1084.00,1548.00,788.00,-1040.00,3986.00,-2422.00,6407.00,14989.00
1998:Q2,-19052.00,-19436.00,-2052.00,1072.00,-1084.00,1552.00,856.00,40.00,-31416.00,-27408.00,-4007.00,12364.00
1998:Q3,39629.00,22301.00,10304.00,6908.00,-1088.00,1548.00,864.00,-1208.00,31775.00,21348.00,10427.00,7854.00
1998:Q4,13336.00,4232.00,3020.00,2964.00,-1084.00,1548.00,772.00,1884.00,-21561.00,-28638.00,7077.00,34897.00
1999:Q1,-5444.00,-4136.00,-448.00,-2324.00,52.00,532.00,780.00,100.00,9607.00,6494.00,3114.00,-15051.00
1999:Q2,39989.00,22745.00,22584.00,-7164.00,52.00,532.00,856.00,384.00,27208.00,5829.00,21379.00,12781.00
1999:Q3,6440.00,-4396.00,2664.00,6288.00,52.00,532.00,848.00,452.00,-10970.00,-13209.00,2239.00,17411.00
1999:Q4,39995.00,13683.00,10912.00,11256.00,48.00,532.00,836.00,2728.00,18648.00,5707.00,12941.00,21347.00
2000:Q1,62712.00,29392.00,23652.00,8148.00,56.00,-368.00,860.00,972.00,22824.00,-2749.00,25574.00,39888.00
2000:Q2,-1022.00,-8782.00,11240.00,-1288.00,56.00,-368.00,936.00,-2816.00,-10695.00,-20775.00,10080.00,9673.00
