date,FA153050005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA153050005.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6948.00,600.00,1364.00,3633.00,1351.00,6948.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q2,323836.00,55052.00,123220.00,70244.00,75320.00,323836.00,ND,ND,ND,ND,ND,ND,ND
1991:Q3,318360.00,52736.00,114532.00,71808.00,79284.00,318360.00,ND,ND,ND,ND,ND,ND,ND
1991:Q4,327392.00,50448.00,118960.00,73736.00,84248.00,327392.00,ND,ND,ND,ND,ND,ND,ND
1992:Q1,299500.00,31568.00,107652.00,73264.00,87016.00,299500.00,ND,ND,ND,ND,ND,ND,ND
1992:Q2,348644.00,67144.00,115452.00,74276.00,91772.00,348644.00,ND,ND,ND,ND,ND,ND,ND
1992:Q3,365536.00,80276.00,115956.00,74372.00,94932.00,365536.00,ND,ND,ND,ND,ND,ND,ND
1992:Q4,350588.00,178060.00,1316.00,74452.00,96760.00,350588.00,ND,ND,ND,ND,ND,ND,ND
1993:Q1,437560.00,103520.00,168612.00,71400.00,94028.00,437560.00,ND,ND,ND,ND,ND,ND,ND
1993:Q2,380848.00,84712.00,129572.00,71872.00,94692.00,380848.00,ND,ND,ND,ND,ND,ND,ND
1993:Q3,361636.00,132548.00,66888.00,72208.00,89992.00,361636.00,ND,ND,ND,ND,ND,ND,ND
1993:Q4,306220.00,63020.00,73056.00,72736.00,97408.00,306220.00,ND,ND,ND,ND,ND,ND,ND
1994:Q1,383540.00,22336.00,194088.00,70960.00,96156.00,383540.00,ND,ND,ND,ND,ND,ND,ND
1994:Q2,364548.00,1220.00,193332.00,71932.00,98064.00,364548.00,ND,ND,ND,ND,ND,ND,ND
1994:Q3,326380.00,86328.00,62716.00,74440.00,102896.00,326380.00,ND,ND,ND,ND,ND,ND,ND
1994:Q4,195020.00,-12548.00,31520.00,73348.00,102700.00,195020.00,ND,ND,ND,ND,ND,ND,ND
1995:Q1,326732.00,117096.00,34776.00,73528.00,101332.00,326732.00,ND,ND,ND,ND,ND,ND,ND
1995:Q2,334320.00,79936.00,85440.00,73232.00,95712.00,334320.00,ND,ND,ND,ND,ND,ND,ND
1995:Q3,361252.00,52304.00,129032.00,73212.00,106704.00,361252.00,ND,ND,ND,ND,ND,ND,ND
1995:Q4,323764.00,37588.00,103216.00,73364.00,109596.00,323764.00,ND,ND,ND,ND,ND,ND,ND
1996:Q1,319220.00,33820.00,103180.00,73116.00,109104.00,319220.00,ND,ND,ND,ND,ND,ND,ND
1996:Q2,294564.00,26872.00,83420.00,74056.00,110216.00,294564.00,ND,ND,ND,ND,ND,ND,ND
1996:Q3,298352.00,22276.00,92296.00,72540.00,111240.00,298352.00,ND,ND,ND,ND,ND,ND,ND
1996:Q4,401572.00,124156.00,87004.00,74608.00,115804.00,401572.00,ND,ND,ND,ND,ND,ND,ND
1997:Q1,335592.00,59232.00,59076.00,70736.00,146548.00,335592.00,ND,ND,ND,ND,ND,ND,ND
1997:Q2,421008.00,103240.00,99512.00,74796.00,143460.00,421008.00,ND,ND,ND,ND,ND,ND,ND
1997:Q3,386788.00,76348.00,98060.00,72944.00,139436.00,386788.00,ND,ND,ND,ND,ND,ND,ND
1997:Q4,353544.00,-11768.00,129456.00,76900.00,158956.00,353544.00,ND,ND,ND,ND,ND,ND,ND
1998:Q1,473708.00,69232.00,184792.00,72992.00,146692.00,473708.00,ND,ND,ND,ND,ND,ND,ND
1998:Q2,490108.00,113608.00,145608.00,76876.00,154016.00,490108.00,ND,ND,ND,ND,ND,ND,ND
1998:Q3,462624.00,81304.00,137480.00,72952.00,170888.00,462624.00,ND,ND,ND,ND,ND,ND,ND
1998:Q4,389504.00,5180.00,149896.00,81448.00,152980.00,389504.00,ND,ND,ND,ND,ND,ND,ND
1999:Q1,258080.00,1812.00,23732.00,73992.00,158544.00,258080.00,ND,ND,ND,ND,ND,ND,ND
1999:Q2,323028.00,26036.00,60764.00,80052.00,156176.00,323028.00,ND,ND,ND,ND,ND,ND,ND
1999:Q3,322232.00,-18876.00,83664.00,77756.00,179688.00,322232.00,ND,ND,ND,ND,ND,ND,ND
1999:Q4,411236.00,80664.00,119032.00,81104.00,130436.00,411236.00,ND,ND,ND,ND,ND,ND,ND
2000:Q1,366720.00,29608.00,150872.00,78960.00,107280.00,366720.00,ND,ND,ND,ND,ND,ND,ND
2000:Q2,383976.00,97012.00,70976.00,79360.00,136628.00,383976.00,ND,ND,ND,ND,ND,ND,ND
2000:Q3,387312.00,105748.00,77076.00,80908.00,123580.00,387312.00,ND,ND,ND,ND,ND,ND,ND
2000:Q4,439836.00,91484.00,115972.00,79844.00,152536.00,439836.00,ND,ND,ND,ND,ND,ND,ND
2001:Q1,406132.00,200516.00,-31728.00,79456.00,157888.00,406132.00,ND,ND,ND,ND,ND,ND,ND
2001:Q2,374528.00,19016.00,152300.00,83092.00,120120.00,374528.00,ND,ND,ND,ND,ND,ND,ND
2001:Q3,594404.00,254176.00,88276.00,80428.00,171524.00,594404.00,ND,ND,ND,ND,ND,ND,ND
2001:Q4,292000.00,-105228.00,196404.00,86164.00,114660.00,292000.00,ND,ND,ND,ND,ND,ND,ND
2002:Q1,478916.00,-52412.00,317040.00,84356.00,129932.00,478916.00,ND,ND,ND,ND,ND,ND,ND
2002:Q2,378984.00,183824.00,-41776.00,81720.00,155216.00,378984.00,ND,ND,ND,ND,ND,ND,ND
2002:Q3,440716.00,206564.00,-23716.00,94388.00,163480.00,440716.00,ND,ND,ND,ND,ND,ND,ND
2002:Q4,491224.00,157400.00,85480.00,120292.00,128052.00,491224.00,ND,ND,ND,ND,ND,ND,ND
2003:Q1,715868.00,72856.00,316484.00,128592.00,197936.00,715868.00,ND,ND,ND,ND,ND,ND,ND
2003:Q2,417896.00,-27220.00,186264.00,92640.00,166212.00,417896.00,ND,ND,ND,ND,ND,ND,ND
2003:Q3,405916.00,9980.00,102180.00,98268.00,195488.00,405916.00,ND,ND,ND,ND,ND,ND,ND
2003:Q4,464972.00,12244.00,174348.00,93184.00,185196.00,464972.00,ND,ND,ND,ND,ND,ND,ND
2004:Q1,551144.00,132064.00,133832.00,93944.00,191304.00,551144.00,ND,ND,ND,ND,ND,ND,ND
2004:Q2,551748.00,97736.00,156680.00,91880.00,205452.00,551748.00,ND,ND,ND,ND,ND,ND,ND
2004:Q3,696020.00,161952.00,227876.00,98020.00,208172.00,696020.00,ND,ND,ND,ND,ND,ND,ND
2004:Q4,583928.00,55976.00,245120.00,98560.00,184272.00,583928.00,ND,ND,ND,ND,ND,ND,ND
2005:Q1,563688.00,120232.00,137696.00,95952.00,209808.00,563688.00,ND,ND,ND,ND,ND,ND,ND
2005:Q2,585780.00,127376.00,164080.00,97308.00,197016.00,585780.00,ND,ND,ND,ND,ND,ND,ND
2005:Q3,490104.00,15068.00,182328.00,100200.00,192508.00,490104.00,ND,ND,ND,ND,ND,ND,ND
2005:Q4,574376.00,107148.00,164776.00,97780.00,204672.00,574376.00,ND,ND,ND,ND,ND,ND,ND
2006:Q1,485640.00,21308.00,172880.00,94604.00,196848.00,485640.00,ND,ND,ND,ND,ND,ND,ND
2006:Q2,593708.00,114704.00,156388.00,95488.00,227128.00,593708.00,ND,ND,ND,ND,ND,ND,ND
2006:Q3,542132.00,36128.00,200068.00,95820.00,210116.00,542132.00,ND,ND,ND,ND,ND,ND,ND
2006:Q4,476504.00,-12044.00,190268.00,95408.00,202872.00,476504.00,ND,ND,ND,ND,ND,ND,ND
2007:Q1,450468.00,13984.00,135128.00,93888.00,207468.00,450468.00,293348.00,21244.00,6452.00,49048.00,28000.00,135868.00,52736.00
2007:Q2,535744.00,42644.00,155364.00,94360.00,243376.00,535744.00,331448.00,25340.00,5952.00,38096.00,36000.00,135828.00,90232.00
2007:Q3,460000.00,10864.00,140476.00,95216.00,213444.00,460000.00,339712.00,15876.00,4160.00,9700.00,56000.00,93432.00,160544.00
2007:Q4,535952.00,87952.00,129276.00,98280.00,220444.00,535952.00,356364.00,26480.00,3488.00,3912.00,56000.00,126780.00,139704.00
2008:Q1,454100.00,104496.00,88864.00,95184.00,165556.00,454100.00,452404.00,36748.00,7608.00,-15608.00,92000.00,34988.00,296668.00
2008:Q2,455824.00,-2276.00,127784.00,96556.00,233760.00,455824.00,263608.00,26824.00,6284.00,-2952.00,-36000.00,90104.00,179348.00
2008:Q3,609092.00,269660.00,77872.00,96360.00,165200.00,609092.00,362188.00,40568.00,3192.00,3288.00,76000.00,-97592.00,336732.00
2008:Q4,450460.00,140160.00,72900.00,97740.00,139660.00,450460.00,502476.00,72484.00,11768.00,-40652.00,56000.00,-153576.00,556452.00
2009:Q1,416252.00,-28452.00,163872.00,89744.00,191088.00,416252.00,235952.00,59096.00,16784.00,-30760.00,20000.00,-65768.00,236600.00
2009:Q2,543520.00,-45636.00,212788.00,94576.00,281792.00,543520.00,-128876.00,43108.00,9428.00,27464.00,-80000.00,181444.00,-310320.00
2009:Q3,485904.00,-83948.00,208492.00,89928.00,271432.00,485904.00,-198764.00,15536.00,5012.00,22928.00,-60000.00,113908.00,-296148.00
2009:Q4,554544.00,17548.00,184548.00,100704.00,251744.00,554544.00,193212.00,5104.00,3760.00,15740.00,-48000.00,173964.00,42644.00
2010:Q1,610840.00,66272.00,203116.00,95472.00,245980.00,610840.00,100716.00,16676.00,4452.00,22956.00,-44000.00,131972.00,-31340.00
2010:Q2,616004.00,181540.00,153036.00,102076.00,179352.00,616004.00,206196.00,34768.00,4112.00,7740.00,-4000.00,55448.00,108128.00
2010:Q3,664188.00,89208.00,205076.00,103244.00,266660.00,664188.00,30504.00,20756.00,3308.00,53932.00,-28000.00,132548.00,-152040.00
2010:Q4,646116.00,66628.00,204228.00,107748.00,267512.00,646116.00,196596.00,34148.00,164.00,39556.00,-24000.00,155652.00,-8924.00
2011:Q1,486680.00,34892.00,137888.00,104292.00,209608.00,486680.00,247560.00,9048.00,1120.00,24580.00,-16000.00,119200.00,109612.00
2011:Q2,485612.00,66140.00,122948.00,109848.00,186676.00,485612.00,213752.00,28020.00,1464.00,12568.00,20000.00,79080.00,72620.00
2011:Q3,526532.00,243384.00,67412.00,107692.00,108044.00,526532.00,462296.00,47124.00,1668.00,-5784.00,36000.00,-75848.00,459136.00
2011:Q4,490176.00,-10612.00,137460.00,130052.00,233276.00,490176.00,76312.00,-2836.00,668.00,22408.00,-4000.00,62148.00,-2076.00
2012:Q1,625188.00,149596.00,157004.00,102060.00,216528.00,625188.00,-5296.00,12272.00,3236.00,69196.00,-32000.00,100104.00,-158104.00
2012:Q2,390168.00,-25236.00,137292.00,101832.00,176280.00,390168.00,154180.00,27004.00,2352.00,-19060.00,8000.00,55840.00,80044.00
2012:Q3,494084.00,19148.00,152240.00,101704.00,220992.00,494084.00,146340.00,26312.00,1824.00,23488.00,16000.00,85616.00,-6900.00
2012:Q4,501688.00,75348.00,128084.00,102720.00,195536.00,501688.00,212472.00,31940.00,-1776.00,16324.00,28000.00,74120.00,63864.00
2013:Q1,455064.00,67576.00,120952.00,95608.00,170928.00,455064.00,329896.00,-15436.00,140.00,47956.00,-20000.00,224492.00,92744.00
2013:Q2,472248.00,29004.00,150600.00,100252.00,192392.00,472248.00,388884.00,38436.00,104.00,3148.00,60000.00,121668.00,165528.00
2013:Q3,494756.00,11984.00,162356.00,107044.00,213372.00,494756.00,186332.00,2340.00,-100.00,29888.00,28000.00,98812.00,27392.00
2013:Q4,531100.00,24032.00,159536.00,126260.00,221272.00,531100.00,212684.00,-26852.00,-2780.00,36796.00,-16000.00,172092.00,49428.00
2014:Q1,301180.00,74296.00,-31660.00,102564.00,155980.00,301180.00,179304.00,-26988.00,-1236.00,21660.00,-16000.00,98932.00,102936.00
2014:Q2,284892.00,8832.00,-208.00,99576.00,176692.00,284892.00,219692.00,-6940.00,-1516.00,15088.00,-16000.00,126624.00,102436.00
2014:Q3,296088.00,21228.00,-20708.00,118656.00,176912.00,296088.00,142192.00,15428.00,-1476.00,700.00,8000.00,28068.00,91472.00
2014:Q4,362092.00,44500.00,-1812.00,127596.00,191808.00,362092.00,226888.00,18996.00,-2064.00,15452.00,-16000.00,90336.00,120168.00
2015:Q1,404864.00,-44800.00,141720.00,102896.00,205048.00,404864.00,218752.00,-34376.00,-860.00,2720.00,-28000.00,120564.00,158704.00
2015:Q2,440004.00,75424.00,57720.00,104716.00,202144.00,440004.00,322064.00,35424.00,-244.00,15080.00,8000.00,99736.00,164068.00
2015:Q3,385188.00,113184.00,-12488.00,110568.00,173924.00,385188.00,172728.00,57100.00,248.00,-15352.00,32000.00,-37040.00,135772.00
2015:Q4,511836.00,71068.00,74332.00,125988.00,240448.00,511836.00,184880.00,13792.00,-132.00,26692.00,-28000.00,54468.00,118060.00
2016:Q1,602632.00,91836.00,182752.00,110592.00,217452.00,602632.00,231680.00,32520.00,1760.00,18520.00,12000.00,17972.00,148908.00
2016:Q2,426044.00,42568.00,60948.00,103088.00,219440.00,426044.00,ND,ND,ND,ND,ND,ND,ND
