date,FA153050005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA153050005.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6948.00,600.00,1364.00,3633.00,1351.00,6948.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,24124.00,1484.00,8064.00,10584.00,3992.00,24124.00,ND,ND,ND,ND,ND,ND,ND
1960:Q2,23492.00,1208.00,7472.00,10704.00,4108.00,23492.00,ND,ND,ND,ND,ND,ND,ND
1960:Q3,23344.00,1136.00,6944.00,10964.00,4300.00,23344.00,ND,ND,ND,ND,ND,ND,ND
1960:Q4,23700.00,1272.00,6844.00,11124.00,4460.00,23700.00,ND,ND,ND,ND,ND,ND,ND
1961:Q1,23396.00,1364.00,6468.00,11056.00,4508.00,23396.00,ND,ND,ND,ND,ND,ND,ND
1961:Q2,23936.00,1412.00,6484.00,11360.00,4680.00,23936.00,ND,ND,ND,ND,ND,ND,ND
1961:Q3,23996.00,1424.00,6100.00,11672.00,4800.00,23996.00,ND,ND,ND,ND,ND,ND,ND
1961:Q4,24088.00,1400.00,6004.00,11856.00,4828.00,24088.00,ND,ND,ND,ND,ND,ND,ND
1962:Q1,23432.00,1364.00,5564.00,11776.00,4728.00,23432.00,ND,ND,ND,ND,ND,ND,ND
1962:Q2,23036.00,1316.00,4848.00,12076.00,4796.00,23036.00,ND,ND,ND,ND,ND,ND,ND
1962:Q3,23236.00,1352.00,4604.00,12372.00,4908.00,23236.00,ND,ND,ND,ND,ND,ND,ND
1962:Q4,24384.00,1468.00,5380.00,12528.00,5008.00,24384.00,ND,ND,ND,ND,ND,ND,ND
1963:Q1,24856.00,1564.00,5864.00,12404.00,5024.00,24856.00,ND,ND,ND,ND,ND,ND,ND
1963:Q2,26072.00,1644.00,6532.00,12692.00,5204.00,26072.00,ND,ND,ND,ND,ND,ND,ND
1963:Q3,27340.00,1716.00,7248.00,13000.00,5376.00,27340.00,ND,ND,ND,ND,ND,ND,ND
1963:Q4,28360.00,1776.00,7924.00,13184.00,5476.00,28360.00,ND,ND,ND,ND,ND,ND,ND
1964:Q1,29420.00,1856.00,8828.00,13228.00,5508.00,29420.00,ND,ND,ND,ND,ND,ND,ND
1964:Q2,30432.00,1944.00,9452.00,13424.00,5612.00,30432.00,ND,ND,ND,ND,ND,ND,ND
