date,LM564090005.Q,LM564022005.Q,LM563061103.Q,LM563062003.Q,LM563063003.Q,LM563064103.Q,LM563093003.Q,LM564090005.Q,LM564091603.Q,LM564092603.Q,LM563093003.Q,LM564091403.Q,LM564091303.Q,LM564091203.Q
1945:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1992:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ND,ND,0.00,ND,ND,ND
1993:Q1,133.00,0.00,0.00,0.00,0.00,133.00,0.00,133.00,ND,ND,0.00,ND,ND,ND
1993:Q2,277.00,0.00,0.00,0.00,0.00,277.00,0.00,277.00,ND,ND,0.00,ND,ND,ND
1993:Q3,290.00,0.00,0.00,0.00,0.00,290.00,0.00,290.00,ND,ND,0.00,ND,ND,ND
1993:Q4,464.00,0.00,0.00,0.00,0.00,464.00,0.00,464.00,ND,ND,0.00,ND,ND,ND
1994:Q1,655.00,0.00,0.00,0.00,0.00,655.00,0.00,655.00,ND,ND,0.00,ND,ND,ND
1994:Q2,392.00,0.00,0.00,0.00,0.00,392.00,0.00,392.00,ND,ND,0.00,ND,ND,ND
1994:Q3,322.00,0.00,0.00,0.00,0.00,322.00,0.00,322.00,ND,ND,0.00,ND,ND,ND
1994:Q4,424.00,0.00,0.00,0.00,0.00,424.00,0.00,424.00,ND,ND,0.00,ND,ND,ND
1995:Q1,450.00,0.00,0.00,0.00,0.00,450.00,0.00,450.00,ND,ND,0.00,ND,ND,ND
1995:Q2,643.00,0.00,0.00,0.00,0.00,643.00,0.00,643.00,ND,ND,0.00,ND,ND,ND
1995:Q3,774.00,0.00,0.00,0.00,0.00,774.00,0.00,774.00,ND,ND,0.00,ND,ND,ND
1995:Q4,1052.00,0.00,0.00,0.00,0.00,1052.00,0.00,1052.00,ND,ND,0.00,ND,ND,ND
1996:Q1,1359.00,0.00,0.00,0.00,0.00,1359.00,0.00,1359.00,ND,ND,0.00,ND,ND,ND
1996:Q2,1560.00,0.00,0.00,0.00,0.00,1560.00,0.00,1560.00,ND,ND,0.00,ND,ND,ND
1996:Q3,1739.00,0.00,0.00,0.00,0.00,1739.00,0.00,1739.00,ND,ND,0.00,ND,ND,ND
1996:Q4,2401.00,0.00,0.00,0.00,0.00,2401.00,0.00,2401.00,ND,ND,0.00,ND,ND,ND
1997:Q1,2751.00,0.00,0.00,0.00,0.00,2751.00,0.00,2751.00,ND,ND,0.00,ND,ND,ND
1997:Q2,3636.00,0.00,0.00,0.00,0.00,3636.00,0.00,3636.00,ND,ND,0.00,ND,ND,ND
1997:Q3,4941.00,0.00,0.00,0.00,0.00,4941.00,0.00,4941.00,ND,ND,0.00,ND,ND,ND
1997:Q4,6702.00,0.00,0.00,0.00,0.00,6702.00,0.00,6702.00,ND,ND,0.00,ND,ND,ND
1998:Q1,8213.00,0.00,0.00,0.00,0.00,8213.00,0.00,8213.00,ND,ND,0.00,ND,ND,ND
1998:Q2,9215.00,0.00,0.00,0.00,0.00,9215.00,0.00,9215.00,ND,ND,0.00,ND,ND,ND
1998:Q3,9799.00,0.00,0.00,0.00,0.00,9799.00,0.00,9799.00,ND,ND,0.00,ND,ND,ND
1998:Q4,15564.00,0.00,0.00,0.00,0.00,15564.00,0.00,15564.00,ND,ND,0.00,ND,ND,ND
1999:Q1,16415.00,0.00,0.00,0.00,0.00,16415.00,0.00,16415.00,ND,ND,0.00,ND,ND,ND
1999:Q2,20625.00,0.00,0.00,0.00,0.00,20625.00,0.00,20625.00,ND,ND,0.00,ND,ND,ND
1999:Q3,21063.00,0.00,0.00,0.00,0.00,21063.00,0.00,21063.00,ND,ND,0.00,ND,ND,ND
1999:Q4,33862.00,0.00,0.00,0.00,0.00,33862.00,0.00,33862.00,ND,ND,0.00,ND,ND,ND
2000:Q1,36793.00,0.00,0.00,0.00,0.00,36793.00,0.00,36793.00,ND,ND,0.00,ND,ND,ND
2000:Q2,46090.00,0.00,0.00,0.00,0.00,46090.00,0.00,46090.00,ND,ND,0.00,ND,ND,ND
2000:Q3,49702.00,0.00,0.00,0.00,0.00,49702.00,0.00,49702.00,ND,ND,0.00,ND,ND,ND
2000:Q4,65585.00,0.00,0.00,0.00,0.00,65585.00,0.00,65585.00,ND,ND,0.00,ND,ND,ND
2001:Q1,66006.00,0.00,0.00,0.00,0.00,66006.00,0.00,66006.00,ND,ND,0.00,ND,ND,ND
2001:Q2,75560.00,0.00,0.00,0.00,0.00,75560.00,0.00,75560.00,ND,ND,0.00,ND,ND,ND
2001:Q3,64345.00,0.00,0.00,0.00,0.00,64345.00,0.00,64345.00,ND,ND,0.00,ND,ND,ND
2001:Q4,82992.00,0.00,0.00,0.00,0.00,82992.00,0.00,82992.00,79976.00,3016.00,0.00,0.00,0.00,0.00
2002:Q1,88204.00,0.00,0.00,0.00,0.00,88204.00,0.00,88204.00,84345.00,3859.00,0.00,0.00,0.00,0.00
2002:Q2,88951.00,0.00,0.00,0.00,0.00,88951.00,0.00,88951.00,81694.00,7257.00,0.00,0.00,0.00,0.00
2002:Q3,82259.00,3933.00,2209.00,0.00,1724.00,78326.00,0.00,82259.00,74016.00,4310.00,0.00,0.00,3933.00,0.00
2002:Q4,102142.00,3914.00,2057.00,0.00,1857.00,98228.00,0.00,102142.00,92904.00,5324.00,0.00,0.00,3914.00,0.00
2003:Q1,100830.00,3669.00,1614.00,0.00,2055.00,97161.00,0.00,100830.00,92004.00,5157.00,0.00,0.00,3669.00,0.00
2003:Q2,121572.00,3868.00,1367.00,0.00,2501.00,117704.00,0.00,121572.00,109585.00,8119.00,0.00,0.00,3868.00,0.00
2003:Q3,119753.00,4206.00,1860.00,0.00,2346.00,115547.00,0.00,119753.00,106180.00,9367.00,0.00,0.00,4206.00,0.00
2003:Q4,150982.00,4667.00,2147.00,0.00,2520.00,146315.00,0.00,150982.00,132331.00,13984.00,0.00,0.00,4667.00,0.00
2004:Q1,161703.00,6088.00,3108.00,0.00,2980.00,155615.00,0.00,161703.00,135565.00,20050.00,0.00,0.00,6088.00,0.00
2004:Q2,178538.00,6709.00,3740.00,0.00,2969.00,171829.00,0.00,178538.00,149561.00,22268.00,0.00,0.00,6709.00,0.00
2004:Q3,181393.00,7460.00,4191.00,0.00,3269.00,173933.00,0.00,181393.00,150031.00,23902.00,0.00,0.00,7460.00,0.00
2004:Q4,227539.00,8515.00,5005.00,0.00,3510.00,217689.00,1335.00,227539.00,184045.00,33644.00,1335.00,0.00,8515.00,0.00
2005:Q1,231306.00,11316.00,7286.00,0.00,4030.00,217436.00,2554.00,231306.00,179704.00,37732.00,2554.00,0.00,11316.00,0.00
2005:Q2,245299.00,12421.00,7946.00,0.00,4475.00,230240.00,2638.00,245299.00,189511.00,40729.00,2638.00,0.00,12421.00,0.00
2005:Q3,262858.00,13955.00,8952.00,0.00,5003.00,245509.00,3394.00,262858.00,192683.00,52826.00,3394.00,0.00,13955.00,0.00
2005:Q4,300819.00,15003.00,9691.00,0.00,5312.00,281018.00,4798.00,300819.00,215808.00,65210.00,4798.00,0.00,15003.00,0.00
2006:Q1,329208.00,15478.00,9857.00,0.00,5621.00,305815.00,7915.00,329208.00,224928.00,80887.00,7915.00,0.00,15478.00,0.00
2006:Q2,345705.00,17565.00,11517.00,0.00,6048.00,317546.00,10594.00,345705.00,234592.00,82954.00,10594.00,0.00,17565.00,0.00
2006:Q3,361698.00,18703.00,12045.00,0.00,6658.00,331600.00,11395.00,361698.00,243247.00,88353.00,11395.00,0.00,18703.00,0.00
2006:Q4,422551.00,20515.00,12883.00,0.00,7632.00,387337.00,14699.00,422551.00,276143.00,111194.00,14699.00,0.00,20515.00,0.00
2007:Q1,444259.00,22407.00,13832.00,0.00,8575.00,404507.00,17345.00,444259.00,283992.00,120515.00,17345.00,0.00,22407.00,0.00
2007:Q2,485928.00,25901.00,15794.00,0.00,10107.00,442673.00,17354.00,485928.00,300181.00,142492.00,17354.00,0.00,25901.00,0.00
2007:Q3,551100.00,29200.00,17302.00,362.00,11536.00,498522.00,23378.00,551100.00,337049.00,161473.00,23378.00,0.00,28838.00,362.00
2007:Q4,608421.00,34691.00,20214.00,575.00,13902.00,544824.00,28906.00,608421.00,365047.00,179702.00,28906.00,119.00,34073.00,575.00
2008:Q1,571108.00,40445.00,22318.00,1063.00,17064.00,494644.00,36019.00,571108.00,333206.00,161346.00,36019.00,146.00,39329.00,1062.00
2008:Q2,578066.00,45155.00,23387.00,1498.00,20270.00,492136.00,40775.00,578066.00,330210.00,161817.00,40775.00,176.00,43591.00,1497.00
2008:Q3,579509.00,50695.00,27033.00,1673.00,21989.00,491253.00,37561.00,579509.00,362734.00,128422.00,37561.00,158.00,48962.00,1672.00
2008:Q4,531289.00,57263.00,27785.00,2184.00,27294.00,438298.00,35728.00,531289.00,324535.00,113684.00,35728.00,132.00,55026.00,2183.00
2009:Q1,482020.00,69104.00,32941.00,3061.00,33102.00,361664.00,51252.00,482020.00,256486.00,105104.00,51252.00,126.00,65991.00,3060.00
2009:Q2,590335.00,82387.00,36921.00,3972.00,41494.00,449488.00,58460.00,590335.00,300345.00,149055.00,58460.00,150.00,78354.00,3971.00
2009:Q3,693377.00,95773.00,39844.00,5288.00,50641.00,534898.00,62706.00,693377.00,352015.00,182778.00,62706.00,170.00,90420.00,5287.00
2009:Q4,777128.00,107082.00,43267.00,6009.00,57806.00,595538.00,74508.00,777128.00,386118.00,209315.00,74508.00,169.00,101010.00,6008.00
2010:Q1,805364.00,118006.00,47878.00,6675.00,63453.00,615882.00,71476.00,805364.00,403085.00,212668.00,71476.00,206.00,111255.00,6674.00
2010:Q2,772207.00,129569.00,52999.00,7463.00,69107.00,558691.00,83947.00,772207.00,361286.00,197262.00,83947.00,236.00,122015.00,7462.00
2010:Q3,882746.00,141070.00,52991.00,8176.00,79903.00,653201.00,88475.00,882746.00,406902.00,246106.00,88475.00,308.00,132781.00,8174.00
2010:Q4,991989.00,137895.00,52151.00,7585.00,78159.00,753013.00,101081.00,991989.00,476184.00,276622.00,101081.00,322.00,130197.00,7583.00
2011:Q1,1055034.00,145951.00,54197.00,7430.00,84324.00,801443.00,107640.00,1055034.00,514341.00,286878.00,107640.00,342.00,138404.00,7428.00
2011:Q2,1077344.00,157815.00,58126.00,7891.00,91798.00,812127.00,107402.00,1077344.00,519465.00,292414.00,107402.00,379.00,149795.00,7889.00
2011:Q3,951455.00,168451.00,61121.00,8231.00,99099.00,672324.00,110680.00,951455.00,439773.00,232325.00,110680.00,361.00,160087.00,8229.00
2011:Q4,1048133.00,184358.00,62630.00,9068.00,112660.00,754599.00,109176.00,1048133.00,509244.00,245114.00,109176.00,377.00,175155.00,9066.00
2012:Q1,1193166.00,202771.00,62393.00,10206.00,130172.00,873859.00,116536.00,1193166.00,587513.00,286069.00,116536.00,434.00,192410.00,10204.00
2012:Q2,1166651.00,222196.00,67750.00,11152.00,143294.00,835730.00,108725.00,1166651.00,577679.00,257759.00,108725.00,463.00,210875.00,11150.00
2012:Q3,1281114.00,233648.00,63687.00,12037.00,157924.00,921941.00,125525.00,1281114.00,632406.00,289178.00,125525.00,563.00,221409.00,12034.00
2012:Q4,1337111.00,243443.00,64375.00,12970.00,166098.00,973652.00,120016.00,1337111.00,644716.00,328521.00,120016.00,656.00,230236.00,12967.00
2013:Q1,1446253.00,249746.00,63588.00,13666.00,172492.00,1087393.00,109114.00,1446253.00,740217.00,346525.00,109114.00,1004.00,235732.00,13661.00
2013:Q2,1417623.00,244549.00,62827.00,12673.00,169049.00,1100555.00,72519.00,1417623.00,778755.00,320957.00,72519.00,1280.00,231445.00,12667.00
2013:Q3,1541879.00,249443.00,62810.00,11503.00,175130.00,1216181.00,76255.00,1541879.00,847454.00,367835.00,76255.00,1349.00,237490.00,11496.00
2013:Q4,1674616.00,246349.00,55727.00,11369.00,179253.00,1364225.00,64042.00,1674616.00,964407.00,398834.00,64042.00,1469.00,234501.00,11362.00
2014:Q1,1710564.00,259564.00,57516.00,11964.00,190084.00,1383648.00,67352.00,1710564.00,981399.00,401110.00,67352.00,1694.00,247052.00,11956.00
2014:Q2,1831825.00,274470.00,61575.00,12914.00,199981.00,1489561.00,67794.00,1831825.00,1048155.00,439998.00,67794.00,2108.00,260866.00,12904.00
2014:Q3,1830891.00,277132.00,62008.00,13853.00,201271.00,1492254.00,61505.00,1830891.00,1058662.00,431816.00,61505.00,2668.00,262400.00,13840.00
2014:Q4,1974377.00,297419.00,67475.00,15113.00,214831.00,1619984.00,56974.00,1974377.00,1203175.00,414805.00,56974.00,3047.00,281279.00,15097.00
2015:Q1,2062991.00,319312.00,70827.00,16574.00,231911.00,1683300.00,60379.00,2062991.00,1208534.00,472549.00,60379.00,3415.00,301560.00,16553.00
2015:Q2,2082895.00,315749.00,70792.00,16817.00,228140.00,1709288.00,57858.00,2082895.00,1193027.00,513884.00,57858.00,3687.00,297644.00,16795.00
2015:Q3,1955613.00,334495.00,85283.00,17484.00,231728.00,1568417.00,52701.00,1955613.00,1121221.00,444946.00,52701.00,3647.00,315636.00,17462.00
2015:Q4,2100443.00,341641.00,80311.00,19084.00,242246.00,1709485.00,49317.00,2100443.00,1232478.00,474640.00,49317.00,3738.00,321212.00,19059.00
2016:Q1,2154774.00,381335.00,92326.00,21043.00,267966.00,1709804.00,63635.00,2154774.00,1240236.00,467144.00,63635.00,3862.00,358880.00,21017.00
2016:Q2,2224980.00,401685.00,92854.00,23113.00,285718.00,1746664.00,76631.00,2224980.00,1281999.00,464665.00,76631.00,4314.00,378572.00,23113.00
