date,FA896902505.A,FA156902505.A,FA116902505.A,FA106902501.A,FA796902505.A,FA316902505.A,FA206902505.A,FA896006001.A,FA156006005.A,FA106012095.A,FA796012095.A,FA316006085.A,FA206006095.A,FA155440005.A,FA115440005.A,FA105440005.A,FA795440005.A,FA315440005.A,FA205440005.A,FA265440005.A,FA885019005.A,FA155019005.A,FA115019085.A,FA105019085.A,FA795013005.A,FA315019001.A,FA205019001.A,FA886300095.A,FA156300003.A,FA116300001.A,FA106300083.A,FA796300081.A,FA316300003.A,FA206300003.A,FA145020005.A,FA115020005.A,FA105020005.A,FA885000985.A,FA155000905.A,FA115000905.A,FA105000905.A,FA795000995.A,FA315000995.A,FA205000995.A,FA087005995.A,FA265000905.A,FA885000005.A,FA155000005.A,FA115000005.A,FA105000005.A,FA795000005.A,FA315000005.A,FA215000005.A,FA265000005.A,FV158090185.A,FV118090105.A,FV108090105.A,FV798090185.A,FV318090185.A,FV218090185.A,FV268090185.A,FR158200095.A,FR112010005.A,FR108200005.A,FR798200005.A,FR318200005.A,FR218200005.A,FR265000005.A,FC152090005.A,FC112090205.A,FC102090085.A,FC792090095.A,FC312090095.A,FC212090095.A,FC262090095.A,FL152090005.A,FL112090205.A,FL102090085.A,FL792090095.A,FL312090095.A,FL212090095.A,FL262090095.A
1960,544642.00,45285.00,117108.00,282473.00,20652.00,44978.00,34146.00,59113.00,37826.00,14913.00,3619.00,186.00,2570.00,2242.00,0.00,-93.00,0.00,857.00,-3006.00,0.00,119241.00,25730.00,15069.00,40417.00,2027.00,21892.00,14107.00,67893.00,8174.00,11293.00,27560.00,1182.00,15138.00,4547.00,3233.00,1182.00,2051.00,4533.00,18692.00,-4958.00,750.00,2774.00,-7876.00,-4848.00,-1361.00,-3172.00,3843.00,28438.00,-4875.00,-9036.00,3710.00,-8507.00,-5887.00,-1462.00,15413.00,-886.00,-6960.00,950.00,69.00,-2737.00,1710.00,22560.00,10825.00,-4117.00,-115.00,965.00,-96.00,-1281.00,73557.00,9937.00,3928.00,4454.00,362.00,2744.00,-2743.00,2070262.00,398556.00,194827.00,17390.00,-132006.00,133386.00,-28549.00
1961,564280.00,48115.00,119685.00,290416.00,21815.00,47034.00,37216.00,61062.00,44371.00,15427.00,3728.00,-4705.00,2242.00,2509.00,0.00,-123.00,0.00,904.00,-3290.00,0.00,123508.00,25084.00,16079.00,40431.00,2015.00,24647.00,15252.00,70607.00,8496.00,11502.00,28564.00,1220.00,16011.00,4814.00,2974.00,1335.00,1639.00,5186.00,26036.00,-5912.00,2766.00,2933.00,-14738.00,-5899.00,-974.00,-4212.00,1114.00,28399.00,-5823.00,-2788.00,4148.00,-16264.00,-6558.00,-2701.00,5345.00,237.00,-2977.00,-2481.00,-2293.00,-2049.00,1501.00,115438.00,16989.00,-68190.00,-16363.00,2232.00,1946.00,552.00,162645.00,17226.00,-55617.00,-15115.00,-5670.00,5428.00,-2159.00,2232907.00,415782.00,139210.00,2275.00,-137676.00,138814.00,-30708.00
1962,605192.00,51871.00,123972.00,316795.00,22536.00,50098.00,39921.00,69356.00,46366.00,20735.00,4186.00,-5342.00,3411.00,2638.00,0.00,-126.00,0.00,1013.00,-3525.00,0.00,133475.00,26747.00,18298.00,43575.00,2257.00,26502.00,16097.00,74101.00,8846.00,11847.00,29824.00,1275.00,17148.00,5161.00,6101.00,1801.00,4300.00,3881.00,26639.00,-8252.00,3650.00,3205.00,-16303.00,-5057.00,-81.00,-3800.00,-1734.00,29382.00,-8148.00,-3815.00,3174.00,-16174.00,-6153.00,-1376.00,1242.00,574.00,-4495.00,2760.00,-70.00,7034.00,2424.00,14367.00,16495.00,16394.00,-226.00,4720.00,4463.00,-2739.00,59337.00,17069.00,32760.00,6720.00,-1705.00,18432.00,-4115.00,2292244.00,432851.00,171970.00,8995.00,-139381.00,157246.00,-34823.00
1963,640099.00,55160.00,127328.00,337808.00,23278.00,53132.00,43393.00,76186.00,46687.00,24496.00,3406.00,-2119.00,3717.00,2885.00,0.00,-88.00,0.00,1345.00,-4142.00,0.00,142101.00,28797.00,20208.00,46408.00,2249.00,26670.00,17769.00,78003.00,9288.00,12188.00,31340.00,1342.00,18316.00,5528.00,5621.00,1584.00,4037.00,6467.00,25177.00,-9603.00,6272.00,2498.00,-12343.00,-5533.00,-1521.00,-4947.00,-1500.00,30615.00,-9499.00,-4980.00,1228.00,-13041.00,-5823.00,-3075.00,14154.00,2170.00,-8606.00,-5187.00,-1763.00,-553.00,1843.00,56944.00,3448.00,-39247.00,-5608.00,1383.00,3160.00,1066.00,114900.00,5616.00,-23270.00,-7390.00,-3844.00,10466.00,-2038.00,2407144.00,438467.00,148700.00,1605.00,-143225.00,167712.00,-36861.00
1964,685798.00,58727.00,133472.00,364507.00,25569.00,56416.00,47107.00,83646.00,54842.00,27967.00,3393.00,-6862.00,4306.00,3305.00,0.00,-81.00,0.00,1497.00,-4721.00,0.00,153719.00,30670.00,21904.00,51821.00,2935.00,27115.00,19274.00,82378.00,9882.00,12708.00,33252.00,1434.00,19174.00,5929.00,4822.00,139.00,4683.00,7484.00,31714.00,-9336.00,5715.00,1892.00,-16926.00,-5576.00,-15.00,-7468.00,4077.00,42074.00,-9228.00,-9114.00,2410.00,-15945.00,-6120.00,-4562.00,18324.00,2387.00,-11763.00,-2958.00,189.00,-1317.00,6464.00,111041.00,17298.00,-67299.00,-2292.00,3119.00,3386.00,1344.00,180902.00,19685.00,-51014.00,-1858.00,-5051.00,11095.00,340.00,2588046.00,458152.00,97686.00,-253.00,-148276.00,178807.00,-36521.00
1965,742951.00,63002.00,140694.00,400731.00,27687.00,59279.00,51560.00,94909.00,58278.00,33487.00,4532.00,-5469.00,4082.00,3608.00,0.00,-81.00,0.00,1220.00,-4747.00,0.00,168259.00,32099.00,23209.00,61627.00,3462.00,26698.00,21165.00,87980.00,10662.00,13469.00,35828.00,1607.00,19970.00,6445.00,9247.00,2537.00,6710.00,5384.00,34226.00,-12277.00,1831.00,2677.00,-13888.00,-7185.00,774.00,-6158.00,9331.00,46311.00,-12128.00,-7993.00,2784.00,-13806.00,-5836.00,-4625.00,28212.00,3761.00,-11100.00,-3562.00,-1289.00,156.00,1586.00,114917.00,23131.00,-56836.00,-5404.00,4737.00,8739.00,-5925.00,197798.00,26891.00,-34368.00,-4434.00,-3241.00,17724.00,-10497.00,2785844.00,485043.00,63317.00,-4687.00,-151517.00,196531.00,-47018.00
1966,809913.00,68022.00,148980.00,440065.00,30126.00,65519.00,57200.00,101147.00,61357.00,36512.00,5059.00,-6956.00,5174.00,3886.00,0.00,-83.00,0.00,1341.00,-5144.00,0.00,184117.00,31164.00,23893.00,71889.00,3605.00,30088.00,23479.00,95293.00,11533.00,14460.00,39392.00,1786.00,21018.00,7105.00,13636.00,1643.00,11993.00,-1314.00,38893.00,-11076.00,-6935.00,3240.00,-18009.00,-7427.00,5122.00,-3808.00,9027.00,61016.00,-10930.00,-21070.00,3247.00,-16147.00,-7090.00,-2948.00,41703.00,3497.00,-7292.00,4451.00,-165.00,-2196.00,770.00,298.00,29999.00,98313.00,-8022.00,7022.00,13939.00,262.00,99472.00,33494.00,127616.00,1488.00,-1440.00,22062.00,-2776.00,2885317.00,518538.00,190934.00,-3199.00,-152957.00,218593.00,-49794.00
1967,858314.00,73406.00,153722.00,463175.00,33625.00,71258.00,63128.00,96912.00,72221.00,34576.00,4881.00,-19491.00,4726.00,3978.00,0.00,-85.00,0.00,1195.00,-5088.00,0.00,190494.00,31684.00,23398.00,73783.00,3969.00,31939.00,25722.00,103519.00,12445.00,15444.00,43452.00,1986.00,22418.00,7775.00,9865.00,2088.00,7777.00,74.00,50065.00,-10042.00,-3356.00,2897.00,-29976.00,-9514.00,3411.00,-3484.00,9012.00,58238.00,-9897.00,-12594.00,11908.00,-29527.00,-9116.00,-1992.00,22578.00,931.00,-7856.00,2926.00,6736.00,1725.00,1479.00,208255.00,23736.00,-135755.00,-81.00,11077.00,11677.00,8393.00,299076.00,24667.00,-108950.00,7726.00,-2873.00,23215.00,6388.00,3184393.00,543205.00,81984.00,4527.00,-155830.00,241808.00,-43406.00
1968,939293.00,79378.00,161734.00,510908.00,37594.00,78294.00,71386.00,101182.00,72074.00,33053.00,5531.00,-13737.00,4261.00,4088.00,0.00,-112.00,0.00,2865.00,-6841.00,0.00,207100.00,35861.00,26653.00,80234.00,5119.00,31106.00,28128.00,113324.00,13640.00,16599.00,48092.00,2272.00,24113.00,8609.00,9052.00,2351.00,6701.00,-1647.00,46851.00,-12405.00,-6264.00,2684.00,-22681.00,-9831.00,3179.00,-1532.00,2757.00,69763.00,-12237.00,-16591.00,-3154.00,-25804.00,-9220.00,-611.00,44881.00,3159.00,-8274.00,-10782.00,-1657.00,-2898.00,921.00,278282.00,41940.00,-90080.00,-19465.00,12824.00,18938.00,-2814.00,391149.00,45098.00,-65189.00,-24716.00,-5435.00,27142.00,-3425.00,3575541.00,588302.00,16795.00,-20189.00,-161265.00,268950.00,-46831.00
1969,1018273.00,87586.00,170310.00,554583.00,42371.00,83584.00,79840.00,108228.00,75030.00,28655.00,5545.00,-5108.00,4106.00,4625.00,0.00,-77.00,0.00,2297.00,-6843.00,-2.00,223931.00,38477.00,31222.00,89161.00,5531.00,30723.00,28818.00,124863.00,15235.00,18078.00,53484.00,2636.00,25776.00,9654.00,9173.00,1221.00,7952.00,-15.00,47916.00,-14365.00,-14564.00,2651.00,-12456.00,-9196.00,1617.00,-1602.00,3811.00,69921.00,-14145.00,-23840.00,-1797.00,-13199.00,-13128.00,7574.00,42110.00,135.00,-2546.00,3750.00,1136.00,-7340.00,4349.00,-46086.00,34825.00,195033.00,12409.00,18363.00,30954.00,-6899.00,66429.00,34960.00,221219.00,21704.00,12093.00,34563.00,-4152.00,3641970.00,623262.00,238014.00,1515.00,-149172.00,303513.00,-50983.00
1970,1070540.00,95213.00,177279.00,572832.00,45569.00,89458.00,90190.00,91434.00,96055.00,21376.00,5804.00,-34762.00,2961.00,4764.00,0.00,-125.00,0.00,1578.00,-6212.00,-5.00,227847.00,37500.00,32571.00,92178.00,5805.00,30457.00,29336.00,136783.00,16468.00,19516.00,59260.00,3014.00,27578.00,10947.00,2001.00,-424.00,2425.00,-1636.00,71102.00,-12630.00,-13856.00,3012.00,-38950.00,-10314.00,5354.00,-3718.00,5769.00,96932.00,-12362.00,-25549.00,-966.00,-36866.00,-15421.00,272.00,47644.00,-344.00,-6056.00,3209.00,-3639.00,-1853.00,3990.00,67228.00,31663.00,68584.00,4194.00,24139.00,43198.00,-4067.00,206163.00,31320.00,84029.00,13206.00,-15839.00,50518.00,-3795.00,3848133.00,654582.00,322043.00,14721.00,-165011.00,354031.00,-54778.00
1971,1158277.00,105215.00,188742.00,618030.00,50077.00,95104.00,101109.00,97298.00,110083.00,30113.00,7342.00,-50824.00,583.00,5797.00,0.00,-139.00,0.00,1361.00,-7003.00,-16.00,247077.00,48669.00,37846.00,95186.00,6868.00,27798.00,30711.00,148866.00,18224.00,21257.00,64732.00,3422.00,28998.00,12233.00,8256.00,2491.00,5765.00,-9186.00,75091.00,-19080.00,-6027.00,3897.00,-50546.00,-12520.00,9481.00,-295.00,-3991.00,94805.00,-18700.00,-15889.00,2743.00,-49838.00,-17112.00,14067.00,46663.00,1729.00,-7085.00,-11341.00,3462.00,-11934.00,14895.00,254991.00,64581.00,-43437.00,-720.00,22938.00,32633.00,-1026.00,405940.00,66311.00,-20269.00,-4719.00,-25785.00,28285.00,13574.00,4254073.00,720893.00,301774.00,10002.00,-190796.00,382316.00,-41204.00
1972,1275307.00,114806.00,206508.00,685948.00,54635.00,101196.00,112216.00,116763.00,109195.00,39360.00,8675.00,-48886.00,8419.00,6804.00,0.00,-194.00,0.00,690.00,-7270.00,-30.00,279725.00,60194.00,43981.00,107657.00,7204.00,29349.00,31342.00,160897.00,20340.00,23121.00,70188.00,3842.00,30080.00,13326.00,9108.00,1529.00,7579.00,-11204.00,63809.00,-22388.00,-5822.00,5313.00,-48132.00,-3984.00,7132.00,4071.00,9212.00,91709.00,-21762.00,-7408.00,507.00,-46407.00,-7427.00,6455.00,60385.00,-5245.00,-7492.00,-8305.00,4531.00,-11383.00,4335.00,415264.00,86420.00,-122291.00,1956.00,32190.00,35143.00,-11788.00,578041.00,81176.00,-90229.00,2326.00,-12855.00,39448.00,-3382.00,4832113.00,802068.00,211544.00,12328.00,-203651.00,421764.00,-44586.00
1973,1422443.00,125573.00,241365.00,768845.00,58470.00,104715.00,123477.00,157252.00,131789.00,43911.00,9599.00,-37689.00,9642.00,6601.00,0.00,-157.00,0.00,905.00,-7312.00,-37.00,316690.00,66678.00,49309.00,125532.00,9531.00,31652.00,33989.00,178080.00,23321.00,25527.00,78180.00,4461.00,31735.00,14856.00,15878.00,3408.00,12470.00,2727.00,83154.00,-27190.00,-18558.00,4529.00,-35306.00,-3902.00,6097.00,-8824.00,20741.00,124453.00,-26498.00,-49121.00,8884.00,-34651.00,-2327.00,-10138.00,29354.00,-6541.00,8534.00,34618.00,3441.00,16462.00,-1214.00,56794.00,141615.00,330042.00,21027.00,41161.00,69736.00,2624.00,211336.00,135091.00,382644.00,65244.00,6008.00,103152.00,-7414.00,5043449.00,937159.00,594189.00,77572.00,-197643.00,524916.00,-52000.00
1974,1541431.00,138306.00,256668.00,830054.00,66843.00,112488.00,137073.00,143100.00,141728.00,30457.00,9244.00,-40646.00,2317.00,6298.00,0.00,-223.00,0.00,3131.00,-9170.00,-36.00,336699.00,61715.00,45640.00,141301.00,11880.00,35662.00,40500.00,206168.00,27045.00,29331.00,91384.00,5398.00,34677.00,18333.00,13990.00,-657.00,14647.00,-1458.00,102200.00,-15653.00,-39122.00,2762.00,-39089.00,-12556.00,7391.00,-5935.00,-9310.00,113853.00,-15000.00,-50373.00,-1089.00,-39680.00,-17020.00,-4235.00,36490.00,-27808.00,110332.00,23115.00,4713.00,-12961.00,1700.00,-58476.00,139986.00,497254.00,28097.00,67015.00,162168.00,-11190.00,113444.00,112183.00,638265.00,60455.00,27951.00,160694.00,-15425.00,5156893.00,1049342.00,1232454.00,138027.00,-169692.00,685610.00,-67425.00
1975,1675689.00,152958.00,274686.00,898339.00,75412.00,120374.00,153921.00,110723.00,159012.00,45537.00,8716.00,-96977.00,-5565.00,6448.00,0.00,-241.00,0.00,4824.00,-10974.00,-57.00,347906.00,64152.00,42427.00,143995.00,12935.00,39847.00,44550.00,237537.00,30882.00,33566.00,107724.00,6619.00,37785.00,20961.00,-6256.00,2093.00,-8349.00,6552.00,120787.00,-10954.00,17873.00,2399.00,-103430.00,-20124.00,13230.00,-19782.00,-26814.00,139722.00,-10292.00,-34406.00,-266.00,-104500.00,-17073.00,-22088.00,49055.00,-12748.00,-182700.00,-19093.00,-5291.00,5958.00,-2306.00,436867.00,110874.00,-36687.00,21637.00,30304.00,18022.00,5382.00,638486.00,98126.00,-173610.00,11260.00,-76788.00,29389.00,-16706.00,5795379.00,1147468.00,1058844.00,149287.00,-246480.00,714999.00,-84131.00
1976,1857126.00,166392.00,299513.00,1014778.00,81743.00,129749.00,164952.00,140287.00,147307.00,59063.00,10973.00,-79854.00,2799.00,7236.00,0.00,-198.00,0.00,5034.00,-12021.00,-51.00,395749.00,82959.00,47389.00,161653.00,14109.00,44749.00,44891.00,259210.00,34318.00,36292.00,118272.00,7631.00,40629.00,22069.00,17117.00,1163.00,15953.00,-13420.00,92770.00,-12260.00,-2054.00,4495.00,-86621.00,-9749.00,20463.00,-7044.00,-5483.00,132554.00,-11522.00,-36202.00,6242.00,-88452.00,-8103.00,-18156.00,43889.00,-13177.00,-52327.00,-2940.00,-2481.00,27372.00,-3941.00,471297.00,143293.00,29516.00,563.00,41850.00,18363.00,-29071.00,655257.00,130115.00,36450.00,8596.00,-45519.00,60554.00,-40055.00,6450636.00,1277583.00,1095294.00,157883.00,-291999.00,775553.00,-124186.00
1977,2066697.00,181512.00,324462.00,1147516.00,96868.00,137682.00,178658.00,171267.00,148158.00,71354.00,15219.00,-71907.00,8442.00,9276.00,0.00,-161.00,0.00,4036.00,-13087.00,-64.00,467446.00,108709.00,57085.00,192909.00,15586.00,49198.00,43960.00,288334.00,39616.00,40115.00,132560.00,8833.00,43728.00,23482.00,22324.00,6139.00,16185.00,-30235.00,70986.00,-23109.00,-6078.00,8466.00,-79992.00,-507.00,19255.00,10978.00,-2151.00,122909.00,-22029.00,-32857.00,8604.00,-86927.00,8149.00,21034.00,88509.00,-8105.00,-34730.00,15462.00,-3693.00,8888.00,10782.00,366335.00,172161.00,289291.00,872.00,31449.00,46113.00,-15247.00,593726.00,163999.00,326076.00,31552.00,-48187.00,76530.00,6513.00,7044362.00,1441582.00,1421370.00,189435.00,-340186.00,852083.00,-117673.00
1978,2333417.00,204484.00,364711.00,1304114.00,115084.00,149329.00,195695.00,223100.00,166563.00,83442.00,19476.00,-59825.00,13444.00,7189.00,0.00,-164.00,0.00,6772.00,-13710.00,-87.00,558151.00,126537.00,72457.00,233289.00,20302.00,54742.00,50825.00,325063.00,46589.00,45244.00,150152.00,10130.00,47458.00,25491.00,25791.00,3875.00,21916.00,-35866.00,80776.00,-31088.00,-21653.00,9304.00,-73242.00,38.00,23152.00,12715.00,-33216.00,119902.00,-29890.00,-67448.00,14795.00,-74476.00,3901.00,16174.00,85107.00,-14793.00,-35191.00,-8517.00,102.00,5253.00,-753.00,608787.00,246314.00,211380.00,21706.00,45841.00,77990.00,-31998.00,853269.00,231473.00,259796.00,32665.00,-20654.00,110396.00,-20036.00,7897630.00,1673054.00,1681166.00,222100.00,-360840.00,962479.00,-137709.00
1979,2587366.00,228893.00,406946.00,1450413.00,126160.00,160144.00,214810.00,242670.00,177545.00,83564.00,17880.00,-44519.00,8200.00,7541.00,0.00,-243.00,0.00,9028.00,-16218.00,-108.00,641768.00,130356.00,90666.00,274632.00,26015.00,61744.00,58356.00,371133.00,54366.00,51870.00,172444.00,12051.00,51755.00,28647.00,17984.00,4752.00,13232.00,-46059.00,95547.00,-43548.00,-33998.00,3916.00,-60688.00,-7289.00,44785.00,1274.00,-55753.00,133201.00,-42247.00,-99646.00,16234.00,-61018.00,-2277.00,-21875.00,76055.00,-29099.00,-18234.00,5217.00,6314.00,3675.00,-23360.00,904122.00,297836.00,156701.00,10666.00,70547.00,140243.00,-19109.00,1150181.00,268484.00,222275.00,33763.00,23314.00,168336.00,-41195.00,9047811.00,1941538.00,1903441.00,255863.00,-337526.00,1130815.00,-178904.00
1980,2818574.00,260650.00,429100.00,1574223.00,140616.00,176414.00,237572.00,204623.00,213196.00,60771.00,11529.00,-86252.00,5379.00,8778.00,0.00,-276.00,0.00,10225.00,-18599.00,-128.00,672383.00,116875.00,87779.00,300070.00,31707.00,70253.00,65699.00,426008.00,62193.00,59334.00,198860.00,14589.00,57892.00,33141.00,-6331.00,-5700.00,-631.00,-35548.00,151423.00,-22745.00,-43109.00,-5589.00,-104770.00,-10758.00,43931.00,-8383.00,34148.00,229576.00,-21396.00,-95989.00,26796.00,-100135.00,-4704.00,-29226.00,88079.00,-44474.00,3527.00,-2995.00,11302.00,21055.00,-20843.00,986233.00,289372.00,33252.00,41836.00,76638.00,176178.00,-5912.00,1278731.00,243956.00,97826.00,50371.00,-8536.00,221210.00,-35138.00,10326542.00,2185494.00,2001267.00,306234.00,-346062.00,1352025.00,-214042.00
1981,3174253.00,293934.00,468675.00,1788392.00,164480.00,199281.00,259491.00,260195.00,252475.00,85071.00,4328.00,-85816.00,4137.00,9262.00,0.00,-202.00,0.00,8845.00,-17783.00,-122.00,748765.00,117359.00,103284.00,343144.00,37633.00,80429.00,66917.00,485046.00,68466.00,66966.00,229084.00,17414.00,65277.00,37839.00,29809.00,9931.00,19878.00,-33455.00,196083.00,-46249.00,-53707.00,-15892.00,-104287.00,-9403.00,36707.00,-3254.00,30332.00,285464.00,-44669.00,-73017.00,-14407.00,-116373.00,-6667.00,-13597.00,111348.00,8098.00,3895.00,20605.00,-2592.00,-4248.00,-18307.00,471938.00,149293.00,420044.00,-16349.00,60362.00,134583.00,-5364.00,826499.00,157671.00,509212.00,8584.00,-36891.00,152255.00,-26925.00,11153041.00,2343165.00,2510478.00,314818.00,-382953.00,1504280.00,-240967.00
1982,3338234.00,325563.00,479983.00,1854265.00,179399.00,217428.00,281597.00,193610.00,277696.00,85402.00,241.00,-164627.00,-5101.00,10103.00,0.00,-199.00,0.00,7155.00,-16946.00,-113.00,752899.00,110259.00,94179.00,350090.00,41422.00,89956.00,66993.00,534316.00,72872.00,73117.00,253880.00,20523.00,72668.00,41256.00,-14914.00,4379.00,-19293.00,-10172.00,232073.00,-25441.00,5339.00,-20659.00,-185378.00,-16107.00,6758.00,3413.00,-36942.00,307728.00,-23557.00,-72853.00,-32445.00,-195503.00,-20311.00,19991.00,94235.00,-58610.00,-12549.00,-63287.00,4169.00,-4251.00,33809.00,398399.00,98770.00,-49146.00,33362.00,40889.00,67331.00,51744.00,760227.00,40682.00,23906.00,-29685.00,-126724.00,74925.00,88966.00,11913267.00,2383846.00,2534384.00,285133.00,-509677.00,1579205.00,-152001.00
1983,3583979.00,355774.00,503413.00,1985502.00,206138.00,231103.00,302049.00,158925.00,247002.00,106705.00,8951.00,-205009.00,1277.00,8290.00,0.00,-38.00,0.00,9809.00,-17960.00,-101.00,814431.00,152689.00,96230.00,348259.00,46089.00,102338.00,68827.00,560546.00,76013.00,74825.00,264616.00,23333.00,78962.00,42798.00,-5751.00,-13765.00,8014.00,-89310.00,164012.00,-7640.00,10383.00,-13806.00,-233245.00,-9016.00,54157.00,35153.00,32548.00,279285.00,-5688.00,-14312.00,18518.00,-230917.00,-14339.00,11229.00,192378.00,-52694.00,22122.00,-18361.00,6860.00,11285.00,-38678.00,430064.00,110307.00,-196921.00,28414.00,33377.00,-2388.00,-35964.00,861154.00,58110.00,-68056.00,19004.00,-174581.00,28133.00,-39489.00,12774422.00,2441957.00,2466328.00,304137.00,-684258.00,1607338.00,-191490.00
